"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20306]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PROTEROZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / SLAB MOUNTAIN","","65","65","-134","-134","SUBAERIAL","","","s JL-01 [20306]","NOT GIVEN [20306]","","","","PROTEROZOIC [20306]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20306] ","50.68","1.99","","15.01","","","","15.01","4.42","3.2","0.1","","6.94","2.16","0.49","","","","","","","","","","","","","","","","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.86","","224","1.24","","","","11.93","2.78","46.23","","","","","","100","50","67","271","36","0.51","","","","","","","3.56","","","","3.13","212","30.67","78.67","10.59","45.65","12.12","3.36","14.29","2.37","15.64","3.11","9.16","1.44","8.78","1.07","4.21","2.96","","","","","","","","0.38","12.17","","21.87","4.03","","","","","","","","","","","","","","","","","","","","","","","","","1047965",
"[20306]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PROTEROZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / SLAB MOUNTAIN","","65","65","-134","-134","SUBAERIAL","","","s JL-01 [20306]","NOT GIVEN [20306]","","","","PROTEROZOIC [20306]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20306] ","52.65","1.95","","15.74","","","","11.29","6.45","2.1","0.07","","8.03","1.14","0.58","","","","","","","","","","","","","","","","3.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.22","","242","1.92","","","","15.3","8.78","32.41","","","","","","36","55","41","265","44","0.8","","","","","","","3.22","","","","1.45","110","15.16","46.15","7.22","35.17","8.07","1.87","7.55","1.04","6.54","1.46","4.77","0.85","6.19","0.94","7.46","3.56","","","","","","","","0.15","8.22","","27.55","6.34","","","","","","","","","","","","","","","","","","","","","","","","","1047966",
"[20306]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PROTEROZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / SLAB MOUNTAIN","","65","65","-134","-134","SUBAERIAL","","","s JL-01 [20306]","NOT GIVEN [20306]","","","","PROTEROZOIC [20306]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20306] ","51.65","1.89","","14.82","","","","12.5","3.79","5.95","0.08","","6.09","2.87","0.36","","","","","","","","","","","","","","","","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.72","","288","5.46","","","","43.38","4.85","32.1","","","","","","155","91","74","253","32","0.55","","","","","","","5.03","","","","2.07","182","13.6","54","9.14","47.6","14.05","4.11","15.37","2.36","15.3","3.04","8.68","1.36","8.48","1.03","5.05","2.22","","","","","","","","0.43","2.5","","11.42","4.02","","","","","","","","","","","","","","","","","","","","","","","","","1047967",
"[20306]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PROTEROZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / SLAB MOUNTAIN","","65","65","-134","-134","SUBAERIAL","","","s JL-01 [20306]","NOT GIVEN [20306]","","","","PROTEROZOIC [20306]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20306] ","53.12","1.69","","15.22","","","","12.11","2.3","4.27","0.07","","4.44","6.28","0.5","","","","","","","","","","","","","","","","0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.31","","234","3.31","","","","35.57","6.22","29.82","","","","","","188","70","88","391","35","0.56","","","","","","","3.1","","","","2.4","925","14.57","48.94","8.64","48.35","16","3.83","18","2.97","20.02","3.94","11.66","1.93","12.21","1.51","9.44","2.79","","","","","","","","0.56","4.08","","18.61","7.48","","","","","","","","","","","","","","","","","","","","","","","","","1047968",
"[20306]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PROTEROZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / SLAB MOUNTAIN","","65","65","-134","-134","SUBAERIAL","","","s JL-01 [20306]","NOT GIVEN [20306]","","","","PROTEROZOIC [20306]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20306] ","51.44","1.94","","15.3","","","","14.14","3.47","3.77","0.08","","7.26","2.06","0.52","","","","","","","","","","","","","","","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.51","","245","2.45","","","","16.58","10.55","47.33","","","","","","111","33","59","286","35","0.83","","","","","","","3.75","","","","3.9","128","26.02","78.1","11.18","51.34","13.25","3.79","14.18","2.22","13.89","2.7","7.68","1.24","7.6","0.98","4.41","2.33","","","","","","","","0.34","4.41","","21.68","4.67","","","","","","","","","","","","","","","","","","","","","","","","","1047969",
"[20306]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PROTEROZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / SLAB MOUNTAIN","","65","65","-134","-134","SUBAERIAL","","","s JL-01 [20306]","NOT GIVEN [20306]","","","","PROTEROZOIC [20306]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20306] ","52.79","1.88","","14.86","","","","13.28","3.71","3.78","0.1","","7.24","1.86","0.49","","","","","","","","","","","","","","","","0.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.18","","230","2.29","","","","12.02","4.37","52.74","","","","","","95","56","47","309","35","0.56","","","","","","","2.95","","","","2.13","147","33.15","84.38","10.37","44.15","9.7","2.64","10.24","1.53","9.71","1.95","5.77","0.92","5.74","0.79","5.08","2.59","","","","","","","","0.37","3.2","","19.79","5.18","","","","","","","","","","","","","","","","","","","","","","","","","1047970",
"[20306]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PROTEROZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / SLAB MOUNTAIN","","65","65","-134","-134","SUBAERIAL","","","s JL-01 [20306]","NOT GIVEN [20306]","","","","PROTEROZOIC [20306]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20306] ","52.4","1.96","","13.57","","","","14.82","2.96","5.15","0.1","","5.63","2.95","0.46","","","","","","","","","","","","","","","","1.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.4","","256","1.91","","","","13.59","5.9","37.88","","","","","","152","28","77","303","38","0.44","","","","","","","3.4","","","","3.42","170","25.93","86.21","12.65","61.49","16.18","3.98","16.87","2.63","16.88","3.39","9.71","1.58","10.14","1.26","4.01","2.52","","","","","","","","0.49","3.55","","18.26","3.85","","","","","","","","","","","","","","","","","","","","","","","","","1047971",
"[20306]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PROTEROZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / SLAB MOUNTAIN","","65","65","-134","-134","SUBAERIAL","","","s JL-01 [20306]","NOT GIVEN [20306]","","","","PROTEROZOIC [20306]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20306] ","52.91","1.96","","14.53","","","","15.56","2.03","3.57","0.07","","6.89","2.02","0.46","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.41","","266","4.05","","","","12.03","10.46","37.61","","","","","","99","32","50","300","36","0.54","","","","","","","3.31","","","","1.84","159","22.35","65.94","8.8","40.62","9.97","2.64","10.48","1.61","10.16","2.03","5.94","0.92","5.94","0.76","5.85","2.4","","","","","","","","0.39","2.84","","10.13","3.43","","","","","","","","","","","","","","","","","","","","","","","","","1047972",
"[20306]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PROTEROZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / SLAB MOUNTAIN","","65","65","-134","-134","SUBAERIAL","","","s JL-01 [20306]","NOT GIVEN [20306]","","","","PROTEROZOIC [20306]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20306] ","51.33","2.13","","14.06","","","","15.79","3.05","4.67","0.1","","6.14","2.29","0.43","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.07","","296","5.51","","","","16.29","5.72","43.89","","","","","","115","48","68","289","37","0.7","","","","","","","3.45","","","","2.63","154","27.47","82.45","11.59","54.73","14.04","3.53","15","2.32","14.9","2.99","8.6","1.4","8.79","1.1","4.79","2.16","","","","","","","","0.48","2.67","","14.54","4.2","","","","","","","","","","","","","","","","","","","","","","","","","1047973",
"[20306]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - PROTEROZOIC / CANADIAN CORDILLERA / YUKON TERRITORY / SLAB MOUNTAIN","","65","65","-134","-134","SUBAERIAL","","","s JL-01 [20306]","NOT GIVEN [20306]","","","","PROTEROZOIC [20306]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20306] ","54.14","1.46","","14.92","","","","15.37","2.72","1.77","0.06","","7.69","1.2","0.67","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.98","","170","3.12","","","","8.07","7.21","21.48","","","","","","44","42","57","333","58","0.66","","","","","","","3.08","","","","1.31","146","18.88","53.75","7.42","35.18","9.45","2.16","10.67","1.76","11.67","2.37","7.02","1.17","7.79","1.04","7.75","4.19","","","","","","","","0.28","3.93","","24.54","5.23","","","","","","","","","","","","","","","","","","","","","","","","","1047974",
