"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PALEOZOIC / SCOTLAND / MIDLAND VALLEY SCOTLAND","PATNA","55","55","-4","-4","SUBAERIAL","","","s 63 [20039]","LHERZOLITE, SPINEL, XENOLITH [20039]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20039] ","48.4","0.12","","3.08","","","","2.82","22.67","4.18","0.27","","0.05","0.01","0.02","","","","","","","","","","","","","","","","19.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.11","","62.8","4443","","","149.5","840","253.1","","","","","","","1.45","205.2","7.76","35.26","3.16","","0.00876","0.00147","0.00768","","","","","","","","","28","29.81","50.59","5.89","22.37","3.72","0.94","2.92","0.33","1.35","0.19","0.49","0.05","0.36","0.06","0.59","0.15","","","0.0038","0.0041","0.00955","0.00217","","","","","0.55","0.12","","","","","","","","","","","","","","","","","","","","","","","","","1014908",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PALEOZOIC / SCOTLAND / MIDLAND VALLEY SCOTLAND","PATNA","55","55","-4","-4","SUBAERIAL","","","s 64 [20039]","LHERZOLITE, SPINEL, XENOLITH [20039]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20039] ","32.93","0.12","","1.36","","","","2.31","33.17","3.67","1","","0.08","0.06","0.05","","","","","","","","","","","","","","","","25.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.01","","55.51","5238","","","217.8","1164","175","","","","","","","2.28","381.2","6.88","21.82","3.73","","0.00942","0.00139","0.00241","","","","","","","","","82","22.14","40.62","4.57","16.37","2.14","0.61","1.97","0.22","1.01","0.16","0.45","0.06","0.33","0.06","0.41","0.18","","","0.00499","0.0054","0.00701","0.00143","","","","","0.92","0.25","","","","","","","","","","","","","","","","","","","","","","","","","1014909",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PALEOZOIC / SCOTLAND / MIDLAND VALLEY SCOTLAND","PATNA","55","55","-4","-4","SUBAERIAL","","","s 62 [20039]","LHERZOLITE, SPINEL, XENOLITH [20039]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20039] ","36.97","0.07","","3.06","","","","3.46","26.14","7.02","0.61","","0.02","0.16","0.01","","","","","","","","","","","","","","","","22.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.02","","82.72","4164","","","229.7","1258","93.4","","","","","","","0.47","210.2","6.9","5.66","1.48","","0.01027","0.0018","0.00734","","","","","","","","","11","13.71","29.76","4.05","16.2","2.1","0.51","1.87","0.21","0.98","0.16","0.46","0.06","0.37","0.06","0.11","0.08","","","0.00463","0.00536","0.00999","0.00281","","","","","0.25","0.07","","","","","","","","","","","","","","","","","","","","","","","","","1014910",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PALEOZOIC / SCOTLAND / MIDLAND VALLEY SCOTLAND","HILLHOUSE","55","55","-4","-4","SUBAERIAL","","","s HHX1XNL [20039]","LHERZOLITE, SPINEL, XENOLITH [20039]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20039] ","44.84","0.13","","3.3","","","","7.32","2.97","37","0.13","","0.16","0.34","0.02","","","","","","","","","","","","","","","","2.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.01","","63.41","2640","","","94.5","1774","25.3","","","","","","","6.64","19.2","2.78","6.26","1.25","","0.0015","0.00031","0.00114","","","","","","","","","26.4","0.64","1.53","0.21","0.9","0.29","0.1","0.33","0.06","0.42","0.1","0.31","0.05","0.32","0.05","0.15","0.08","","","0.00087","0.00085","0.00149","0.00023","","","","","0.17","0.04","","","","","","","","","","","","","","","","","","","","","","","","","1014911",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PALEOZOIC / SCOTLAND / MIDLAND VALLEY SCOTLAND","HILLHOUSE","55","55","-4","-4","SUBAERIAL","","","s HHX4XNL [20039]","LHERZOLITE, SPINEL, XENOLITH [20039]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20039] ","44.54","0.18","","3.49","","","","8.44","2.73","36.13","0.15","","0.25","0.38","0.03","","","","","","","","","","","","","","","","3.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.52","","60.98","2272","","","98.4","1775","95.7","","","","","","","7.32","33.8","3.42","11.35","1.71","","0.00622","0.00128","0.00591","","","","","","","","","35.6","1.45","3.33","0.45","2","0.49","0.16","0.52","0.09","0.55","0.12","0.37","0.06","0.36","0.06","0.25","0.09","","","0.00179","0.0033","0.00759","0.00108","","","","","0.27","0.12","","","","","","","","","","","","","","","","","","","","","","","","","1014912",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PALEOZOIC / SCOTLAND / MIDLAND VALLEY SCOTLAND","HILLHOUSE","55","55","-4","-4","SUBAERIAL","","","s HHX2XNL [20039]","LHERZOLITE, SPINEL, XENOLITH [20039]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20039] ","42.58","0.15","","3.77","","","","8.09","2.02","36.52","0.14","","0.16","0.26","0.02","","","","","","","","","","","","","","","","4.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.74","","56.51","2538","","","100.2","1783","42.7","","","","","","","3.76","15.9","2.26","4.83","0.47","","0.00657","0.00117","0.0052","","","","","","","","","13.8","0.34","1.08","0.17","0.86","0.26","0.09","0.28","0.05","0.39","0.08","0.26","0.04","0.28","0.05","0.11","0.03","","","0.00296","0.00289","0.00671","0.00148","","","","","0.1","0.06","","","","","","","","","","","","","","","","","","","","","","","","","1014913",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PALEOZOIC / SCOTLAND / MIDLAND VALLEY SCOTLAND","HILLHOUSE","55","55","-4","-4","SUBAERIAL","","","s HHX3XNL [20039]","LHERZOLITE, SPINEL, XENOLITH [20039]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20039] ","46.36","0.07","","1.16","","","","6.86","0.85","40.68","0.13","","0.21","0.25","0.04","","","","","","","","","","","","","","","","2.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.88","","32.59","2870","","","94.5","2001","15.6","","","","","","","6.37","88.3","2.15","10.96","2.49","","0.00944","0.00147","0.00167","","","","","","","","","61.3","5.91","11.15","1.34","4.82","0.85","0.23","0.64","0.08","0.42","0.08","0.21","0.03","0.17","0.02","0.19","0.15","","","0.00519","0.00477","0.00529","0.00127","","","","","0.59","0.15","","","","","","","","","","","","","","","","","","","","","","","","","1014914",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PALEOZOIC / SCOTLAND / MIDLAND VALLEY SCOTLAND","HILLHOUSE","55","55","-4","-4","SUBAERIAL","","","s HHX4DYKE [20039]","DOLERITE, OLIVINE [20039]","","","","PROTEROZOIC [20039]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20039] ","45.1","1.87","","14.6","","","","10.95","10.37","11.3","0.2","","1.01","2.57","0.31","","","","","","","","","","","","","","","","1.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.71","","235.44","484","","","55.1","2644","182","","","","","","","28.75","438.7","20.91","102.83","28","","0.00021","0.00006","0.0004","","","","","","","","","460.1","18.46","38.86","5.07","21.33","4.52","1.51","4.58","0.72","3.72","0.69","1.91","0.28","1.73","0.26","2.54","1.52","","","0.00004","0.00004","0.00075","0.00016","","","","","2.57","0.7","","","","","","","","","","","","","","","","","","","","","","","","","1014916",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PALEOZOIC / SCOTLAND / MIDLAND VALLEY SCOTLAND","HILLHOUSE","55","55","-4","-4","SUBAERIAL","","","s HHX1DYKE [20039]","DOLERITE, OLIVINE [20039]","","","","PROTEROZOIC [20039]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20039] ","45.19","1.7","","14.97","","","","9.99","10.83","11.42","0.2","","1.11","2.68","0.36","","","","","","","","","","","","","","","","1.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.11","","235.1","469","","","53.9","258","68.8","","","","","","","31.01","449.7","21.37","120.45","29.74","","0.00017","0.0001","0.00064","","","","","","","","","440.6","19.2","39.82","5.27","21.58","4.65","1.49","4.64","0.7","3.68","0.72","2.01","0.28","1.72","0.27","3.01","1.53","","","0.00012","0.00008","0.00208","0.0006","","","","","2.23","0.74","","","","","","","","","","","","","","","","","","","","","","","","","1014917",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PALEOZOIC / SCOTLAND / MIDLAND VALLEY SCOTLAND","PATNA","55","55","-4","-4","SUBAERIAL","","","s P1 [20039]","NOT GIVEN [20039]","","","","PROTEROZOIC [20039]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20039] ","52.85","1.19","","11.01","","","","7.59","5.74","8.75","0.14","","1.53","1.57","0.39","","","","","","","","","","","","","","","","8.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.42","","131.32","944","","","35.6","2766","49.2","","","","","","","38.83","283.8","21.37","206.14","39.65","","0.00058","0.00017","0.00065","","","","","","","","","560.5","33.3","63.79","7.82","28.81","5.36","1.51","4.99","0.74","3.67","0.69","1.9","0.27","1.72","0.27","5.05","1.97","","","0.00027","0.00025","0.00104","0.00051","","","","","5.96","1.51","","","","","","","","","","","","","","","","","","","","","","","","","1014919",
