"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PROTEROZOIC / SCOTLAND / HEBRIDEAN TERRANE","LOCH ROAG","58.23","58.23","-6.8","-6.8","SUBAERIAL","","","s LR81 [20039]","LHERZOLITE, SPINEL, XENOLITH [20039]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20039] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.47","","60.14","2910","","","107.4","1756","98.3","","","","","","","5.53","255.6","6.93","4.56","0.37","","0.00579","0.00135","0.00635","","","","","","","","","47.8","100.23","216.44","15.96","40.74","4.36","0.75","3.59","0.33","1.39","0.22","0.64","0.09","0.54","0.08","0.14","0.02","","","0.00275","0.00308","0.01252","0.00228","","","","","2.71","0.73","","","","","","","","","","","","","","","","","","","","","","","","","1014897",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PROTEROZOIC / SCOTLAND / HEBRIDEAN TERRANE","LOCH ROAG","58.23","58.23","-6.8","-6.8","SUBAERIAL","","","s LR101335 [20039]","LHERZOLITE, SPINEL, XENOLITH [20039]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20039] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.22","","36.56","2599","","","130","2404","69.7","","","","","","","1.19","93.6","9.67","16.41","3.42","","0.00577","0.00154","0.005","","","","","","","","","25.8","54.65","135.63","12.26","35.78","4.72","0.93","3.78","0.41","2","0.32","0.89","0.13","0.78","0.11","0.42","0.19","","","0.00329","0.00348","0.01169","0.002","","","","","0.89","0.24","","","","","","","","","","","","","","","","","","","","","","","","","1014898",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PROTEROZOIC / SCOTLAND / HEBRIDEAN TERRANE","LOCH ROAG","58.23","58.23","-6.8","-6.8","SUBAERIAL","","","s LR289 [20039]","LHERZOLITE, SPINEL, XENOLITH [20039]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20039] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.65","","48.21","3001","","","132.6","2022","97","","","","","","","2.73","250.5","9.42","6.53","0.98","","0.00641","0.00168","0.0047","","","","","","","","","37.6","87.14","213.27","20.02","53.41","6.47","1.12","4.8","0.47","2.11","0.34","0.97","0.14","0.87","0.13","0.17","0.06","","","0.00363","0.00364","0.01107","0.0033","","","","","2.81","1.02","","","","","","","","","","","","","","","","","","","","","","","","","1014899",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PROTEROZOIC / SCOTLAND / HEBRIDEAN TERRANE","LOCH ROAG","58.23","58.23","-6.8","-6.8","SUBAERIAL","","","s LR80 [20039]","LHERZOLITE, SPINEL, XENOLITH [20039]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20039] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.04","","47.35","2456","","","103.1","2144","182.2","","","","","","","2.27","28.2","4.36","5.7","1.12","","0.00603","0.00147","0.01148","","","","","","","","","13.2","18.91","21.13","2.74","7.89","0.93","0.22","0.82","0.1","0.58","0.11","0.32","0.05","0.32","0.05","0.14","0.07","","","0.00345","0.0036","0.01688","0.00196","","","","","1.26","0.33","","","","","","","","","","","","","","","","","","","","","","","","","1014900",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PROTEROZOIC / SCOTLAND / NORTHERN HIGHLAND","RINIBAR","58.77","58.77","-2.97","-2.97","SUBAERIAL","","","s E19 [20039]","LHERZOLITE, SPINEL, XENOLITH [20039]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20039] ","42.34","0.07","","1.46","","","","7.07","2.3","32.9","0.11","","0.07","0.21","0.07","","","","","","","","","","","","","","","","11.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","44.3","2212","","","98.9","2040","66.8","","","","","","","2.76","148.1","2.24","4.85","3.16","","0.00602","0.00103","0.00481","","","","","","","","","63.9","10.45","17.57","2","6.9","1.06","0.27","0.82","0.09","0.41","0.08","0.24","0.04","0.19","0.03","0.09","0.17","","","0.00192","0.00304","0.00659","0.00211","","","","","0.82","0.22","","","","","","","","","","","","","","","","","","","","","","","","","1014901",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PROTEROZOIC / SCOTLAND / NORTHERN HIGHLAND","RINIBAR","58.77","58.77","-2.97","-2.97","SUBAERIAL","","","s G8R2XNL [20039]","LHERZOLITE, SPINEL, XENOLITH [20039]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20039] ","42.03","0.16","","2.37","","","","7.73","3.81","34.01","0.15","","0.07","0.28","0.02","","","","","","","","","","","","","","","","7.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.24","","55.04","2454","","","90.7","1663","26.9","","","","","","","2.63","209.1","3.47","30.96","5.7","","0.00589","0.00086","0.00355","","","","","","","","","78.1","10.09","15.73","1.68","5.87","1.02","0.32","0.95","0.13","0.65","0.12","0.34","0.05","0.31","0.06","0.77","0.34","","","0.00307","0.00299","0.00523","0.00064","","","","","1.37","0.41","","","","","","","","","","","","","","","","","","","","","","","","","1014902",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PROTEROZOIC / SCOTLAND / NORTHERN HIGHLAND","STREAP COM^LAIDH","57","57","-5","-5","SUBAERIAL","","","s 2 [20039]","LHERZOLITE, SPINEL, XENOLITH [20039]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20039] ","45.77","0.14","","3.16","","","","8.2","2.77","36.82","0.12","","0.03","0.26","0.01","","","","","","","","","","","","","","","","1.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.74","","56.54","2274","","","87.8","2038","41.4","","","","","","","0.96","26.1","3.22","5.35","1.83","","0.00573","0.001","0.00398","","","","","","","","","8.3","0.5","1.07","0.16","0.84","0.27","0.11","0.32","0.07","0.48","0.1","0.31","0.05","0.33","0.06","0.09","0.1","","","0.00294","0.00299","0.0074","0.00195","","","","","0.27","0.06","","","","","","","","","","","","","","","","","","","","","","","","","1014903",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PROTEROZOIC / SCOTLAND / NORTHERN HIGHLAND","STREAP COM^LAIDH","57","57","-5","-5","SUBAERIAL","","","s 5 [20039]","LHERZOLITE, SPINEL, XENOLITH [20039]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20039] ","47.56","0.15","","3.37","","","","8.06","3.46","34.44","0.12","","0.01","0.29","0.02","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.48","","69.38","3167","","","98.6","1882","136.6","","","","","","","0.85","45.8","3.67","6.58","1.43","","0.00641","0.00116","0.00616","","","","","","","","","2.7","1.06","2.32","0.31","1.38","0.39","0.13","0.39","0.07","0.55","0.11","0.34","0.05","0.34","0.06","0.17","0.08","","","0.00276","0.00332","0.00804","0.00257","","","","","0.29","0.07","","","","","","","","","","","","","","","","","","","","","","","","","1014904",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PROTEROZOIC / SCOTLAND / NORTHERN HIGHLAND","STREAP COM^LAIDH","57","57","-5","-5","SUBAERIAL","","","s 4B [20039]","LHERZOLITE, SPINEL, XENOLITH [20039]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20039] ","46.85","0.12","","3.42","","","","8.77","2.75","35.59","0.13","","0.06","0.26","0.01","","","","","","","","","","","","","","","","2.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.11","","59.91","2399","","","95.3","2227","74","","","","","","","2.09","37.5","2.95","3.38","1.9","","0.00161","0.00031","0.00138","","","","","","","","","14.6","1.26","2.24","0.28","1.16","0.29","0.11","0.31","0.06","0.44","0.09","0.28","0.05","0.3","0.05","0.08","0.11","","","0.00043","0.00055","0.00139","0.00148","","","","","0.41","0.09","","","","","","","","","","","","","","","","","","","","","","","","","1014905",
"[20039]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON_PROTEROZOIC / SCOTLAND / NORTHERN HIGHLAND","STREAP COM^LAIDH","57","57","-5","-5","SUBAERIAL","","","s 4A [20039]","LHERZOLITE, SPINEL, XENOLITH [20039]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [20039] ","43.96","0.12","","3.11","","","","8.85","2.71","37.12","0.13","","0.04","0.21","0.02","","","","","","","","","","","","","","","","2.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.38","","57.88","2656","","","100.4","2380","57.8","","","","","","","1.36","101.5","3.01","5.12","2.18","","0.00654","0.00196","0.00646","","","","","","","","","9.4","1.31","2.41","0.3","1.29","0.33","0.11","0.35","0.06","0.46","0.09","0.28","0.04","0.28","0.05","0.11","0.11","","","0.00289","0.00483","0.00823","0.01447","","","","","0.4","0.09","","","","","","","","","","","","","","","","","","","","","","","","","1014906",
