"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[7522]","CONTINENTAL FLOOD BASALT","NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO DOLERITE / ZIG-ZAG DAL BASALTS","","81","81","-26","-26","SUBAERIAL","","","s 273405 [7522]","BASALT [7522]","","","MESO [7522]","PROTEROZOIC [7522]","","","","BASAL SERIES [7522] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [7522] ","49.78","0.82","","14.49","","","","9.2","6.25","10.19","0.16","","0.71","2.62","0.13","","","","","","","","","","","","","","","","4.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.9","","240.5","339.1","","","","85.8","92.1","75","","","","","","13.7","208.1","15.4","76.9","6.5","","","","","","","","","","","","","230.8","10.3","22.4","2.7","11.78","2.58","1","2.7","","2.7","0.6","1.6","","1.5","0.5749","5.645","","","","","","","","","","3.7","","1.2","","0.511899","","","","","","","","","","","","","","","","","0.282154","","","","","","","198329",
"[7522]","CONTINENTAL FLOOD BASALT","NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO DOLERITE / ZIG-ZAG DAL BASALTS","","81","81","-26","-26","SUBAERIAL","","","s 273439 [7522]","BASALT [7522]","","","MESO [7522]","PROTEROZOIC [7522]","","","","APHYRIC [7522] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [7522] ","50.39","0.99","","14.28","","","","10.07","9.91","7.41","0.17","","0.67","2.78","0.12","","","","","","","","","","","","","","","","2.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.7","","290.9","223.8","","","","112","55.2","78.5","","","","","","17.5","253","19.7","83.3","4.9","","","","","","","","","","","","","219.5","10.8","24","2.8","14.1","3.1","1.1","3.3","","3.5","0.7","2.2","","2","0.3","","","","","","","","","","","3.3","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","198339",
"[7522]","CONTINENTAL FLOOD BASALT","NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO DOLERITE / ZIG-ZAG DAL BASALTS","","81","81","-26","-26","SUBAERIAL","","","s 273451 [7522]","BASALT [7522]","","","MESO [7522]","PROTEROZOIC [7522]","","","","PORPHYRITIC [7522] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [7522] ","47.6","1","","13.47","","","","11.2","11.11","6.63","0.19","","0.1","1.97","0.1","","","","","","","","","","","","","","","","4.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.6","","366.2","244.7","","","","97.5","157.7","91.1","","","","","","0.7","176.6","24.3","73.6","3.5","","","","","","","","","","","","","91.5","7.5","18.4","2.2","10.3","2.85","1.1","3.6","","4","0.9","2.6","","2.4","0.3363","1.953","","","","","","","","","","0.8","","0.6","","0.512341","","","","","","","","","","","","","","","","","0.28263","","","","","","","198343",
"[7522]","CONTINENTAL FLOOD BASALT","NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO DOLERITE","","80","83","-24","-28","SUBAERIAL","","","s 335774 [7522]","DOLERITE [7522]","","","MESO [7522]","PROTEROZOIC [7522]","","","","PORPHYRITIC [7522] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [7522] ","47.57","2.07","","13.84","","","","13.26","9.95","5.87","0.22","","1.17","2.23","0.26","","","","","","","","","","","","","","","","1.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.7","","416.2","158.4","","","","90.6","177.1","125","","","","","","30.8","271.5","33.5","158.4","14.7","","","","","","","","","","","","","436.4","19.5","44.6","5.6","24.89","5.69","1.8","6.1","","6","1.2","3.3","","3.1","0.4674","3.879","","","","","","","","","","2.9","","2.9","","0.512154","","","","","","","","","","","","","","","","","0.282408","","","","","","","198349",
"[7522]","CONTINENTAL FLOOD BASALT","NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO DOLERITE","","80","83","-24","-28","SUBAERIAL","","","s 273251 [7522]","DOLERITE [7522]","","","MESO [7522]","PROTEROZOIC [7522]","","","","PORPHYRITIC [7522] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [7522] ","49.62","2.38","","11.06","","","","18.29","8.52","3.67","0.29","","0.55","2.51","0.23","","","","","","","","","","","","","","","","0.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.8","","467.1","5.9","","","","11.8","226.9","166.6","","","","","","12.4","169.8","51.1","157","7.9","","","","","","","","","","","","","214","14.7","34.7","4.5","21.81","6.09","2.1","7.6","","8.5","1.8","4.9","","4.7","0.7124","4.444","","","","","","","","","","3.9","","1.9","","0.512411","","","","","","","","","","","","","","","","","0.282573","","","","","","","198350",
"[7522]","CONTINENTAL FLOOD BASALT","NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO DOLERITE","","80","83","-24","-28","SUBAERIAL","","","s 273493 [7522]","DOLERITE [7522]","","","MESO [7522]","PROTEROZOIC [7522]","","","","PORPHYRITIC [7522] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [7522] ","60.59","0.57","","12.95","","","","6.42","5.27","4.57","0.11","","2.62","3.61","0.09","","","","","","","","","","","","","","","","2.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.9","","86.5","62.4","","","","62.4","32.4","13.7","","","","","","67.2","148.8","17.8","103.3","6.8","","","","","","","","","","","","","152","","","","14.78","3.06","","","","","","","","","0.2922","2.825","","","","","","","","","","4","","3.6","","0.511724","","","","","","","","","","","","","","","","","0.282069","","","","","","","198351",
"[7522]","CONTINENTAL FLOOD BASALT","NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO DOLERITE","","80","83","-24","-28","SUBAERIAL","","","s 335774 [7522]","DOLERITE [7522]","","","MESO [7522]","PROTEROZOIC [7522]","","","","PORPHYRITIC [7522] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [7522] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4691","3.883","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.282458","","","","","","","198352",
"[9397]","CONTINENTAL FLOOD BASALT","NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO SILL","190-M THICK HORIZONTAL SHEET, KAP EJNAR MIKKELSEN 1","81.9217","81.9217","-31.86","-31.86","SUBAERIAL","","","s 273241 [9397]","DOLERITE [9397]","1380000000 [9397]","1380000000 [9397]","MESO [9397]","PROTEROZOIC [9397]","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [9397] ","49.57","1.17","","14.15","","3.99","8.81","","10.06","8.17","0.24","","0.38","1.92","0.1","","","","","","","","","","","","","","","","1.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","349","102","","","","161","177","92","18.1","","","","","8","151","24","79","3.8","","","","","","","","","","","","0.31","132","6.79","15.6","2.34","10.2","2.83","1.05","3.68","0.64","4.03","0.88","2.41","0.38","2.38","0.37","2.08","","","","","","","","","","1.44","","0.68","0.18","0.512391","","","0.705962","","17.695","","15.436","","37.647","","","","","","","","","","","","","","","256741",
"[9397]","CONTINENTAL FLOOD BASALT","NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO SILL","190-M THICK HORIZONTAL SHEET, KAP EJNAR MIKKELSEN 1","81.9217","81.9217","-31.86","-31.86","SUBAERIAL","","","s 273247 [9397]","DOLERITE [9397]","1380000000 [9397]","1380000000 [9397]","MESO [9397]","PROTEROZOIC [9397]","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [9397] ","51.18","1.2","","14.28","","3.12","9.53","","10.4","6.09","0.24","","0.27","2.3","0.11","","","","","","","","","","","","","","","","1.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","349","24","","","","58","182","92","19.3","","","","","4.9","177","26","86","3.82","","","","","","","","","","","","0.07","116","7.29","16.6","2.45","11.1","3.13","1.13","3.96","0.68","4.34","0.94","2.55","0.42","2.48","0.41","2.26","","","","","","","","","","1.43","","0.73","0.17","0.512377","","","0.7051","","17.717","","15.412","","37.901","","","","","","","","","","","","","","","256742",
"[9397]","CONTINENTAL FLOOD BASALT","NORTH GREENLAND  PROTEROZOIC / MIDSOMMERSO SILL","SUBHORIZONTAL 180-M THICK SHEET, INDEPENDENCE FJORD","81.915","81.915","-32.0883","-32.0883","SUBAERIAL","","","s 273228 [9397]","DOLERITE [9397]","1380000000 [9397]","1380000000 [9397]","MESO [9397]","PROTEROZOIC [9397]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9397] ","53.24","1.06","","14.18","","3.16","7.27","","8.55","5.36","0.2","","1.75","2.24","0.16","","","","","","","","","","","","","","","","2.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","273","26","","","","43","104","82","17.1","","","","","42","222","31","157","13.2","","","","","","","","","","","","0.21","333","23.6","48.6","6.39","23.3","4.82","1.31","5.77","0.88","5.25","1.11","3.2","0.5","3.19","0.48","3.85","","","","","","","","","","7.4","","3.66","0.99","0.511811","","","0.714996","","17.958","","15.474","","37.858","","","","","","","","","","","","","","","256743",
