"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20439]","COMPLEX VOLCANIC SETTINGS","NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, LINARES, CERRO PRIETO","24.86","24.86","-99.56","-99.56","SUBAERIAL","","","s 1PRB1 [20439]","RHYOLITE [20439]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20439] ","49.57","0.17","","12.65","","","","1.15","15.56","0.43","0.065","","1.38","5.24","0.05","","","","","12.4","","","","","","","","","","","13.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","10","","","","","","","","","","","","","","1018","33","198","","","","","","","","","","","","","","800","24","41","","10","3.4","0.5","","","","","","","3.1","0.56","5","","","","","","","","","","","","7.3","2","","","","","","","","","","","","","","","","","","","","","","","","","1069530",
"[20439]","COMPLEX VOLCANIC SETTINGS","NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, LINARES, CERRO PRIETO","24.86","24.86","-99.56","-99.56","SUBAERIAL","","","s 1PRB2 [20439]","RHYOLITE [20439]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20439] ","72.97","0.31","","12.04","","","","0.54","3.35","0.13","0.021","","0.13","6.27","0.09","","","","","2.5","","","","","","","","","","","3.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","7","","","2","","","","","","","","","","378","23","253","","","","","","","","","","","","","","82","19.9","40","","18","2.9","0.5","","","","","","","2.5","0.41","4","1.8","","","","","","","","","","","7.9","2.4","","","","","","","","","","","","","","","","","","","","","","","","","1069531",
"[20439]","COMPLEX VOLCANIC SETTINGS","NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, LINARES, CERRO PRIETO","24.86","24.86","-99.56","-99.56","SUBAERIAL","","","s 2PRB2 [20439]","RHYOLITE [20439]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20439] ","49.5","0.43","","12.71","","","","0.51","16.26","0.22","0.034","","0.95","5.66","0.11","","","","","12.8","","","","","","","","","","","13.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","21","","","","2","","","","","","","","","80","995","28","253","","","","","","","","","","","","","4","456","19","36","","10","2.4","0.7","","","","","","","2.3","0.4","4","","","","","","","","","","","","4.4","7.1","","","","","","","","","","","","","","","","","","","","","","","","","1069532",
"[20439]","COMPLEX VOLCANIC SETTINGS","NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, LINARES, CERRO PRIETO","24.86","24.86","-99.56","-99.56","SUBAERIAL","","","s 3PRB1 [20439]","RHYOLITE [20439]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20439] ","51.28","0.31","","12.5","","","","0.56","15.7","0.25","0.033","","0.85","6.13","0.13","","","","","12.1","","","","","","","","","","","12.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","15","","","","","","","","","","","","","","1141","24","243","","","","","","","","","","","","","","","18.2","32","","16","2.9","0.7","","","","","","","1.8","0.31","6","","","","","","","","","","","","6","2.4","","","","","","","","","","","","","","","","","","","","","","","","","1069533",
"[20439]","COMPLEX VOLCANIC SETTINGS","NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, LINARES, RANCHO VIEJO","24.99","24.99","-99.8","-99.8","SUBAERIAL","","","s RV1 [20439]","RHYOLITE [20439]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20439] ","60.97","0.085","","14.28","","","","0.7","8","0.34","0.026","","1.78","6.3","0.03","","","","","6.3","","","","","","","","","","","6.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","8","","","","","41","718","15.6","165","9.3","","","","","","","","","","","","1","1201","20.9","37.2","4.19","14.5","3.08","0.274","2.63","0.46","2.87","0.57","1.7","0.265","1.72","0.255","4.8","1.13","","","","","","","","","32","","16.4","3.41","","","","","","","","","","","","","","","","","","","","","","","","","1069534",
"[20439]","COMPLEX VOLCANIC SETTINGS","NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, LINARES, RANCHO VIEJO","24.99","24.99","-99.8","-99.8","SUBAERIAL","","","s RV2 [20439]","RHYODACITE [20439]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20439] ","64.86","0.373","","14.1","","","","1.6","4.51","0.58","0.023","","0.82","6.83","0.11","","","","","3.32","","","","","","","","","","","4.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","30","","","","","","","","10","","","","","27","317","30.3","204","11","","","","","","","","","","","","0.4","234","22.3","50.5","6.74","26.3","5.92","0.793","5.41","0.93","5.54","1.13","3.4","0.545","3.62","0.539","5.4","0.86","","","","","","","","","19","","10.6","3.13","","","","","","","","","","","","","","","","","","","","","","","","","1069535",
"[20439]","COMPLEX VOLCANIC SETTINGS","NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, LINARES, RANCHO VIEJO","24.99","24.99","-99.8","-99.8","SUBAERIAL","","","s RV3 [20439]","RHYOLITE [20439]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20439] ","72.49","0.084","","9.44","","","","0.42","6.31","0.13","0.017","","0.07","5.32","0.02","","","","","4.83","","","","","","","","","","","5.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","6","","","","","","208","13.7","90","7","","","","","","","","","","","","","60","35.2","57.3","6.02","20.1","3.35","0.285","2.66","0.42","2.53","0.51","1.48","0.217","1.4","0.217","2.8","0.82","","","","","","","","","20","","12.2","3.9","","","","","","","","","","","","","","","","","","","","","","","","","1069536",
"[20439]","COMPLEX VOLCANIC SETTINGS","NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, LINARES, RANCHO VIEJO","24.99","24.99","-99.8","-99.8","SUBAERIAL","","","s RV4 [20439]","RHYOLITE [20439]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20439] ","45.85","0.111","","12.62","","","","0.94","18.63","0.34","0.49","","0.68","6.31","0.03","","","","","14.5","","","","","","","","","","","15.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","7","","","","","19","861","13","131","11.9","","","","","","","","","","","","0.6","307","33","56.3","5.95","19.7","3.31","0.602","2.46","0.4","2.39","0.47","1.4","0.205","1.27","0.189","3.7","0.91","","","","","","","","","15","","11.6","3.23","","","","","","","","","","","","","","","","","","","","","","","","","1069537",
"[20439]","COMPLEX VOLCANIC SETTINGS","NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, LINARES, RANCHO VIEJO","24.99","24.99","-99.8","-99.8","SUBAERIAL","","","s RV5 [20439]","TRACHYANDESITE [20439]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20439] ","51.26","0.179","","12.26","","","","0.71","14.93","0.25","0.035","","0.72","6.34","0.04","","","","","11.7","","","","","","","","","","","12.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","9","","","","","","","","6","","","","","14","732","9.7","111","8","","","","","","","","","","","","0.6","514","23.8","42.4","4.42","14.3","2.38","0.433","1.85","0.3","1.73","0.33","1.01","0.165","1.08","0.161","3.1","0.95","","","","","","","","","17","","13.6","3.57","","","","","","","","","","","","","","","","","","","","","","","","","1069538",
"[20439]","COMPLEX VOLCANIC SETTINGS","NUEVO LEON / SAN FELIPE FORMATION","SIERRA MADRE ORIENTAL, CORDILLERA MEXICO, NUEVO LEON, LINARES, RANCHO VIEJO","24.99","24.99","-99.8","-99.8","SUBAERIAL","","","s RV6 [20439]","RHYOLITE [20439]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20439] ","64.24","0.115","","14.53","","","","0.46","6.09","0.27","0.012","","0.8","7.44","0.03","","","","","4.68","","","","","","","","","","","5.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","6","","","","","25","584","12.5","132","12.5","","","","","","","","","","","","0.7","409","18.2","35.8","4.07","14.1","2.56","0.285","2.09","0.37","2.44","0.51","1.5","0.225","1.5","0.229","4.2","1.05","","","","","","","","","20","","13.4","3.72","","","","","","","","","","","","","","","","","","","","","","","","","1069539",
