"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20393]","CONVERGENT MARGIN","OKHOTSK-CHUKOTKA ARC / OKHOTSK ARC - CENOZOIC / OKHOTSK SWELL","","55","55","149","149","SUBAQUATIC","","","s 3116-24 [20393]","ANDESITE [20393]","","","","CRETACEOUS [20393]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20393] ","63.66","0.67","","15.9","","2.86","3.32","","5.27","2.19","0.33","","1.29","2.25","0.17","","","0.05","","","","","","","","","","","","","1.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6376.15","99.31","7.58","","","11.29","4.46","","","","","","","","25.59","264.96","12.52","27.93","2.29","","","","","","","","","","","","","306.59","9.91","21.96","2.59","10.99","2.42","0.79","2.87","0.39","2.35","0.46","1.35","0.19","1.27","0.18","0.75","0.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1058836",
"[20393]","CONVERGENT MARGIN","OKHOTSK-CHUKOTKA ARC / OKHOTSK ARC - CENOZOIC / OKHOTSK SWELL","","55","55","149","149","SUBAQUATIC","","","s 3133-3 [20393]","ANDESITE, BASALTIC [20393]","","","","EOCENE [20393]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20393] ","55.3","0.92","","16.75","","3.42","3.66","","7.69","5.25","0.13","","1.5","3.88","0.26","","","","","","","","","","","","","","","","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7552.9","172.25","109.08","","","23.45","67.28","","","","","","","","18.22","677.05","14.62","101.64","3.84","","","","","","","","","","","","","317.4","13.68","32.78","4.35","19.85","4.19","1.22","4.4","0.49","2.98","0.5","1.51","0.13","1.27","0.12","2.52","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1058847",
"[20393]","CONVERGENT MARGIN","OKHOTSK-CHUKOTKA ARC / OKHOTSK ARC - CENOZOIC / KASHEVAROV BANK","","55","55","145","145","SUBAQUATIC","","","s 3120-56 [20393]","RHYOLITE [20393]","","","","EOCENE [20393]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20393] ","75.17","0.07","","13.1","","0.09","0.7","","1.07","0.48","0","","3.04","3.8","0.05","","","","","","","","","","","","","","","","2.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1019.22","6.12","5.28","","","1.03","1.46","","","","","","","","116.19","64.49","24.42","49.07","4.47","","","","","","","","","","","","","501.21","18.57","40","4.57","17.65","3.82","1.26","4.5","0.66","4.15","0.85","2.55","0.37","2.52","0.38","2.09","0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1058850",
"[20393]","CONVERGENT MARGIN","OKHOTSK-CHUKOTKA ARC / OKHOTSK ARC - CENOZOIC / KASHEVAROV BANK","","55","55","145","145","SUBAQUATIC","","","s 3118-19 [20393]","ANDESITE [20393]","","","","EOCENE [20393]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20393] ","62.22","0.56","","16.56","","2.51","2.43","","5.26","3.73","0.08","","1.67","4","0.22","","","","","","","","","","","","","","","","1.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5447.63","90.27","75.69","","","13.14","44.61","","","","","","","","23.08","460.77","9.45","105.95","3.84","","","","","","","","","","","","","453.63","14.04","28.63","3.34","13.57","2.54","0.74","2.71","0.33","1.84","0.34","1","0.12","0.96","0.12","2.48","0.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1058851",
"[20393]","CONVERGENT MARGIN","OKHOTSK-CHUKOTKA ARC / OKHOTSK ARC - CENOZOIC / OKHOTSK SWELL","","55","55","149","149","SUBAQUATIC","","","s 3114-6 [20393]","BASALT [20393]","","","","CRETACEOUS [20393]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20393] ","51.92","1.47","","16.1","","4.23","4.82","","7.63","6.76","0.16","","0.9","3.71","0.42","","","0.05","","","","","","","","","","","","","1.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12924.1","156.29","145.68","","","26.88","81.91","","","","","","","","8.66","488.86","19.21","54.46","6.75","","","","","","","","","","","","","187.9","11.61","27.52","3.6","16.47","3.67","1.24","4.47","0.61","3.7","0.73","2.08","0.28","1.86","0.27","1.23","0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1058856",
"[20393]","CONVERGENT MARGIN","OKHOTSK-CHUKOTKA ARC / OKHOTSK ARC - CENOZOIC / AKADEMII NAUK RISE","","50","50","150","150","SUBAQUATIC","","","s 2122-5 [20393]","ANDESITE, BASALTIC [20393]","","","","CRETACEOUS [20393]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20393] ","54.02","0.79","","16.82","","6.02","1.65","","9.04","4","0.08","","1.15","3.63","0.24","","","0.88","","","","","","","","","","","","","2.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8444.17","186.4","71.55","","","19.76","36.34","","","","","","","","4.17","273.29","10.37","58.48","1.81","","","","","","","","","","","","","114.59","6.87","16.46","2.2","10.32","2.32","0.73","2.69","0.35","2","0.38","1.08","0.13","0.93","0.13","1.61","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1058857",
"[20393]","CONVERGENT MARGIN","OKHOTSK-CHUKOTKA ARC / OKHOTSK ARC - CENOZOIC / OKHOTSK SWELL","","55","55","149","149","SUBAQUATIC","","","s 3129-24 [20393]","ANDESITE, BASALTIC [20393]","","","","CRETACEOUS [20393]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20393] ","55.36","0.63","","18.39","","2.25","4.57","","6.54","4.88","0.14","","0.72","3.88","0.13","","","0.39","","","","","","","","","","","","","2.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4961.28","130.33","46.28","","","19.02","31.61","","","","","","","","3.96","521.05","9.04","18.33","0.71","","","","","","","","","","","","","127.79","3.19","8.86","1.24","6.44","1.62","0.52","1.96","0.22","1.78","0.29","0.92","0.06","0.77","0.04","0.7","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1058858",
"[20393]","CONVERGENT MARGIN","OKHOTSK-CHUKOTKA ARC / OKHOTSK ARC - CENOZOIC / OKHOTSK SWELL","","55","55","149","149","SUBAQUATIC","","","s 3129-6 [20393]","ANDESITE [20393]","","","","CRETACEOUS [20393]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20393] ","61.36","0.55","","16.23","","3.49","2.57","","4.81","2.25","0.15","","1.83","3.88","0.13","","","2.4","","","","","","","","","","","","","2.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3651.49","78.67","20.41","","","11.5","8.35","","","","","","","","39.53","209.92","15.35","44.07","4","","","","","","","","","","","","","313.18","13.06","29","3.45","14.3","3.02","0.77","3.54","0.43","2.99","0.53","1.68","0.18","1.64","0.19","1.39","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1058859",
"[20393]","CONVERGENT MARGIN","OKHOTSK-CHUKOTKA ARC / OKHOTSK ARC - CENOZOIC / AKADEMII NAUK RISE","","50","50","150","150","SUBAQUATIC","","","s 3105-9 [20393]","ANDESITE [20393]","","","","CRETACEOUS [20393]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20393] ","58.7","0.7","","18.93","","3.43","1.3","","3.77","1.55","0.08","","2.17","4.86","0.29","","","0.33","","","","","","","","","","","","","3.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6868.76","105.05","11.55","","","7.02","6.89","","","","","","","","49.06","676.25","13.01","67.25","4.85","","","","","","","","","","","","","557.02","20.08","43.89","5.14","21.08","4.13","1.08","4.35","0.52","2.83","0.5","1.38","0.17","1.18","0.16","2.07","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1058860",
"[20393]","CONVERGENT MARGIN","OKHOTSK-CHUKOTKA ARC / OKHOTSK ARC - CENOZOIC / KASHEVAROV BANK","","55","55","145","145","SUBAQUATIC","","","s 3118-11 [20393]","ANDESITE [20393]","","","","CRETACEOUS [20393]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20393] ","65.04","0.35","","15.85","","2.25","0.4","","3.2","0.5","0.042","","4.5","3.29","0.17","","","0.05","","","","","","","","","","","","","4.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1632.35","36.76","9.19","","","3.11","3.82","","","","","","","","94","457.26","4.94","58.1","1.01","","","","","","","","","","","","","541.71","9.97","19.95","2.19","8.7","1.58","0.45","1.59","0.17","0.98","0.17","0.5","0.05","0.45","0.05","1.4","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1058861",
