"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[7695]","RIFT VOLCANICS","OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION","","23.5","23.5","57.9","57.9","SUBAERIAL","","","s OM07 [7695]","BASALT [7695]","","","MIDDLE [7695]","PERMIAN [7695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7695] ","47.7","0.82","","15.05","","","","8.46","11.2","8.05","0.15","","0.27","3.05","0.08","","","","","","","","","","","","","","","","3.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","5347","255","328","","","43.209","106","","","","","","","","4.29","182.18","23.21","45.1","1.15","","","","","","","","","","","","0.13","34.23","1.5","4.67","0.84","4.68","1.78","0.7","2.78","0.51","3.49","0.79","2.28","","2.2","0.34","1.25","0.08","","","","","","","","","0.31","","0.09","0.06","0.513085","","","0.705847","","18.547","","15.498","","37.907","","","","","","","","","","","","","","","293667",
"[7695]","RIFT VOLCANICS","OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION","","23.5","23.5","57.9","57.9","SUBAERIAL","","","s OM123 [7695]","BASALT [7695]","","","MIDDLE [7695]","PERMIAN [7695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7695] ","46.9","0.76","","15.3","","","","8.13","13.05","7.75","0.14","","0.06","2.78","0.08","","","","","","","","","","","","","","","","4.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","4951","237","450","","","42.156","210","","","","","","","","0.84","126.2","18.5","46.49","2.15","","","","","","","","","","","","0.16","23.91","2.07","5.74","0.934","4.84","1.71","0.68","2.4","0.44","2.94","0.67","1.95","","1.82","0.29","1.24","0.13","","","","","","","","","0.53","","0.18","0.04","0.512975","","","0.705753","","18.083","","15.492","","38.017","","","","","","","","","","","","","","","293668",
"[7695]","RIFT VOLCANICS","OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION","","23.5","23.5","57.9","57.9","SUBAERIAL","","","s OM237 [7695]","BASALT [7695]","","","MIDDLE [7695]","PERMIAN [7695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7695] ","47.5","0.74","","16.4","","","","8.16","10.05","7.85","0.14","","0.72","2.86","0.07","","","","","","","","","","","","","","","","4.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","4846","230","415","","","34.69","132","","","","","","","","10.29","125.11","18.3","38.91","0.71","","","","","","","","","","","","0.45","37.1","1.11","3.67","0.68","3.81","1.45","0.6","2.26","0.42","2.9","0.64","1.9","","1.83","0.29","1.15","0.051","","","","","","","","","0.26","","0.07","0.03","0.51308","","","0.70598","","18.459","","15.456","","37.8","","","","","","","","","","","","","","","293669",
"[7695]","RIFT VOLCANICS","OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION","","23.5","23.5","57.9","57.9","SUBAERIAL","","","s OM13 [7695]","BASALT [7695]","","","MIDDLE [7695]","PERMIAN [7695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7695] ","51.5","0.9","","13.75","","","","7","13.45","7.24","0.14","","0.02","0.98","0.1","","","","","","","","","","","","","","","","4.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","5864","240","360","","","38.84","125","","","","","","","","0.3","51","20.5","53.45","3.05","","","","","","","","","","","","2.17","12","2.78","7.38","1.13","5.87","1.95","0.74","2.72","0.5","3.22","0.73","2.06","","2.02","0.32","1.46","0.18","","","","","","","","","0.46","","0.28","0.12","0.512952","","","0.705431","","18.468","","15.503","","38.36","","","","","","","","","","","","","","","293670",
"[7695]","RIFT VOLCANICS","OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION","","23.5","23.5","57.9","57.9","SUBAERIAL","","","s OM109 [7695]","DOLERITE [7695]","","","MIDDLE [7695]","PERMIAN [7695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7695] ","45.65","1.14","","16.25","","","","8.86","11.2","8.07","0.17","","0.11","2.92","0.13","","","","","","","","","","","","","","","","4.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","7456","255","415","","","44.7","180","","","","","","","","1.47","92.76","24.5","79.63","5.7","","","","","","","","","","","","0.4","26.18","4.59","11.94","1.76","8.48","2.64","0.93","3.44","0.62","3.99","0.89","2.6","","2.42","0.38","1.97","0.34","","","","","","","","","0.6","","0.49","0.12","0.512841","","","0.705944","","18.597","","15.511","","38.473","","","","","","","","","","","","","","","293671",
"[7695]","RIFT VOLCANICS","OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION","","23.5","23.5","57.9","57.9","SUBAERIAL","","","s OM125 [7695]","BASALT [7695]","","","MIDDLE [7695]","PERMIAN [7695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7695] ","46.75","1.02","","16.05","","","","9","9.23","8.1","0.16","","1.19","2.79","0.12","","","","","","","","","","","","","","","","4.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","6677","265","460","","","46.57","170","","","","","","","","25.1","144.14","19","68.51","4.99","","","","","","","","","","","","1.48","104.4","4.06","9.92","1.45","7.08","2.24","0.83","2.9","0.52","3.4","0.73","2.13","","2.15","0.32","1.69","0.3","","","","","","","","","0.49","","0.46","0.11","0.51289","","","0.70694","","18.476","","15.508","","38.544","","","","","","","","","","","","","","","293672",
"[7695]","RIFT VOLCANICS","OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION","","23.5","23.5","57.9","57.9","SUBAERIAL","","","s OM135 [7695]","BASALT [7695]","","","MIDDLE [7695]","PERMIAN [7695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7695] ","43.9","1.02","","18.75","","","","8.58","9.3","7.48","0.18","","0.04","3.15","0.12","","","","","","","","","","","","","","","","6.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","6815","260","410","","","39.69","162","","","","","","","","0.48","101.63","23","64.47","4.72","","","","","","","","","","","","0.46","49.87","3.98","9.66","1.41","6.83","2.25","0.86","3.07","0.58","3.74","0.84","2.42","","2.22","0.35","1.69","0.29","","","","","","","","","1.3","","0.46","0.11","0.512919","","","","","18.582","","15.565","","38.568","","","","","","","","","","","","","","","293673",
"[7695]","RIFT VOLCANICS","OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION","","23.5","23.5","57.9","57.9","SUBAERIAL","","","s OM138 [7695]","BASALT [7695]","","","MIDDLE [7695]","PERMIAN [7695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7695] ","49.8","1.13","","14.6","","","","9.34","8.25","8.28","0.18","","0.48","3.16","0.14","","","","","","","","","","","","","","","","3.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","7321","287","235","","","39.96","101","","","","","","","","5.86","151.6","25","75.12","5.93","","","","","","","","","","","","0.6","85.37","5.26","12.65","1.82","8.77","2.69","0.9","3.52","0.63","4.07","0.91","2.69","","2.44","0.37","1.96","0.36","","","","","","","","","0.33","","0.53","0.13","0.512877","","","0.705982","","19.281","","15.57","","39.213","","","","","","","","","","","","","","","293674",
"[7695]","RIFT VOLCANICS","OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION","","23.5","23.5","57.9","57.9","SUBAERIAL","","","s OM141 [7695]","BASALT [7695]","","","MIDDLE [7695]","PERMIAN [7695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7695] ","45.8","1.32","","16.55","","","","10.37","5.91","8.25","0.16","","0.35","4.48","0.17","","","","","","","","","","","","","","","","4.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","8725","295","480","","","48.28","205","","","","","","","","6.97","123.58","24","95.59","8.44","","","","","","","","","","","","0.27","48.01","5.06","13.39","1.96","9.42","3","1.05","3.68","0.65","4.23","0.9","2.6","","2.41","0.36","2.34","0.49","","","","","","","","","0.77","","0.74","0.17","0.512846","","","0.706757","","18.531","","15.512","","38.703","","","","","","","","","","","","","","","293675",
"[7695]","RIFT VOLCANICS","OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION","","23.5","23.5","57.9","57.9","SUBAERIAL","","","s OM232 [7695]","BASALT [7695]","","","MIDDLE [7695]","PERMIAN [7695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7695] ","46.8","1.06","","14.8","","","","9.43","11.2","4.8","0.14","","0.04","4.94","0.12","","","","","","","","","","","","","","","","5.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","7013","300","410","","","44.27","132","","","","","","","","0.51","255.91","24","68.79","3.77","","","","","","","","","","","","0.04","45.02","3.2","8.45","1.35","6.82","2.33","0.84","3.14","0.58","3.78","0.88","2.51","","2.35","0.36","1.74","0.22","","","","","","","","","0.71","","0.35","0.17","0.513033","","","0.706805","","18.741","","15.563","","38.581","","","","","","","","","","","","","","","293676",
