"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4816]","OCEANIC PLATEAU","ONTONG JAVA / MAIN (HIGH) PLATEAU - MALAITA / SINGGALO FORMATION / PACIFIC OCEAN","KWAIO ANTICLINE, SINGGALO RIVER","-7.94","-9.25","-160.79","-161.91","SUBAQUATIC","","","s SG2 [4816]","BASALT [4816]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4816] ","49.65","1.59","","14.15","","","","12.31","11.25","7.69","0.18","","0.16","2.3","0.14","","","","","","","","","","","","","","","","0.71","","","","","","","","","","","","","","10.41","","","","","","","","","","","","","","38","","372","81","","","46","85","99","87","16","","","","","2.4","145","23","79","4.9","0.49","","","","","","","","","","","0.01","30","4.62","12.5","1.83","9.48","3","1.17","3.79","0.68","4.21","0.93","2.58","0.36","2.51","0.38","2.4","0.34","","","","","","","","","","","0.57","0.13","","","","","","","","","","","","","","","","","","","","","","","","","105587",
"[4816]","OCEANIC PLATEAU","ONTONG JAVA / MAIN (HIGH) PLATEAU - MALAITA / SINGGALO FORMATION / PACIFIC OCEAN","KWAIO ANTICLINE, SINGGALO RIVER","-7.94","-9.25","-160.79","-161.91","SUBAQUATIC","","","s SG3 [4816]","BASALT [4816]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4816] ","49.75","1.52","","14.31","","","","12.44","11.14","7.59","0.18","","0.17","2.3","0.15","","","","","","","","","","","","","","","","0.67","","","","","","","","","","","","","","8.17","","","","","","","","","","","","","","34","","329","114","","","61","74","97","90","22","","","","","2.5","146","26","89","5.6","0.53","","","","","","","","","","","0.02","33","5.15","14","2.1","10.6","3.22","1.1","4.1","0.73","4.45","1","2.93","0.41","2.81","0.42","2.88","0.37","","","","","","","","","","","0.61","0.14","","","","","","","","","","","","","","","","","","","","","","","","","105588",
"[4816]","OCEANIC PLATEAU","ONTONG JAVA / MAIN (HIGH) PLATEAU - MALAITA / SINGGALO FORMATION / PACIFIC OCEAN","KWAIO ANTICLINE, SINGGALO RIVER","-7.94","-9.25","-160.79","-161.91","SUBAQUATIC","","","s SG4 [4816]","BASALT [4816]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4816] ","49.98","1.62","","14.22","","","","12.46","11.34","6.99","0.19","","0.11","2.38","0.15","","","","","","","","","","","","","","","","0.51","","","","","","","","","","","","","","7.02","","","","","","","","","","","","","","41","","395","74","","","51","62","96","99","19","","","","","0.9","144","28","94","5.6","0.66","","","","","","","","","","","0.03","31","5.5","14.4","2.32","11.6","3.43","1.21","4.44","0.79","4.91","1.08","3.12","0.44","3.05","0.46","2.79","0.39","","","","","","","","","","","0.44","0.16","","","","","","","","","","","","","","","","","","","","","","","","","105589",
"[4816]","OCEANIC PLATEAU","ONTONG JAVA / MAIN (HIGH) PLATEAU - MALAITA / SINGGALO FORMATION / PACIFIC OCEAN","KWAIO ANTICLINE, SINGGALO RIVER","-7.94","-9.25","-160.79","-161.91","SUBAQUATIC","","","s SG5 [4816]","BASALT [4816]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4816] ","49.73","1.57","","14.7","","","","11.28","11.29","7.44","0.18","","0.19","2.43","0.15","","","","","","","","","","","","","","","","0.89","","","","","","","","","","","","","","5.6","","","","","","","","","","","","","","44","","395","62","","","39","71","94","96","15","","","","","2.7","152","25","91","5.4","0.36","","","","","","","","","","","0.03","38","5.42","14.3","2.17","10.9","3.43","1.27","4.37","0.75","4.91","0.99","2.79","0.42","3.12","0.49","2.64","0.37","","","","","","","","","","","0.52","0.15","","","","","","","","","","","","","","","","","","","","","","","","","105590",
"[4816]","OCEANIC PLATEAU","ONTONG JAVA / MAIN (HIGH) PLATEAU - MALAITA / SINGGALO FORMATION / PACIFIC OCEAN","KWAIO ANTICLINE, SINGGALO RIVER","-7.94","-9.25","-160.79","-161.91","SUBAQUATIC","","","s SG6 [4816]","BASALT [4816]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4816] ","49.5","1.57","","14.36","","","","11.68","12.52","7.01","0.19","","0.16","2.42","0.14","","","","","","","","","","","","","","","","1.56","","","","","","","","","","","","","","6.56","","","","","","","","","","","","","","39","","384","95","","","48","86","103","89","17","","","","","1.4","148","26","83","5.1","0.49","","","","","","","","","","","0.02","31","5.33","13.8","1.93","9.8","3.12","1.09","4.02","0.72","4.57","0.98","2.84","0.4","2.75","0.42","2.61","0.36","","","","","","","","","","","0.45","0.13","","","","","","","","","","","","","","","","","","","","","","","","","105591",
"[4816]","OCEANIC PLATEAU","ONTONG JAVA / MAIN (HIGH) PLATEAU - MALAITA / SINGGALO FORMATION / PACIFIC OCEAN","KWAIO ANTICLINE, SINGGALO RIVER","-7.94","-9.25","-160.79","-161.91","SUBAQUATIC","","","s SG7 [4816]","BASALT [4816]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4816] ","50.18","1.67","","14.19","","","","12.44","11.28","6.86","0.19","","0.14","2.48","0.16","","","","","","","","","","","","","","","","0.42","","","","","","","","","","","","","","5.97","","","","","","","","","","","","","","42","","376","84","","","50","70","92","102","19","","","","","1","148","29","96","5.9","1.13","","","","","","","","","","","0.01","33","5.9","15.9","2.27","11.6","3.69","1.23","4.7","0.84","5.14","1.11","3.1","0.44","3","0.45","2.83","0.4","","","","","","","","","","","0.6","0.16","","","","","","","","","","","","","","","","","","","","","","","","","105592",
"[4816]","OCEANIC PLATEAU","ONTONG JAVA / MAIN (HIGH) PLATEAU - MALAITA / SINGGALO FORMATION / PACIFIC OCEAN","KWAIO ANTICLINE, SINGGALO RIVER","-7.94","-9.25","-160.79","-161.91","SUBAQUATIC","","","s SGB1 [4816]","BASALT [4816]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4816] ","49.59","1.68","","13.92","","","","12.53","10.86","7.04","0.18","","0.18","2.44","0.15","","","","","","","","","","","","","","","","0.74","","","","","","","","","","","","","","6.46","","","","","","","","","","","","","","43","","383","92","","","49","67","96","96","19","","","","","2.4","148","28","93","5.9","0.75","","","","","","","","","","","0.01","37","5.63","14.8","2.15","11.3","3.41","1.2","4.38","0.75","4.74","1.08","3.06","0.44","3.02","0.46","2.97","0.4","","","","","","","","","","","0.59","0.15","","","","","","","","","","","","","","","","","","","","","","","","","105593",
"[4816]","OCEANIC PLATEAU","ONTONG JAVA / MAIN (HIGH) PLATEAU - MALAITA / SINGGALO FORMATION / PACIFIC OCEAN","KWAIO ANTICLINE, SINGGALO RIVER","-7.94","-9.25","-160.79","-161.91","SUBAQUATIC","","","s SGB2 [4816]","BASALT [4816]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4816] ","49.96","1.6","","14.47","","","","11.75","11.23","6.88","0.19","","0.2","2.52","0.16","","","","","","","","","","","","","","","","1.24","","","","","","","","","","","","","","7.35","","","","","","","","","","","","","","49","","397","95","","","49","73","93","104","19","","","","","2.8","149","28","94","6","0.64","","","","","","","","","","","0.02","44","5.57","14.8","2.26","11","3.45","1.19","4.25","0.78","4.79","1.03","3","0.42","2.93","0.45","3.03","0.41","","","","","","","","","","","0.54","0.17","","","","","","","","","","","","","","","","","","","","","","","","","105594",
"[4816]","OCEANIC PLATEAU","ONTONG JAVA / MAIN (HIGH) PLATEAU - MALAITA / SINGGALO FORMATION / PACIFIC OCEAN","KWAIO ANTICLINE, SINGGALO RIVER","-7.94","-9.25","-160.79","-161.91","SUBAQUATIC","","","s SGB6 [4816]","BASALT [4816]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4816] ","50.07","1.68","","14.33","","","","11.96","11.11","7.02","0.19","","0.15","2.25","0.14","","","","","","","","","","","","","","","","0.28","","","","","","","","","","","","","","6.23","","","","","","","","","","","","","","42","","390","89","1440","","50","79","109","118","18","","","","","1.6","152","27","101","5.8","0.59","","","","","","","","","","","0.03","33","5.59","15.4","2.21","11.2","3.6","1.22","4.56","0.79","5.04","1.07","2.98","0.42","2.86","0.43","2.89","0.38","","","","","","","","","","","0.49","0.16","","","","","","","","","","","","","","","","","","","","","","","","","105595",
"[4816]","OCEANIC PLATEAU","ONTONG JAVA / MAIN (HIGH) PLATEAU - MALAITA / SINGGALO FORMATION / PACIFIC OCEAN","KWAIO ANTICLINE, SINGGALO RIVER","-7.94","-9.25","-160.79","-161.91","SUBAQUATIC","","","s SGB7 [4816]","BASALT [4816]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4816] ","49.83","1.64","","14.11","","","","12.53","11.41","7.04","0.19","","0.16","2","0.13","","","","","","","","","","","","","","","","0.71","","","","","","","","","","","","","","5.4","","","","","","","","","","","","","","36","","342","91","1290","","48","73","107","97","18","","","","","2.2","141","29","93","5.3","0.61","","","","","","","","","","","0.02","36","5.71","15","2.46","12.5","3.54","1.28","4.44","0.85","5.17","1.07","3.16","0.47","3.1","0.47","2.75","0.36","","","","","","","","","","","0.56","0.14","","","","","","","","","","","","","","","","","","","","","","","","","105596",
