"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18781]","RIFT VOLCANICS","OSLO RIFT / OSLO GRABEN / FEN ALKALINE COMPLEX","","59.2","59.2","10.3","10.3","SUBAERIAL","","","s P19 [18781]","RAUHAUGITE [18781]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18781] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","","614","184","34.1","85.7","","34.1","","20.4","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1093064",
"[18781]","RIFT VOLCANICS","OSLO RIFT / OSLO GRABEN / FEN ALKALINE COMPLEX","","59.2","59.2","10.3","10.3","SUBAERIAL","","","s P20 [18781]","RAUHAUGITE [18781]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18781] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","423","338","","227","28.6","6.5","14.5","","8","","2.91","","","0.165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1093065",
"[18781]","RIFT VOLCANICS","OSLO RIFT / OSLO GRABEN / FEN ALKALINE COMPLEX","","59.2","59.2","10.3","10.3","SUBAERIAL","","","s P26 [18781]","RAUHAUGITE [18781]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18781] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2500","2100","","3367","357","60.2","85","","43.2","","20.8","","","2.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1093066",
"[18781]","RIFT VOLCANICS","OSLO RIFT / OSLO GRABEN / FEN ALKALINE COMPLEX","","59.2","59.2","10.3","10.3","SUBAERIAL","","","s P30 [18781]","DANKJERNITE [18781]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18781] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4371","1850","","745","59.45","1.63","19.7","","6.5","","2.2","","2.42","0.355","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1093067",
"[18130]","RIFT VOLCANICS","OSLO RIFT / OSLO GRABEN / FEN ALKALINE COMPLEX","NW GRUVEASEN","59","59","10","10","SUBAERIAL","","","s G 100 [18130]","CARBONATITE, FERRO [18130]","","","","CAMBRIAN [18130]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18130] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1912","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7043","","","","","","","","","","","","","","","","","","","","","1097477",
"[18130]","RIFT VOLCANICS","OSLO RIFT / OSLO GRABEN / FEN ALKALINE COMPLEX","NW GRUVEASEN","59","59","10","10","SUBAERIAL","","","s G 101 [18130]","CARBONATITE, FERRO [18130]","","","","CAMBRIAN [18130]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18130] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1697","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70336","","","","","","","","","","","","","","","","","","","","","1097478",
"[18130]","RIFT VOLCANICS","OSLO RIFT / OSLO GRABEN / FEN ALKALINE COMPLEX","NW GRUVEASEN","59","59","10","10","SUBAERIAL","","","s G 105 [18130]","CARBONATITE, FERRO [18130]","","","","CAMBRIAN [18130]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18130] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1799","","","","","","","","","","","","","","","","","2912","","","","384","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70363","","","","","","","","","","","","","","","","","","","","","1097479",
"[18130]","RIFT VOLCANICS","OSLO RIFT / OSLO GRABEN / FEN ALKALINE COMPLEX","NW GRUVEASEN","59","59","10","10","SUBAERIAL","","","s G 108 [18130]","CARBONATITE, FERRO [18130]","","","","CAMBRIAN [18130]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18130] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70378","","","","","","","","","","","","","","","","","","","","","1097480",
"[18130]","RIFT VOLCANICS","OSLO RIFT / OSLO GRABEN / FEN ALKALINE COMPLEX","NW GRUVEASEN","59","59","10","10","SUBAERIAL","","","s G 112 [18130]","CARBONATITE, HEMATITE-CALCITE-DOLOMITE [18130]","","","","CAMBRIAN [18130]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18130] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","484","","","","","","","","","","","","","","","","","1750","","","","850","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70738","","","","","","","","","","","","","","","","","","","","","1097481",
"[18130]","RIFT VOLCANICS","OSLO RIFT / OSLO GRABEN / FEN ALKALINE COMPLEX","NW GRUVEASEN","59","59","10","10","SUBAERIAL","","","s G 113 [18130]","CARBONATITE, HEMATITE-CALCITE-DOLOMITE [18130]","","","","CAMBRIAN [18130]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18130] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","819","","","","","","","","","","","","","","","","","2414","","","","578","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70734","","","","","","","","","","","","","","","","","","","","","1097482",
