"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[16911]","CONTINENTAL FLOOD BASALT","PANJAL-SOUTH QIANGTANG LARGE IGNEOUS PROVINCE / PANJAL TRAPS","ZANSKAR RANGE","34.043","34.043","74.8838","74.8838","SUBAERIAL","","","s PJ1-044 [16911]","RHYOLITE [16911]","","","LOWER [16911]","PERMIAN [16911]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16911] ","75.84","0.38","","11.02","","","","2.77","0.55","1","0.05","","4.98","0.93","0.09","","","","","","","","","","","","","","","","1.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","17","113","","","3","56","8","62","17.4","","","","","220","37.7","53.1","127","20.8","","","","","","","","","","","","10.7","812","52.3","110","12.3","46","9.7","1.23","9.12","1.45","8.88","1.82","4.97","0.74","4.69","0.66","3.9","1.6","","","","","","","","","","","22.4","3","0.512066","","","0.762874","","","","","","","","","","","","","","","","","","","","","104764-PJ1-044",
"[18677]","CONTINENTAL FLOOD BASALT","PANJAL-SOUTH QIANGTANG LARGE IGNEOUS PROVINCE / PANJAL TRAPS","ZANSKAR RANGE","34.0481","34.0481","74.8748","74.8748","SUBAERIAL","","","s PJ1-050 [18677]","BASALT [18677]","","","LOWER [18677]","PERMIAN [18677]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18677] ","48.5","1.461","","15.67","","","","10.82","7.74","6.65","0.173","","1.37","2.58","0.12","","","","","","","","","","","","","","","","3.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","296.9","165","","","44.3","45.4","7.89","94.9","19.6","","","","","67.2","200","31.3","148","10.3","","","","","","","","","","","","3.06","358","23.7","56.5","5.66","22.6","5.22","1.402","5.46","0.868","5.45","1.144","3.17","0.478","3.03","0.443","3.83","0.831","","","","","","","","","","","7.24","1.04","","","","","","","","","","","","","","","","","","","","","","","","","104772-PJ1-050",
"[20474]","CONTINENTAL FLOOD BASALT","PANJAL-SOUTH QIANGTANG LARGE IGNEOUS PROVINCE / SOUTH QIANGTANG","","34.4658","34.4658","84.9772","84.9772","SUBAERIAL","","","s L07-H1 [20474]","DIABASE [20474]","","","","PERMIAN [20474]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20474] ","50.45","3.6","","12.74","","4.22","7.2","","7.63","5.21","0.17","","1.1","3.27","0.29","","","","","","","","","","","","","","","","2.63","","","","","","","","","","","","","","30.1","","","","","","","","","","","","","","28.6","21094","344","95.7","","","41.7","59.9","","","","","","","","44","212","35.2","320","35","","","","","","","","","","","","2.77","192","32.7","71.3","10.6","47.3","9.93","2.69","9.25","1.48","7.69","1.39","3.84","0.46","2.79","0.4","8.09","2.35","","","","","","","","","4.33","","5.45","1.21","0.512663","","","0.713335","","","","","","","","","","","","","","","","","","","","","1066091",
"[20474]","CONTINENTAL FLOOD BASALT","PANJAL-SOUTH QIANGTANG LARGE IGNEOUS PROVINCE / SOUTH QIANGTANG","","34.4658","34.4658","84.9772","84.9772","SUBAERIAL","","","s L07-H2 [20474]","DIABASE [20474]","","","","PERMIAN [20474]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20474] ","50.59","3.48","","12.43","","3.8","7.38","","8.12","5.56","0.17","","1.3","2.59","0.27","","","","","","","","","","","","","","","","2.47","","","","","","","","","","","","","","35.8","","","","","","","","","","","","","","28.9","20763","337","109","","","44.3","63.1","","","","","","","","45.8","269","34.8","310","34","","","","","","","","","","","","3.7","237","32.2","70","10.5","47.6","9.96","2.73","9.64","1.48","7.69","1.37","3.7","0.44","2.8","0.4","7.98","2.28","","","","","","","","","4.85","","5.3","1.16","0.512636","","","0.713734","","","","","","","","","","","","","","","","","","","","","1066092",
"[20474]","CONTINENTAL FLOOD BASALT","PANJAL-SOUTH QIANGTANG LARGE IGNEOUS PROVINCE / SOUTH QIANGTANG","","34.4658","34.4658","84.9772","84.9772","SUBAERIAL","","","s L07-H3 [20474]","DIABASE [20474]","","","","PERMIAN [20474]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20474] ","50.85","3.54","","12.55","","3.88","7.49","","7.44","5.68","0.17","","1.49","2.85","0.28","","","","","","","","","","","","","","","","2.41","","","","","","","","","","","","","","35.1","","","","","","","","","","","","","","29.2","21045","341","105","","","44.8","64.1","","","","","","","","58.3","264","35","317","34.8","","","","","","","","","","","","3.68","252","31.6","69.7","10.5","47.7","10.1","2.75","9.68","1.5","7.57","1.39","3.79","0.46","2.83","0.4","8.01","2.29","","","","","","","","","4.68","","5.33","1.18","0.512693","","","0.713656","","","","","","","","","","","","","","","","","","","","","1066093",
"[20474]","CONTINENTAL FLOOD BASALT","PANJAL-SOUTH QIANGTANG LARGE IGNEOUS PROVINCE / SOUTH QIANGTANG","","34.4658","34.4658","84.9772","84.9772","SUBAERIAL","","","s L07-H4 [20474]","DIABASE [20474]","","","","PERMIAN [20474]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20474] ","50.49","3.67","","12.57","","3.5","8.1","","7.21","5.49","0.18","","1.57","3.05","0.3","","","","","","","","","","","","","","","","2.25","","","","","","","","","","","","","","31.3","","","","","","","","","","","","","","28.1","21535","343","140","","","44","85.9","","","","","","","","61.3","200","36.7","329","36.3","","","","","","","","","","","","2.7","259","32.6","70.1","10.6","48.7","10.1","2.78","9.69","1.45","7.76","1.41","3.84","0.45","2.87","0.4","8.12","2.35","","","","","","","","","3.49","","5.42","1.18","0.512693","","","0.713565","","","","","","","","","","","","","","","","","","","","","1066094",
"[20474]","CONTINENTAL FLOOD BASALT","PANJAL-SOUTH QIANGTANG LARGE IGNEOUS PROVINCE / SOUTH QIANGTANG","","34.4658","34.4658","84.9772","84.9772","SUBAERIAL","","","s L07-H5 [20474]","DIABASE [20474]","","","","PERMIAN [20474]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20474] ","51.09","3.64","","12.52","","3.48","8.14","","7.12","5.33","0.18","","1.47","3.23","0.29","","","","","","","","","","","","","","","","2.15","","","","","","","","","","","","","","27.8","","","","","","","","","","","","","","28","20848","340","87.1","","","42.3","60.2","","","","","","","","61.9","269","35.7","324","34.9","","","","","","","","","","","","3.91","241","31.9","69.8","10.3","47.3","9.86","2.77","9.74","1.46","7.63","1.37","3.83","0.45","2.81","0.39","7.98","2.28","","","","","","","","","4.18","","5.34","1.15","0.512675","","","0.713816","","","","","","","","","","","","","","","","","","","","","1066095",
"[20474]","CONTINENTAL FLOOD BASALT","PANJAL-SOUTH QIANGTANG LARGE IGNEOUS PROVINCE / SOUTH QIANGTANG","","34.4658","34.4658","84.9772","84.9772","SUBAERIAL","","","s L07-H6 [20474]","DIABASE [20474]","","","","PERMIAN [20474]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20474] ","50.85","3.56","","12.58","","3.55","7.74","","7.7","5.59","0.17","","1.35","2.92","0.28","","","","","","","","","","","","","","","","2.23","","","","","","","","","","","","","","35.2","","","","","","","","","","","","","","30.2","21940","361","111","","","45.9","65.5","","","","","","","","53.9","299","37.7","327","35.3","","","","","","","","","","","","3.84","239","32.9","72.5","10.8","48.3","10.3","2.8","9.67","1.49","7.77","1.38","3.84","0.47","2.88","0.4","8.18","2.3","","","","","","","","","3.54","","5.47","1.18","","","","","","","","","","","","","","","","","","","","","","","","","1066096",
"[20474]","CONTINENTAL FLOOD BASALT","PANJAL-SOUTH QIANGTANG LARGE IGNEOUS PROVINCE / SOUTH QIANGTANG","","34.4658","34.4658","84.9772","84.9772","SUBAERIAL","","","s L07-H7 [20474]","DIABASE [20474]","","","","PERMIAN [20474]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20474] ","50.66","3.56","","12.53","","3.26","7.99","","7.94","5.61","0.17","","1.23","2.79","0.27","","","","","","","","","","","","","","","","2.26","","","","","","","","","","","","","","34","","","","","","","","","","","","","","28","20268","327","108","","","42.7","61.8","","","","","","","","43","292","33.7","299","33.4","","","","","","","","","","","","3.84","201","30","65.9","9.75","44.4","9.26","2.62","8.75","1.42","7.35","1.29","3.65","0.42","2.65","0.39","7.55","2.18","","","","","","","","","4.36","","4.99","1.13","","","","","","","","","","","","","","","","","","","","","","","","","1066097",
"[20474]","CONTINENTAL FLOOD BASALT","PANJAL-SOUTH QIANGTANG LARGE IGNEOUS PROVINCE / SOUTH QIANGTANG","","34.4658","34.4658","84.9772","84.9772","SUBAERIAL","","","s L07-H8 [20474]","DIABASE [20474]","","","","PERMIAN [20474]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20474] ","50.47","3.64","","12.53","","3.5","8.14","","7.53","5.41","0.17","","1.27","3.28","0.29","","","","","","","","","","","","","","","","2.09","","","","","","","","","","","","","","27.4","","","","","","","","","","","","","","28.3","21304","344","91.8","","","44.7","61.9","","","","","","","","54.5","245","36.3","325","35.5","","","","","","","","","","","","3.31","219","33.3","72","10.8","48.9","10.1","2.79","9.77","1.5","8.07","1.4","3.94","0.46","2.9","0.41","8.31","2.37","","","","","","","","","4.42","","5.45","1.18","","","","","","","","","","","","","","","","","","","","","","","","","1066098",
