"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[16911]","CONTINENTAL FLOOD BASALT","PANJAL TRAP / ZANSKAR RANGE","","34.043","34.043","74.8838","74.8838","SUBAERIAL","","","s PJ1-044 [16911]","RHYOLITE [16911]","","","LOWER [16911]","PERMIAN [16911]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16911] ","75.84","0.38","","11.02","","","","2.77","0.55","1","0.05","","4.98","0.93","0.09","","","","","","","","","","","","","","","","1.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","17","113","","","3","56","8","62","17.4","","","","","220","37.7","53.1","127","20.8","","","","","","","","","","","","10.7","812","52.3","110","12.3","46","9.7","1.23","9.12","1.45","8.88","1.82","4.97","0.74","4.69","0.66","3.9","1.6","","","","","","","","","","","22.4","3","0.512066","","","0.762874","","","","","","","","","","","","","","","","","","","","","104764-PJ1-044",
"[18677]","CONTINENTAL FLOOD BASALT","PANJAL TRAP / ZANSKAR RANGE","","34.0481","34.0481","74.8748","74.8748","SUBAERIAL","","","s PJ1-050 [18677]","BASALT [18677]","","","LOWER [18677]","PERMIAN [18677]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18677] ","48.5","1.461","","15.67","","","","10.82","7.74","6.65","0.173","","1.37","2.58","0.12","","","","","","","","","","","","","","","","3.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","296.9","165","","","44.3","45.4","7.89","94.9","19.6","","","","","67.2","200","31.3","148","10.3","","","","","","","","","","","","3.06","358","23.7","56.5","5.66","22.6","5.22","1.402","5.46","0.868","5.45","1.144","3.17","0.478","3.03","0.443","3.83","0.831","","","","","","","","","","","7.24","1.04","","","","","","","","","","","","","","","","","","","","","","","","","104772-PJ1-050",
"[16399]","CONTINENTAL FLOOD BASALT","PANJAL TRAP / ZANSKAR RANGE","SURU VALLEY SOUTH OF SANKO","34.28","34.28","75.97","75.97","SUBAERIAL","","","s JK 180 [16399]","AMPHIBOLITE, CHLORITE [16399]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [16399] ","42.23","1.24","","13.93","","3","13.21","","8.3","11.72","0.27","","0.14","1.59","0.15","","3.23","","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","83","96","","","83","230","0","113","16","","","","","0","135","14","61","0","","","","","","","","","","","","","75","0","38","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","789281",
"[16399]","CONTINENTAL FLOOD BASALT","PANJAL TRAP / ZANSKAR RANGE","20 KM SSW OF SANKO","34.28","34.28","75.97","75.97","SUBAERIAL","","","s JK 125 [16399]","AMPHIBOLITE [16399]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [16399] ","45.06","1.66","","19.66","","5.33","6.31","","11.43","4.26","0.18","","0.42","2.75","0.22","","1.68","","","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","137","88","","","51","57","86","89","19","","","","","8","380","22","91","4","","","","","","","","","","","","","105","0","27","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","789282",
"[16399]","CONTINENTAL FLOOD BASALT","PANJAL TRAP / ZANSKAR RANGE","NEAR RINGDOM","34","34","76","76","SUBAERIAL","","","s HT 261 [16399]","GREENSCHIST [16399]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [16399] ","48.82","1.91","","15.13","","3.91","7.56","","10.7","6.91","0.18","","0.81","2.16","0.33","","2.71","","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","294","247","","","54","60","71","88","17","","","","","29","209","24","123","10","","","","","","","","","","","","","285","15","37","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","789283",
"[16399]","CONTINENTAL FLOOD BASALT","PANJAL TRAP / ZANSKAR RANGE","ROAD ZOJILA-DRAS","34.17","34.17","74.5","74.5","SUBAERIAL","","","s HT 90 [16399]","GREENSCHIST [16399]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [16399] ","51.24","1.17","","14.9","","4.72","5.53","","9.37","6.41","0.18","","1.03","2.47","0.13","","2.72","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","297","134","","","48","27","0","84","16","","","","","47","121","23","138","4","","","","","","","","","","","","","360","0","30","","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","789284",
"[16399]","CONTINENTAL FLOOD BASALT","PANJAL TRAP / PIR PANJAL RANGE","UPPER WARWAN RIVER","33.65","33.65","75.72","75.72","SUBAERIAL","","","s JK 188 [16399]","METABASALT [16399]","","","","","","","","APHYRIC [16399] ","METAMORPHIC ROCK","","","","","WHOLE_ROCK [16399] ","51.79","1.08","","15.16","","2.75","6.3","","10","6.04","0.15","","1.41","1.86","0.16","","2.61","","","0.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","259","164","","","47","72","45","72","15","","","","","49","212","22","133","3","","","","","","","","","","","","","275","0","25","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","789285",
"[16399]","CONTINENTAL FLOOD BASALT","PANJAL TRAP / ZANSKAR RANGE","4 KM WEST OF SONAMARG","34.32","34.32","75.32","75.32","SUBAERIAL","","","s HT 401 [16399]","NOT GIVEN [16399]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [16399] ","54.25","1.74","","13.61","","4.91","7.26","","6.48","4.52","0.18","","0.66","2.66","0.18","","3.3","","","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","453","53","","","52","12","0","117","17","","","","","29","169","29","187","8","","","","","","","","","","","","","294","0","30","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","789286",
"[16399]","CONTINENTAL FLOOD BASALT","PANJAL TRAP / ZANSKAR RANGE","4 KM WEST OF SONAMARG","34.32","34.32","75.32","75.32","SUBAERIAL","","","s HT 402 [16399]","NOT GIVEN [16399]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [16399] ","51.66","1.63","","13.59","","2.83","7.81","","7.11","2.89","0.18","","0.74","3.58","0.16","","3.2","","","4.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","514","36","","","45","9","0","87","16","","","","","32","84","29","172","8","","","","","","","","","","","","","229","0","26","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","789287",
"[16399]","CONTINENTAL FLOOD BASALT","PANJAL TRAP / ZANSKAR RANGE","4 KM WEST OF SONAMARG","34.32","34.32","75.32","75.32","SUBAERIAL","","","s HT 403 [16399]","NOT GIVEN [16399]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [16399] ","52.19","2.49","","12.06","","2.79","9.21","","6.7","2.7","0.17","","2.06","1.31","0.25","","3.3","","","4.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","467","38","","","50","10","0","114","19","","","","","73","128","37","221","15","","","","","","","","","","","","","410","37","52","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","789288",
