"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[2588]","CONTINENTAL FLOOD BASALT","PARANA / SOUTHERN PARANA PROVINCE","SANTA CATARINA","-29","-30","-49.5","-50.5","SUBAERIAL","","","s 201 [2588]","BASALT [2588]","","","","MESOZOIC [2588]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2588] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7","688","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7036","","","","","","","","","","","","","","","","","","","","","101308",
"[2588]","CONTINENTAL FLOOD BASALT","PARANA / SOUTHERN PARANA PROVINCE","SANTA CATARINA","-29","-30","-49.5","-50.5","SUBAERIAL","","","s 203 [2588]","BASALT [2588]","","","","MESOZOIC [2588]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2588] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","730","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7042","","","","","","","","","","","","","","","","","","","","","101309",
"[2588]","CONTINENTAL FLOOD BASALT","PARANA / SOUTHERN PARANA PROVINCE","RIO GRANDE DO SUL","-29","-30","-49.5","-50.5","SUBAERIAL","","","s 205 [2588]","BASALT [2588]","","","","MESOZOIC [2588]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2588] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7086","","","","","","","","","","","","","","","","","","","","","101310",
"[2588]","CONTINENTAL FLOOD BASALT","PARANA / SOUTHERN PARANA PROVINCE","RIO GRANDE DO SUL","-29","-30","-49.5","-50.5","SUBAERIAL","","","s 295 [2588]","DOLERITE [2588]","","","","MESOZOIC [2588]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2588] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.5","212","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7117","","","","","","","","","","","","","","","","","","","","","101311",
"[2588]","CONTINENTAL FLOOD BASALT","PARANA / SOUTHERN PARANA PROVINCE","RIO GRANDE DO SUL","-29","-30","-49.5","-50.5","SUBAERIAL","","","s 204 [2588]","DACITE [2588]","","","","MESOZOIC [2588]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2588] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","154","143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7201","","","","","","","","","","","","","","","","","","","","","101312",
"[2588]","CONTINENTAL FLOOD BASALT","PARANA / SOUTHERN PARANA PROVINCE","RIO GRANDE DO SUL","-29","-30","-49.5","-50.5","SUBAERIAL","","","s 206 [2588]","DACITE [2588]","","","","MESOZOIC [2588]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2588] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164","170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.722","","","","","","","","","","","","","","","","","","","","","101313",
"[2588]","CONTINENTAL FLOOD BASALT","PARANA / SOUTHERN PARANA PROVINCE","RIO GRANDE DO SUL","-29","-30","-49.5","-50.5","SUBAERIAL","","","s 207 [2588]","DACITE [2588]","","","","MESOZOIC [2588]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2588] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164","148","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7239","","","","","","","","","","","","","","","","","","","","","101314",
"[2588]","CONTINENTAL FLOOD BASALT","PARANA / SOUTHERN PARANA PROVINCE","SANTA CATARINA","-29","-30","-49.5","-50.5","SUBAERIAL","","","s 201 [2588]","BASALT [2588]","","","","MESOZOIC [2588]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2588] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7029","","","","","","","","","","","","","","","","","","","","","101315",
"[2588]","CONTINENTAL FLOOD BASALT","PARANA / SOUTHERN PARANA PROVINCE","SANTA CATARINA","-29","-30","-49.5","-50.5","SUBAERIAL","","","s 203 [2588]","BASALT [2588]","","","","MESOZOIC [2588]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2588] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7039","","","","","","","","","","","","","","","","","","","","","101316",
"[2473]","CONTINENTAL FLOOD BASALT","PARANA / NORTHERN PARANA PROVINCE","SERRA DOS ITATIN NEAR PERUIBE AND BETWEEN UBATUBA ND ANGRA DOS REIS, RIO DE JANEIRO","-22.45","-22.45","-43.85","-43.85","SUBAERIAL","","","s CR38 [2473]","BASALT [2473]","","","","MESOZOIC [2473]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2473] ","45.32","5.2","","13.44","","4.12","9.29","","9.31","5.12","0.19","","1.58","2","0.59","","","","","","","","","","","","","","","","2.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","","","","79","","","","","","","","21","831","","178","","","","","","","","","","","","","","578","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102637",
