"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4590]","OCEAN-BASIN FLOOD BASALT","PIGAFETTA BASIN / SITE 801 / PACIFIC OCEAN","","18.64","18.64","-156.36","-156.36","SUBAQUATIC","","","s 801-27R-1 [4590]","NOT GIVEN [4590]","","","","","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [4590] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.282641","","","","","","","105983",
"[4590]","OCEAN-BASIN FLOOD BASALT","PIGAFETTA BASIN / SITE 801 / PACIFIC OCEAN","","18.64","18.64","-156.36","-156.36","SUBAQUATIC","","","s 801-33R-1 [4590]","NOT GIVEN [4590]","","","","","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [4590] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.282723","","","","","","","105984",
"[4590]","OCEAN-BASIN FLOOD BASALT","PIGAFETTA BASIN / SITE 801 / PACIFIC OCEAN","","18.64","18.64","-156.36","-156.36","SUBAQUATIC","","","s 801-8R-1 [4590]","NOT GIVEN [4590]","","","","","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [4590] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.282922","","","","","","","105985",
"[4590]","OCEAN-BASIN FLOOD BASALT","PIGAFETTA BASIN / SITE 801 / PACIFIC OCEAN","","18.64","18.64","-156.36","-156.36","SUBAQUATIC","","","s 801-18R-1 [4590]","NOT GIVEN [4590]","","","","","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [4590] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.282821","","","","","","","105986",
"[2432]","OCEAN-BASIN FLOOD BASALT","PIGAFETTA BASIN / SITE 800 / PACIFIC OCEAN","HOLE 800A","21.923","21.923","152.3228","152.3228","SUBAQUATIC","-5697","-5697","s 129-800A-57R-1,17-24 [2432]","DOLERITE, ALKALINE [2432]","","","MIDDLE [2432]","CRETACEOUS [2432]","","","","APHYRIC, NONVESICULAR [2432] ","VOLCANIC ROCK","498.17","498.17","MODERATELY ALTERED","","WHOLE_ROCK [2432] ","49.56","2.17","","15.86","","9.01","0.37","","3.96","5.04","0.15","","5.64","2.66","0.55","","3.38","","","1.34","","","","","","","","","","","4.94","","","","","","","","","","","","","","","","","","","","","","","","123","","","","","","165","203","","","","122","63","137","21","","","","","93","340","22","348","52","","","","","","","","","","","","","475","48","95","","56","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","130308",
"[2432]","OCEAN-BASIN FLOOD BASALT","PIGAFETTA BASIN / SITE 800 / PACIFIC OCEAN","HOLE 800A","21.923","21.923","152.3228","152.3228","SUBAQUATIC","-5697","-5697","s 129-800A-57R-1,40-45 [2432]","DOLERITE, ALKALINE [2432]","","","MIDDLE [2432]","CRETACEOUS [2432]","","","","APHYRIC, NONVESICULAR [2432] ","VOLCANIC ROCK","498.4","498.4","MODERATELY ALTERED","","WHOLE_ROCK [2432] ","45.72","1.95","","14.77","","6.84","1.06","","10.27","4.01","0.12","","3.69","3.63","0.55","","2.21","","","5.1","","","","","","","","","","","8.04","","","","","","","","","","","","","","","","","","","","","","","","128","","","","16.3","","188","140","","","","83","30","80","22","","","","","82","466","25","330","48","","","","","","","","","","","","3.53","251","37.1","79.8","","36","7.96","2.48","","0.94","","","","","1.44","0.197","7.51","3.18","","","","","","","","","4","","3.57","1.93","","","","","","","","","","","","","","","","","","","","","","","","","130309",
"[2432]","OCEAN-BASIN FLOOD BASALT","PIGAFETTA BASIN / SITE 800 / PACIFIC OCEAN","HOLE 800A","21.923","21.923","152.3228","152.3228","SUBAQUATIC","-5697","-5697","s 129-800A-57R-2,86-91 [2432]","DOLERITE, ALKALINE [2432]","","","MIDDLE [2432]","CRETACEOUS [2432]","","","","APHYRIC, NONVESICULAR [2432] ","VOLCANIC ROCK","499.36","499.36","MODERATELY ALTERED","","WHOLE_ROCK [2432] ","49.09","2.01","","15.97","","5.63","2.82","","4.83","7.92","0.07","","3.22","2.94","0.56","","3.61","","","1.38","","","","","","","","","","","5.3","","","","","","","","","","","","","","","","","","","","","","","","1054","","","","17.8","","185","127","","","","82","65","144","23","","","","","20","493","23","340","50","","","","","","","","","","","","0.14","339","36.5","78.3","","37","7.75","2.46","","0.87","","","","","1.29","0.177","7.12","3.21","","","","","","","","","1","","3.64","1.58","","","","","","","","","","","","","","","","","","","","","","","","","130310",
"[2432]","OCEAN-BASIN FLOOD BASALT","PIGAFETTA BASIN / SITE 800 / PACIFIC OCEAN","HOLE 800A","21.923","21.923","152.3228","152.3228","SUBAQUATIC","-5697","-5697","s 129-800A-58R-1,47-51 [2432]","DOLERITE, ALKALINE [2432]","","","MIDDLE [2432]","CRETACEOUS [2432]","","","","APHYRIC, NONVESICULAR [2432] ","VOLCANIC ROCK","507.67","507.67","MODERATELY ALTERED","","WHOLE_ROCK [2432] ","49.88","2.21","","15.69","","5.55","4.01","","4.53","6.767","0.15","","0.62","3.86","0.62","","3.04","","","0.22","","","","","","","","","","","3.21","","","","","","","","","","","","","","","","","","","","","","","","263","","","","18.6","","183","80","","","","43","24","101","22","","","","","22","525","27","360","54","","","","","","","","","","","","0.15","388","46.07","93.87","10.81","43.77","8.4","2.72","7.44","","5.55","0.91","2.36","","1.59","0.24","8.1","3.33","","","","","","","","","1","","4.3","1.23","","","","","","","","","","","","","","","","","","","","","","","","","130312",
"[2432]","OCEAN-BASIN FLOOD BASALT","PIGAFETTA BASIN / SITE 800 / PACIFIC OCEAN","HOLE 800A","21.923","21.923","152.3228","152.3228","SUBAQUATIC","-5697","-5697","s 129-800A-58R-2,32-37 [2432]","DOLERITE, ALKALINE [2432]","","","MIDDLE [2432]","CRETACEOUS [2432]","","","","APHYRIC, NONVESICULAR [2432] ","VOLCANIC ROCK","509.05","509.05","MODERATELY ALTERED","","WHOLE_ROCK [2432] ","48.94","2.11","","15.83","","5.72","3.78","","6.34","6.46","0.2","","0.55","4.07","0.55","","2.5","","","0.64","","","","","","","","","","","3.5","","","","","","","","","","","","","","","","","","","","","","","","421","","","","","","192","81","","","","46","83","117","24","","","","","24","578","25","362","53","","","","","","","","","","","","","368","41","95","","45","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","130314",
"[2432]","OCEAN-BASIN FLOOD BASALT","PIGAFETTA BASIN / SITE 800 / PACIFIC OCEAN","HOLE 800A","21.923","21.923","152.3228","152.3228","SUBAQUATIC","-5697","-5697","s 129-800A-58R-2,106-110 [2432]","DOLERITE, ALKALINE [2432]","","","MIDDLE [2432]","CRETACEOUS [2432]","","","","APHYRIC, NONVESICULAR [2432] ","VOLCANIC ROCK","509.59","509.59","MODERATELY ALTERED","","WHOLE_ROCK [2432] ","50.32","2.03","","15.96","","6.47","3.38","","3.92","6.73","0.16","","2.93","3.79","0.46","","3.14","","","0.18","","","","","","","","","","","3.54","","","","","","","","","","","","","","","","","","","","","","","","268","","","","17.1","","190","81","","","","43","43","114","24","","","","","27","473","24","390","58","","","","","","","","","","","","0.1","421","39","80.4","","37","7.58","2.38","","0.882","","","","","1.48","0.201","8.19","3.71","","","","","","","","","3","","4.22","1.48","","","","","","","","","","","","","","","","","","","","","","","","","130317",
