"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[778][19648]","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / GAMBIER ISLAND - KAMAKA / PACIFIC OCEAN","","-23.25","-23.25","-134.25","-134.25","SUBAERIAL","","","s G34* [778] / s GKM34 [19648]","BASALT [778] / THOLEIITE [19648]","5690000 [19648]","5690000 [19648]","","MIOCENE [19648]","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [778] ","49.6","2.09","","14.7","","11.05","","","11.04","7.45","0.15","","0.42","2.15","0.26","","","","","","","","","","","","","","","","0.35","","","","","","","","","","","","","","3.75","","","","","","","","","","","","","","28.1","12100","217","351","","","48.3","178","79","87.7","","","","","","5.74","354","26.9","126","21.7","","","","","","0.0913","","","","","","0.0547","114","20.7","37.5","5.72","25.2","5.82","2.12","6.07","0.841","4.8","0.904","2.43","0.28","1.78","0.242","3.04","1.29","","","","","","","","0.0144","1.08","","1.31","0.335","0.512987","","","0.702962","","19.088","","15.548","","38.979","","","","","","","","0.283041","","","","","","","10741-GKM34",
"[754]","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / GAMBIER ISLAND / PACIFIC OCEAN","","-23.17","-23.17","-135","-135","SUBAERIAL","","","s OG29D [754]","THOLEIITE [754]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [754] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.6","","","","","","","","","","","","","","","","","","","","","","","1.8","","2.27","0.74","","","","","","","","","","","","","","","","","","","","","","","","","11050",
"[4937]","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN","","-25.07","-25.07","-130.1","-130.1","SUBAERIAL","","","s PIT89-1 [4937]","BASALT [4937]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4937] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000039","0.00007164","","","","","","","","","","0.512456","","","0.704876","","17.7346","","15.4928","","39.016","","","","","0.1484","","0.1484","0.282667","","","","","","","114374",
"[4937]","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN","","-25.07","-25.07","-130.1","-130.1","SUBAERIAL","","","s PIT89-1 [4937]","BASALT [4937]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4937] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.704866","","","","","","","","","","","","","","","","","","","","","114375",
"[4937]","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN","","-25.07","-25.07","-130.1","-130.1","SUBAERIAL","","","s PIT89-5 [4937]","BASALT [4937]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4937] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000874","","","","","","","","","","0.512503","","","0.704691","","17.8204","","15.4985","","38.992","","","","","0.1502","","","0.282713","","","","","","","114380",
"[4937]","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN","","-25.07","-25.07","-130.1","-130.1","SUBAERIAL","","","s PIT89-5 [4937]","BASALT [4937]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4937] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.704695","","17.818","","15.4954","","38.982","","","","","","","","","","","","","","","114381",
"[4937]","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN","","-25.07","-25.07","-130.1","-130.1","SUBAERIAL","","","s PIT89-6 [4937]","BASALT [4937]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4937] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512497","","","0.704702","","17.821","","15.4983","","38.997","","","","","","","","0.282714","","","","","","","114382",
"[4937]","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN","","-25.07","-25.07","-130.1","-130.1","SUBAERIAL","","","s PIT89-6 [4937]","BASALT [4937]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4937] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.8234","","15.5003","","39.002","","","","","","","","","","","","","","","114383",
"[4937]","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN","","-25.07","-25.07","-130.1","-130.1","SUBAERIAL","","","s PIT89-8 [4937]","BASALT [4937]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4937] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000047","0.00000391","","","","","","","","","","0.512333","","","0.705105","","17.6431","","15.4861","","39.018","","","","","0.2546","","0.2539","0.282622","","","","","","","114384",
"[4937]","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN","","-25.07","-25.07","-130.1","-130.1","SUBAERIAL","","","s PIT89-8 [4937]","BASALT [4937]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4937] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512341","","","","","17.6443","","15.4877","","39.023","","","","","","","","","","","","","","","114385",
