"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18616]","CONTINENTAL FLOOD BASALT","RAJMAHAL-BENGAL-SYLHET / SHILLONG PLATEAU / JASRA COMPLEX","","26","26","92.5","92.5","SUBAERIAL","","","s JS/6 [18616]","PYROXENITE [18616]","","","LOWER [18616]","CRETACEOUS [18616]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18616] ","43.29","3.81","","5.72","","","","11.13","16.44","14.36","0.16","","1.6","1.02","0.31","","","","","","","","","","","","","","","","1.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","286","1080","","","","194","","","14","","","","","48","781","16","197","33","","","","","","","","","","","","","595","36.2","71.9","9.79","41.1","7.5","2.5","5.9","0.8","3.6","0.6","1.4","0.17","1","0.14","6.1","2.3","","","","","","","","","","","3.2","1.1","","","","","","","","","","","","","","","","","","","","","","","","","1066761",
"[18616]","CONTINENTAL FLOOD BASALT","RAJMAHAL-BENGAL-SYLHET / SHILLONG PLATEAU / JASRA COMPLEX","","26","26","92.5","92.5","SUBAERIAL","","","s JS/8 [18616]","PYROXENITE [18616]","","","LOWER [18616]","CRETACEOUS [18616]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18616] ","39.85","4.76","","7.72","","","","13.14","15.31","11.26","0.21","","1.51","1.62","0.76","","","","","","","","","","","","","","","","1.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1066762",
"[18616]","CONTINENTAL FLOOD BASALT","RAJMAHAL-BENGAL-SYLHET / SHILLONG PLATEAU / JASRA COMPLEX","","26","26","92.5","92.5","SUBAERIAL","","","s JS/15P [18616]","PYROXENITE [18616]","","","LOWER [18616]","CRETACEOUS [18616]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18616] ","41.79","4.62","","5.55","","","","12.01","19.31","11.62","0.14","","0.99","0.78","0.34","","","","","","","","","","","","","","","","1.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","308","104","","","","179","","","15","","","","","37","727","16","209","46","","","","","","","","","","","","","384","55.8","107","14.2","59.9","10.4","3.32","7.7","1","4.5","0.7","1.7","0.18","1.2","0.16","7.6","3.8","","","","","","","","","","","6.5","2.4","","","","","","","","","","","","","","","","","","","","","","","","","1066763",
"[18616]","CONTINENTAL FLOOD BASALT","RAJMAHAL-BENGAL-SYLHET / SHILLONG PLATEAU / JASRA COMPLEX","","26","26","92.5","92.5","SUBAERIAL","","","s JS/22 [18616]","PYROXENITE [18616]","","","LOWER [18616]","CRETACEOUS [18616]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18616] ","41.67","2.54","","8.84","","","","12.58","14.7","9.41","0.24","","2.04","2.97","0.35","","","","","","","","","","","","","","","","2.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","414","504","","","","166","","","16","","","","","8.31","960.8","28","285","82","","","","","","","","","","","","","605","74.1","137","15.4","346.6","49.73","2.9","7.4","1.1","5.7","1","2.9","0.39","2.6","0.37","6.6","5.1","","","","","","","","","","","11.9","2.7","0.512487","","","0.706575","","","","","","","","","","","","","","","","","","","","","1066764",
"[18616]","CONTINENTAL FLOOD BASALT","RAJMAHAL-BENGAL-SYLHET / SHILLONG PLATEAU / JASRA COMPLEX","","26","26","92.5","92.5","SUBAERIAL","","","s JS/31 [18616]","PYROXENITE [18616]","","","LOWER [18616]","CRETACEOUS [18616]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18616] ","39.18","6.14","","5.99","","","","14.27","17.23","10.26","0.23","","1.57","1.03","0.94","","","","","","","","","","","","","","","","0.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1066765",
"[18616]","CONTINENTAL FLOOD BASALT","RAJMAHAL-BENGAL-SYLHET / SHILLONG PLATEAU / JASRA COMPLEX","","26","26","92.5","92.5","SUBAERIAL","","","s JS/37 [18616]","PYROXENITE [18616]","","","LOWER [18616]","CRETACEOUS [18616]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18616] ","36.84","5.94","","8.87","","","","14.47","16.34","7.16","0.23","","2.02","2.92","1.08","","","","","","","","","","","","","","","","1.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","465","21","","","","147","","","23","","","","","39.49","2062","32","516","122","","","","","","","","","","","","","746","113","238","30.1","133.9","21.76","6.31","14.2","1.8","7.9","1.2","2.8","0.29","1.9","0.25","13.3","9.1","","","","","","","","","","","15","4.5","0.512532","","","0.706757","","","","","","","","","","","","","","","","","","","","","1066766",
"[18616]","CONTINENTAL FLOOD BASALT","RAJMAHAL-BENGAL-SYLHET / SHILLONG PLATEAU / JASRA COMPLEX","","26","26","92.5","92.5","SUBAERIAL","","","s JS/39 [18616]","PYROXENITE [18616]","","","LOWER [18616]","CRETACEOUS [18616]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18616] ","36.4","5.67","","9.82","","","","13.82","14.56","6.98","0.22","","2.21","3.49","1.07","","","","","","","","","","","","","","","","1.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1066767",
"[18616]","CONTINENTAL FLOOD BASALT","RAJMAHAL-BENGAL-SYLHET / SHILLONG PLATEAU / JASRA COMPLEX","","26","26","92.5","92.5","SUBAERIAL","","","s JS/2 [18616]","GABBRO [18616]","","","LOWER [18616]","CRETACEOUS [18616]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18616] ","41.71","5.19","","9.1","","","","14.4","14.21","8.4","0.23","","1.36","2.33","1.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","409","178","","","","106","","","20","","","","","23","1666","37","341","82","","","","","","","","","","","","","549","94.8","199","25.6","100","16.7","5.22","12.3","1.7","7.9","1.3","3.4","0.39","2.5","0.31","9.1","5.5","","","","","","","","","","","7.3","1.7","","","","","","","","","","","","","","","","","","","","","","","","","1066768",
"[18616]","CONTINENTAL FLOOD BASALT","RAJMAHAL-BENGAL-SYLHET / SHILLONG PLATEAU / JASRA COMPLEX","","26","26","92.5","92.5","SUBAERIAL","","","s JS/5G [18616]","GABBRO [18616]","","","LOWER [18616]","CRETACEOUS [18616]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18616] ","45.68","4.24","","11.08","","","","12.79","10.88","6.54","0.22","","2.34","3.01","0.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","337","0","","","","0","","","25","","","","","129","1690","40","452","133","","","","","","","","","","","","","809","99","204","25.1","95.1","15.7","4.97","11.5","1.6","8","1.4","3.7","0.43","2.9","0.39","11.2","6.7","","","","","","","","","","","13.2","3.3","","","","","","","","","","","","","","","","","","","","","","","","","1066769",
"[18616]","CONTINENTAL FLOOD BASALT","RAJMAHAL-BENGAL-SYLHET / SHILLONG PLATEAU / JASRA COMPLEX","","26","26","92.5","92.5","SUBAERIAL","","","s JS/7 [18616]","GABBRO [18616]","","","LOWER [18616]","CRETACEOUS [18616]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18616] ","44.98","4.65","","11.01","","","","13.43","10.82","6.41","0.22","","2.52","3.03","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1066770",
