"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19205][19147]","CONTINENTAL FLOOD BASALT","RAMPUR-GARHWAL-MANDI-DARLA PROVINCE / RAMPUR-JAKRI SECTION","","31","32","77","77.5","SUBAERIAL","","","s RJ15 [19205]","THOLEIITE [19205]","","","NEO [19205]","ARCHEAN [19205]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19205] ","52.19","1.22","","14.18","","","","11.93","8.58","5.48","0.18","","1.31","2.6","0.13","","","","","","","","","","","","","","","","0.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","218","","","51","80","123","62","","","","","","24","143","35","160","14","","","","","","","","","","","","","","20.76","48.21","","21.82","4.88","1.56","5.75","","5.59","","3.1","","3.09","0.55","","","","","","","","","","","","","3.52","","0.511885","","","","","","","","","","","","","","","","","","","","","","","","106232-RJ15",
"[19205][19147]","CONTINENTAL FLOOD BASALT","RAMPUR-GARHWAL-MANDI-DARLA PROVINCE / RAMPUR-JAKRI SECTION","","31","32","77","77.5","SUBAERIAL","","","s RJ2 [19205]","THOLEIITE [19205]","","","NEO [19205]","ARCHEAN [19205]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19205] ","51.28","1.02","","14.48","","","","10.88","8.1","6.05","0.2","","2.27","3.2","0.18","","","","","","","","","","","","","","","","1.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","191","","","51","112","42","70","","","","","","52","145","21","77","10","","","","","","","","","","","","","","8.47","21.86","","12.25","3.09","0.95","3.73","","3.46","","1.84","","1.96","0.32","","","","","","","","","","","","","1.49","","0.512191","","","0.728032","","","","","","","","","","","","","","","","","","","","","106232-RJ2",
"[19205][19147]","CONTINENTAL FLOOD BASALT","RAMPUR-GARHWAL-MANDI-DARLA PROVINCE / RAMPUR-JAKRI SECTION","","31","32","77","77.5","SUBAERIAL","","","s RJ21 [19205]","THOLEIITE [19205]","","","NEO [19205]","ARCHEAN [19205]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19205] ","52.93","1.46","","12.99","","","","12.81","8.13","5.4","0.16","","1.1","2","0.3","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","","","45","76","34","78","","","","","","24","229","31","134","12","","","","","","","","","","","","","","18.35","42.58","","41.49","4.73","1.5","5.03","","5.08","","2.65","","2.82","0.45","","","","","","","","","","","","","3.62","","0.511684","","","0.716374","","","","","","","","","","","","","","","","","","","","","106232-RJ21",
"[19205][19147]","CONTINENTAL FLOOD BASALT","RAMPUR-GARHWAL-MANDI-DARLA PROVINCE / RAMPUR-JAKRI SECTION","","31","32","77","77.5","SUBAERIAL","","","s RJ25 [19205]","THOLEIITE [19205]","","","NEO [19205]","ARCHEAN [19205]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19205] ","50.49","1.74","","14.43","","","","13.82","8.41","4.03","0.19","","0.83","2.15","0.41","","","","","","","","","","","","","","","","1.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102","","","55","81","96","132","","","","","","21","218","47","209","19","","","","","","","","","","","","","","28.18","63.52","","33.2","7.2","2.03","7.22","","7.5","","4","","4.1","0.67","","","","","","","","","","","","","5.59","","0.5118599","","","","","","","","","","","","","","","","","","","","","","","","106232-RJ25",
"[19205][19147]","CONTINENTAL FLOOD BASALT","RAMPUR-GARHWAL-MANDI-DARLA PROVINCE / RAMPUR-JAKRI SECTION","","31","32","77","77.5","SUBAERIAL","","","s RN6 [19205]","THOLEIITE [19205]","","","NEO [19205]","ARCHEAN [19205]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19205] ","51.16","1.16","","12.99","","","","8.62","11.2","8.26","0.15","","1.6","2.2","0.2","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","276","","","91","130","87","26","","","","","","28","201","18","53","10","","","","","","","","","","","","","","5.16","14.34","","9.9","3.08","0.9","3.2","","3.06","","1.52","","1.51","0.24","","","","","","","","","","","","","0.35","","0.512787","","","","","","","","","","","","","","","","","","","","","","","","106232-RN6",
"[19147]","CONTINENTAL FLOOD BASALT","RAMPUR-GARHWAL-MANDI-DARLA PROVINCE / MANDI-DARLA VOLCANICS","","31.76","31.76","77.33","77.33","SUBAERIAL","","","s M31 [19147]","THOLEIITE [19147]","","","","ARCHEAN [19147]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19147] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.92","4.57","","","","","","","","","","","","","","","","","","","","","","","","0.511941","","","","","","","","","","","","","","","","","","","","","","","","1076223",
"[19147]","CONTINENTAL FLOOD BASALT","RAMPUR-GARHWAL-MANDI-DARLA PROVINCE / MANDI-DARLA VOLCANICS","","31.76","31.76","77.33","77.33","SUBAERIAL","","","s M24 [19147]","THOLEIITE [19147]","","","","ARCHEAN [19147]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19147] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.52","4.44","","","","","","","","","","","","","","","","","","","","","","","","0.511895","","","","","","","","","","","","","","","","","","","","","","","","1076224",
"[19147]","CONTINENTAL FLOOD BASALT","RAMPUR-GARHWAL-MANDI-DARLA PROVINCE / MANDI-DARLA VOLCANICS","","31.76","31.76","77.33","77.33","SUBAERIAL","","","s M21 [19147]","THOLEIITE [19147]","","","","ARCHEAN [19147]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19147] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.66","3.32","","","","","","","","","","","","","","","","","","","","","","","","0.511806","","","","","","","","","","","","","","","","","","","","","","","","1076225",
"[19147]","CONTINENTAL FLOOD BASALT","RAMPUR-GARHWAL-MANDI-DARLA PROVINCE / MANDI-DARLA VOLCANICS","","31.76","31.76","77.33","77.33","SUBAERIAL","","","s M13 [19147]","THOLEIITE [19147]","","","","ARCHEAN [19147]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19147] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.74","60.4","","","","","","","","","","","","","","","","","","","","18.88","3.98","","","","","","","","","","","","","","","","","","","","","","","","0.511813","","","0.731919","","","","","","","","","","","","","","","","","","","","","1076226",
"[19049]","CONTINENTAL FLOOD BASALT","RAMPUR-GARHWAL-MANDI-DARLA PROVINCE / BERINAG GROUP / GARHWAL VOLCANICS","KARANPRYAG AREA","30.29","30.29","78.98","78.98","SUBAERIAL","","","s G5 [19049]","THOLEIITE [19049]","2510000000 [19049]","2510000000 [19049]","NEO [19049]","ARCHEAN [19049]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19049] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.66","3.9","","","","","","","","","","","","","","","","","","","","","","","","0.512746","","","","","","","","","","","","","","","","","","","","","","","","871305",
