"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19210]","RIFT VOLCANICS","RED SEA RIFT / JORDAN / DEAD SEA TRANSFORM / SHIHAN","","31","31","36","36","SUBAERIAL","","","s SHIHAN [19210]","LHERZOLITE, XENOLITH [19210]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [19210] ","45.95","0.09","","1.7","0.71","1.76","6.21","","2","40.77","0.12","","0.03","0.006","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2156","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1085130",
"[19210]","RIFT VOLCANICS","RED SEA RIFT / JORDAN / DEAD SEA TRANSFORM / SHIHAN","","31","31","36","36","SUBAERIAL","","","s B1 [19210]","BASALT [19210]","","","","","","","","MICROPORPHYRITIC [19210] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [19210] ","45.2","2.32","","12.8","","3.57","7.68","","9.03","11.35","0.16","","1.11","3.57","0.41","","2.16","0.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","397","","","","225","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1085132",
"[19210]","RIFT VOLCANICS","RED SEA RIFT / JORDAN / DEAD SEA TRANSFORM / SHIHAN","","31","31","36","36","SUBAERIAL","","","s B2 [19210]","BASALT, OLIVINE [19210]","","","","","","","","PORPHYRITIC [19210] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [19210] ","44.8","1.58","","13.72","","10.95","2.04","","11.63","7.6","0.17","","0.85","3.1","0.36","","2.74","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","396","","","","188","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1085133",
"[19210]","RIFT VOLCANICS","RED SEA RIFT / JORDAN / DEAD SEA TRANSFORM","WADI AL-KARAK","31","31","36","36","SUBAERIAL","","","s B3 [19210]","DOLERITE [19210]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19210] ","49.45","2.81","","13.13","","2.66","8.8","","9.43","6.5","0.21","","1.08","2.88","0.61","","1.4","0.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","379","","","","58","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1085134",
"[7726]","RIFT VOLCANICS","RED SEA RIFT / ASAL RIFT / DJIBOUTI / ARDOUKOBA","","11.58","11.58","42.47","42.47","SUBAERIAL","","","s 544 [7726]","BASALT, THOLEIITIC [7726]","","","","","","11","1978","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7726] ","48.53","1.88","","18.31","","","","10.29","12","4.88","0.17","","0.29","2.87","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.7","","","84","","","39.5","41","","","","","0.21","","0.82","6.41","317","","117","","0.64","","","","","","","","0.032","","","0.056","93.72","11.77","28.1","","","4.68","1.7","","0.786","","","","","2.94","","3.18","1.14","","","","","","0.0025","","","","","0.936","0.256","","","","0.70349","","","","","","","","","","","","","","","","","","","","","15105-544",
"[7726]","RIFT VOLCANICS","RED SEA RIFT / ASAL RIFT / DJIBOUTI / ARDOUKOBA","","11.58","11.58","42.47","42.47","SUBAERIAL","","","s 545 [7726]","BASALT, THOLEIITIC [7726]","","","","","","11","1978","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7726] ","47.81","1.4","","19.18","","","","8.69","13.51","5.9","0.14","","0.16","2.37","0.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.8","","","134","","","40.2","68","","","","","0","","1","4.5","315","","80","","0.48","","","","","","","","0.017","","","0.04","65.2","7.32","17.8","","","3.21","1.31","","0.558","","","","","2.1","","2.14","0.724","","","","","","0.0029","","","","","0.541","0.147","","","","0.70351","","","","","","","","","","","","","","","","","","","","","15105-545",
"[7726]","RIFT VOLCANICS","RED SEA RIFT / ASAL RIFT / DJIBOUTI / ARDOUKOBA","","11.58","11.58","42.47","42.47","SUBAERIAL","","","s 546 [7726]","BASALT, THOLEIITIC [7726]","","","","","","11","1978","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7726] ","47.47","1.02","","22.74","","","","6.49","14.58","4.56","0.1","","0.11","2.17","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.1","","","113","","","30","54","","","","","0.1","","0.73","3.04","344","","56","","0.49","","","","","","","","0.009","","","0.023","47.14","5.47","13","","","2.33","1.01","","0.401","","","","","1.52","","1.57","0.508","","","","","","0.0033","","","","","0.382","0.103","","","","0.70349","","","","","","","","","","","","","","","","","","","","","15105-546",
"[7726]","RIFT VOLCANICS","RED SEA RIFT / ASAL RIFT / DJIBOUTI / ARDOUKOBA","","11.58","11.58","42.47","42.47","SUBAERIAL","","","s 547 [7726]","BASALT, THOLEIITIC [7726]","","","","","","11","1978","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7726] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.32","","","","","","","","","","","","","","","","","","","","","","","","","","","0.407","0.11","","","","","","","","","","","","","","","","","","","","","","","","","15105-547",
"[7726]","RIFT VOLCANICS","RED SEA RIFT / ASAL RIFT / DJIBOUTI / ARDOUKOBA","","11.58","11.58","42.47","42.47","SUBAERIAL","","","s DP13 [7726]","BASALT, THOLEIITIC [7726]","","","","","","11","1978","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7726] ","47.4","1.1","","21.97","","","","7","14.14","4.89","0.11","","0.11","2.24","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","","108","","","33.1","59","","","","","0.15","","0.16","2.81","343","","68","","0.31","","","","","","","","0.013","","","0.027","49.48","6.06","14.4","","","2.53","1.01","","0.442","","","","","1.64","","1.74","0.559","","","","","","0.0032","","","","","0.415","0.113","","","","0.70345","","","","","","","","","","","","","","","","","","","","","15105-DP13",
"[2845][8592][2849]","RIFT VOLCANICS","RED SEA RIFT / RED SEA CENTRAL TROUGH","","","","","","SUBAQUATIC","","","s MR-V62 [2845] / s MRV 62 [8592]","BASALT [2845] / THOLEIITE [2849]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2845] ","50.01","","","","","","","12.13","","","","","","2.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.3","","","247","","","49.6","108","","","","","","","","5.1","","","122","","","","","","","","","","0.03","","","0.05","48","5.7","","","","","1.23","","0.75","","","","","","","2.4","0.62","","","","","","","","","","","0.7","0.2","0.51308","","","0.70305","","","","","","","","","","","","","","","","","","","","","15111-MR-V62",
