"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[5033]","OCEAN ISLAND","REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN","","18.75","18.75","-110.95","-110.95","SUBAERIAL","","","s SOC9301-A [5033]","BASALT [5033]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5033] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00071","0.000003884","","","","","","","","","","","","","","","","","","","","","","","","0.13","","881","","","","","","","","114559",
"[1407]","OCEAN ISLAND","REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN","","18.75","18.75","-110.95","-110.95","SUBAERIAL","","","s 90-59 [1407]","BASALT, ALKALINE [1407]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1407] ","49.26","2.73","","15.91","","","","10.76","9.45","6.81","0.17","","0.73","3.56","0.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","228","157","","","","110","","","","","","","","8","454","35.58","172","24.9","","","","","","","","","","","","0.03","170","22.1","42.7","6.1","28.9","8.1","2.95","7.4","1.3","7.4","1.39","3.65","0.45","2.7","0.4","3.71","","","","","","","","","","1.35","","1.35","0.33","0.512922","","","0.703148","","18.86","","15.59","","38.54","","","","","","","","","","","","","","","19498",
"[1407]","OCEAN ISLAND","REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN","","18.75","18.75","-110.95","-110.95","SUBAERIAL","","","s 91-2 [1407]","BASALT, ALKALINE [1407]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1407] ","48.9","2.84","","16.81","","","","10.5","9.84","6.07","0.17","","0.75","3.69","0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","229","137","","","","74","","","","","","","","4","476","","","24.4","","","","","","","","","","","","","191","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51293","","","0.703093","","18.9","","15.59","","38.54","","","","","","","","","","","","","","","19499",
"[1407]","OCEAN ISLAND","REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN","","18.75","18.75","-110.95","-110.95","SUBAERIAL","","","s 90-121 [1407]","NOT GIVEN [1407]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1407] ","52.49","2.57","","15.53","","","","10.45","8.82","4.35","0.21","","1.47","3.91","0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","213","91","","","","27","","","","","","","","16","375","37.66","224","32.5","","","","","","","","","","","","0.15","412","25.3","52.3","6.6","30.3","8.4","3.05","8","1.39","8.2","1.6","4.24","0.57","3.5","0.54","5.41","","","","","","","","","","1.98","","2.09","0.49","0.512938","","","0.703191","","18.99","","15.59","","38.59","","","","","","","","","","","","","","","19501",
"[1407]","OCEAN ISLAND","REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN","","18.75","18.75","-110.95","-110.95","SUBAERIAL","","","s 90-28 [1407]","BASALT, ALKALINE [1407]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1407] ","48.91","3.07","","15.86","","","","10.69","9.21","6.39","0.18","","1.3","3.84","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","251","120","","","","80","","","","","","","","21","448","","228","38","","","","","","","","","","","","","275","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512877","","","0.70318","","","","","","","","","","","","","","","","","","","","","19502",
"[1407]","OCEAN ISLAND","REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN","","18.75","18.75","-110.95","-110.95","SUBAERIAL","","","s 90-78 [1407]","NOT GIVEN [1407]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1407] ","51.63","2.61","","15.15","","","","10.72","8.64","4.04","0.21","","1.67","4.16","0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","206","81","","","","26","","","","","","","","19","356","41.15","235","35","","","","","","","","","","","","0.09","444","26.8","55","7.2","33","8.9","3.24","8.6","1.51","8.7","1.65","4.48","0.58","3.7","0.56","5.32","","","","","","","","","","1.95","","2.2","0.55","0.5129151","","","0.703351","","18.92","","15.59","","38.59","","","","","","","","","","","","","","","19504",
"[1407]","OCEAN ISLAND","REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN","","18.75","18.75","-110.95","-110.95","SUBAERIAL","","","s 90-110 [1407]","BASALT, ALKALINE [1407]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1407] ","48.17","3.83","","14.28","","","","12.32","9.21","4.72","0.21","","1.25","4.12","1.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","297","27","","","","8","","","","","","","","17","435","49.22","239","38","","","","","","","","","","","","0.04","343","32.3","68.4","9","42.8","11.9","4.63","11.1","1.88","10.7","2.04","6.31","0.66","4","0.59","5.61","","","","","","","","","","1.78","","2.02","0.38","0.51292","","","0.703192","","18.82","","15.57","","38.46","","","","","","","","","","","","","","","19505",
"[1407]","OCEAN ISLAND","REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN","","18.75","18.75","-110.95","-110.95","SUBAERIAL","","","s 91-18 [1407]","BASALT, ALKALINE [1407]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1407] ","48.02","4.03","","15.03","","","","12.56","8.88","4.68","0.22","","1.17","3.89","1.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","302","18","","","","8","","","","","","","","14","419","50.86","252","38","","","","","","","","","","","","0.05","349","33.8","72.9","9.5","46","12.7","5.01","11.9","2.02","11.2","2.14","5.67","0.7","4.2","0.6","5.93","","","","","","","","","","2.62","","2.24","0.41","0.512923","","","0.70307","","18.79","","15.61","","38.5","","","","","","","","","","","","","","","19506",
"[1407]","OCEAN ISLAND","REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN","","18.75","18.75","-110.95","-110.95","SUBAERIAL","","","s 91-44 [1407]","BASALT, ALKALINE [1407]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1407] ","48.64","3.93","","14.98","","","","12.85","8.89","4.88","0.2","","1.34","3.95","0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","351","51","","","","26","","","","","","","","22","408","52.33","254","42","","","","","","","","","","","","0.09","280","36.1","59.2","8.3","37.8","9.8","3.4","9.6","1.7","9.8","1.97","5.27","0.67","4","0.62","5.73","","","","","","","","","","2.18","","2.86","0.67","0.512969","","","0.703075","","","","","","","","","","","","","","","","","","","","","19507",
"[1407]","OCEAN ISLAND","REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN","","18.75","18.75","-110.95","-110.95","SUBAERIAL","","","s 90-47 [1407]","BASALT, ALKALINE [1407]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1407] ","48.96","3.93","","14.96","","","","12.4","8.92","5.02","0.2","","1.34","3.99","0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","350","47","","","","22","","","","","","","","23","402","","254","43","","","","","","","","","","","","","281","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19508",
