"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19545]","INTRAPLATE VOLCANICS","RIBEIRA BELT / SOUTHERN RIBEIRA BELT / APIAI COMPOSITE TERRANE / VOTUVERAVA GROUP","","-24.6189","-24.6189","-48.4271","-48.4271","SUBAERIAL","","","s GD109A [19545]","NOT GIVEN [19545]","","","NEO [19545]","PROTEROZOIC [19545]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [19545] ","47.55","0.97","","13.13","","","","11.34","10.45","11.42","0.196","","0.11","1.51","0.06","","","","","","","","","","","","","","","","1.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","","277","569.37","","","54.63","233.01","128.7","51.71","15.8","1.47","0","","","1","236.5","13.64","45.16","3.16","2.72","","","","","","","0","0.51","","","0","19","2.82","6.42","1.09","7.923","2.397","0.73","2.13","0.41","2.55","0.5","1.47","0.21","1.33","0.2","1.23","0.17","","","","","","","","","","","0.17","0.07","0.512609","","","0.7071","","","","","","","","","","","","","","","","","","","","","932739",
"[19545]","INTRAPLATE VOLCANICS","RIBEIRA BELT / SOUTHERN RIBEIRA BELT / APIAI COMPOSITE TERRANE / VOTUVERAVA GROUP","","-24.6171","-24.6171","-48.3528","-48.3528","SUBAERIAL","","","s GD177 [19545]","NOT GIVEN [19545]","","","NEO [19545]","PROTEROZOIC [19545]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [19545] ","50.09","0.483","","14.48","","","","9.19","9.77","8.98","0.135","","0.25","2.73","0.04","","","","","","","","","","","","","","","","2.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","","201","321.02","","","46.06","158.1","30.19","58.3","11.74","3.35","0","","","10.45","143","8.31","23.07","1.26","3.13","","","","","","","0","0.57","","","0.38","37","1.11","3.02","0.44","2.53","0.86","0.38","1.17","0.21","1.41","0.3","0.92","0.14","0.95","0.14","0.68","0","","","","","","","","","","","0.13","0","","","","","","","","","","","","","","","","","","","","","","","","","932740",
"[19545]","INTRAPLATE VOLCANICS","RIBEIRA BELT / SOUTHERN RIBEIRA BELT / APIAI COMPOSITE TERRANE / VOTUVERAVA GROUP","","-24.5535","-24.5535","-48.4263","-48.4263","SUBAERIAL","","","s GD391B [19545]","NOT GIVEN [19545]","","","NEO [19545]","PROTEROZOIC [19545]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [19545] ","46.87","0.37","","15.94","","","","7.76","15.96","9.73","0.176","","0.18","0.75","0.03","","","","","","","","","","","","","","","","2.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","203","276.93","","","40.81","153.75","29.47","56.18","15.52","1.77","0","","","14.33","203","8.38","16.01","0.8","2.97","","","","","","","0","3.58","","","0.39","19","1.68","2.74","0.49","2.69","0.9","0.49","1.27","0.23","1.44","0.28","0.82","0.11","0.73","0.1","0.46","0","","","","","","","","","","","0.11","0","","","","","","","","","","","","","","","","","","","","","","","","","932741",
"[19545]","INTRAPLATE VOLCANICS","RIBEIRA BELT / SOUTHERN RIBEIRA BELT / APIAI COMPOSITE TERRANE / VOTUVERAVA GROUP","","-24.5535","-24.5535","-48.4263","-48.4263","SUBAERIAL","","","s GD391G [19545]","NOT GIVEN [19545]","","","NEO [19545]","PROTEROZOIC [19545]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [19545] ","45.36","0.96","","14.58","","","","13.34","11.52","7.92","0.243","","0.23","1.83","0.08","","","","","","","","","","","","","","","","2.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","288","23.9","","","56.69","113.16","38.5","107.69","18.3","2.04","6.62","","","19.2","374","14.49","49.01","2.95","2.66","","","","","","","0","5.73","","","0.45","50","3.06","7.9","1.16","6.19","1.92","0.87","2.21","0.43","2.72","0.54","1.6","0.23","1.56","0.21","1.31","0.17","","","","","","","","","","","0.21","0.08","","","","","","","","","","","","","","","","","","","","","","","","","932742",
"[19545]","INTRAPLATE VOLCANICS","RIBEIRA BELT / SOUTHERN RIBEIRA BELT / APIAI COMPOSITE TERRANE / VOTUVERAVA GROUP","","-24.5013","-24.5013","-48.4988","-48.4988","SUBAERIAL","","","s GD537 [19545]","NOT GIVEN [19545]","","","NEO [19545]","PROTEROZOIC [19545]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [19545] ","48.5","0.3","","13.69","","","","7.71","13.29","10.38","0.16","","0.54","0.93","0.03","","","","","","","","","","","","","","","","2.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","","197","60.43","","","33.72","90.42","42.2","53.89","12.04","1.5","0","","","21.37","78","8.46","17.44","0.69","0","","","","","","","0","0.99","","","0","99","1.11","2.7","0.36","1.97","0.65","0.31","1.01","0.2","1.38","0.3","0.92","0.14","0.98","0.14","0.48","0","","","","","","","","","","","0.16","0","","","","","","","","","","","","","","","","","","","","","","","","","932743",
"[19545]","INTRAPLATE VOLCANICS","RIBEIRA BELT / SOUTHERN RIBEIRA BELT / APIAI COMPOSITE TERRANE / VOTUVERAVA GROUP","","-24.517","-24.517","-48.5079","-48.5079","SUBAERIAL","","","s IP210B [19545]","NOT GIVEN [19545]","","","NEO [19545]","PROTEROZOIC [19545]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [19545] ","49.36","0.33","","18.56","","","","6.29","10.29","8.05","0.148","","1.36","2.37","0.05","","","","","","","","","","","","","","","","3.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","168","287.26","","","28.08","92.42","39.81","32.98","13.29","1.53","6.27","","","59.29","146","8.82","19.09","0.86","0","","","","","","","0","1.49","","","2.08","340","1.38","3.2","0.45","2.33","0.77","0.36","1.12","0.22","1.51","0.32","0.99","0.15","1","0.14","0.55","0","","","","","","","","","","","0.21","0","","","","","","","","","","","","","","","","","","","","","","","","","932744",
"[19545]","INTRAPLATE VOLCANICS","RIBEIRA BELT / SOUTHERN RIBEIRA BELT / APIAI COMPOSITE TERRANE / VOTUVERAVA GROUP","","-24.682316","-24.682316","-48.718","-48.718","SUBAERIAL","","","s IP532 [19545]","NOT GIVEN [19545]","","","NEO [19545]","PROTEROZOIC [19545]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [19545] ","44.83","1.08","","12.36","","","","11.43","9.61","6.04","0.24","","0.04","2.15","0.11","","","","","","","","","","","","","","","","11.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","340","63","","","39.43","70.15","144.81","83.23","14.75","1.45","6.46","","","4.43","251","22.49","65.77","3.09","0","","","","","","","0","2.81","","","2.51","147","2.79","7.71","1.2","6.47","2.1","0.85","2.71","0.56","3.82","0.77","2.42","0.36","2.31","0.36","1.72","0.18","","","","","","","","","","","0.29","0.1","","","","","","","","","","","","","","","","","","","","","","","","","932745",
"[19545]","INTRAPLATE VOLCANICS","RIBEIRA BELT / SOUTHERN RIBEIRA BELT / APIAI COMPOSITE TERRANE / VOTUVERAVA GROUP","","-24.712475","-24.712475","-48.6543","-48.6543","SUBAERIAL","","","s IP609 [19545]","NOT GIVEN [19545]","","","NEO [19545]","PROTEROZOIC [19545]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [19545] ","47.38","1.44","","12.92","","","","13.9","5.57","4.83","0.15","","0","3.2","0.13","","","","","","","","","","","","","","","","7.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","432","46.91","","","43.38","60.56","88.61","56.01","17.68","1.61","0","","","0","62","31.04","85.27","3.55","0","","","","","","","0","5.73","","","0","8","3.83","10.53","1.62","8.87","3.01","1.17","3.71","0.77","5.23","1.1","3.37","0.53","3.45","0.51","2.34","0.2","","","","","","","","","","","0.38","0.13","","","","","","","","","","","","","","","","","","","","","","","","","932746",
"[19545]","INTRAPLATE VOLCANICS","RIBEIRA BELT / SOUTHERN RIBEIRA BELT / APIAI COMPOSITE TERRANE / VOTUVERAVA GROUP","","-24.657","-24.657","-48.5854","-48.5854","SUBAERIAL","","","s IP637A [19545]","NOT GIVEN [19545]","","","NEO [19545]","PROTEROZOIC [19545]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [19545] ","47.29","0.44","","14.45","","","","8.22","15.02","10.94","0.162","","0.03","1.04","0.03","","","","","","","","","","","","","","","","2.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","","206","633.37","","","36.78","207.98","58.48","61.52","13.97","1.56","11.48","","","0","142","8.82","23.24","1.11","0","","","","","","","0","0","","","0.13","14","1.7","3.42","0.56","3.13","1.05","0.51","1.41","0.25","1.61","0.32","0.89","0.13","0.84","0.11","0.63","0","","","","","","","","","","","0.1","0","","","","","","","","","","","","","","","","","","","","","","","","","932747",
"[19545]","INTRAPLATE VOLCANICS","RIBEIRA BELT / SOUTHERN RIBEIRA BELT / APIAI COMPOSITE TERRANE / VOTUVERAVA GROUP","","-24.6602","-24.6602","-48.5951","-48.5951","SUBAERIAL","","","s IP638B [19545]","NOT GIVEN [19545]","","","NEO [19545]","PROTEROZOIC [19545]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [19545] ","45.61","0.41","","14.37","","","","8.24","16.67","10.98","0.151","","0.05","0.68","0.03","","","","","","","","","","","","","","","","2.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","","200","691.11","","","35.16","200.08","87.64","37.12","13.01","1.43","10.94","","","0.34","143.15","8.41","21.14","1.12","0","","","","","","","0","2.94","","","0.2","44","1.71","3.19","0.57","2.516","0.864","0.5","1.35","0.24","1.51","0.29","0.87","0.12","0.77","0.11","0.58","0","","","","","","","","","","","0.09","0","0.512857","","","0.70471","","","","","","","","","","","","","","","","","","","","","932748",
