"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[10638]","INTRAPLATE VOLCANICS","RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / TANDILIA SYSTEM / TANDIL DIKES","","-37.0705","-37.0705","-59.6234","-59.6234","SUBAERIAL","","","s A25 [10638]","BASALT, THOLEIITIC [10638]","1590000000 [10638]","1590000000 [10638]","","PROTEROZOIC [10638]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10638] ","51.34","0.87","","14.69","","1.93","8.82","10.56","11.21","8.16","0.19","","0.83","2.06","0.09","","","","","","","","","","","","","","","","2.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157","","","","110","","","","","","","","96","201","20","62","3","","","","","","","","","","","","","65","2.77","7.28","1.05","5.22","1.78","0.65","2.01","0.33","2.26","0.49","1.25","0.18","1.31","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106400-A25",
"[10638]","INTRAPLATE VOLCANICS","RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / TANDILIA SYSTEM / TANDIL DIKES","","-37.356","-37.356","-59.1693","-59.1693","SUBAERIAL","","","s A30 [10638]","TRACHYANDESITE, BASALTIC [10638]","1590000000 [10638]","1590000000 [10638]","","PROTEROZOIC [10638]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10638] ","52.46","1.55","","15.55","","4.58","9.44","13.56","7.28","3.82","0.15","","0.64","4.75","0.24","","","","","","","","","","","","","","","","3.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","29","","","","","","","","29","326","44","142","14","","","","","","","","","","","","","63","11","30","","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106401-A30",
"[10638]","INTRAPLATE VOLCANICS","RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / AZUL REGION","","-36.78","-36.78","-59.85","-59.85","SUBAERIAL","","","s A1 [10638]","BASALT, THOLEIITIC [10638]","1588000000 [10638]","1588000000 [10638]","","PROTEROZOIC [10638]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10638] ","50.55","1.26","","14.22","","2.4","9.95","12.11","10.77","7.73","0.2","","0.87","2.15","0.14","","","","","","","","","","","","","","","","2.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","328","","","","137","","","","","","","","40.89","166.93","27","87","4","","","","","","","","","","","","","87","6","19","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.72416","","","","","","","","","","","","","","","","","","","","","575664",
"[10638]","INTRAPLATE VOLCANICS","RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / AZUL REGION","","-36.78","-36.78","-59.85","-59.85","SUBAERIAL","","","s A2 [10638]","BASALT, THOLEIITIC [10638]","1590000000 [10638]","1590000000 [10638]","","PROTEROZOIC [10638]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10638] ","50.2","1.29","","14.85","","2.18","10.15","12.11","11.55","7","0.19","","0.42","2.27","0.12","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","292","","","","144","","","","","","","","16.5","149.62","26","77","6","","","","","","","","","","","","","99","3.62","9.35","1.3","7.29","2.57","1","3.35","0.49","3.16","0.71","1.86","0.27","1.96","0.28","","","","","","","","","","","","","","","","","","0.71025","","","","","","","","","","","","","","","","","","","","","575665",
"[10638]","INTRAPLATE VOLCANICS","RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / AZUL REGION","","-36.78","-36.78","-59.85","-59.85","SUBAERIAL","","","s A4 [10638]","BASALT, THOLEIITIC [10638]","1590000000 [10638]","1590000000 [10638]","","PROTEROZOIC [10638]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10638] ","50.76","1.16","","14.07","","2.37","9.48","11.61","11.46","8","0.19","","0.46","2.16","0.13","","","","","","","","","","","","","","","","1.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","345","","","","140","","","","","","","","16.85","166.2","20","73","6","","","","","","","","","","","","","61","3","21","","7.635","1.9","","","","","","","","","","","","","","","","","","","","","","","","0.512778","","","0.7137","","","","","","","","","","","","","","","","","","","","","575666",
"[10638]","INTRAPLATE VOLCANICS","RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / AZUL REGION","","-36.78","-36.78","-59.85","-59.85","SUBAERIAL","","","s A5 [10638]","BASALT, THOLEIITIC [10638]","1590000000 [10638]","1590000000 [10638]","","PROTEROZOIC [10638]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10638] ","50.72","0.99","","14.66","","1.91","9","10.72","12.24","8.02","0.18","","0.19","2.17","0.11","","","","","","","","","","","","","","","","1.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","356","","","","147","","","","","","","","5.74","134.16","22","74","5","","","","","","","","","","","","","31","3.6","9.56","1.33","6.926","2.28","0.8","2.99","0.43","2.95","0.7","1.75","0.26","1.8","0.27","","","","","","","","","","","","","","","0.512893","","","0.70717","","","","","","","","","","","","","","","","","","","","","575667",
"[10638]","INTRAPLATE VOLCANICS","RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / AZUL REGION","","-36.78","-36.78","-59.85","-59.85","SUBAERIAL","","","s A8 [10638]","BASALT, THOLEIITIC [10638]","1590000000 [10638]","1590000000 [10638]","","PROTEROZOIC [10638]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10638] ","50.86","1.19","","14.17","","2.93","9.27","11.91","11.39","7.4","0.19","","0.48","2.27","0.14","","","","","","","","","","","","","","","","2.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","336","","","","127","","","","","","","","16.7","157.18","30","91","6","","","","","","","","","","","","","47","4.41","11.82","1.78","9.57","2.98","0.98","3.37","0.53","3.69","0.88","2.22","0.32","2.14","0.3","","","","","","","","","","","","","","","","","","0.71314","","","","","","","","","","","","","","","","","","","","","575668",
"[10638]","INTRAPLATE VOLCANICS","RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / AZUL REGION","","-36.78","-36.78","-59.85","-59.85","SUBAERIAL","","","s A9 [10638]","BASALT, THOLEIITIC [10638]","1590000000 [10638]","1590000000 [10638]","","PROTEROZOIC [10638]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10638] ","50.42","1.36","","15.17","","3.46","9.2","12.31","9.46","6.71","0.19","","1.93","2.3","0.15","","","","","","","","","","","","","","","","2.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","196","","","","115","","","","","","","","71","166","30","89","6","","","","","","","","","","","","","165","6","14","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","575669",
"[10638]","INTRAPLATE VOLCANICS","RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / AZUL REGION","","-36.78","-36.78","-59.85","-59.85","SUBAERIAL","","","s A10 [10638]","BASALT, THOLEIITIC [10638]","1590000000 [10638]","1590000000 [10638]","","PROTEROZOIC [10638]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10638] ","50.03","1.21","","14.72","","2.96","9.76","12.42","9.09","8.49","0.2","","1.56","2.15","0.13","","","","","","","","","","","","","","","","3.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272","","","","131","","","","","","","","62","263","28","85","9","","","","","","","","","","","","","274","5","15","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","575670",
"[10638]","INTRAPLATE VOLCANICS","RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / AZUL REGION","","-36.78","-36.78","-59.85","-59.85","SUBAERIAL","","","s A16 [10638]","BASALT, THOLEIITIC [10638]","1590000000 [10638]","1590000000 [10638]","","PROTEROZOIC [10638]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10638] ","50.48","0.92","","17.73","","1.19","9.14","10.21","10.56","6.47","0.16","","0.97","2.4","0.1","","","","","","","","","","","","","","","","1.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","239","","","","134","","","","","","","","108","171","26","89","2","","","","","","","","","","","","","136","7.33","15.41","1.95","9.08","2.46","0.87","2.96","0.43","2.69","0.64","1.73","0.27","1.89","0.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","575671",
