"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20089]","RIFT VOLCANICS","RIO GRANDE RIFT / ALBUQUERQUE BASIN / NEW MEXICO / ACHENBACH PARK TUFF","","32.2993","32.2993","-106.5833","-106.5833","SUBAERIAL","","","s MR10-2 [20089]","NOT GIVEN [20089]","","","","EOCENE [20089]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20089] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203.68","19.2177","","","","","","","","","","","","","","","","","","","","18.609","3.8471","","","","","","","","","","","","","","","","","","","","","","","","0.512328","","","0.730747","","","","","","","","","","","","","","","","","","","","","1019060",
"[20089]","RIFT VOLCANICS","RIO GRANDE RIFT / ALBUQUERQUE BASIN / NEW MEXICO / SQUAW MOUNTAIN TUFF","","32.2936","32.2936","-106.6074","-106.6074","SUBAERIAL","","","s MR10-3 [20089]","NOT GIVEN [20089]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20089] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","302.046","7.1401","","","","","","","","","","","","","","","","","","","","29.81","7.471","","","","","","","","","","","","","","","","","","","","","","","","0.512341","","","0.774393","","","","","","","","","","","","","","","","","","","","","1019061",
"[20089]","RIFT VOLCANICS","RIO GRANDE RIFT / ALBUQUERQUE BASIN / NEW MEXICO / WEST-SIDE LAVA","","32.3033","32.3033","-106.6187","-106.6187","SUBAERIAL","","","s MR10-4 [20089]","NOT GIVEN [20089]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20089] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.673","319.16","","","","","","","","","","","","","","","","","","","","75.388","13.515","","","","","","","","","","","","","","","","","","","","","","","","0.512383","","","0.708482","","","","","","","","","","","","","","","","","","","","","1019062",
"[20089]","RIFT VOLCANICS","RIO GRANDE RIFT / ALBUQUERQUE BASIN / NEW MEXICO / GRANITE PEAK","","32.341","32.341","-106.5184","-106.5184","SUBAERIAL","","","s MR10-6 [20089]","GRANITE [20089]","","","","EOCENE [20089]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20089] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106.123","186.68","","","","","","","","","","","","","","","","","","","","38.493","6.722","","","","","","","","","","","","","","","","","","","","","","","","0.512318","","","0.709683","","","","","","","","","","","","","","","","","","","","","1019063",
"[20089]","RIFT VOLCANICS","RIO GRANDE RIFT / ALBUQUERQUE BASIN / NEW MEXICO / SUGERLOAF PEAK","","32.4265","32.4265","-106.5696","-106.5696","SUBAERIAL","","","s MR10-8 [20089]","MONZONITE, QUARTZ [20089]","","","","EOCENE [20089]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20089] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.346","377.41","","","","","","","","","","","","","","","","","","","","28.711","5.0695","","","","","","","","","","","","","","","","","","","","","","","","0.51237","","","0.706025","","","","","","","","","","","","","","","","","","","","","1019064",
"[20089]","RIFT VOLCANICS","RIO GRANDE RIFT / ALBUQUERQUE BASIN / NEW MEXICO / CUEVA TUFF (PENE BLANCA TUFF)","","32.2271","32.2271","-106.5974","-106.5974","SUBAERIAL","","","s MR10-10 [20089]","NOT GIVEN [20089]","","","","EOCENE [20089]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20089] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165.499","5.8629","","","","","","","","","","","","","","","","","","","","22.044","5.893","","","","","","","","","","","","","","","","","","","","","","","","0.512409","","","0.769098","","","","","","","","","","","","","","","","","","","","","1019065",
"[20089]","RIFT VOLCANICS","RIO GRANDE RIFT / ALBUQUERQUE BASIN / NEW MEXICO / BAYLOR MOUNTAIN","","32.3927","32.3927","-106.5848","-106.5848","SUBAERIAL","","","s TRPB [20089]","RHYOLITE [20089]","","","","EOCENE [20089]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20089] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224.213","32.944","","","","","","","","","","","","","","","","","","","","23.997","4.2903","","","","","","","","","","","","","","","","","","","","","","","","0.512375","","","0.717752","","","","","","","","","","","","","","","","","","","","","1019066",
"[20342]","RIFT VOLCANICS","RIO GRANDE RIFT / SAN LUIS BASIN / COLORADO / SPANISH PEAKS","WALSENBURG DIKE, LATHROP ST PK","37.5","37.5","-105","-105","SUBAERIAL","","","s HM-4 [20342]","NOT GIVEN [20342]","","","","MIOCENE [20342]","","","","SERIATE [20342] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20342] ","45.42","2.99","","11.52","","1.34","8.93","","9.21","7.01","0.16","","5.44","2.03","2.13","","","","","","","","","","","","","","","","2.35","","","","","","","","","","","","","","17.03","","","","","","","","","","","","","","17.27","","206","180.8","","","38.19","111.7","60.71","150","","","","","","95.11","1680","23.37","379.1","84.08","","","","","","","","","","","","3.013","3612","114.1","240.2","28.99","112.9","17.29","4.726","14.69","1.401","5.337","0.836","1.994","0.241","1.492","0.198","9.347","4.986","","","","","","","","","11.77","","6.708","2.249","0.512381","","","0.70432","","","","","","","","","","","","","","0.282816","","","","","","","1055096",
"[20342]","RIFT VOLCANICS","RIO GRANDE RIFT / SAN LUIS BASIN / COLORADO / SPANISH PEAKS","WALSENBURG DIKE, COUNTY 590","37.5","37.5","-105","-105","SUBAERIAL","","","s HM-14 [20342]","NOT GIVEN [20342]","","","","MIOCENE [20342]","","","","SERIATE [20342] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20342] ","45.99","2.31","","11.39","","1.27","8.44","","9.23","8.15","0.16","","4.42","3.09","1.43","","","","","","","","","","","","","","","","3.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230","263","","","","167","73","116","","","","","","101","2460","20","258","63","","","","","","","","","","","","","3000","93","","","","","","","","","","","","","","","","","","","","","","","","8","","11","","","","","","","","","","","","","","","","","","","","","","","","","","1055097",
"[20342]","RIFT VOLCANICS","RIO GRANDE RIFT / SAN LUIS BASIN / COLORADO / SPANISH PEAKS","MEGACRYST-RICH SILL, NORTH LAKE SILL COMPLEX","37.5","37.5","-105","-105","SUBAERIAL","","","s HM-18 [20342]","NOT GIVEN [20342]","","","","MIOCENE [20342]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20342] ","44.12","2.13","","10.83","","1.14","7.6","","11.85","7.29","0.15","","2.95","2.44","1.08","","","","","","","","","","","","","","","","7.06","","","","","","","","","","","","","","38.88","","","","","","","","","","","","","","22.45","","195.6","454","","","45.35","250.6","68.02","111.4","","","","","","51.97","893","22.51","296","55.3","","","","","","","","","","","","1.901","3071","50.98","115.7","14.63","58.69","10.26","3.076","9.397","1.057","4.793","0.819","2.077","0.268","1.618","0.221","7.408","3.476","","","","","","","","","9.915","","6.084","1.745","0.512371","","","0.70489","","","","","","","","","","","","","","0.28277","","","","","","","1055098",
