"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20015]","OCEAN ISLAND","ROSS ISLAND / ROSS ISLAND / BEAUFORT ISLAND / PACIFIC OCEAN","EREBUS VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP","-77.98","-77.98","167.02","167.02","SUBAERIAL","","","s AW82-284 [20015]","NOT GIVEN [20015]","","","","CENOZOIC [20015]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20015] ","43.85","3.12","","16.4","","","","10.46","9.13","4.21","0.2","","2.45","4.58","1.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","148","53","","","","287","177","103","","","","","","66","1351","42","440","106","","","","","","","","","","","","","774","88","147","18.1","74","14.9","4.4","14","1.8","8.4","1.4","3.6","","3.4","0.5","9.8","7.8","","","","","","","","","2.1","","8.5","1.2","0.51295","","","0.70293","","20.01","","15.622","","39.435","","","","","","","","0.28302","","","","","","","1011376",
"[20015]","OCEAN ISLAND","ROSS ISLAND / ROSS ISLAND / BEAUFORT ISLAND / PACIFIC OCEAN","EREBUS VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP","-77.98","-77.98","167.02","167.02","SUBAERIAL","","","s NV17A [20015]","NOT GIVEN [20015]","","","","CENOZOIC [20015]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20015] ","43.21","2.97","","15.16","","","","10.48","9.93","5.31","0.21","","1.9","4.28","0.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162","127","","","","330","219","94","","","","","","42","1236","35","376","83","","","","","","","","","","","","","627","64","111","14.1","58","12","3.7","11","1.5","6.9","1.1","3","","2.8","0.4","8.1","6","","","","","","","","","1.6","","6.5","1.2","0.51292","","","0.70296","","19.995","","15.628","","39.425","","","","","","","","0.28301","","","","","","","1011377",
"[20015]","OCEAN ISLAND","ROSS ISLAND / ROSS ISLAND / BEAUFORT ISLAND / PACIFIC OCEAN","EREBUS VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP","-77.98","-77.98","167.02","167.02","SUBAERIAL","","","s BFT-1 [20015]","NOT GIVEN [20015]","","","","CENOZOIC [20015]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20015] ","50.95","1.53","","19.57","","","","7","5.15","1.28","0.2","","3.75","7.25","0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","7","","","","","","","","","","","","129","1316","40","637","174","","","","","","","","","","","","","1066","117","196","20","73","13","4.1","12","1.5","7.4","1.3","3.5","","","0.5","11.9","13.2","","","","","","","","","4.4","","15.3","4","0.51293","","","0.703","","19.981","","15.626","","39.403","","","","","","","","0.28299","","","","","","","1011378",
"[20015]","OCEAN ISLAND","ROSS ISLAND / ROSS ISLAND / BEAUFORT ISLAND / PACIFIC OCEAN","EREBUS VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP","-77.98","-77.98","167.02","167.02","SUBAERIAL","","","s BFT-2 [20015]","NOT GIVEN [20015]","","","","CENOZOIC [20015]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20015] ","49.74","1.9","","18.91","","","","7.84","6.01","1.95","0.22","","3.47","6.18","0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","7","","","","","","","","","","","","112","1378","44","633","164","","","","","","","","","","","","","1034","116","199","21.1","80","14.7","4.5","14","1.7","8.3","1.4","3.9","","","0.5","12.3","13.2","","","","","","","","","3.9","","14.6","3.8","0.51295","","","0.70303","","19.996","","15.631","","39.434","","","","","","","","0.28299","","","","","","","1011379",
"[20015]","OCEAN ISLAND","ROSS ISLAND / ROSS ISLAND / BEAUFORT ISLAND / PACIFIC OCEAN","EREBUS VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP","-77.98","-77.98","167.02","167.02","SUBAERIAL","","","s BFT-5 [20015]","NOT GIVEN [20015]","","","","CENOZOIC [20015]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20015] ","43.27","3.23","","12.52","","","","12.17","9.2","10.77","0.2","","1.72","3.47","1.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143","429","","","","","","","","","","","","42","939","37","440","100","","","","","","","","","","","","","528","82","151","17.3","71","14.1","4.2","13","1.5","7.4","1.2","3","","","0.4","10","7.6","","","","","","","","","2.2","","9.2","2.2","","","","","","","","","","","","","","","","","","","","","","","","","1011380",
"[5428]","OCEAN ISLAND","ROSS ISLAND / ROSS ISLAND / MOUNT EREBUS / PACIFIC OCEAN","SUMMIT","-77.53","-77.53","167.17","167.17","SUBAERIAL","","","s 84 [5428]","PHONOLITE, ANORTHOCLASE [5428]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [5428] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","551.5","","","","","","","","","","","","","","","","","","","","","","","","","","","29.05","","","","","","","","","","","","","","","","","","","","","","","","","","126164",
"[5428]","OCEAN ISLAND","ROSS ISLAND / ROSS ISLAND / MOUNT EREBUS / PACIFIC OCEAN","SUMMIT","-77.53","-77.53","167.17","167.17","SUBAERIAL","","","s 88 [5428]","PHONOLITE, ANORTHOCLASE [5428]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [5428] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","471.9","","","","","","","","","","","","","","","","","","","","","","","","","","","28.63","","","","","","","","","","","","","","","","","","","","","","","","","","126166",
"[6646]","OCEAN ISLAND","ROSS ISLAND / ROSS ISLAND / MOUNT EREBUS / PACIFIC OCEAN","NE CRATER RIM","-77.5317","-77.5317","167.1467","167.1467","SUBAERIAL","","","s 25726 [6646]","PHONOLITE, ANORTHOCLASE [6646]","","","","","","","1972","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6646] ","55.32","1.07","","19.69","","","","5.17","2.68","1.09","0.25","","4.71","7.92","0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","","","","0","4","135","","","","","","111","735","","","","","","","","","","","","","","","","871","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157586",
"[6646]","OCEAN ISLAND","ROSS ISLAND / ROSS ISLAND / MOUNT EREBUS / PACIFIC OCEAN","NE CRATER RIM","-77.5317","-77.5317","167.1467","167.1467","SUBAERIAL","","","s 25726 [6646]","PHONOLITE, ANORTHOCLASE [6646]","","","","","","","1972","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [6646] ","54.94","1.1","","19.27","","","","4.89","2.03","0.85","0.3","","5.42","8.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157587",
"[6646]","OCEAN ISLAND","ROSS ISLAND / ROSS ISLAND / MOUNT EREBUS / PACIFIC OCEAN","WEST FLANK OF CRATER","-77.5317","-77.5317","167.1467","167.1467","SUBAERIAL","","","s 25727 [6646]","PHONOLITE, ANORTHOCLASE [6646]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6646] ","56.42","0.91","","20.18","","","","4.36","2.8","0.95","0.21","","4.4","7.88","0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","","","","0","6","112","","","","","","95","1020","","","","","","","","","","","","","","","","1133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157588",
