"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19354][19185]","INTRAPLATE VOLCANICS","SAO FRANCISCO CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / SALVADOR-CURACA BELT / CURACA DIKE SWARM","","-9.5675","-9.5675","-39.79","-39.79","SUBAERIAL","","","s DB-1 [19354]","BASALT [19354]","","","NEO [19354]","PROTEROZOIC [19354]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19354] ","46.3","2.55","","15.6","","","","14.67","10.1","7.1","0.24","","0.63","1.8","0.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.2","","","","","","","","","","","","","","31.93","","226.6","132.2","","","58.25","88.8","64","127.7","20.7","","","","","9.2","274.3","37.6","149.5","20.19","0.91","","","","","","","","","","","","446.9","22.28","44.32","5.88","25.76","6.18","2.07","6.48","1.16","7.11","1.48","4.24","0.58","3.84","0.55","4.04","1.16","0.29","","","","","","","","6.1","","2.25","0.48","","","","","","","","","","","","","","","","","","","","","","","","","106364-DB-1",
"[19354][19185]","INTRAPLATE VOLCANICS","SAO FRANCISCO CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / SALVADOR-CURACA BELT / CURACA DIKE SWARM","","-9.5675","-9.5675","-39.79","-39.79","SUBAERIAL","","","s DB-10C [19354] / s DB-10.C [19185]","BASALT [19354]","","","NEO [19354]","PROTEROZOIC [19354]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19354] ","47.5","2.67","","14.5","","","","14.76","8.5","6.3","0.19","","1.33","2.5","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","","","","","","","","","","","","","22.86","","189.1","16.9","","","58.13","69.2","70.6","118.1","20.9","","","","","18.98","516.5","37.3","283.7","72.16","1.61","","","","","","","","","","","","577.3","49.58","105.09","12.84","52.61","9.77","2.7","8.91","1.41","7.64","1.51","4.14","0.56","3.75","0.53","6.86","5.35","0.45","","","","","","","","6.26","","4.21","2.3","","","","","","","","","","","","","","","","","","","","","","","","","106364-DB-10.C",
"[19354][19185]","INTRAPLATE VOLCANICS","SAO FRANCISCO CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / SALVADOR-CURACA BELT / CURACA DIKE SWARM","","-9.5675","-9.5675","-39.79","-39.79","SUBAERIAL","","","s DB-6A [19354] / s DB-6.A [19185]","BASALT [19354]","","","NEO [19354]","PROTEROZOIC [19354]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19354] ","47","2.57","","14.8","","","","14.67","8.8","5.6","0.23","","1.22","2.4","0.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4","","","","","","","","","","","","","","22.08","","179.5","15.8","","","56.35","72","68.5","131.5","20.7","","","","","23.62","497.3","35.8","271.8","70.73","1.51","","","","","","","","","","","","576.4","48.46","102.2","12.41","50.58","9.42","2.71","8.37","1.32","7.25","1.44","4","0.53","3.55","0.52","6.58","5.17","0.48","","","","","","","","5.57","","4.04","2.08","","","","","","","","","","","","","","","","","","","","","","","","","106364-DB-6.A",
"[19354][19185]","INTRAPLATE VOLCANICS","SAO FRANCISCO CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / SALVADOR-CURACA BELT / CURACA DIKE SWARM","","-9.5675","-9.5675","-39.79","-39.79","SUBAERIAL","","","s DB-7E [19354] / s DB-7.E [19185]","BASALT [19354]","","","NEO [19354]","PROTEROZOIC [19354]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19354] ","52.1","3.04","","13","","","","14.76","6.7","3.5","0.23","","1.92","2.5","0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.4","","","","","","","","","","","","","","26.48","","248.4","3.2","","","45.41","12.6","35.6","137.9","22.2","","","","","38.56","318","41.6","281.3","39.69","1.88","","","","","","","","","","","","616.2","47.99","100.9","12.21","49.32","9.43","2.72","8.95","1.47","8.26","1.66","4.75","0.64","4.22","0.6","7.25","2.81","0.57","","","","","","","","8.12","","6.79","1.38","","","","","","","","","","","","","","","","","","","","","","","","","106364-DB-7.E",
"[19354][19185]","INTRAPLATE VOLCANICS","SAO FRANCISCO CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / SALVADOR-CURACA BELT / CURACA DIKE SWARM","","-9.5675","-9.5675","-39.79","-39.79","SUBAERIAL","","","s DB-8A [19354] / s DB-8.A [19185]","BASALT [19354]","","","NEO [19354]","PROTEROZOIC [19354]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19354] ","49.1","2.3","","15.2","","","","13.14","9.2","5.2","0.21","","1.21","2.3","0.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.1","","","","","","","","","","","","","","21.63","","157.7","42.8","","","48.62","50.9","43.7","100.6","18.8","","","","","18.85","381.8","33.9","235.5","44.77","1.27","","","","","","","","","","","","446.5","40.67","87.14","10.73","44.15","8.3","2.36","7.78","1.22","6.82","1.37","3.84","0.52","3.46","0.48","5.97","3.43","0.46","","","","","","","","5.79","","3.93","1.35","","","","","","","","","","","","","","","","","","","","","","","","","106364-DB-8.A",
"[19354][19185]","INTRAPLATE VOLCANICS","SAO FRANCISCO CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / SALVADOR-CURACA BELT / CURACA DIKE SWARM","","-9.5675","-9.5675","-39.79","-39.79","SUBAERIAL","","","s DB-9A [19354] / s DB-9.A [19185]","BASALT [19354]","","","NEO [19354]","PROTEROZOIC [19354]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19354] ","50.4","2.39","","14.4","","","","12.87","8.2","4.9","0.19","","0.58","3.6","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5","","","","","","","","","","","","","","21.38","","149.6","31.7","","","43.58","40.6","39.1","121.2","19.5","","","","","11.43","428.8","40.3","276.9","51.3","1.59","","","","","","","","","","","","397.1","50.09","104.94","12.8","52.2","9.81","2.69","9.1","1.42","7.82","1.59","4.35","0.59","3.9","0.56","6.83","3.85","0.55","","","","","","","","5.39","","5.01","1.64","","","","","","","","","","","","","","","","","","","","","","","","","106364-DB-9.A",
"[19354][19185]","INTRAPLATE VOLCANICS","SAO FRANCISCO CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / SALVADOR-CURACA BELT / CURACA DIKE SWARM","","-9.5675","-9.5675","-39.79","-39.79","SUBAERIAL","","","s DB-9D [19354] / s DB-9.D [19185]","BASALT [19354]","","","NEO [19354]","PROTEROZOIC [19354]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19354] ","49.9","2.39","","14.8","","","","12.96","8.1","5.1","0.2","","1.51","3","0.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.1","","","","","","","","","","","","","","20.76","","152.1","37.2","","","43.98","45","38.5","112.1","19.6","","","","","30.33","474.5","35.9","248.8","47.41","1.26","","","","","","","","","","","","421.2","44.23","94.65","11.57","47.87","8.84","2.48","8.31","1.31","7.27","1.47","4.06","0.54","3.66","0.52","6.33","3.58","0.45","","","","","","","","5.32","","4.34","1.5","","","","","","","","","","","","","","","","","","","","","","","","","106364-DB-9.D",
"[15856]","INTRAPLATE VOLCANICS","SAO FRANCISCO CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / UAUA BLOCK / UAUA DIKES","","-9.83","-9.83","-39.47","-39.47","SUBAERIAL","","","s 6019 [15856]","BASALT, THOLEIITIC [15856]","2000000000 [15856]","2400000000 [15856]","PALEO [15856]","PROTEROZOIC [15856]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [15856] ","50.71","1.08","","15.08","","2.04","11.25","13.42","10.81","5.98","0.22","","0.33","2.24","0.13","","","","","","","","","","","","","","","","1.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203","","","","87","","","","","","","","9","112","30","53","5","","","","","","","","","","","","","135","5.95","14.46","","9.5","3.21","1.07","3.67","","3.84","","2.15","","2.36","0.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","578731",
"[15856]","INTRAPLATE VOLCANICS","SAO FRANCISCO CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / UAUA BLOCK / UAUA DIKES","","-9.83","-9.83","-39.47","-39.47","SUBAERIAL","","","s 6020 [15856]","BASALT, THOLEIITIC [15856]","2000000000 [15856]","2400000000 [15856]","PALEO [15856]","PROTEROZOIC [15856]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [15856] ","51.31","1.04","","15.21","","4.86","8.12","12.74","10.78","6","0.21","","0.3","2.28","0.13","","","","","","","","","","","","","","","","0.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182","","","","76","","","","","","","","6","111","26","53","4","","","","","","","","","","","","","115","5.69","13.8","","9.99","3.37","1.06","3.84","","3.95","","2.29","","2.45","0.44","","","","","","","","","","","","","","","0.51237","","","0.70883","","","","","","","","","","","","","","","","","","","","","578732",
"[15856]","INTRAPLATE VOLCANICS","SAO FRANCISCO CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / UAUA BLOCK / UAUA DIKES","","-9.83","-9.83","-39.47","-39.47","SUBAERIAL","","","s 6022 [15856]","BASALT, THOLEIITIC [15856]","2000000000 [15856]","2400000000 [15856]","PALEO [15856]","PROTEROZOIC [15856]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [15856] ","49.72","0.86","","16.68","","1.74","9.61","11.31","12","6.9","0.2","","0.27","1.94","0.12","","","","","","","","","","","","","","","","0.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","313","","","","125","","","","","","","","6","117","26","40","3","","","","","","","","","","","","","99","4.14","9.93","","7.11","2.52","0.84","3.1","","2.9","","1.77","","1.81","0.3","","","","","","","","","","","","","","","0.51248","","","0.7078","","","","","","","","","","","","","","","","","","","","","578733",
