"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20102]","INTRAPLATE VOLCANICS","SARMATIAN CRATON_PROTEROZOIC / EAST SARMATIA OROGEN / VORONTSOVKA BLOCK","DRILL HOLE 8868","52","52","39","39","SUBAERIAL","","","s 399.8 [20102]","DIORITE [20102]","","","","PROTEROZOIC [20102]","","","","","PLUTONIC ROCK","399.8","399.8","","","WHOLE_ROCK [20102] ","55.34","0.78","","15.87","","","","8.38","6.65","5.49","0.13","","2.08","2.46","0.19","","","","","","","","","","","","","","","0.05","0.97","","","","","","","","","","","","","","","0.745","","","","","","","","","","","","","20.9","","141","159","","","22.2","11.4","13.8","140","18.4","","","","","83.3","497","21.8","166","8.15","1.93","","","","","","","","","","","6.04","503","24.1","54.8","6.42","25.6","4.79","1.29","4.67","0.752","3.86","0.798","2.64","0.387","2.58","0.349","4.06","0.511","","","","","","","","","52.5","","3.36","0.981","","","","","","","","","","","","","","","","","","","","","","","","","1019535",
"[20102]","INTRAPLATE VOLCANICS","SARMATIAN CRATON_PROTEROZOIC / EAST SARMATIA OROGEN / VORONTSOVKA BLOCK","DRILL HOLE 8868","52","52","39","39","SUBAERIAL","","","s 414 [20102]","DIORITE [20102]","","","","PROTEROZOIC [20102]","","","","","PLUTONIC ROCK","414","414","","","WHOLE_ROCK [20102] ","55.94","0.76","","15.8","","","","8.21","7.35","4.52","0.12","","1.85","2.39","0.17","","","","","","","","","","","","","","","0.03","1.22","","","","","","","","","","","","","","","0.72","","","","","","","","","","","","","18.9","","139","157","","","21.8","7.5","16.4","81","17.9","","","","","62.6","514","21","160","7.87","1.93","","","","","","","","","","","4.19","425","22.6","51.3","5.88","23.6","4.49","1.3","4.31","0.691","3.78","0.774","2.5","0.37","2.49","0.345","4.17","0.516","","","","","","","","","6.5","","3.31","0.899","","","","","","","","","","","","","","","","","","","","","","","","","1019536",
"[20102]","INTRAPLATE VOLCANICS","SARMATIAN CRATON_PROTEROZOIC / EAST SARMATIA OROGEN / VORONTSOVKA BLOCK","DRILL HOLE 8868","52","52","39","39","SUBAERIAL","","","s 414 [20102]","DIORITE [20102]","","","","PROTEROZOIC [20102]","","","","","PLUTONIC ROCK","414","414","","","WHOLE_ROCK [20102] ","56.08","0.75","","15.91335","","","","8.15","7.25281","4.56","0.121","","1.95","2.48","0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1019537",
"[20102]","INTRAPLATE VOLCANICS","SARMATIAN CRATON_PROTEROZOIC / EAST SARMATIA OROGEN / VORONTSOVKA BLOCK","DRILL HOLE 8868","52","52","39","39","SUBAERIAL","","","s 456.2 [20102]","DIORITE [20102]","","","","PROTEROZOIC [20102]","","","","","PLUTONIC ROCK","456.2","456.2","","","WHOLE_ROCK [20102] ","54.96","0.92","","16.39","","","","8.31","8.63","4.05","0.12","","1.32","2.8","0.2","","","","","","","","","","","","","","","0.47","1.23","","","","","","","","","","","","","","","0.936","","","","","","","","","","","","","24.2","","130","162","","","21","12.7","28.9","87","18.7","","","","","49.7","551","19.3","155","8.79","1.72","","","","","","","","","","","3.3","331","24.6","55.5","6.44","25.2","4.63","1.46","4.23","0.641","3.42","0.711","2.17","0.309","2.13","0.31","3.97","0.543","","","","","","","","","6.4","","3.51","1.019","","","","","","","","","","","","","","","","","","","","","","","","","1019538",
"[20102]","INTRAPLATE VOLCANICS","SARMATIAN CRATON_PROTEROZOIC / EAST SARMATIA OROGEN / VORONTSOVKA BLOCK","DRILL HOLE 8868","52","52","39","39","SUBAERIAL","","","s 307.1 [20102]","ANDESITE, BASALTIC [20102]","","","","PROTEROZOIC [20102]","","","","","VOLCANIC ROCK","307.1","307.1","","","WHOLE_ROCK [20102] ","54.83","0.9","","17.2","","","","7.25","7.09","5.41","0.1","","1.38","3.46","0.17","","","","","","","","","","","","","","","0.12","0.909","","","","","","","","","","","","","","","0.873","","","","","","","","","","","","","20.6","","167","126","","","23","24.5","20.4","81","20.7","","","","","62.8","751","15.5","120","5.65","1.51","","","","","","","","","","","8.26","305","16.7","43","5.69","21.9","4.32","1.33","3.79","0.56","2.91","0.588","1.79","0.255","1.62","0.237","3.19","0.372","","","","","","","","","8.5","","2.09","0.641","","","","","","","","","","","","","","","","","","","","","","","","","1019539",
"[20102]","INTRAPLATE VOLCANICS","SARMATIAN CRATON_PROTEROZOIC / EAST SARMATIA OROGEN / VORONTSOVKA BLOCK","DRILL HOLE 8868","52","52","39","39","SUBAERIAL","","","s 325.1 [20102]","ANDESITE, BASALTIC [20102]","","","","PROTEROZOIC [20102]","","","","","VOLCANIC ROCK","325.1","325.1","","","WHOLE_ROCK [20102] ","54.27","0.91","","16.12","","","","8.42","8.02","4.99","0.11","","1.29","3.09","0.21","","","","","","","","","","","","","","","0.17","0.846","","","","","","","","","","","","","","","0.838","","","","","","","","","","","","","19.5","","160","125","","","26.6","27.1","23.7","82","20.2","","","","","43.7","768","15.5","121","5.62","1.42","","","","","","","","","","","5.11","455","17.9","45.1","5.28","21.3","4.32","1.4","3.59","0.531","2.9","0.585","1.8","0.251","1.56","0.238","3.2","0.386","","","","","","","","","7.4","","2.04","0.64","","","","","","","","","","","","","","","","","","","","","","","","","1019540",
"[20102]","INTRAPLATE VOLCANICS","SARMATIAN CRATON_PROTEROZOIC / EAST SARMATIA OROGEN / VORONTSOVKA BLOCK","DRILL HOLE 8868","52","52","39","39","SUBAERIAL","","","s 325.1 [20102]","ANDESITE, BASALTIC [20102]","","","","PROTEROZOIC [20102]","","","","","VOLCANIC ROCK","325.1","325.1","","","WHOLE_ROCK [20102] ","54.39","0.89","","16.25746","","","","8.37","7.90941","5.05","0.111","","1.39","3.16","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1019541",
"[20102]","INTRAPLATE VOLCANICS","SARMATIAN CRATON_PROTEROZOIC / EAST SARMATIA OROGEN / VORONTSOVKA BLOCK","DRILL HOLE 8868","52","52","39","39","SUBAERIAL","","","s 500.4 [20102]","ANDESITE, BASALTIC [20102]","","","","PROTEROZOIC [20102]","","","","","VOLCANIC ROCK","500.4","500.4","","","WHOLE_ROCK [20102] ","54.2","0.53","","14.07","","","","8.98","8.08","6.97","0.1","","1.58","2.18","0.1","","","","","","","","","","","","","","","0.07","1.56","","","","","","","","","","","","","","","1.017","","","","","","","","","","","","","26.1","","147","398","","","30.9","70.9","29.3","86","17.1","","","","","91.2","297","14.8","128","5.99","1.56","","","","","","","","","","","8.25","398","22","49","5.65","20.7","3.88","0.97","3.35","0.494","2.82","0.563","1.81","0.258","1.64","0.24","3.43","0.44","","","","","","","","","6.9","","4.14","1.218","","","","","","","","","","","","","","","","","","","","","","","","","1019542",
"[20102]","INTRAPLATE VOLCANICS","SARMATIAN CRATON_PROTEROZOIC / EAST SARMATIA OROGEN / VORONTSOVKA BLOCK","DRILL HOLE 8868","52","52","39","39","SUBAERIAL","","","s 215 [20102]","ANDESITE, BASALTIC [20102]","","","","PROTEROZOIC [20102]","","","","","VOLCANIC ROCK","215","215","","","WHOLE_ROCK [20102] ","53.61","0.72","","13.15","","","","9.35","10.44","7.3","0.12","","0.92","1.69","0.11","","","","","","","","","","","","","","","0.11","1.27","","","","","","","","","","","","","","","0.599","","","","","","","","","","","","","21.1","","188","657","","","34.8","32.1","22.2","82","16.4","","","","","44","311","17.9","135","6.31","1.58","","","","","","","","","","","7.99","259","21.1","44.5","4.96","19.3","4.06","1.16","3.79","0.587","3.48","0.725","2.11","0.301","1.97","0.304","3.62","0.455","","","","","","","","","3.2","","2.33","0.641","","","","","","","","","","","","","","","","","","","","","","","","","1019543",
"[20102]","INTRAPLATE VOLCANICS","SARMATIAN CRATON_PROTEROZOIC / EAST SARMATIA OROGEN / VORONTSOVKA BLOCK","DRILL HOLE 8868","52","52","39","39","SUBAERIAL","","","s 264.8 [20102]","ANDESITE, BASALTIC [20102]","","","","PROTEROZOIC [20102]","","","","","VOLCANIC ROCK","264.8","264.8","","","WHOLE_ROCK [20102] ","55.22","0.62","","14.87","","","","8.86","7.91","6.62","0.1","","1.67","2.33","0.11","","","","","","","","","","","","","","","0.17","0.486","","","","","","","","","","","","","","","0.972","","","","","","","","","","","","","26","","140","415","","","31.2","74.3","39.4","76","17.6","","","","","75.3","308","15.2","129","6.17","1.53","","","","","","","","","","","7.16","302","19.1","46.7","6.06","20.42","3.9","1","3.44","0.524","2.83","0.578","1.83","0.262","1.69","0.251","3.47","0.449","","","","","","","","","6.1","","4.26","1.242","0.511629","","","0.722942","","","","","","","","","","","","","","","","","","","","","1019544",
