"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4800]","CONVERGENT MARGIN","SCOTIA ARC / SOUTH SHETLAND ISLANDS / LIVINGSTON ISLAND / ATLANTIC OCEAN","HURD PENINSULA","-62.58","-62.833","-60","-60.5","SUBAERIAL","","","s P.1957.7A [4800]","DACITE [4800]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4800] ","62.31","0.47","","16.97","","","","3.81","2.93","1.84","0.34","","4.85","0.16","0.25","","","","","","","","","","","","","","","","5.17","","","","","","","","","","","","","","","","","","","","","","","","176","182","","","5.4","","22","67","","","5.3","4","16","58","20","","","","","169","89","28","192","11","","","","","","","","","","","","7.85","373","27.1","54.2","","28.3","5.24","1.41","","0.7","","","","","3.06","0.49","4.65","0.75","","","","","","","","","13","","4.35","1.3","","","","","","","","","","","","","","","","","","","","","","","","","111811",
"[4800]","CONVERGENT MARGIN","SCOTIA ARC / SOUTH SHETLAND ISLANDS / LIVINGSTON ISLAND / ATLANTIC OCEAN","HURD PENINSULA","-62.58","-62.833","-60","-60.5","SUBAERIAL","","","s P.2058.2 [4800]","PEGMATITE [4800]","","","","","","","","","PEGMATITE","","","","","WHOLE_ROCK [4800] ","44.4","1.12","","18.56","","","","8.37","9.74","3.88","0.14","","3.15","1.77","0.27","","","","","","","","","","","","","","","","7.54","","","","","","","","","","","","","","","","","","","","","","","","57","80","","","26.2","","321","52","","","25.5","26","38","88","17","","","","","121","468","24","68","7","","","","","","","","","","","","0.45","775","9.6","20.6","","12.9","3.3","0.96","","0.56","","","","","1.8","0.28","2.5","0.17","","","","","","","","","18","","1.92","0.8","","","","","","","","","","","","","","","","","","","","","","","","","111812",
"[4800]","CONVERGENT MARGIN","SCOTIA ARC / SOUTH SHETLAND ISLANDS / LIVINGSTON ISLAND / ATLANTIC OCEAN","0.5M E-W","-62.58","-62.833","-60","-60.5","SUBAERIAL","","","s P.1984.1 [4800]","BASALT [4800]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4800] ","51.14","1.19","","16.83","","","","8.88","4.06","6.69","0.16","","1.81","4.52","0.24","","","","","","","","","","","","","","","","3.33","","","","","","","","","","","","","","","","","","","","","","","","107","19","","","25.9","","228","224","","","30","86","39","75","14","","","","","50","862","24","117","1","","","","","","","","","","","","","1079","9.3","21.4","","14.4","3.77","1.25","","0.7","","","","","2.28","0.34","2.52","","","","","","","","","","8","","1.1","0.8","","","","","","","","","","","","","","","","","","","","","","","","","111813",
"[4800]","CONVERGENT MARGIN","SCOTIA ARC / SOUTH SHETLAND ISLANDS / LIVINGSTON ISLAND / ATLANTIC OCEAN","JOHSON DOCK DIORITE STOCK","-62.58","-62.833","-60","-60.5","SUBAERIAL","","","s P.2060.5 [4800]","DIORITE [4800]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [4800] ","54.54","1.1","","17.53","","","","8.53","7.49","3.96","0.17","","1.21","3.1","0.28","","","","","","","","","","","","","","","","1.64","","","","","","","","","","","","","","","","","","","","","","","","59","233","","","24.3","","234","20","","","20.3","11","31","94","19","","","","","28","406","28","133","7","","","","","","","","","","","","0.95","323","24.6","52.3","","28.8","6.45","1.66","","0.94","","","","","3.09","0.49","6.19","0.46","","","","","","","","","14","","4.61","1.2","","","","","","","","","","","","","","","","","","","","","","","","","111814",
"[4800]","CONVERGENT MARGIN","SCOTIA ARC / SOUTH SHETLAND ISLANDS / LIVINGSTON ISLAND / ATLANTIC OCEAN","","-62.58","-62.833","-60","-60.5","SUBAERIAL","","","s P.1967.2 [4800]","NOT GIVEN [4800]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [4800] ","45.42","0.91","","17.83","","","","8.8","7.85","9.13","0.15","","1.24","3.06","0.18","","","","","","","","","","","","","","","","4.75","","","","","","","","","","","","","","","","","","","","","","","","78","159","","","29.9","","255","448","","","37.1","134","54","76","16","","","","","37","657","14","66","1","","","","","","","","","","","","1.69","292","5.9","12.8","","8.9","2.35","0.85","","0.38","","","","","1.13","0.19","1.4","0.09","","","","","","","","","31","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","111815",
"[4800]","CONVERGENT MARGIN","SCOTIA ARC / SOUTH SHETLAND ISLANDS / LIVINGSTON ISLAND / ATLANTIC OCEAN","MOORES PEAK","-62.58","-62.833","-60","-60.5","SUBAERIAL","","","s P.2400.4 [4800]","GABBRO [4800]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [4800] ","50.27","0.78","","17.96","","","","8.65","10.6","6.92","0.16","","0.31","1.95","0.11","","","","","","","","","","","","","","","","1.7","","","","","","","","","","","","","","","","","","","","","","","","54","7","","","34.2","","250","96","","","31","38","101","74","19","","","","","6","433","14","45","3","","","","","","","","","","","","0.81","95","6.4","12.4","","8.4","2.15","0.81","","0.39","","","","","1.24","0.2","1.03","0.08","","","","","","","","","12","","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","111816",
"[4800]","CONVERGENT MARGIN","SCOTIA ARC / SOUTH SHETLAND ISLANDS / LIVINGSTON ISLAND / ATLANTIC OCEAN","JOHNSON DOCK STOCK","-62.58","-62.833","-60","-60.5","SUBAERIAL","","","s P.2060.9 [4800]","DIORITE [4800]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [4800] ","48.86","0.92","","18.13","","","","8.36","9.71","6.97","0.15","","0.86","2.17","0.18","","","","","","","","","","","","","","","","2.92","","","","","","","","","","","","","","","","","","","","","","","","63","49","","","29.8","","248","135","","","31.6","42","51","83","20","","","","","14","782","15","70","3","","","","","","","","","","","","","419","12.3","26.2","","17.4","4.01","1.28","","0.49","","","","","1.23","0.2","1.9","0.09","","","","","","","","","10","","3.16","1.1","","","","","","","","","","","","","","","","","","","","","","","","","111817",
"[4800]","CONVERGENT MARGIN","SCOTIA ARC / SOUTH SHETLAND ISLANDS / LIVINGSTON ISLAND / ATLANTIC OCEAN","BARNARD POINT PLUTON","-62.58","-62.833","-60","-60.5","SUBAERIAL","","","s P.2374.3 [4800]","NOT GIVEN [4800]","","","","","","","","","PEGMATITE","","","","","WHOLE_ROCK [4800] ","61.7","0.44","","17.42","","","","4.2","5.42","2.66","0.09","","1.71","4.49","0.15","","","","","","","","","","","","","","","","1.37","","","","","","","","","","","","","","","","","","","","","","","","47","106","","","","","107","18","","","","11","66","61","20","","","","","29","644","14","142","3","","","","","","","","","","","","","549","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","111818",
"[4800]","CONVERGENT MARGIN","SCOTIA ARC / SOUTH SHETLAND ISLANDS / LIVINGSTON ISLAND / ATLANTIC OCEAN","","-62.58","-62.833","-60","-60.5","SUBAERIAL","","","s P.2381.4 [4800]","PEGMATITE [4800]","","","","","","","","","PEGMATITE","","","","","WHOLE_ROCK [4800] ","48.15","0.87","","15.17","","","","6.91","7.96","11.36","0.14","","1.41","4.07","0.18","","","","","","","","","","","","","","","","3.33","","","","","","","","","","","","","","","","","","","","","","","","53","193","","","35.5","","258","310","","","35.3","175","31","91","17","","","","","34","413","15","90","3","","","","","","","","","","","","0.2","303","10.4","25.1","","16.3","3.84","1.23","","0.56","","","","","1.51","0.23","2.37","0.19","","","","","","","","","14","","1.87","0.8","","","","","","","","","","","","","","","","","","","","","","","","","111819",
"[2191]","CONVERGENT MARGIN","SCOTIA ARC / SCOTIA SEA / DREDGE 20 / ATLANTIC OCEAN","","-56.4","-56.4","-30.67","-30.67","SUBAQUATIC","-3290","-3290","s 1 [2191]","BASALT [2191]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [2191] ","50.4","1.42","","14.62","","","","7.93","11.1","8.13","0.17","","0.36","3.11","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","263","","","","72","76","67","16","","","","","5","195","28","109","4","","","","","","","","","","","","","51","6","12","","","","","","","","","","","","","","","","","","","","","","","3","","1","","","","","0.7028","","","","","","","","","","","","","","","","","","","","","114046",
