"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4868]","OCEAN ISLAND","SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN","TORNOZELOUS COMPLEX","31","31","-16","-16","SUBAERIAL","","","s J-49 [4868]","BASANITE [4868]","","","","PLIOCENE [4868]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4868] ","44.19","2.57","","12.56","","","","10.52","10.58","10.9","0.2","","1.12","3.48","0.87","0.76","","","","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","246","480","","","59","424","","122","19","","","","","23.7","829","22.7","203","65.5","","","","","","","","","","","","","517","54.2","105","12.5","46.8","9.04","2.75","8","1.09","5.44","0.95","2.24","0.27","1.65","0.22","4.98","3.56","","","","","","","","","3.3","","5.84","1.19","0.51291","","","0.703076","","19.37","","15.566","","39.19","","","","","","","","","","","","","","","106401",
"[4868]","OCEAN ISLAND","SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN","ATALAIA COMPLEX","31","31","-16","-16","SUBAERIAL","","","s J-8A [4868]","BASANITE [4868]","","","","PLIOCENE [4868]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4868] ","45.73","2.18","","13.28","","","","10.4","9.78","9.81","0.19","","0.8","3.32","0.62","0.65","","","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230","421","","","58","264","","128","18","","","","","16.6","654","20.7","148","43.7","","","","","","","","","","","","","350","37.1","71.9","8.53","32.9","6.85","2.18","6.34","0.9","4.79","0.87","2.08","0.26","1.62","0.22","4.04","2.47","","","","","","","","","2.45","","3.9","1.19","0.512908","","","0.70304","","19.399","","15.564","","39.177","","","","","","","","","","","","","","","106403",
"[4868]","OCEAN ISLAND","SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN","DIKES","31","31","-16","-16","SUBAERIAL","","","s J-43 [4868]","BASANITE [4868]","","","","MIOCENE [4868]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4868] ","39.54","2.53","","12.27","","","","11.5","11.43","11.47","0.19","","0.66","2.06","0.7","4.33","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","268","339","","","70","220","","115","17","","","","","8.6","555","21.6","185","59.6","","","","","","","","","","","","","387","40.7","84.4","10.5","41.3","8.23","2.46","7.16","1.02","5.31","0.95","2.37","0.3","1.85","0.26","5.09","3.68","","","","","","","","","2.22","","3.69","0.88","","","","","","","","","","","","","","","","","","","","","","","","","106404",
"[4868]","OCEAN ISLAND","SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN","DIKES","31","31","-16","-16","SUBAERIAL","","","s J-36 [4868]","BASANITE [4868]","","","","MIOCENE [4868]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4868] ","41.86","2.52","","12.63","","","","11.93","10.82","11","0.21","","0.84","3.52","0.69","1.41","","","","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271","401","","","69","239","","121","16","","","","","9.8","724","24.3","193","67.2","","","","","","","","","","","","","447","43.2","88.8","10.9","42.5","8.39","2.52","7.4","1.03","5.4","0.98","2.42","0.31","1.93","0.26","5.12","3.73","","","","","","","","","1.98","","3.66","0.85","0.512906","","","0.703154","","19.383","","15.577","","39.229","","","","","","","","","","","","","","","106405",
"[4868]","OCEAN ISLAND","SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN","DIKES","31","31","-16","-16","SUBAERIAL","","","s J-42 [4868]","BASANITE [4868]","","","","MIOCENE [4868]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4868] ","42","2.53","","12.75","","","","12.01","10.9","10.62","0.2","","1.17","3.14","0.71","1.26","","","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","255","391","","","67","233","","122","19","","","","","24.4","730","24.1","198","67","","","","","","","","","","","","","445","42.7","87.2","10.8","42.1","8.36","2.5","7.22","1.03","5.36","0.98","2.4","0.3","1.88","0.27","5.12","3.68","","","","","","","","","2.06","","3.57","0.83","0.512904","","","0.703168","","19.334","","15.564","","39.136","","","","","","","","","","","","","","","106406",
"[4868]","OCEAN ISLAND","SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN","","31","31","-16","-16","SUBAERIAL","","","s J-45 [4868]","BASANITE [4868]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4868] ","43.03","2.42","","12.35","","","","10.16","10.46","11.62","0.19","","1.06","2.81","0.81","2.17","","","","0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","227","457","","","59","360","","123","17","","","","","19.4","850","22.4","191","66.5","","","","","","","","","","","","","551","58.9","113","13.1","49.3","9.27","2.78","8.02","1.1","5.5","0.95","2.28","0.28","1.65","0.22","4.73","3.57","","","","","","","","","3.71","","6.76","1.33","0.512912","","","0.703105","","19.359","","15.563","","39.172","","","","","","","","","","","","","","","106423",
"[4868]","OCEAN ISLAND","SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN","","31","31","-16","-16","SUBAERIAL","","","s J-35G [4868]","TEPHRITE [4868]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4868] ","42.35","1.65","","15.58","","","","8.94","11.44","4.31","0.23","","2.45","4.42","1.22","4.74","","","","0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","229","34","","","44","46","","124","15","","","","","27.5","642","30.7","255","90.4","","","","","","","","","","","","","335","72.3","138","15.9","57","10.1","2.94","8.57","1.19","6.34","1.22","3.13","0.42","2.72","0.38","5.21","5.07","","","","","","","","","8.51","","7.43","1.62","0.512912","","","0.703074","","19.908","","15.614","","40.105","","","","","","","","","","","","","","","106424",
"[4868]","OCEAN ISLAND","SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN","","31","31","-16","-16","SUBAERIAL","","","s J-9 [4868]","PHONOLITE [4868]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4868] ","52.57","0.41","","21.02","","","","2.23","1.57","0.35","0.14","","3.83","11.04","0.09","4.57","","","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","32","","","12","11","","88","34","","","","","105","594","15","373","119","","","","","","","","","","","","","939","39","64.7","6.28","19.4","3.26","0.97","2.75","0.44","2.69","0.56","1.67","0.27","1.91","0.28","6.41","5.47","","","","","","","","","17.8","","13.8","4.47","0.512911","","","0.703663","","19.716","","15.607","","39.623","","","","","","","","","","","","","","","106425",
"[4868]","OCEAN ISLAND","SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN","BASEMENT","30.1386","30.1386","-15.8656","-15.8656","SUBAERIAL","","","s J-32 [4868]","PHONOLITE [4868]","","","","OLIGOCENE [4868]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4868] ","52.38","0.64","","21.84","","","","2.96","2.45","1.08","0.16","","4.25","10.09","0.15","2.19","","","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65","0","","","12","14","","86","24","","","","","100","656","18.6","330","113","","","","","","","","","","","","","1204","55.3","95.6","9.82","32","5.17","1.49","4.25","0.62","3.53","0.7","1.99","0.29","1.98","0.29","5.32","5.05","","","","","","","","","10.9","","10.1","3.2","0.512902","","","0.703151","","19.903","","15.603","","39.786","","","","","","","","","","","","","","","106426",
"[4868]","OCEAN ISLAND","SELVAGEN ISLANDS / SELVAGEN PEQUENA / PEQUENA / ATLANTIC OCEAN","","31","31","-16","-16","SUBAERIAL","","","s SP-1 [4868]","TEPHRITE [4868]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4868] ","37.81","2.24","","14.03","","","","8.77","10.97","6.17","0.23","","0.48","5.55","0.68","5.15","","","","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","270","38","","","37","25","","121","20","","","","","10.8","740","31.8","303","104","","","","","","","","","","","","","802","81.9","150","16.4","61.1","10.7","3.12","9.36","1.23","6.28","1.13","3.06","0.39","2.44","0.34","6.11","4.2","","","","","","","","","7.49","","6.78","1.83","0.512906","","","0.703101","","19.722","","15.617","","39.557","","","","","","","","","","","","","","","106428",
