"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19106]","OCEANIC PLATEAU","SHATSKY RISE / TAMU MASSIF / SITE U1346 / PACIFIC OCEAN","HOLE U1347A","32.5079","32.5079","159.2346","159.2346","SUBAQUATIC","-3450","-3450","s U1347A-13R7,98-100 [19106]","NOT GIVEN [19106]","","","LOWER [19106]","CRETACEOUS [19106]","","","","","VOLCANIC ROCK","175.24","175.24","","","VOLCANIC GLASS [19106] ","50.47","2.41","","13.01","","","","14.55","10.54","5.8","0.3","","0.26","2.35","0.25","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","558","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106076-U1347A-13R7,98-100",
"[19106]","OCEANIC PLATEAU","SHATSKY RISE / TAMU MASSIF / SITE U1346 / PACIFIC OCEAN","HOLE U1347A","32.5079","32.5079","159.2346","159.2346","SUBAQUATIC","-3450","-3450","s U1347A-14R1,26-29 [19106]","NOT GIVEN [19106]","","","LOWER [19106]","CRETACEOUS [19106]","","","","","VOLCANIC ROCK","176.86","176.86","","","VOLCANIC GLASS [19106] ","50.48","2.6","","12.69","","","","15.65","10.16","5.21","0.29","","0.28","2.41","0.17","0.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","583","117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106076-U1347A-14R1,26-29",
"[19106]","OCEANIC PLATEAU","SHATSKY RISE / TAMU MASSIF / SITE U1346 / PACIFIC OCEAN","HOLE U1347A","32.5079","32.5079","159.2346","159.2346","SUBAQUATIC","-3450","-3450","s U1347A-15R1,119.5-121.5 [19106]","NOT GIVEN [19106]","","","LOWER [19106]","CRETACEOUS [19106]","","","","","VOLCANIC ROCK","187.38","187.38","","","VOLCANIC GLASS [19106] ","50.44","2.48","","13.12","","","","14.82","10.46","5.58","0.26","","0.26","2.35","0.15","0.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","590","119","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106076-U1347A-15R1,119.5-121.5",
"[19106]","OCEANIC PLATEAU","SHATSKY RISE / TAMU MASSIF / SITE U1346 / PACIFIC OCEAN","HOLE U1347A","32.5079","32.5079","159.2346","159.2346","SUBAQUATIC","-3450","-3450","s U1347A-15R1,46-47.5 [19106]","NOT GIVEN [19106]","","","LOWER [19106]","CRETACEOUS [19106]","","","","","VOLCANIC ROCK","186.65","186.65","","","VOLCANIC GLASS [19106] ","50.75","2.37","","13.1","","","","14.59","10.48","5.69","0.24","","0.26","2.34","0.12","0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","508","86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106076-U1347A-15R1,46-47.5",
"[19104]","OCEANIC PLATEAU","SHATSKY RISE / TAMU MASSIF / SITE U1346 / PACIFIC OCEAN","HOLE U1347A","32.5079","32.5079","159.2346","159.2346","SUBAQUATIC","-3450","-3450","s U1347A-16R-4,24-26 [19104]","BASALT [19104]","","","","","","","","","VOLCANIC ROCK","198.51","198.51","","","WHOLE_ROCK [19104] ","47.75","2.163","","12.97","","","","13.29","11.22","7.22","0.199","","0.086","2.18","0.19","","","","","","","","","","","","","","","","0.77","","","","","","","","","","","","","","","","","","","","","","","","320","","","","41","","502","139","","","50","64.5","220","104.6","","","","","","0.736","186","29.3","122","6.29","","","","","","","","","","","","0.009","16.8","6.2","17.9","2.85","14.7","4.57","1.61","5.63","0.954","5.94","1.2","3.39","0.462","2.92","0.429","3.49","0.435","","","","","","","","0.004","0.724","","0.483","0.155","","","","","","","","","","","","","","","","","","","","","","","","","106076-U1347A-16R-4,24-26",
"[19106]","OCEANIC PLATEAU","SHATSKY RISE / TAMU MASSIF / SITE U1346 / PACIFIC OCEAN","HOLE U1347A","32.5079","32.5079","159.2346","159.2346","SUBAQUATIC","-3450","-3450","s U1347A-17R2,27.5-30 [19106]","NOT GIVEN [19106]","","","LOWER [19106]","CRETACEOUS [19106]","","","","","VOLCANIC ROCK","206.09","206.09","","","VOLCANIC GLASS [19106] ","51.71","2.12","","13.31","","","","14.35","9.94","5.08","0.26","","0.31","2.66","0.19","0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","326","296","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106076-U1347A-17R2,27.5-30",
"[19106]","OCEANIC PLATEAU","SHATSKY RISE / TAMU MASSIF / SITE U1346 / PACIFIC OCEAN","HOLE U1347A","32.5079","32.5079","159.2346","159.2346","SUBAQUATIC","-3450","-3450","s U1347A-18R3,127-130 [19106]","NOT GIVEN [19106]","","","LOWER [19106]","CRETACEOUS [19106]","","","","","VOLCANIC ROCK","217.86","217.86","","","VOLCANIC GLASS [19106] ","50.41","2.11","","13.54","","","","12.93","11.55","6.39","0.28","","0.2","2.35","0.2","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","323","86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106076-U1347A-18R3,127-130",
"[19106]","OCEANIC PLATEAU","SHATSKY RISE / TAMU MASSIF / SITE U1346 / PACIFIC OCEAN","HOLE U1347A","32.5079","32.5079","159.2346","159.2346","SUBAQUATIC","-3450","-3450","s U1347A-18R5,88-92.5 [19106]","NOT GIVEN [19106]","","","LOWER [19106]","CRETACEOUS [19106]","","","","","VOLCANIC ROCK","220.33","220.33","","","VOLCANIC GLASS [19106] ","50.66","2.05","","13.62","","","","13.21","11.39","6.23","0.22","","0.21","2.23","0.13","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","346","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106076-U1347A-18R5,88-92.5",
"[19106]","OCEANIC PLATEAU","SHATSKY RISE / TAMU MASSIF / SITE U1346 / PACIFIC OCEAN","HOLE U1347A","32.5079","32.5079","159.2346","159.2346","SUBAQUATIC","-3450","-3450","s U1347A-18R6,47-51.5 [19106]","NOT GIVEN [19106]","","","LOWER [19106]","CRETACEOUS [19106]","","","","","VOLCANIC ROCK","221.37","221.37","","","VOLCANIC GLASS [19106] ","50.59","2.07","","13.58","","","","13.26","11.46","6.23","0.21","","0.21","2.22","0.13","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","361","102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106076-U1347A-18R6,47-51,5",
"[19106]","OCEANIC PLATEAU","SHATSKY RISE / TAMU MASSIF / SITE U1346 / PACIFIC OCEAN","HOLE U1347A","32.5079","32.5079","159.2346","159.2346","SUBAQUATIC","-3450","-3450","s U1347A-19R1,92-96 [19106]","NOT GIVEN [19106]","","","LOWER [19106]","CRETACEOUS [19106]","","","","","VOLCANIC ROCK","224.52","224.52","","","VOLCANIC GLASS [19106] ","50.08","2.01","","13.35","","","","13.33","11.75","6.53","0.04","","0.22","2.46","0.19","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","350","119","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106076-U1347A-19R1,92-96",
