"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[12343]","INTRAPLATE VOLCANICS","SIBERIAN CRATON_CENOZOIC/QUATERNARY / SIBERIA_CENOZOIC/QUATERNARY / ALDAN-STANOVOI BLOCK / TOK VOLCANIC FIELD","ALONG LOWER NAKIT CREEK NEAR CONFLUENCE WITH RIVER TOK","55.6439","55.6439","130.1025","130.1025","SUBAERIAL","","","s 9501-2 [12343]","HARZBURGITE, XENOLITH [12343]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [12343] ","43.72","0.006","","0.63","0.33","","","7.89","0.72","45.47","0.127","0.329","0.03","0.14","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","","","","","","","","","","","","","","7.3","42","31","","","","106","2293","3.7","","","","","","","0.088","32.7","0.79","1.56","0.6","","","","","","","","","","","","0.002","3.93","1.56","4.09","0.52","2.32","0.44","0.13","0.35","0.041","0.2","0.03","0.069","0.008","0.047","0.008","0.025","0.017","","","","","","","","","0.15","","0.053","0.03","","","","","","","","","","","","","","","","","","","","","","","","","515474",
"[12343]","INTRAPLATE VOLCANICS","SIBERIAN CRATON_CENOZOIC/QUATERNARY / SIBERIA_CENOZOIC/QUATERNARY / ALDAN-STANOVOI BLOCK / TOK VOLCANIC FIELD","ALONG LOWER NAKIT CREEK NEAR CONFLUENCE WITH RIVER TOK","55.6439","55.6439","130.1025","130.1025","SUBAERIAL","","","s 9501-3 [12343]","HARZBURGITE, XENOLITH [12343]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [12343] ","43.5","0.034","","0.7","0.38","","","8.02","1.04","45.14","0.132","0.315","0.07","0.18","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","515475",
"[12343]","INTRAPLATE VOLCANICS","SIBERIAN CRATON_CENOZOIC/QUATERNARY / SIBERIA_CENOZOIC/QUATERNARY / ALDAN-STANOVOI BLOCK / TOK VOLCANIC FIELD","ALONG LOWER NAKIT CREEK NEAR CONFLUENCE WITH RIVER TOK","55.6439","55.6439","130.1025","130.1025","SUBAERIAL","","","s 9501-13 [12343]","HARZBURGITE, XENOLITH [12343]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [12343] ","43.06","0.032","","0.86","0.38","","","8.2","0.72","45.29","0.13","0.323","0.02","0.09","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","515476",
"[12343]","INTRAPLATE VOLCANICS","SIBERIAN CRATON_CENOZOIC/QUATERNARY / SIBERIA_CENOZOIC/QUATERNARY / ALDAN-STANOVOI BLOCK / TOK VOLCANIC FIELD","ALONG LOWER NAKIT CREEK NEAR CONFLUENCE WITH RIVER TOK","55.6439","55.6439","130.1025","130.1025","SUBAERIAL","","","s 9501-13 [12343]","HARZBURGITE, XENOLITH [12343]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [12343] ","43.57","0.036","","0.88","0.4","","","8.03","0.7","45.75","0.132","0.331","0.02","0.09","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","515477",
"[12343]","INTRAPLATE VOLCANICS","SIBERIAN CRATON_CENOZOIC/QUATERNARY / SIBERIA_CENOZOIC/QUATERNARY / ALDAN-STANOVOI BLOCK / TOK VOLCANIC FIELD","ALONG LOWER NAKIT CREEK NEAR CONFLUENCE WITH RIVER TOK","55.6439","55.6439","130.1025","130.1025","SUBAERIAL","","","s 9502-6 [12343]","LHERZOLITE, XENOLITH [12343]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [12343] ","44.61","0.052","","1.25","0.4","","","9.38","1.35","41.58","0.146","0.27","0.06","0.16","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","515478",
"[12343]","INTRAPLATE VOLCANICS","SIBERIAN CRATON_CENOZOIC/QUATERNARY / SIBERIA_CENOZOIC/QUATERNARY / ALDAN-STANOVOI BLOCK / TOK VOLCANIC FIELD","ALONG LOWER NAKIT CREEK NEAR CONFLUENCE WITH RIVER TOK","55.6439","55.6439","130.1025","130.1025","SUBAERIAL","","","s 9502-9 [12343]","HARZBURGITE, XENOLITH [12343]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [12343] ","43.3","0.03","","0.74","0.36","","","7.91","0.74","45.27","0.125","0.319","0.07","0.12","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","515479",
"[12343]","INTRAPLATE VOLCANICS","SIBERIAN CRATON_CENOZOIC/QUATERNARY / SIBERIA_CENOZOIC/QUATERNARY / ALDAN-STANOVOI BLOCK / TOK VOLCANIC FIELD","ALONG LOWER NAKIT CREEK NEAR CONFLUENCE WITH RIVER TOK","55.6439","55.6439","130.1025","130.1025","SUBAERIAL","","","s 9502-9 [12343]","HARZBURGITE, XENOLITH [12343]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [12343] ","44.02","0.035","","0.76","0.39","","","7.76","0.72","45.78","0.123","0.324","0.07","0.11","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","515480",
"[12343]","INTRAPLATE VOLCANICS","SIBERIAN CRATON_CENOZOIC/QUATERNARY / SIBERIA_CENOZOIC/QUATERNARY / ALDAN-STANOVOI BLOCK / TOK VOLCANIC FIELD","ALONG LOWER NAKIT CREEK NEAR CONFLUENCE WITH RIVER TOK","55.6","55.6","130.1","130.1","SUBAERIAL","","","s 9503-4 [12343]","HARZBURGITE, XENOLITH [12343]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [12343] ","43.29","0.038","","1.1","0.35","","","8.31","0.78","43.86","0.138","0.302","0.09","0.15","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","515481",
"[12343]","INTRAPLATE VOLCANICS","SIBERIAN CRATON_CENOZOIC/QUATERNARY / SIBERIA_CENOZOIC/QUATERNARY / ALDAN-STANOVOI BLOCK / TOK VOLCANIC FIELD","ALONG LOWER NAKIT CREEK NEAR CONFLUENCE WITH RIVER TOK","55.6","55.6","130.1","130.1","SUBAERIAL","","","s 9503-19 [12343]","LHERZOLITE, XENOLITH [12343]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [12343] ","44.38","0.065","","1.3","0.38","","","8.57","1.47","42.74","0.154","0.284","0.04","0.17","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7703","","","","","","","","","","","","","","7.0377","422.55","40.695","","","","99.797","1957.3","4.6728","","","","","","","0.44412915","50.02239035","1.844143865","9.0103525","1.12207491195945","","","","","","","","","","","","0.0072935","10.5529061","2.23975614","4.94869125","0.609044775","2.73646345","0.5747169","0.189368177536724","0.51779194105891","7.19237168664968E-02","0.410973150071388","7.32942841494831E-02","0.190452505578853","2.59931652894265E-02","0.163896777096278","2.67862550334036E-02","0.196439409932378","0.053788217788269","","","","","","","","","0.194856","","0.181463525","0.060189565","","","","","","","","","","","","","","","","","","","","","","","","","515482",
"[12343]","INTRAPLATE VOLCANICS","SIBERIAN CRATON_CENOZOIC/QUATERNARY / SIBERIA_CENOZOIC/QUATERNARY / ALDAN-STANOVOI BLOCK / TOK VOLCANIC FIELD","ALONG LOWER NAKIT CREEK NEAR CONFLUENCE WITH RIVER TOK","55.6","55.6","130.1","130.1","SUBAERIAL","","","s 9505-3 [12343]","LHERZOLITE, XENOLITH [12343]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [12343] ","44.08","0.013","","1.25","0.35","","","8.34","2.01","42.53","0.132","0.287","0.03","0.25","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.6800880881356","100.2","","","","","","","","","","","","","","","119.091708837209","","0.598088658926174","0.351100640961683","","","","","","","","","","","","0.0008777016","10.7046547277419","9.0054075672","13.853964312","1.212329088","3.8029629384","0.49979921976","0.14967624528","0.34349727816","0.04540849776","0.23842929096","0.04515569568","0.14445687312","0.02166271632","0.15191183232","0.0253937988","0.0155013912","","","","","","","","","","0.34037017848","","0.359016502846154","0.10200714048","","","","","","","","","","","","","","","","","","","","","","","","","515483",
