"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18328][18207]","RIFT VOLCANICS","SICILY CHANNEL RIFT / LINOSA / PALEO-LINOSA VOLCANIC ROCKS","","35.87","35.87","12.87","12.87","SUBAERIAL","","","s LNS17 [18328]","BASALT [18328]","1070000 [18207]","1070000 [18207]","","QUATERNARY [18328]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18328] ","44.97","2.21","","15.33","","","","10.74","8.83","11.87","0.21","","1.26","3.02","0.38","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210","455","","","48.4","217","64","96","16","","","","","27.4","492","22.3","207","48","","","","","","","","","","","","0.3","292","34.4","67.1","8.1","30.7","6.2","1.83","6.01","0.75","4.42","0.81","2.44","0.29","2","0.3","4","2.9","","","","","","","","","1","","4.1","1.15","","","","0.703174","","","","","","","","","","","","","","","","","","","","","101284-LNS17",
"[18328][18207]","RIFT VOLCANICS","SICILY CHANNEL RIFT / LINOSA / PALEO-LINOSA VOLCANIC ROCKS","","35.87","35.87","12.87","12.87","SUBAERIAL","","","s LNS18 [18328]","BASALT [18328]","1070000 [18207]","1070000 [18207]","","QUATERNARY [18328]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18328] ","45.94","1.99","","15.73","","","","9.77","8.24","12.03","0.2","","1.28","3.16","0.47","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","187","398","","","45.9","209","52","82","15","","","","","25.1","486","21.3","201","47","","","","","","","","","","","","0.3","274","34","66.6","8.03","30.1","6.1","1.85","6.02","0.7","4.12","0.79","2.34","0.29","1.9","0.29","4","2.9","","","","","","","","","1","","3.9","1.17","","","","0.703524","","","","","","","","","","","","","","","","","","","","","101284-LNS18",
"[18328][18207]","RIFT VOLCANICS","SICILY CHANNEL RIFT / LINOSA / PALEO-LINOSA VOLCANIC ROCKS","","35.87","35.87","12.87","12.87","SUBAERIAL","","","s LNS31 [18328]","BASALT [18328]","1070000 [18207]","1070000 [18207]","","QUATERNARY [18328]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18328] ","45.67","2.21","","15.35","","","","10.46","8.43","11.31","0.21","","1.19","3.14","0.52","","","","","","","","","","","","","","","","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195","389","","","44.3","189","53","88","15","","","","","23.7","525","23","209","49","","","","","","","","","","","","0.3","284","37","72.3","8.71","32.9","6.7","2","6.43","0.78","4.34","0.82","2.47","0.28","2.1","0.31","4","3","","","","","","","","","7","","4.1","1.11","","","","0.703399","","","","","","","","","","","","","","","","","","","","","101284-LNS31",
"[18328][18207]","RIFT VOLCANICS","SICILY CHANNEL RIFT / LINOSA / PALEO-LINOSA VOLCANIC ROCKS","","35.87","35.87","12.87","12.87","SUBAERIAL","","","s LNS9 [18328]","BASALT [18328]","530000 [18207]","530000 [18207]","","QUATERNARY [18328]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18328] ","45.07","1.53","","14.87","","","","9.91","7.02","16.17","0.19","","0.92","2.85","0.38","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161","549","","","55.3","326","50","78","12","","","","","16.5","324","17","134","29","","","","","","","","","","","","0.2","169","19.6","38.9","4.69","18.4","3.9","1.31","4.13","0.52","3.01","0.61","1.76","0.23","1.7","0.25","3","1.7","","","","","","","","","1","","2.3","0.65","","","","0.703059","","","","","","","","","","","","","","","","","","","","","101284-LNS9",
"[9547]","RIFT VOLCANICS","SICILY CHANNEL RIFT / PANTELLERIA","C. DA LAGO","36.8187","36.8187","11.9842","11.9842","SUBAERIAL","","","s 103X [9547]","DOLERITE [9547]","","","","PLEISTOCENE [9547]","","","","FINE- TO MEDIUM-GRAINED [9547] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [9547] ","48.07","3.85","","15.8","","","","11.09","8.73","3.85","0.26","","1.39","5.69","1.27","","","","","","","","","","","","","","","","1.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59","369","35","136","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","288338",
"[9547]","RIFT VOLCANICS","SICILY CHANNEL RIFT / PANTELLERIA","C. DA CANNACHI","36.8077","36.8077","11.9682","11.9682","SUBAERIAL","","","s 77X [9547]","SYENITE [9547]","","","","PLEISTOCENE [9547]","","","","FINE- TO MEDIUM-GRAINED PORPHYRITIC [9547] ","PLUTONIC ROCK","","","FRESH","","WHOLE_ROCK [9547] ","66.2","1.02","","15.37","","","","4.58","1.03","0.58","0.22","","3.92","7.08","0.02","","","","","","","","","","","","","","","","0.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","88","29","472","102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","288339",
"[9547]","RIFT VOLCANICS","SICILY CHANNEL RIFT / PANTELLERIA","C. DA CANNACHI","36.809","36.809","11.9705","11.9705","SUBAERIAL","","","s 80CX [9547]","TRACHYTE [9547]","","","","PLEISTOCENE [9547]","","","","FINE-GRAINED PORPHYRITIC [9547] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [9547] ","66.73","0.73","","14.75","","","","5.08","0.69","0.28","0.21","","4.82","6.65","0.07","","","","","","","","","","","","","","","","0.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","3","","","","2","","","","","","","","45","32","19","375","99","","","","","","","","","","","","","718","118","169","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","288340",
"[9547]","RIFT VOLCANICS","SICILY CHANNEL RIFT / PANTELLERIA","C. DA CANNACHI","36.809","36.809","11.9705","11.9705","SUBAERIAL","","","s 80AX [9547]","GRANITE [9547]","","","","PLEISTOCENE [9547]","","","","FINE-GRAINED [9547] ","PLUTONIC ROCK","","","FRESH","","WHOLE_ROCK [9547] ","70.11","0.66","","10.69","","","","8.08","0.42","0.36","0.2","","4.43","5","0.02","","","","","","","","","","","","","","","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53","85","72","442","88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","288341",
"[9547]","RIFT VOLCANICS","SICILY CHANNEL RIFT / PANTELLERIA","COSTA ZIGHIDI","36.7688","36.7688","11.976","11.976","SUBAERIAL","","","s 89X [9547]","GRANITE [9547]","","","","PLEISTOCENE [9547]","","","","FINE-GRAINED PORPHYRITIC [9547] ","PLUTONIC ROCK","","","FRESH","","WHOLE_ROCK [9547] ","70.44","0.53","","11.37","","","","6.3","0.35","0.3","0.23","","4.73","5.73","0.01","","","","","","","","","","","","","","","","1.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114","2","85","956","179","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","288342",
"[9547]","RIFT VOLCANICS","SICILY CHANNEL RIFT / PANTELLERIA","C. DA CANNACHI","36.8077","36.8077","11.9683","11.9683","SUBAERIAL","","","s 79X [9547]","GRANITE [9547]","","","","PLEISTOCENE [9547]","","","","FINE-GRAINED [9547] ","PLUTONIC ROCK","","","FRESH","","WHOLE_ROCK [9547] ","71.04","1.02","","12.99","","","","5.83","0.4","0.16","0.2","","3.3","4.94","0.11","","","","","","","","","","","","","","","","1.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","29","72","432","77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","288343",
