"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[5790]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT)","","21","22","85","86","SUBAERIAL","","","s 1 [5790]","BASALT [5790]","","","","ARCHEAN [5790]","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5790] ","59.03","0.5","","11.16","","2.74","7.11","","4.92","8.37","0.12","","1.77","1.53","0.06","","","","","","","","","","","","","","","","2.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.6","","8","624","","","72","140","","","","","","","","61","98","18","101","5","","","","","","","","","","","","","374","12.7","28.3","","","2.33","0.75","","0.49","","","","","1.7","0.25","2.62","","","","","","","","","","","","3.25","","","","","","","","","","","","","","","","","","","","","","","","","","184184",
"[5790]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT)","","21","22","85","86","SUBAERIAL","","","s 2 [5790]","BASALT [5790]","","","","ARCHEAN [5790]","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5790] ","56.96","0.52","","11.9","","2.7","6.93","","7.25","8.48","0.15","","0.81","1.76","0.09","","","","","","","","","","","","","","","","1.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.3","","166","617","","","82","144","","","","","","","","30","134","18","105","5","","","","","","","","","","","","","164","12.3","30.6","","","2.3","0.78","","0.35","","","","","2.01","0.33","2.51","","","","","","","","","","","","3.19","","","","","","","","","","","","","","","","","","","","","","","","","","184185",
"[5790]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT)","","21","22","85","86","SUBAERIAL","","","s 3 [5790]","BASALT [5790]","","","","ARCHEAN [5790]","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5790] ","58.89","0.49","","11.89","","1.64","7.02","","7.58","7.94","0.14","","0.5","1.78","0.07","","","","","","","","","","","","","","","","1.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.1","","171","605","","","63","135","","","","","","","","22","138","18","99","6","","","","","","","","","","","","","141","13.2","28.5","","","2.34","0.65","","0.58","","","","","1.73","0.25","2.23","","","","","","","","","","","","3.04","","","","","","","","","","","","","","","","","","","","","","","","","","184186",
"[5790]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT)","","21","22","85","86","SUBAERIAL","","","s 4 [5790]","BASALT [5790]","","","","ARCHEAN [5790]","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5790] ","53.96","0.5","","13.1","","2.8","6.21","","8.36","9.61","0.15","","0.3","2.06","0.09","","","","","","","","","","","","","","","","1.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.5","","179","703","","","56","178","","","","","","","","14","189","18","98","4","","","","","","","","","","","","","89","12.8","26.1","","","2.3","0.71","","0.31","","","","","1.8","0.27","2.23","","","","","","","","","","","","2.32","","","","","","","","","","","","","","","","","","","","","","","","","","184187",
"[5790]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT)","","21","22","85","86","SUBAERIAL","","","s 5 [5790]","BASALT [5790]","","","","ARCHEAN [5790]","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5790] ","58.11","0.5","","12.2","","2.01","6.75","","7.63","7.8","0.15","","0.58","1.78","0.06","","","","","","","","","","","","","","","","1.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184188",
"[5790]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT)","","21","22","85","86","SUBAERIAL","","","s 6 [5790]","BASALT [5790]","","","","ARCHEAN [5790]","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5790] ","58.06","0.63","","13.7","","3.39","5.85","","9.12","4.76","0.14","","0.34","1.73","0.08","","","","","","","","","","","","","","","","1.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184189",
"[5790]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT)","","21","22","85","86","SUBAERIAL","","","s 7 [5790]","BASALT [5790]","","","","ARCHEAN [5790]","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5790] ","54.03","0.52","","13.72","","2.33","6.37","","8.33","10.22","0.15","","0.2","2.06","0.09","","","","","","","","","","","","","","","","2.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184190",
"[5790]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT)","","21","22","85","86","SUBAERIAL","","","s 8 [5790]","BASALT [5790]","","","","ARCHEAN [5790]","","","","CUMULATE [5790] ","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5790] ","51.99","0.07","","2.39","","3.29","5.04","","1.92","28.64","0.15","","0.01","0.01","0.03","","","","","","","","","","","","","","","","6.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184191",
"[5790]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT)","","21","22","85","86","SUBAERIAL","","","s 9 [5790]","BASALT [5790]","","","","ARCHEAN [5790]","","","","CUMULATE [5790] ","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5790] ","54.51","0.07","","2.14","","2.32","5.04","","0.95","32.5","0.15","","0.01","1.18","0.03","","","","","","","","","","","","","","","","1.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184192",
"[5790]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / GUA-BAJARAMDA-SUKINDA BELT (WESTERN BELT)","","21","22","85","86","SUBAERIAL","","","s 10 [5790]","BASALT [5790]","","","","ARCHEAN [5790]","","","","CUMULATE [5790] ","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5790] ","53.56","0.06","","1.38","","2.8","5.31","","0.85","32.64","0.15","","0.01","1.1","0.02","","","","","","","","","","","","","","","","1.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184193",
