"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[5838]","INTRAPLATE VOLCANICS","SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM (COPPERBELT) THRUST ZONE / ONGARBIRA METAVOLCANIC ROCKS","","22.58","22.58","86.75","86.75","SUBAERIAL","","","s DCS-39 [5838]","NOT GIVEN [5838]","","","","PROTEROZOIC [5838]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5838] ","48.3","1.03","","14.1","","","","10.89","8.77","8.01","0.16","","0.07","3.02","0.05","","","","","","","","","","","","","","","","3.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","","304","","","","214","","","","","","","","3","76","18","41","2","","","","","","","","","","","","","32","1","3","","3","1.6","0.6","","0.4","","","","","1.6","0.23","2.1","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","863539",
"[5838]","INTRAPLATE VOLCANICS","SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM (COPPERBELT) THRUST ZONE / ONGARBIRA METAVOLCANIC ROCKS","","22.58","22.58","86.75","86.75","SUBAERIAL","","","s DCS-40 [5838]","NOT GIVEN [5838]","","","","PROTEROZOIC [5838]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5838] ","47.2","1.05","","15","","","","11.79","11.7","8.03","0.18","","0.04","1.65","0.05","","","","","","","","","","","","","","","","2.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","","345","","","","247","","","","","","","","3","200","19","43","2","","","","","","","","","","","","","34","1.1","4","","4","1.8","0.7","","0.5","","","","","1.8","0.25","2","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","863540",
"[5838]","INTRAPLATE VOLCANICS","SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM (COPPERBELT) THRUST ZONE / ONGARBIRA METAVOLCANIC ROCKS","","22.58","22.58","86.75","86.75","SUBAERIAL","","","s DCS-48 [5838]","NOT GIVEN [5838]","","","","PROTEROZOIC [5838]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5838] ","45.6","0.48","","17.6","","","","8.88","8.38","10.62","0.11","","0.42","2.93","0.08","","","","","","","","","","","","","","","","3.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","420","","","58","256","","","","","","","","6","","","35","","","","","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","863541",
"[5838]","INTRAPLATE VOLCANICS","SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM (COPPERBELT) THRUST ZONE / ONGARBIRA METAVOLCANIC ROCKS","","22.58","22.58","86.75","86.75","SUBAERIAL","","","s DCS-49 [5838]","NOT GIVEN [5838]","","","","PROTEROZOIC [5838]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5838] ","48.4","1.09","","14.6","","","","11.34","9.77","7.54","0.18","","0.98","2.38","0.1","","","","","","","","","","","","","","","","2.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","","250","","","","216","","","","","","","","24","195","21","51","3","","","","","","","","","","","","","244","1.3","5","","5","2.1","0.8","","0.5","","","","","2","0.3","2.1","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","863542",
"[5838]","INTRAPLATE VOLCANICS","SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM (COPPERBELT) THRUST ZONE / ONGARBIRA METAVOLCANIC ROCKS","","22.58","22.58","86.75","86.75","SUBAERIAL","","","s DCS-54 [5838]","NOT GIVEN [5838]","","","","PROTEROZOIC [5838]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5838] ","47.2","0.61","","13.5","","","","11.52","13.1","7.62","0.21","","0.53","1.38","0.05","","","","","","","","","","","","","","","","2.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","","301","","","59","183","","","","","","","","25","303","24","48","6","","","","","","","","","","","","","48","0.6","2","","2","1.2","0.5","","0.4","","","","","2.3","0.36","1.1","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","863543",
"[5838]","INTRAPLATE VOLCANICS","SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM (COPPERBELT) THRUST ZONE / ONGARBIRA METAVOLCANIC ROCKS","","22.58","22.58","86.75","86.75","SUBAERIAL","","","s DCS-72 [5838]","NOT GIVEN [5838]","","","","PROTEROZOIC [5838]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5838] ","48","0.66","","14","","","","12.06","11.7","7.91","0.19","","0.43","1.2","0.05","","","","","","","","","","","","","","","","2.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","","309","","","","94","","","","","","","","13","113","20","49","2","","","","","","","","","","","","","90","0.7","2","","2","1.3","0.6","","0.5","","","","","2.3","0.34","1.3","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","863544",
"[5838]","INTRAPLATE VOLCANICS","SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM (COPPERBELT) THRUST ZONE / ONGARBIRA METAVOLCANIC ROCKS","","22.58","22.58","86.75","86.75","SUBAERIAL","","","s DCS-X [5838]","NOT GIVEN [5838]","","","","PROTEROZOIC [5838]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5838] ","46.6","1.13","","14.2","","","","12.33","10.8","7.26","0.21","","0.24","2.24","0.09","","","","","","","","","","","","","","","","2.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","","217","","","46","140","","","","","","","","25","264","28","53","5","","","","","","","","","","","","","56","1.6","8","","6","1.9","1.2","","0.5","","","","","2.1","0.29","1.6","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","863545",
"[5838]","INTRAPLATE VOLCANICS","SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM (COPPERBELT) THRUST ZONE / ONGARBIRA METAVOLCANIC ROCKS","","22.58","22.58","86.75","86.75","SUBAERIAL","","","s DCS-4 [5838]","NOT GIVEN [5838]","","","","PROTEROZOIC [5838]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5838] ","47.3","1.17","","13.5","","","","12.15","11.2","7.12","0.19","","0.06","1.77","0.1","","","","","","","","","","","","","","","","3.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","","202","","","44","189","","","","","","","","8","158","30","55","3","","","","","","","","","","","","","56","1.5","5","","5","2.3","0.9","","0.7","","","","","2.3","0.36","1.4","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","863546",
"[5838]","INTRAPLATE VOLCANICS","SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM (COPPERBELT) THRUST ZONE / ONGARBIRA METAVOLCANIC ROCKS","","22.58","22.58","86.75","86.75","SUBAERIAL","","","s DCS-14 [5838]","NOT GIVEN [5838]","","","","PROTEROZOIC [5838]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5838] ","46.4","1.11","","13.7","","","","12.24","12.4","7.34","0.17","","0.05","1.69","0.09","","","","","","","","","","","","","","","","2.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","","220","","","49","127","","","","","","","","11","244","31","55","5","","","","","","","","","","","","","44","1.4","5","","5","2","0.9","","0.6","","","","","2","0.31","1.4","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","863547",
"[5838]","INTRAPLATE VOLCANICS","SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM (COPPERBELT) THRUST ZONE / ONGARBIRA METAVOLCANIC ROCKS","","22.58","22.58","86.75","86.75","SUBAERIAL","","","s DCS-27 [5838]","NOT GIVEN [5838]","","","","PROTEROZOIC [5838]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5838] ","50.4","1.19","","13.6","","","","12.33","5.89","6.84","0.21","","1.07","4.01","0.09","","","","","","","","","","","","","","","","2.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","","86","","","44","165","","","","","","","","31","87","29","58","8","","","","","","","","","","","","","198","1.4","6","","5","2.2","1.1","","0.7","","","","","2.2","0.34","1.4","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","863548",
