"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[5546]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION","CYCLOPS PENINSULA","65.25","65.25","-113.53","-113.53","SUBAERIAL","","","s C5-85 [5546]","THOLEIITE [5546]","","","","ARCHEAN [5546]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5546] ","52.78","0.92","","13.77","","","","11.92","7.06","6.87","0.23","","0.21","4.13","0.09","","","","","","","","","","","","","","","","1.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5520","270","101","","","","90","","","13","","","","","4","80","20","69","3.1","","","","","","","","","","","","","174","3.93","9.8","1.44","7.04","2.2","0.81","2.83","0.5","3.37","0.76","2.26","0.32","2.13","0.31","1.66","0.05","","","","","","","","","","","0.61","","0.51266","","","","","","","","","","","","","","","","","","","","","","","","172106",
"[5546]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION","CYCLOPS PENINSULA","65.25","65.25","-113.53","-113.53","SUBAERIAL","","","s C5-86 [5546]","THOLEIITE [5546]","","","","ARCHEAN [5546]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5546] ","48.97","1.23","","14.16","","","","13.6","9.54","6.5","0.22","","0.65","1.97","0.11","","","","","","","","","","","","","","","","2.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7380","327","133","","","","84","","","17","","","","","13","180","24","87","4.8","","","","","","","","","","","","","232","4.63","12.03","1.82","8.82","2.72","0.99","3.67","0.62","4.25","0.93","2.82","0.42","2.7","0.4","2.23","0.05","","","","","","","","","","","0.47","","0.51263","","","","","","","","","","","","","","","","","","","","","","","","172107",
"[5546]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION","CYCLOPS PENINSULA","65.25","65.25","-113.53","-113.53","SUBAERIAL","","","s C5-95 [5546]","THOLEIITE [5546]","","","","ARCHEAN [5546]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5546] ","50","0.84","","15.11","","","","10.78","9.3","7.39","0.16","","0.51","3.2","0.07","","","","","","","","","","","","","","","","2.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5040","287","359","","","","107","","","16","","","","","8","158","19","56","2","","","","","","","","","","","","","183","2.88","7.24","1.08","5.42","1.8","0.64","2.57","0.46","3.18","0.71","2.09","0.3","1.99","0.28","1.39","0.03","","","","","","","","","","","0.55","","0.51286","","","","","","","","","","","","","","","","","","","","","","","","172108",
"[5546]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION","CYCLOPS PENINSULA","65.25","65.25","-113.53","-113.53","SUBAERIAL","","","s C5-99 [5546]","THOLEIITE [5546]","","","","ARCHEAN [5546]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5546] ","51.03","2.27","","12.34","","","","17.17","6.25","3.46","0.29","","0.85","1.83","0.29","","","","","","","","","","","","","","","","3.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.62","199","","","","","8","","","21","","","","","24","338","54","209","8.2","","","","","","","","","","","","","335","11.03","28.96","4.35","21.06","6.41","2.09","8.14","1.37","9.22","2.05","6.09","0.88","5.89","0.85","4.78","0.09","","","","","","","","","","","1.09","","0.51249","","","","","","","","","","","","","","","","","","","","","","","","172109",
"[5546]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION","","65.25","65.25","-113.53","-113.53","SUBAERIAL","","","s L6-6B [5546]","THOLEIITE [5546]","","","","ARCHEAN [5546]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5546] ","45.98","0.9","","14.47","","","","11.32","11.31","8.73","0.21","","0.08","1.65","0.06","","","","","","","","","","","","","","","","2.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5400","325","337","","","47","131","35","104","11","","","","","10","160","18","60","3","","","","","","","","","","","","","405","3.02","7.84","1.21","5.73","1.85","0.74","2.83","0.5","3.4","0.73","2.21","0.32","2.09","0.32","1.62","0.05","","","","","","","","","4","","0.26","","0.5128","","","","","","","","","","","","","","","","","","","","","","","","172110",
"[5546]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION","","65.25","65.25","-113.53","-113.53","SUBAERIAL","","","s L6-11 [5546]","THOLEIITE [5546]","","","","ARCHEAN [5546]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5546] ","48","1.08","","13.97","","","","12.31","7.76","6.97","0.21","","1.13","2.44","0.08","","","","","","","","","","","","","","","","3.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","6480","359","193","","","49","65","108","89","12","","","","","29","125","22","71","3.4","","","","","","","","","","","","","608","4.12","10.35","1.53","7.73","2.53","0.84","3.41","0.58","4.05","0.88","2.59","0.38","2.56","0.39","1.9","0.05","","","","","","","","","1","","0.54","","","","","","","","","","","","","","","","","","","","","","","","","","172111",
"[5546]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION","","65.25","65.25","-113.53","-113.53","SUBAERIAL","","","s L6-14 [5546]","THOLEIITE [5546]","","","","ARCHEAN [5546]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5546] ","47.18","1.46","","14.19","","","","13.2","9.07","6.98","0.22","","0.16","2.43","0.12","","","","","","","","","","","","","","","","2.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","8760","395","155","","","40","64","83","106","13","","","","","14","167","26","98","5.1","","","","","","","","","","","","","248","4.82","12.97","1.97","9.96","3.23","1.09","4.22","0.72","4.85","1.06","3.14","0.46","3.04","0.46","2.49","0.08","","","","","","","","","4","","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","172112",
"[5546]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION","","65.25","65.25","-113.53","-113.53","SUBAERIAL","","","s L6-20 [5546]","THOLEIITE [5546]","","","","ARCHEAN [5546]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5546] ","47.7","1.66","","13.78","","","","12.58","6.27","6.9","0.2","","3.87","1.76","0.15","","","","","","","","","","","","","","","","5.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","9960","367","150","","","45","74","52","76","12","","","","","63","163","31","118","6.4","","","","","","","","","","","","","773","6.17","16.45","2.47","12.4","3.79","1.3","4.94","0.84","5.66","1.22","3.56","0.53","3.47","0.53","3.02","0.16","","","","","","","","","3","","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","172113",
"[5546]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION","","65.25","65.25","-113.53","-113.53","SUBAERIAL","","","s L6-22 [5546]","THOLEIITE [5546]","","","","ARCHEAN [5546]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5546] ","49.12","1.36","","14.13","","","","12.18","6.95","7.14","0.19","","0.01","2.12","0.12","","","","","","","","","","","","","","","","4.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","8160","300","147","","","48","104","61","112","13","","","","","8","142","25","98","5.2","","","","","","","","","","","","","196","5.05","13.47","2.01","10.09","3.17","0.96","4.03","0.67","4.54","1","2.89","0.42","2.84","0.43","2.65","0.07","","","","","","","","","5","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","172114",
"[5546]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION","","65.25","65.25","-113.53","-113.53","SUBAERIAL","","","s C7-101 [5546]","THOLEIITE [5546]","","","","ARCHEAN [5546]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5546] ","44.7","1.22","","15.36","","","","9.75","9.31","6.17","0.27","","0.81","2.54","0.06","","","","","","","","","","","","","","","","4.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","5160","304","297","","","61","124","98","102","15","","","","","30","120","19","55","5","","","","","","","","","","","","","374","3.17","8.06","1.22","5.86","1.9","0.76","2.48","0.47","3.03","0.69","1.97","0.3","1.92","0.33","","","","","","","","","","","9","","1","","","","","","","","","","","","","","","","","","","","","","","","","","172115",
"[5546]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION","CYCLOPS PENINSULA","65.25","65.25","-113.53","-113.53","SUBAERIAL","","","s C5-88 [5546]","THOLEIITE [5546]","","","","ARCHEAN [5546]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5546] ","47.88","2.07","","13.43","","","","17.16","6.8","5.13","0.21","","0.42","3.25","0.17","","","","","","","","","","","","","","","","2.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.42","420","84","","","","27","","","21","","","","","13","128","36","155","9.5","","","","","","","","","","","","","232","12.51","28.51","3.86","17.62","4.87","1.52","5.72","0.95","6.3","1.4","4.13","0.6","3.94","0.58","3.59","0.11","","","","","","","","","","","2.36","","0.51213","","","","","","","","","","","","","","","","","","","","","","","","172116",
"[5546]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SLAVE PROVINCE_ARCHEAN / POINT LAKE GREENSTONE BELT / PELTIER FORMATION","CYCLOPS PENINSULA","65.25","65.25","-113.53","-113.53","SUBAERIAL","","","s C5-89B [5546]","THOLEIITE [5546]","","","","ARCHEAN [5546]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5546] ","50.22","1.59","","14.27","","","","14.06","8.32","5.47","0.21","","0.25","2.61","0.13","","","","","","","","","","","","","","","","2.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9540","308","222","","","","60","","","18","","","","","7","184","27","127","7.4","","","","","","","","","","","","","229","9.08","21.39","2.88","12.8","3.65","1.13","4.28","0.73","4.89","1.04","3.23","0.46","3.03","0.46","2.91","0.1","","","","","","","","","","","2.01","","0.51212","","","","","","","","","","","","","","","","","","","","","","","","172117",
