"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20464]","OCEAN ISLAND","SOCIETY ISLANDS / BORA BORA / SHIELD STAGE / PACIFIC OCEAN","","-16.492","-16.514","-151.717","-151.734","SUBAERIAL","","","s BB9G [20464]","BASALT [20464]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20464] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512815","","","0.704583","","19.137","","15.6176","","38.832","","","","","","","","0.282967","","","","","","","1064858",
"[20464]","OCEAN ISLAND","SOCIETY ISLANDS / BORA BORA / SHIELD STAGE / PACIFIC OCEAN","","-16.492","-16.514","-151.717","-151.734","SUBAERIAL","","","s BB41 [20464]","BASALT [20464]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20464] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512898","","","0.70411","","19.0242","","15.5971","","38.732","","","","","","","","0.283042","","","","","","","1064861",
"[20464]","OCEAN ISLAND","SOCIETY ISLANDS / BORA BORA / SHIELD STAGE / PACIFIC OCEAN","","-16.492","-16.514","-151.717","-151.734","SUBAERIAL","","","s BB44 [20464]","PICRITE [20464]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20464] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512877","","","0.704392","","18.9146","","15.5822","","38.613","","","","","","","","0.283021","","","","","","","1064863",
"[20464]","OCEAN ISLAND","SOCIETY ISLANDS / BORA BORA / SHIELD STAGE / PACIFIC OCEAN","","-16.492","-16.514","-151.717","-151.734","SUBAERIAL","","","s BB47 [20464]","BASALT [20464]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20464] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512647","","","0.705687","","19.552","","15.6812","","39.168","","","","","","","","0.282911","","","","","","","1064864",
"[20464]","OCEAN ISLAND","SOCIETY ISLANDS / BORA BORA / SHIELD STAGE / PACIFIC OCEAN","","-16.492","-16.514","-151.717","-151.734","SUBAERIAL","","","s BB47 [20464]","BASALT [20464]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20464] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512661","","","","","19.5467","","15.6811","","39.166","","","","","","","","0.282903","","","","","","","1064865",
"[20464]","OCEAN ISLAND","SOCIETY ISLANDS / HUAHINE / PRE-SHIELD STAGE / PACIFIC OCEAN","","-16.75","-16.75","-151","-151","SUBAERIAL","","","s HA 17A [20464]","PICRITE [20464]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20464] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512676","","","0.705664","","19.1567","","15.6308","","39.025","","","","","","","","0.282871","","","","","","","1064866",
"[20464]","OCEAN ISLAND","SOCIETY ISLANDS / HUAHINE / PRE-SHIELD STAGE / PACIFIC OCEAN","","-16.75","-16.75","-151","-151","SUBAERIAL","","","s HA 17A [20464]","PICRITE [20464]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20464] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.282893","","","","","","","1064867",
"[20464]","OCEAN ISLAND","SOCIETY ISLANDS / HUAHINE / SHIELD STAGE / PACIFIC OCEAN","","-16.75","-16.75","-151","-151","SUBAQUATIC","","","s HA 09 [20464]","BASALT [20464]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20464] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512646","","","0.705966","","19.1884","","15.6454","","39.005","","","","","","","","0.28284","","","","","","","1064868",
"[20464]","OCEAN ISLAND","SOCIETY ISLANDS / HUAHINE / SHIELD STAGE / PACIFIC OCEAN","","-16.75","-16.75","-151","-151","SUBAQUATIC","","","s HA 31 [20464]","BASALT [20464]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20464] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512714","","","0.705303","","19.127","","15.6242","","38.951","","","","","","","","0.282923","","","","","","","1064871",
"[20464]","OCEAN ISLAND","SOCIETY ISLANDS / HUAHINE / SHIELD STAGE / PACIFIC OCEAN","","-16.75","-16.75","-151","-151","SUBAQUATIC","","","s HA 31 [20464]","BASALT [20464]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20464] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.282934","","","","","","","1064872",
