"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[2262][2056]","CONVERGENT MARGIN","SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - WESTERN PROVINCE / SHORTLAND ISLANDS - FAURO ISLAND GROUP / PACIFIC OCEAN","TAUNA","-6.5","-7.5","155.5","156.5","SUBAERIAL","","","s 11916 [2262] / s F4 [2056]","DIORITE [2262] / DIORITE, QUARTZ-BIOTITE [2056]","","","","CENOZOIC [2262]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [2262] ","54","0.76","","18.57","","4.42","3.24","","8.05","2.75","0.21","","2.35","3.69","0.38","","0.63","0.49","","","","","","","","","","","","","1.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","897","","","","","","","","","","","","","","","","86.7","19.92","40.9","","22","4.69","1.437","4.29","","3.78","","2.18","","2.12","0.319","","","","","","","","","","","","","","","0.512936","","","0.703685","","","","","","","","","","","","","","","","","","","","","10441-F4",
"[2056]","CONVERGENT MARGIN","SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - WESTERN PROVINCE / SHORTLAND ISLANDS - FAURO ISLAND GROUP / PACIFIC OCEAN","FAURO, FAURO ISLAND GROUP, SHORTLAND ISLANDS","-6.5","-7.5","155.5","156.5","SUBAERIAL","","","s F1 [2056]","THOLEIITE [2056]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2056] ","48.68","1.43","","15","","5.48","9.19","","7.47","5.76","0.36","","0.48","3.27","0.09","","","0.14","","","","","","","","","","","","","3.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10442-F1",
"[2056]","CONVERGENT MARGIN","SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - WESTERN PROVINCE / SHORTLAND ISLANDS - FAURO ISLAND GROUP / PACIFIC OCEAN","FAURO, FAURO ISLAND GROUP, SHORTLAND ISLANDS","-6.5","-7.5","155.5","156.5","SUBAERIAL","","","s F5 [2056]","RHYODACITE [2056]","","","","","","","","PORPHYRITIC [2056] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [2056] ","67.17","0.1","","17.48","","1.51","1.07","","1.18","0.1","0.05","","3.56","4.13","0.17","","","0.28","","","","","","","","","","","","","2.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10442-F5",
"[2056]","CONVERGENT MARGIN","SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - WESTERN PROVINCE / SHORTLAND ISLANDS - FAURO ISLAND GROUP / PACIFIC OCEAN","FAURO, FAURO ISLAND GROUP, SHORTLAND ISLANDS","-6.5","-7.5","155.5","156.5","SUBAERIAL","","","s F6 [2056]","RHYODACITE [2056]","","","","","","","","PORPHYRITIC [2056] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [2056] ","71.2","0.08","","15.71","","0.79","1.26","","1.93","1.34","0.03","","0.7","6.28","0.12","","","0.1","","","","","","","","","","","","","1.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10442-F6",
"[2056]","CONVERGENT MARGIN","SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - WESTERN PROVINCE / SHORTLAND ISLANDS - FAURO ISLAND GROUP / PACIFIC OCEAN","FAURO, FAURO ISLAND GROUP, SHORTLAND ISLANDS","-6.5","-7.5","155.5","156.5","SUBAERIAL","","","s F7 [2056]","RHYODACITE [2056]","","","","","","","","PORPHYRITIC [2056] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [2056] ","60.89","0.45","","15.58","","1.41","2.8","","4.84","2.98","0.75","","0.8","4.9","0.2","","","0.4","","","","","","","","","","","","","3.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10442-F7",
"[2056]","CONVERGENT MARGIN","SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - WESTERN PROVINCE / SHORTLAND ISLANDS - FAURO ISLAND GROUP / PACIFIC OCEAN","OEMA","-6.5","-7.5","155.5","156.5","SUBAERIAL","","","s F8 [2056]","ANDESITE, HORNBLENDE [2056]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2056] ","58.51","0.37","","18.52","","3.01","2.17","","7.4","2.24","0.14","","1.64","3.89","0.34","","","0.32","","","","","","","","","","","","","1.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10443-F8",
"[2056]","CONVERGENT MARGIN","SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - WESTERN PROVINCE / SHORTLAND ISLANDS - FAURO ISLAND GROUP / PACIFIC OCEAN","FAURO","-6.5","-7.5","155.5","156.5","SUBAERIAL","","","s F10 [2056]","BASALT [2056]","","","","","","","","PHYRIC [2056] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [2056] ","51.45","1.19","","18.01","","4.39","4.06","","9.86","4.17","0.16","","2.02","3.36","0.49","","","0.35","","","","","","","","","","","","","1.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10444-F10",
"[2056]","CONVERGENT MARGIN","SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - WESTERN PROVINCE / SHORTLAND ISLANDS - FAURO ISLAND GROUP / PACIFIC OCEAN","FAURO","-6.5","-7.5","155.5","156.5","SUBAERIAL","","","s F11 [2056]","BASALT [2056]","","","","","","","","PHYRIC [2056] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [2056] ","45.75","1.02","","17.37","","6.49","4.67","","10.37","5.81","0.24","","1.46","3.1","0.38","","","0.32","","","","","","","","","","","","","2.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10444-F11",
"[2056]","CONVERGENT MARGIN","SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - WESTERN PROVINCE / SHORTLAND ISLANDS - FAURO ISLAND GROUP / PACIFIC OCEAN","FAURO","-6.5","-7.5","155.5","156.5","SUBAERIAL","","","s F2 [2056]","ICELANDITE [2056]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2056] ","57.85","0.99","","13.36","","6.83","3.81","","6.21","4.7","0.14","","0.3","2.77","0.07","","","0.18","","","","","","","","","","","","","2.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10444-F2",
"[2056]","CONVERGENT MARGIN","SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - WESTERN PROVINCE / SHORTLAND ISLANDS - FAURO ISLAND GROUP / PACIFIC OCEAN","FAURO","-6.5","-7.5","155.5","156.5","SUBAERIAL","","","s F3 [2056]","DACITE, THOLEIITIC [2056]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2056] ","62.95","1.04","","12.86","","5.08","3.63","","1.38","4.99","0.3","","0.24","4.54","0.07","","","0.12","","","","","","","","","","","","","3.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10444-F3",
"[2056]","CONVERGENT MARGIN","SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - WESTERN PROVINCE / SHORTLAND ISLANDS - FAURO ISLAND GROUP / PACIFIC OCEAN","FAURO","-6.5","-7.5","155.5","156.5","SUBAERIAL","","","s F9 [2056]","ANDESITE, PYROXENE [2056]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2056] ","59.59","0.72","","16.68","","4.17","1.68","","6.99","1.79","0.11","","2.21","4.16","0.3","","","0.53","","","","","","","","","","","","","0.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10444-F9",
"[2056]","CONVERGENT MARGIN","SOLOMON ISLAND ARC / SOLOMON ISLAND ARC - WESTERN PROVINCE / SHORTLAND ISLANDS - ALU ISLAND GROUP / PACIFIC OCEAN","","-6.5","-7.5","155.5","156.5","SUBAERIAL","","","s A1 [2056]","THOLEIITE [2056]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2056] ","49","0.76","","17.98","","2.47","12.09","","9.69","4.22","0.18","","0.36","2.98","0.1","","","0.21","","","","","","","","","","","","","0.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10445-A1",
