"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19997]","RIFT VOLCANICS","SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / SORGENFREI-TORNQUIST ZONE / SCANIA VOLCANIC FIELD","SÄTE NECK","56","56.1","13.2","13.3","SUBAERIAL","","","s CJBG-27_RESIDUE [19997]","BASANITE [19997]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19997] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.703434","","","","","","","","","","","","","","","","","","","","","1007243",
"[19997]","RIFT VOLCANICS","SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / SORGENFREI-TORNQUIST ZONE / SCANIA VOLCANIC FIELD","SÄTE NECK","56","56.1","13.2","13.3","SUBAERIAL","","","s CJBG-27_LEACHATE [19997]","BASANITE [19997]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19997] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.706145","","","","","","","","","","","","","","","","","","","","","1007244",
"[12858]","RIFT VOLCANICS","SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / SORGENFREI-TORNQUIST ZONE / SCANIA VOLCANIC FIELD","SKRYLLE","55.69","55.69","13.35","13.36","SUBAERIAL","","","s SKRYLLE [12858]","DOLERITE [12858]","284000000 [12858]","284000000 [12858]","LOWER [12858]","PERMIAN [12858]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12858] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.25","5.69","","","","","","","","","0.31","3.54","","","","","","","","","","","","","","0.512224","","","","","","","","","","","","","","","","","0.282903","","","","","","","381078",
"[12858]","RIFT VOLCANICS","SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / SORGENFREI-TORNQUIST ZONE / SCANIA VOLCANIC FIELD","HORSHALLEN","55.65","55.68","14.23","14.3","SUBAERIAL","","","s HORSHALLEN [12858]","DOLERITE [12858]","284000000 [12858]","284000000 [12858]","LOWER [12858]","PERMIAN [12858]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12858] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.45","3.35","","","","","","","","","0.57","4.22","","","","","","","","","","","","","","0.512254","","","","","","","","","","","","","","","","","0.282459","","","","","","","381079",
"[15474]","RIFT VOLCANICS","SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / NORTH SEA VOLCANIC PROVINCE / EGERSUND BASIN","WELL 17/9-1","59","59","2","2","SUBAQUATIC","","","s 3065 [15474]","TRACHYTE [15474]","178000000 [15474]","178000000 [15474]","LOWER [15474]","JURASSIC [15474]","","","","HIGHLY PORPHYRITIC, FINE-GRAINED TO DENSE MATRIX [15474] ","VOLCANIC ROCK","3065","3065","","","WHOLE_ROCK [15474] ","34.17","3.03","","17.68","","8.28","5.13","","17.63","6.43","0.66","","4.73","0.12","1.04","","11.39","0.85","","5.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138","","","63","80","","76","","","","","","94","551","20","223","116","","","","","","","","","","","","","","85","128","","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","532974",
"[15474]","RIFT VOLCANICS","SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / NORTH SEA VOLCANIC PROVINCE / EGERSUND BASIN","WELL 17/9-1","59","59","2","2","SUBAQUATIC","","","s 3067 [15474]","TRACHYTE [15474]","178000000 [15474]","178000000 [15474]","LOWER [15474]","JURASSIC [15474]","","","","HIGHLY PORPHYRITIC, FINE-GRAINED TO DENSE MATRIX [15474] ","VOLCANIC ROCK","3067","3067","","","WHOLE_ROCK [15474] ","42.5","3.22","","18.38","","7.34","4.43","","10.18","5.81","0.66","","5.36","0.33","0.91","","9.83","1.73","","3.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220","","","55","54","","84","","","","","","108","799","22","262","143","","","","","","","","","","","","","","97","137","","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","532975",
"[15474]","RIFT VOLCANICS","SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / NORTH SEA VOLCANIC PROVINCE / EGERSUND BASIN","WELL 17/9-1","59","59","2","2","SUBAQUATIC","","","s 3069 [15474]","TRACHYTE [15474]","178000000 [15474]","178000000 [15474]","LOWER [15474]","JURASSIC [15474]","","","","HIGHLY PORPHYRITIC, FINE-GRAINED TO DENSE MATRIX [15474] ","VOLCANIC ROCK","3069","3069","","","WHOLE_ROCK [15474] ","45.9","3.18","","18.35","","5.35","3.23","","8.78","5.19","0.6","","6.66","0.3","0.9","","8.61","1.66","","3.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128","","","40","38","","70","","","","","","138","938","22","252","152","","","","","","","","","","","","","","87","138","","58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","532976",
"[15474]","RIFT VOLCANICS","SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / NORTH SEA VOLCANIC PROVINCE / EGERSUND BASIN","WELL 17/9-1","59","59","2","2","SUBAQUATIC","","","s 2259 [15474]","BASALT, ALKALINE [15474]","","","MIDDLE [15474]","JURASSIC [15474]","","","","TACHYLITIC MATRIX [15474] ","VOLCANIC ROCK","2259","2259","","","WHOLE_ROCK [15474] ","43.07","3.35","","12.68","","8.31","1.97","","18.9","8.36","0.67","","0.6","0.19","1.33","","9.3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","147","","","53","36","","60","","","","","","29","397","15","226","98","","","","","","","","","","","","","","107","176","","73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","532977",
"[15474]","RIFT VOLCANICS","SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / NORTH SEA VOLCANIC PROVINCE / EGERSUND BASIN","WELL 17/9-1","59","59","2","2","SUBAQUATIC","","","s 2263 [15474]","BASALT, ALKALINE [15474]","","","MIDDLE [15474]","JURASSIC [15474]","","","","TACHYLITIC MATRIX [15474] ","VOLCANIC ROCK","2263","2263","","","WHOLE_ROCK [15474] ","46.28","4.03","","13.84","","7.65","2.65","","9.48","9.15","0.6","","1.92","0.77","1.06","","5.61","4.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","294","","","69","48","","74","","","","","","113","431","19","264","113","","","","","","","","","","","","","","149","236","","112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","532978",
"[15474]","RIFT VOLCANICS","SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / NORTH SEA VOLCANIC PROVINCE / EGERSUND BASIN","WELL 17/9-1","59","59","2","2","SUBAQUATIC","","","s 2268 [15474]","BASALT, ALKALINE [15474]","","","MIDDLE [15474]","JURASSIC [15474]","","","","TACHYLITIC MATRIX [15474] ","VOLCANIC ROCK","2268","2268","","","WHOLE_ROCK [15474] ","44.65","3.79","","13.33","","11.87","2.55","","10.59","8.75","0.57","","1.7","0.77","1.1","","5.22","3.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233","","","81","46","","91","","","","","","80","389","0.17","233","102","","","","","","","","","","","","","","135","212","","96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","532979",
