"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20451]","RIFT VOLCANICS","SOUTHERN OKLAHOMA RIFT / OKLAHOMA / WICHITA IGENOUS PROVINCE","WILLIAMS WELL","35","35","-99","-99","SUBAERIAL","","","s CB-PAW-1 [20451]","TRACHYBASALT [20451]","","","","CAMBRIAN [20451]","","","","","VOLCANIC ROCK","1714.5","1714.5","","","WHOLE_ROCK [20451] ","50.03","2.5","","14.24","","","","12.3","7.67","6.23","0.26","","1.39","3.63","0.37","","","","","","","","","","","","","","","","3.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","340","121","","","51","69","111","122","15.4","","","","","8","168","30.5","149","21.2","","","","","","","","","","","","","338","19.4116","44.6341","6.6725","22.77285801","4.958940441","2.1795","6.5463","1.0236","5.9042","1.1748","3.3246","0.467","3.0017","0.4481","","","","","","","","","","","14","","4.3","0","0.512588235","","","0.706688627","","","","","","","","","","","","","","","","","","","","","1064228",
"[20451]","RIFT VOLCANICS","SOUTHERN OKLAHOMA RIFT / OKLAHOMA / WICHITA IGENOUS PROVINCE","WILLIAMS WELL","35","35","-99","-99","SUBAERIAL","","","s CB-PAW-2 [20451]","BASALT [20451]","","","","CAMBRIAN [20451]","","","","","VOLCANIC ROCK","1729.74","1729.74","","","WHOLE_ROCK [20451] ","50.61","2.2","","14.29","","","","11.62","9.1","6","0.25","","0.83","3.51","0.32","","","","","","","","","","","","","","","","4.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","343","110","","","49","63","140","115","14.7","","","","","12.7","439","29.6","134","19.6","","","","","","","","","","","","","256","11","29","","","","","","","","","","","","","","","","","","","","","","","19","","6.3","1.4","","","","","","","","","","","","","","","","","","","","","","","","","1064229",
"[20451]","RIFT VOLCANICS","SOUTHERN OKLAHOMA RIFT / OKLAHOMA / WICHITA IGENOUS PROVINCE","WILLIAMS WELL","35","35","-99","-99","SUBAERIAL","","","s CB-PAW-3 [20451]","BASALT [20451]","","","","CAMBRIAN [20451]","","","","","VOLCANIC ROCK","1744.98","1744.98","","","WHOLE_ROCK [20451] ","50.76","2.15","","14.14","","","","11.71","9.47","5.88","0.24","","0.94","3.23","0.32","","","","","","","","","","","","","","","","5.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","336","103","","","48","62","130","112","15.1","","","","","14.1","376","29","137","19.8","","","","","","","","","","","","","239","13","32","","","","","","","","","","","","","","","","","","","","","","","6","","3.1","2.6","","","","","","","","","","","","","","","","","","","","","","","","","1064230",
"[20451]","RIFT VOLCANICS","SOUTHERN OKLAHOMA RIFT / OKLAHOMA / WICHITA IGENOUS PROVINCE","WILLIAMS WELL","35","35","-99","-99","SUBAERIAL","","","s CB-PAW-4 [20451]","BASALT [20451]","","","","CAMBRIAN [20451]","","","","","VOLCANIC ROCK","1757.17","1757.17","","","WHOLE_ROCK [20451] ","50.48","2.12","","14.12","","","","11.79","9.58","5.89","0.23","","0.95","3.1","0.31","","","","","","","","","","","","","","","","5.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","334","95","","","49","61","131","103","14.6","","","","","14.1","355","29.6","133","19.2","","","","","","","","","","","","","237","12","31","","","","","","","","","","","","","","","","","","","","","","","8","","3.2","","","","","","","","","","","","","","","","","","","","","","","","","","1064231",
"[20451]","RIFT VOLCANICS","SOUTHERN OKLAHOMA RIFT / OKLAHOMA / WICHITA IGENOUS PROVINCE","WILLIAMS WELL","35","35","-99","-99","SUBAERIAL","","","s CB-PAW-5 [20451]","BASALT [20451]","","","","CAMBRIAN [20451]","","","","","VOLCANIC ROCK","1775.46","1775.46","","","WHOLE_ROCK [20451] ","50.86","2.09","","14.21","","","","11.15","8.95","5.64","0.23","","1.36","3.41","0.32","","","","","","","","","","","","","","","","4.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","329","112","","","45","58","118","105","14.7","","","","","17.4","375","30.8","141","19.6","","","","","","","","","","","","","376","11","34","","","","","","","","","","","","","","","","","","","","","","","3","","6.2","0.7","","","","","","","","","","","","","","","","","","","","","","","","","1064232",
"[20451]","RIFT VOLCANICS","SOUTHERN OKLAHOMA RIFT / OKLAHOMA / WICHITA IGENOUS PROVINCE","WILLIAMS WELL","35","35","-99","-99","SUBAERIAL","","","s CB-PAW-6 [20451]","BASALT [20451]","","","","CAMBRIAN [20451]","","","","","VOLCANIC ROCK","1790.7","1790.7","","","WHOLE_ROCK [20451] ","49.98","2.05","","13.68","","","","11.74","9.62","6.12","0.22","","1.28","3.27","0.3","","","","","","","","","","","","","","","","4.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","315","94","","","46","58","127","101","14.8","","","","","16.2","288","31.3","142","19.6","","","","","","","","","","","","","308","13","33","","","","","","","","","","","","","","","","","","","","","","","10","","1.5","0","","","","","","","","","","","","","","","","","","","","","","","","","1064233",
"[20451]","RIFT VOLCANICS","SOUTHERN OKLAHOMA RIFT / OKLAHOMA / WICHITA IGENOUS PROVINCE","WILLIAMS WELL","35","35","-99","-99","SUBAERIAL","","","s CB-PAW-7 [20451]","BASALT [20451]","","","","CAMBRIAN [20451]","","","","","VOLCANIC ROCK","1805.94","1805.94","","","WHOLE_ROCK [20451] ","50.47","2.2","","13.91","","","","11.99","8.58","6.45","0.23","","1.03","3.68","0.3","","","","","","","","","","","","","","","","3.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","336","93","","","50","61","132","104","15.1","","","","","13.8","388","30","140","19.9","","","","","","","","","","","","","333","13","34","","","","","","","","","","","","","","","","","","","","","","","6","","3.2","0.9","","","","","","","","","","","","","","","","","","","","","","","","","1064234",
"[20451]","RIFT VOLCANICS","SOUTHERN OKLAHOMA RIFT / OKLAHOMA / WICHITA IGENOUS PROVINCE","WILLIAMS WELL","35","35","-99","-99","SUBAERIAL","","","s CB-PAW-8 [20451]","BASALT [20451]","","","","CAMBRIAN [20451]","","","","","VOLCANIC ROCK","1821.18","1821.18","","","WHOLE_ROCK [20451] ","50.32","2.15","","13.95","","","","11.94","8.57","6.37","0.23","","1.18","3.63","0.3","","","","","","","","","","","","","","","","3.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","325","100","","","49","60","135","103","14.8","","","","","15.1","413","30.2","140","20.4","","","","","","","","","","","","","402","","","","","","","","","","","","","","","","","","","","","","","","","3","","2.5","0.7","","","","","","","","","","","","","","","","","","","","","","","","","1064235",
"[20451]","RIFT VOLCANICS","SOUTHERN OKLAHOMA RIFT / OKLAHOMA / WICHITA IGENOUS PROVINCE","WILLIAMS WELL","35","35","-99","-99","SUBAERIAL","","","s CB-PAW-9 [20451]","TRACHYBASALT [20451]","","","","CAMBRIAN [20451]","","","","","VOLCANIC ROCK","1836.42","1836.42","","","WHOLE_ROCK [20451] ","51.18","2.22","","13.84","","","","11.7","8.01","5.74","0.23","","1.84","3.38","0.4","","","","","","","","","","","","","","","","3.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","318","76","","","46","51","96","103","14.7","","","","","25","364","33.3","176","25.5","","","","","","","","","","","","","471","18","37","","","","","","","","","","","","","","","","","","","","","","","4","","7.2","0","","","","","","","","","","","","","","","","","","","","","","","","","1064236",
"[20451]","RIFT VOLCANICS","SOUTHERN OKLAHOMA RIFT / OKLAHOMA / WICHITA IGENOUS PROVINCE","WILLIAMS WELL","35","35","-99","-99","SUBAERIAL","","","s CB-PAW-10 [20451]","TRACHYBASALT [20451]","","","","CAMBRIAN [20451]","","","","","VOLCANIC ROCK","1851.66","1851.66","","","WHOLE_ROCK [20451] ","51.52","1.97","","13.86","","","","11.23","7.92","6.08","0.21","","2.17","3.24","0.31","","","","","","","","","","","","","","","","4.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","308","84","","","46","55","100","102","14.7","","","","","27","321","31.4","147","19.8","","","","","","","","","","","","","467","12","37","","","","","","","","","","","","","","","","","","","","","","","1","","1.6","1.9","","","","","","","","","","","","","","","","","","","","","","","","","1064237",
