"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[478]","OCEAN ISLAND","ST. HELENA CHAIN / ST. HELENA / ATLANTIC OCEAN","","-15.95","-15.95","-5.7","-5.7","SUBAERIAL","","","s SH13 [478]","BASALT [478]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [478] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.47","58.3","","29.1","6.13","1.976","5.76","","4.43","","2.05","","1.575","0.213","","","","","","","","","","","1.71","","","0.797","","","","","","","","","","","","","","","","","","","","","","","","","10202",
"[478]","OCEAN ISLAND","ST. HELENA CHAIN / ST. HELENA / ATLANTIC OCEAN","","-15.95","-15.95","-5.7","-5.7","SUBAERIAL","","","s SH28 [478]","BASALT [478]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [478] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1","","","1.309","","","","","","","","","","","","","","","","","","","","","","","","","10203",
"[478]","OCEAN ISLAND","ST. HELENA CHAIN / ST. HELENA / ATLANTIC OCEAN","","-15.95","-15.95","-5.7","-5.7","SUBAERIAL","","","s SH37 [478]","BASALT [478]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [478] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.73","","","0.864","","","","","","","","","","","","","","","","","","","","","","","","","10204",
"[478]","OCEAN ISLAND","ST. HELENA CHAIN / ST. HELENA / ATLANTIC OCEAN","","-15.95","-15.95","-5.7","-5.7","SUBAERIAL","","","s SH56 [478]","BASALT [478]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [478] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","10205",
"[478]","OCEAN ISLAND","ST. HELENA CHAIN / ST. HELENA / ATLANTIC OCEAN","","-15.95","-15.95","-5.7","-5.7","SUBAERIAL","","","s SH85 [478]","BASALT [478]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [478] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.3","113.7","","52.04","9.918","3.075","8.9","","6.82","","3.35","","2.731","0.391","","","","","","","","","","","3.19","","","1.744","","","","","","","","","","","","","","","","","","","","","","","","","10207",
"[478]","OCEAN ISLAND","ST. HELENA CHAIN / ST. HELENA / ATLANTIC OCEAN","","-15.95","-15.95","-5.7","-5.7","SUBAERIAL","","","s SH139 [478]","BASALT [478]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [478] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.01","63.6","","32.31","6.818","2.211","6.43","","4.84","","2.2","","1.674","0.27","","","","","","","","","","","1.88","","","0.729","","","","","","","","","","","","","","","","","","","","","","","","","10208",
"[1224]","OCEAN ISLAND","ST. HELENA CHAIN / ST. HELENA / MAIN SHIELD VOLCANO (SOUTHWESTERN VOLCANO) / ATLANTIC OCEAN","LOWER SHIELD, RIVER CUT NEAR SANDY BAY","-15.95","-15.95","-5.7","-5.7","SUBAERIAL","","","s CE1A [1224]","BASALT, PICRITIC [1224]","8500000 [1224]","11300000 [1224]","","","","","","PORPHYRITIC [1224] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [1224] ","45.31","2.62","","12.94","","","","12.49","10.94","11.67","0.19","","0.81","2.05","0.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","274","422","","","71","254","69","","","","","","","17","512","29","211","50","","","","","","","","","","","","","276","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.702895","","20.89","","15.789","","40.173","","","","","","","","","","","","","","","10568",
"[1224]","OCEAN ISLAND","ST. HELENA CHAIN / ST. HELENA / MAIN SHIELD VOLCANO (SOUTHWESTERN VOLCANO) / ATLANTIC OCEAN","HIGH HILL","-15.95","-15.95","-5.7","-5.7","SUBAERIAL","","","s CE14 [1224]","TRACHYBASALT [1224]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1224] ","49.65","2.93","","17.44","","","","11.78","7.55","3.92","0.2","","1.62","3.63","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125","","","","25","9","44","","","","","","","34","852","65","366","95","","","","","","","","","","","","","662","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.783","","15.771","","40.071","","","","","","","","","","","","","","","10571",
"[1224]","OCEAN ISLAND","ST. HELENA CHAIN / ST. HELENA / NORTHEASTERN VOLCANO / ATLANTIC OCEAN","SADDLE POINT","-15.95","-15.95","-5.7","-5.7","SUBAERIAL","","","s CE18 [1224]","ANKARAMITE [1224]","11400000 [1224]","","","","","","","PORPHYRITIC [1224] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [1224] ","46.92","3.31","","14.67","","","","12.82","10.66","6.33","0.2","","1.5","2.45","0.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","239","107","","","48","142","98","","","","","","","34","671","38","315","83","","","","","","","","","","","","","464","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.702874","","20.52","","15.735","","39.89","","","","","","","","","","","","","","","10572",
"[1224]","OCEAN ISLAND","ST. HELENA CHAIN / ST. HELENA / MAIN SHIELD VOLCANO (SOUTHWESTERN VOLCANO) / ATLANTIC OCEAN","LOWER SHIELD, RIVER CUT NEAR SANDY BAY","-15.95","-15.95","-5.7","-5.7","SUBAERIAL","","","s CE1A [1224]","BASALT, PICRITIC [1224]","8500000 [1224]","11300000 [1224]","","","","","","PORPHYRITIC [1224] ","VOLCANIC ROCK","","","","HE3_HE4 from OLIVINE [1224], HE3_HE4(R/R(A)) from OLIVINE [1224]","MINERAL / COMPONENT (INCL. GROUNDMASS) [1224] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.54","5.73","","","","","10574",
