"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20587]","INTRAPLATE VOLCANICS","SUL RIO GRANDENSE SHIELD_PROTEROZOIC / BRAZIL_PROTEROZOIC / RAMADA PLATEAU / HILARIO FORMATION","","-30.5","-30.5","-54","-54","SUBAERIAL","","","s VM52A [20587]","ANDESITE, BASALTIC [20587]","","","NEO [20587]","PROTEROZOIC [20587]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20587] ","52.97","1.78","","15.06","","","","9.49","5.4","3.63","0.14","","2.46","3.81","0.64","","","","","","","","","","","","","","","","4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.4","","","","","69.4","636.5","37.7","330.2","19","","","","","","","","","","","","","1081","59.9","117.5","13.4","53.7","9.47","2.62","8.81","1.28","6.83","1.47","4.02","0.56","3.69","0.54","7.4","0.9","","","","","","","","","","","3.9","0.7","","","","","","","","","","","","","","","","","","","","","","","","","1089894",
"[20587]","INTRAPLATE VOLCANICS","SUL RIO GRANDENSE SHIELD_PROTEROZOIC / BRAZIL_PROTEROZOIC / RAMADA PLATEAU / HILARIO FORMATION","","-30.5","-30.5","-54","-54","SUBAERIAL","","","s VM103A [20587]","ANDESITE, BASALTIC [20587]","","","NEO [20587]","PROTEROZOIC [20587]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20587] ","53.42","0.92","","14.36","","","","9.07","6.02","5.27","0.12","","5.03","2.68","0.38","","","","","","","","","","","","","","","","2.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.3","","","","","141.3","722","18.9","149.8","8.4","","","","","","","","","","","","","1421","45.8","90.3","10.41","42.3","7.83","1.98","6.59","0.79","3.88","0.74","1.89","0.26","1.56","0.23","3.3","0.4","","","","","","","","","","","8.3","2.1","","","","","","","","","","","","","","","","","","","","","","","","","1089895",
"[20587]","INTRAPLATE VOLCANICS","SUL RIO GRANDENSE SHIELD_PROTEROZOIC / BRAZIL_PROTEROZOIC / RAMADA PLATEAU / HILARIO FORMATION","","-30.5","-30.5","-54","-54","SUBAERIAL","","","s VM131 [20587]","ANDESITE, BASALTIC [20587]","","","NEO [20587]","PROTEROZOIC [20587]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20587] ","55.45","1.75","","14.95","","","","8.71","4.23","3.27","0.11","","2.89","4.09","0.52","","","","","","","","","","","","","","","","3.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.1","","","","","50.8","563.3","41.4","378.6","17.3","","","","","","","","","","","","","983","61.1","127.8","14.21","52.5","10.01","2.36","9.13","1.41","8.16","1.56","4.28","0.64","3.76","0.58","8.5","1.1","","","","","","","","","","","5.3","1","","","","","","","","","","","","","","","","","","","","","","","","","1089896",
"[20587]","INTRAPLATE VOLCANICS","SUL RIO GRANDENSE SHIELD_PROTEROZOIC / BRAZIL_PROTEROZOIC / RAMADA PLATEAU / HILARIO FORMATION","","-30.5","-30.5","-54","-54","SUBAERIAL","","","s RM15A [20587]","BASALT [20587]","","","NEO [20587]","PROTEROZOIC [20587]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20587] ","47.29","1.73","","17.17","","","","13.86","8.68","4.02","0.24","","0.76","3.86","0.23","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","","","","22","437","24","140","6","","","","","","","","","","","","","241","12.5","29.3","","16","5.02","1.9","","0.9","","","","","2.9","0.38","3.61","","","","","","","","","","","","0.7","0.4","","","","","","","","","","","","","","","","","","","","","","","","","1089897",
"[20587]","INTRAPLATE VOLCANICS","SUL RIO GRANDENSE SHIELD_PROTEROZOIC / BRAZIL_PROTEROZOIC / RAMADA PLATEAU / HILARIO FORMATION","","-30.5","-30.5","-54","-54","SUBAERIAL","","","s RM27A [20587]","BASALT [20587]","","","NEO [20587]","PROTEROZOIC [20587]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20587] ","47.73","1.81","","17.84","","","","11.18","8.5","4.5","0.28","","0.98","4.13","0.23","","","","","","","","","","","","","","","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","","","","33","496","22","130","7","","","","","","","","","","","","","178","12.3","29.1","","16","4.62","1.6","","0.58","","","","","2.5","0.33","3.67","0.14","","","","","","","","","","","1","0.4","","","","","","","","","","","","","","","","","","","","","","","","","1089898",
"[20587]","INTRAPLATE VOLCANICS","SUL RIO GRANDENSE SHIELD_PROTEROZOIC / BRAZIL_PROTEROZOIC / RAMADA PLATEAU / HILARIO FORMATION","","-30.5","-30.5","-54","-54","SUBAERIAL","","","s RM 317A [20587]","BASALT [20587]","","","NEO [20587]","PROTEROZOIC [20587]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20587] ","48.19","1.97","","17.38","","","","12.16","8.5","4.16","0.265","","0.97","4.35","0.3","","","","","","","","","","","","","","","","2.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","","","","33","450","32.5","176","4.9","","","","","","","","","","","","","159","12.4","31.2","4.09","17.9","4.7","1.76","5.82","1.02","5.68","1.09","3.22","0.46","2.83","0.432","4","0.35","","","","","","","","","","","0.59","0.23","","","","","","","","","","","","","","","","","","","","","","","","","1089899",
"[20587]","INTRAPLATE VOLCANICS","SUL RIO GRANDENSE SHIELD_PROTEROZOIC / BRAZIL_PROTEROZOIC / RAMADA PLATEAU / HILARIO FORMATION","","-30.5","-30.5","-54","-54","SUBAERIAL","","","s VM7A [20587]","BASALT [20587]","","","NEO [20587]","PROTEROZOIC [20587]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20587] ","49.13","1.76","","16.38","","","","11.62","10.67","4.33","0.24","","0.59","3.67","0.24","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9","","","","","14.9","498.1","29.6","184","6.3","","","","","","","","","","","","","164","13.4","31.9","4.31","17.5","4.74","1.73","5.32","0.92","5.12","1.15","3.04","0.49","2.81","0.41","4.4","0.4","","","","","","","","","","","0.8","0.3","","","","","","","","","","","","","","","","","","","","","","","","","1089900",
"[20587]","INTRAPLATE VOLCANICS","SUL RIO GRANDENSE SHIELD_PROTEROZOIC / BRAZIL_PROTEROZOIC / RAMADA PLATEAU / ACAMPAMENTO VELHO FORMATION","","-30.5178","-30.5178","-53.7925","-53.7925","SUBAERIAL","","","s VM 9C [20587]","TRACHYTE [20587]","","","NEO [20587]","PROTEROZOIC [20587]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20587] ","61.67","1.14","","14.35","","","","7.88","2.91","1.33","0.16","","4.11","3.94","0.39","","","","","","","","","","","","","","","","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.9","","","","","48.8","190.2","46.6","887.2","16.3","","","","","","","","","","","","","1789","128.8","263.2","28.3","108.2","15.48","4.07","12.31","1.81","9.35","1.78","4.93","0.78","5.03","0.85","15.8","1.1","","","","","","","","","","","6.8","1.4","","","","","","","","","","","","","","","","","","","","","","","","","1089901",
"[20587]","INTRAPLATE VOLCANICS","SUL RIO GRANDENSE SHIELD_PROTEROZOIC / BRAZIL_PROTEROZOIC / RAMADA PLATEAU / ACAMPAMENTO VELHO FORMATION","","-30.5","-30.5","-54","-54","SUBAERIAL","","","s VM39A [20587]","TRACHYTE [20587]","","","NEO [20587]","PROTEROZOIC [20587]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20587] ","63.04","0.94","","13.87","","","","7.62","2.81","1.12","0.18","","4.52","4.01","0.33","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","51.4","115.6","52.3","1069","19.7","","","","","","","","","","","","","1607","147.4","278.5","31.38","124.5","17.68","4.33","13.85","1.89","9.75","2.05","6.06","0.88","5.58","0.92","19.1","1","","","","","","","","","","","7.5","1.3","","","","","","","","","","","","","","","","","","","","","","","","","1089902",
"[20587]","INTRAPLATE VOLCANICS","SUL RIO GRANDENSE SHIELD_PROTEROZOIC / BRAZIL_PROTEROZOIC / RAMADA PLATEAU / ACAMPAMENTO VELHO FORMATION","","-30.5","-30.5","-54","-54","SUBAERIAL","","","s VM41A [20587]","TRACHYTE [20587]","","","NEO [20587]","PROTEROZOIC [20587]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20587] ","62.23","0.91","","14.1","","","","7.35","2.66","0.9","0.18","","4.32","3.92","0.32","","","","","","","","","","","","","","","","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.1","","","","","48.4","91","48.6","1128.8","19.2","","","","","","","","","","","","","1406","147.4","283.5","31.58","120","17.47","4.26","13.81","1.85","9.47","2","5.76","0.82","5.6","0.91","18.5","1","","","","","","","","","","","7.3","1.2","","","","","","","","","","","","","","","","","","","","","","","","","1089903",
