"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[9196]","CONVERGENT MARGIN","TALKEETNA ARC / CHUGACH MOUNTAINS","","61.7334","61.7334","-147.0869","-147.0869","SUBAERIAL","","","s 0717A1 [9196]","GABBRONORITE [9196]","","","","JURASSIC [9196]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9196] ","48.25","0.457","","18.01","","","","7.58","14.92","8.51","0.166","","0.04","1.12","0.036","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.7","","204","219","","","","42","57","46","13","","","","","0.3","295","12.22","8","0.29","","","","","","","","","","","","0.32","20","1.02","3.07","0.55","3.34","1.37","0.54","1.77","0.33","2.17","0.48","1.31","0.19","1.23","0.19","0.37","0.01","","","","","","","","","1.52","","0.01","0.01","","","","","","","","","","","","","","","","","","","","","","","","","282775",
"[9196]","CONVERGENT MARGIN","TALKEETNA ARC / CHUGACH MOUNTAINS","CHUGACH MOUNTAINS BETWEEN SCARP MOUNTAIN AND MATANUSKA GLACIER","61.7341","61.7341","-147.0892","-147.0892","SUBAERIAL","","","s 0717A2B [9196]","GABBRONORITE [9196]","","","","JURASSIC [9196]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9196] ","47.44","0.82","","18.03","","","","9.95","12.28","7.35","0.229","","0.17","2.35","0.095","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.9","","242","127","","","","23","90","91","17","","","","","2.3","333","25.05","18","0.68","","","","","","","","","","","","1.06","90","2.08","6","1.07","6.42","2.75","1.07","3.67","0.69","4.6","0.97","2.67","0.37","2.33","0.37","0.83","0.03","","","","","","","","","1.75","","0.06","0.04","","","","","","","","","","","","","","","","","","","","","","","","","282776",
"[9196]","CONVERGENT MARGIN","TALKEETNA ARC / CHUGACH MOUNTAINS","CHUGACH MOUNTAINS BETWEEN SCARP MOUNTAIN AND MATANUSKA GLACIER","61.7319","61.7319","-147.0895","-147.0895","SUBAERIAL","","","s 0717A5B [9196]","GABBRONORITE [9196]","","","","JURASSIC [9196]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9196] ","49.15","0.594","","16.08","","","","9.38","11.29","9.11","0.255","","0.15","2.28","0.061","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.5","","241","404","","","","79","299","84","15","","","","","2","276","11.55","9","0.3","","","","","","","","","","","","0.88","60","1.35","3.5","0.58","3.27","1.26","0.61","1.66","0.3","2.05","0.45","1.27","0.18","1.18","0.19","0.37","0.02","","","","","","","","","1.64","","0.01","0.02","","","","","","","","","","","","","","","","","","","","","","","","","282777",
"[9196]","CONVERGENT MARGIN","TALKEETNA ARC / CHUGACH MOUNTAINS","CHUGACH MOUNTAINS BETWEEN SCARP MOUNTAIN AND MATANUSKA GLACIER","61.7319","61.7319","-147.0895","-147.0895","SUBAERIAL","","","s 0717A5C [9196]","GABBRONORITE [9196]","","","","JURASSIC [9196]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9196] ","48.85","0.552","","21.69","","","","8.86","10.8","3.99","0.144","","0.26","3.34","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7","","192","15","","","","0","233","66","20","","","","","2.9","419","17.7","8","0.39","","","","","","","","","","","","1.11","145","2.23","5.65","0.95","5.54","1.98","0.75","2.48","0.46","3.03","0.66","1.88","0.28","1.77","0.29","0.37","0.02","","","","","","","","","1.94","","0.02","0.03","","","","","","","","","","","","","","","","","","","","","","","","","282778",
"[9196]","CONVERGENT MARGIN","TALKEETNA ARC / CHUGACH MOUNTAINS","CHUGACH MOUNTAINS BETWEEN SCARP MOUNTAIN AND MATANUSKA GLACIER","61.7311","61.7311","-147.0901","-147.0901","SUBAERIAL","","","s 0717A6 [9196]","GABBRONORITE [9196]","","","","JURASSIC [9196]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9196] ","49.57","0.561","","14.89","","","","8.49","12.63","10.85","0.183","","0.12","1.58","0.034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.2","","218","514","","","","83","113","67","16","","","","","1.3","203","19","14","0.57","","","","","","","","","","","","0.84","38","1.44","5.23","1.01","6.05","2.22","0.65","2.63","0.48","3.21","0.71","2.03","0.3","1.97","0.33","0.66","0.02","","","","","","","","","1.39","","0.01","0.02","","","","","","","","","","","","","","","","","","","","","","","","","282779",
"[9196]","CONVERGENT MARGIN","TALKEETNA ARC / CHUGACH MOUNTAINS","CHUGACH MOUNTAINS BETWEEN SCARP MOUNTAIN AND MATANUSKA GLACIER","61.7941","61.7941","-146.583","-146.583","SUBAERIAL","","","s 0718A4 [9196]","GABBRONORITE [9196]","","","","JURASSIC [9196]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9196] ","44.33","0.681","","18.12","","","","12.76","14.98","8.57","0.197","","0.01","0.65","0.008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.6","","456","88","","","","13","180","54","13","","","","","0.3","211","3.15","1","0.04","","","","","","","","","","","","0.03","4","0.26","0.37","0.06","0.42","0.23","0.16","0.42","0.09","0.59","0.14","0.37","0.05","0.32","0.05","0.06","0","","","","","","","","","0.05","","0.04","0.01","","","","","","","","","","","","","","","","","","","","","","","","","282780",
"[9196]","CONVERGENT MARGIN","TALKEETNA ARC / CHUGACH MOUNTAINS","CHUGACH MOUNTAINS BETWEEN SCARP MOUNTAIN AND MATANUSKA GLACIER","61.7208","61.7208","-147.576","-147.576","SUBAERIAL","","","s 0720A2 [9196]","GABBRONORITE [9196]","","","","JURASSIC [9196]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9196] ","52.64","0.625","","19.02","","","","7.34","8.9","5.3","0.146","","1.21","4.01","0.118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.3","","178","130","","","","28","50","61","17","","","","","22.1","308","16.86","42","1.12","","","","","","","","","","","","2.18","525","3.92","9.46","1.34","6.52","2.1","0.75","2.5","0.45","2.95","0.63","1.78","0.27","1.73","0.29","1.46","0.07","","","","","","","","","2.95","","0.55","0.31","","","","","","","","","","","","","","","","","","","","","","","","","282781",
"[9196]","CONVERGENT MARGIN","TALKEETNA ARC / CHUGACH MOUNTAINS","CHUGACH MOUNTAINS BETWEEN SCARP MOUNTAIN AND MATANUSKA GLACIER","61.7531","61.7531","-145.3156","-145.3156","SUBAERIAL","","","s 1709A1 [9196]","GABBRONORITE [9196]","","","","JURASSIC [9196]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9196] ","52.06","0.532","","18.26","","","","8.41","10.97","6.47","0.167","","0.27","2.28","0.031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.3","","254","139","","","","40","29","65","16","","","","","3.2","276","11.1","20","0.61","","","","","","","","","","","","0.06","112","2.03","4.51","0.65","3.31","1.15","0.59","1.46","0.29","1.91","0.42","1.2","0.18","1.18","0.19","0.65","0.06","","","","","","","","","1.18","","0.28","0.11","","","","","","","","","","","","","","","","","","","","","","","","","282782",
"[9196]","CONVERGENT MARGIN","TALKEETNA ARC / CHUGACH MOUNTAINS","CHUGACH MOUNTAINS BETWEEN SCARP MOUNTAIN AND MATANUSKA GLACIER","61.7486","61.7486","-145.3169","-145.3169","SUBAERIAL","","","s 1709A2 [9196]","GABBRONORITE [9196]","","","","JURASSIC [9196]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9196] ","52.61","0.402","","18.11","","","","8.24","11","6.92","0.174","","0.23","2.27","0.041","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.4","","206","157","","","","44","30","67","15","","","","","2.4","268","11.17","21","0.48","","","","","","","","","","","","0.08","99","1.82","4.18","0.61","3.16","1.14","0.58","1.46","0.29","1.88","0.42","1.18","0.18","1.16","0.19","0.66","0.03","","","","","","","","","0.99","","0.22","0.1","0.51296","","","","","","","","","","","","","","","","","","","","","","","","282783",
"[9196]","CONVERGENT MARGIN","TALKEETNA ARC / CHUGACH MOUNTAINS","CHUGACH MOUNTAINS BETWEEN SCARP MOUNTAIN AND MATANUSKA GLACIER","61.6355","61.6355","-144.9055","-144.9055","SUBAERIAL","","","s 1710A4A [9196]","GABBRONORITE [9196]","","","","JURASSIC [9196]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9196] ","45.24","0.045","","27.12","","","","4.43","15.38","7","0.073","","0.03","0.87","0.008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5","","25","88","","","","53","37","24","15","","","","","0.2","382","0.86","1","0.05","","","","","","","","","","","","0.07","16","0.34","0.69","0.09","0.42","0.14","0.16","0.16","0.03","0.15","0.03","0.09","0.01","0.08","0.01","0.05","0.03","","","","","","","","","0.25","","0.04","0.01","","","","","","","","","","","","","","","","","","","","","","","","","282784",
