"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[7538]","INTRAPLATE VOLCANICS","TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE","","-15.0867","-15.2078","-49.1586","-49.2997","SUBAERIAL","","","s RM16B [7538]","BASALT [7538]","1300000000 [7538]","1300000000 [7538]","MESO [7538]","PROTEROZOIC [7538]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7538] ","48.82","1.16","","16.61","","1.63","8.13","","12.84","5.44","0.13","","0.54","2.44","0.07","","","","","","","","","","","","","","","","1.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","200","98","","","","55","","58","","","","","","19","250","23","76","","","","","","","","","","","","","","28","3","12.4","","9.15","2.778","0.6","2.48","","2.6","0.6","2.04","","1.68","0.24","","","","","","","","","","","","","","","0.5128","","","","","","","","","","","","","","","","","","","","","","","","614551",
"[7538]","INTRAPLATE VOLCANICS","TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE","","-15.0867","-15.2078","-49.1586","-49.2997","SUBAERIAL","","","s RM29 [7538]","BASALT [7538]","1300000000 [7538]","1300000000 [7538]","MESO [7538]","PROTEROZOIC [7538]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7538] ","51.06","2.97","","10.39","","2.14","13.78","","8.69","5.43","0.22","","0.42","2.28","0.25","","","","","","","","","","","","","","","","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","89","39","","","46.4","43","","150","","","","","","5","110","61","190","","","","","","","","","","","","","","35","14.2","36","","23.5","6.9","2.1","","1.5","","","","","6.1","0.72","5.23","","","","","","","","","","","","2.5","0.46","","","","","","","","","","","","","","","","","","","","","","","","","614552",
"[7538]","INTRAPLATE VOLCANICS","TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE","","-15.0867","-15.2078","-49.1586","-49.2997","SUBAERIAL","","","s RM40B [7538]","BASALT [7538]","1300000000 [7538]","1300000000 [7538]","MESO [7538]","PROTEROZOIC [7538]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7538] ","46.33","2.74","","13.22","","2.9","11.95","","8.76","7.17","0.22","","0.44","3.46","0.22","","","","","","","","","","","","","","","","2.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","360","142","","","","78","","100","","","","","","11","85","46","160","","","","","","","","","","","","","","20","6.9","22.6","","18.04","5.42","1.14","5.57","","6.5","1.4","4.6","","4.14","0.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","614553",
"[7538]","INTRAPLATE VOLCANICS","TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE","","-15.0867","-15.2078","-49.1586","-49.2997","SUBAERIAL","","","s RM179 [7538]","BASALT [7538]","1300000000 [7538]","1300000000 [7538]","MESO [7538]","PROTEROZOIC [7538]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7538] ","47.03","3.03","","12.98","","0.1","18.27","","8.41","4.83","0.24","","0.39","2.27","0.3","","","","","","","","","","","","","","","","2.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","290","23","","","53.6","35","","152","","","","","","7","41","50","210","","","","","","","","","","","","","","18","18.8","45","","25.7","8.4","2.3","","1.4","","","","","5.2","0.64","6.45","","","","","","","","","","","","4.7","0.91","","","","","","","","","","","","","","","","","","","","","","","","","614554",
"[7538]","INTRAPLATE VOLCANICS","TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE","","-15.0867","-15.2078","-49.1586","-49.2997","SUBAERIAL","","","s RM180 [7538]","BASALT [7538]","1300000000 [7538]","1300000000 [7538]","MESO [7538]","PROTEROZOIC [7538]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7538] ","46.9","2.02","","15.34","","0.85","12.14","","10.99","8.52","0.17","","0.45","0.8","0.19","","","","","","","","","","","","","","","","1.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","340","250","","","","75","","105","","","","","","6","190","31","120","","","","","","","","","","","","","","17","4.9","16.9","","13.44","3.75","1","3.91","","4.34","0.94","2.9","","2.39","0.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","614555",
"[7538]","INTRAPLATE VOLCANICS","TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE","","-15.0867","-15.2078","-49.1586","-49.2997","SUBAERIAL","","","s RM184 [7538]","BASALT [7538]","1300000000 [7538]","1300000000 [7538]","MESO [7538]","PROTEROZOIC [7538]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7538] ","46.1","2.47","","14.25","","2.35","12.47","","11.91","7.05","0.28","","0.34","1.29","0.2","","","","","","","","","","","","","","","","1.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","480","110","","","","57","","147","","","","","","8","130","33","120","","","","","","","","","","","","","","12","5.8","20.1","","14.94","4.15","1.2","4.21","","4.5","1","3.16","","2.7","0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","614556",
"[7538]","INTRAPLATE VOLCANICS","TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE","","-15.0867","-15.2078","-49.1586","-49.2997","SUBAERIAL","","","s RM188 [7538]","BASALT [7538]","1300000000 [7538]","1300000000 [7538]","MESO [7538]","PROTEROZOIC [7538]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7538] ","46.01","3.41","","12.24","","4.03","14.1","","9.68","5.44","0.2","","0.75","2.4","0.33","","","","","","","","","","","","","","","","2.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","","620","70","","","48.4","39","","142","","","","","","9","94","53","200","16.5","","","","","","","","","","","","","19","16.9","42","","27.254","7.842","2.6","","1.5","","","","","7.2","0.83","5.87","1.8","","","","","","","","","","","2.3","0.66","0.512597","","","","","","","","","","","","","","","","","","","","","","","","614557",
"[7538]","INTRAPLATE VOLCANICS","TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE","","-15.0867","-15.2078","-49.1586","-49.2997","SUBAERIAL","","","s RM191 [7538]","BASALT [7538]","1300000000 [7538]","1300000000 [7538]","MESO [7538]","PROTEROZOIC [7538]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7538] ","49.13","2.85","","12.41","","4.07","13.15","","8.74","5.06","0.22","","0.62","1.97","0.32","","","","","","","","","","","","","","","","1.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","420","36","","","","32","","166","","","","","","8","110","57","230","","","","","","","","","","","","","","22","11.9","33.6","","22.79","6.39","1.5","6.89","","8.2","1.7","5.41","","4.88","0.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","614558",
"[7538]","INTRAPLATE VOLCANICS","TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE","","-15.0867","-15.2078","-49.1586","-49.2997","SUBAERIAL","","","s RM201 [7538]","BASALT [7538]","1300000000 [7538]","1300000000 [7538]","MESO [7538]","PROTEROZOIC [7538]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7538] ","45.81","2.23","","13.66","","2.76","12.82","","10.26","6.55","0.21","","0.62","3.43","0.18","","","","","","","","","","","","","","","","1.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","240","56","","","","57","","137","","","","","","7","93","37","120","","","","","","","","","","","","","","10","5.6","18.2","","14.4","4.07","1.2","4.34","","4.9","1.1","3.31","","2.81","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","614559",
"[7538]","INTRAPLATE VOLCANICS","TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE","","-15.0867","-15.2078","-49.1586","-49.2997","SUBAERIAL","","","s RM205 [7538]","BASALT [7538]","1300000000 [7538]","1300000000 [7538]","MESO [7538]","PROTEROZOIC [7538]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7538] ","44.99","2.21","","13.41","","3.76","11.5","","10.86","7.16","0.2","","0.85","3.24","0.17","","","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","300","66","","","55.2","55","","130","","","","","","8","110","33","100","","","","","","","","","","","","","","64","5.9","16.7","","15.018","4.794","1.5","","1.3","","","","","3.6","0.48","3.05","0.32","","","","","","","","","","","0.66","","0.512894","","","","","","","","","","","","","","","","","","","","","","","","614560",
