"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20032]","CONVERGENT MARGIN","TONGA ARC / TONGA ISLANDS / HA^AFEVA / PACIFIC OCEAN","","-19.95","-19.95","-174.72","-174.72","SUBAERIAL","","","s HA3-3 [20032]","ANDESITE, BASALTIC [20032]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20032] ","55.3","0.7","","16.09","","","","9.75","9.46","4.09","0.18","","0.56","2.03","0.12","","","","","","","","","","","","","","","","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013312",
"[3384][3371][14365]","CONVERGENT MARGIN","TONGA ARC / TONGA ISLANDS / TAFAHI / PACIFIC OCEAN","","-15.87","-15.87","-173.92","-173.92","SUBAERIAL","","","s T068 [3384]","ANDESITE, BASALTIC [3384] / NOT GIVEN [14365]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [3384] ","52.48","0.32","","16.48","","","","9.99","11.35","6.35","0.18","","0.18","1.12","0.02","","","","","","","","","","","","","","","","-0.08","","","","","","","","","","","","","","","0.22","","","","","","","","","","","","","46.35","1920","271","","","","71.3","24.25","","","11.4","","","","","2.4","127","8.21","11.9","0.7","","","","","","","","","","","","0.077","57.2","1.19","2.69","0.392","1.95","0.704","0.279","1.035","0.204","1.27","0.292","0.897","0.129","0.911","0.142","0.38","","","","","","","","","","1.01","","0.199","0.095","0.512933","","","0.70391","","19.3278","","15.6149","","38.9469","","","","","","","","","","","","","","","10199-T068",
"[3384][3371][14365]","CONVERGENT MARGIN","TONGA ARC / TONGA ISLANDS / TAFAHI / PACIFIC OCEAN","","-15.87","-15.87","-173.92","-173.92","SUBAERIAL","","","s T069 [3384]","BASALT [3384] / NOT GIVEN [14365]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [3384] ","51.19","0.32","","17.09","","","","9.95","12.08","6.74","0.18","","0.11","1.35","0.03","","","","","","","","","","","","","","","","0.05","","","","","","","","","","","","","","","0.18","","","","","","","","","","","","","46.8","1920","282","","","","61.8","23.6","","","12.3","","","","","0.7","128","8.23","10.8","0.45","","","","","","","","","","","","0.019","32.4","0.828","1.99","0.324","1.71","0.658","0.728","0.986","0.186","1.28","0.297","0.897","0.129","0.885","0.135","0.35","","","","","","","","","","0.82","","0.109","0.085","0.512957","","","0.7039","","19.041","","15.592","","38.682","","","","","","","","","","","","","","","10199-T069",
"[3384][3371][14365]","CONVERGENT MARGIN","TONGA ARC / TONGA ISLANDS / TAFAHI / PACIFIC OCEAN","","-15.87","-15.87","-173.92","-173.92","SUBAERIAL","","","s T072 [3384]","BASALT [3384] / NOT GIVEN [14365]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [3384] ","51.84","0.32","","16.79","","","","9.82","12.16","6.79","0.18","","0.16","1.19","0.02","","","","","","","","","","","","","","","","-0.2","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","46.8","1920","273","","","","76","24.7","","","11.8","","","","","2.51","133","8.31","11","0.59","","","","","","","","","","","","0.086","44.1","1.07","2.37","0.364","1.83","0.687","0.279","1.03","0.189","1.26","0.291","0.892","0.128","0.885","0.138","0.36","","","","","","","","","","0.89","","0.164","0.081","","","","0.703916","","19.2722","","15.6142","","38.9046","","","","","","","","","","","","","","","10199-T072",
"[3384][3371][14365]","CONVERGENT MARGIN","TONGA ARC / TONGA ISLANDS / TAFAHI / PACIFIC OCEAN","","-15.87","-15.87","-173.92","-173.92","SUBAERIAL","","","s T073 [3384]","ANDESITE, BASALTIC [3384] / NOT GIVEN [14365]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [3384] ","52.69","0.41","","16.91","","","","10.44","12.26","5.75","0.19","","0.18","1.41","0.03","","","","","","","","","","","","","","","","-0.25","","","","","","","","","","","","","","","0.21","","","","","","","","","","","","","43","2460","299","","","","75.8","17.7","","","12.5","","","","","2.34","133","9.74","13.1","0.5","","","","","","","","","","","","0.079","41.1","0.923","2.28","0.378","2.05","0.787","0.327","1.2","0.226","1.49","0.344","1.06","0.151","1.05","0.162","0.44","","","","","","","","","","0.88","","0.108","0.065","0.512959","","","0.703951","","18.926","","15.593","","38.608","","","","","","","","","","","","","","","10199-T073",
"[3059][2770][3371][2478][10898]","CONVERGENT MARGIN","TONGA ARC / TONGA ISLANDS / TAFAHI / PACIFIC OCEAN","","-15.87","-15.87","-173.92","-173.92","SUBAERIAL","","","s T113 [3059]","ANDESITE, BASALTIC [3059] / NOT GIVEN [10898]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [3059] ","52.84","0.4","","15.3","","2.6","7.55","","11.53","6.97","0.19","","0.17","1.2","0.15","","0.54","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","3.34","0.19","","","260","78","","","","","","","","","49.9","2400","284","80.6","","","49.2","31.8","136","75.5","14.2","","","","","3.01","155","8.13","12.7","0.79","","","","","","","","","","","","0.077","48.8","0.64","1.72","0.365","1.25","0.462","0.254","0.78","0.182","1.04","0.279","0.724","0.125","0.81","0.136","0.37","0.05","","","","","","","","","1.16","","0.201","0.127","0.512917","","","0.703926","","19.332","","15.616","","38.949","","","","","","","","0.283227","","","","","","","10199-T113",
"[2495][3374][14365]","CONVERGENT MARGIN","TONGA ARC / TONGA ISLANDS / TAFAHI / PACIFIC OCEAN","","-15.87","-15.87","-173.92","-173.92","SUBAERIAL","","","s T113CP [2495]","ANDESITE, BASALTIC [2495] / NOT GIVEN [14365]","","10000 [2495]","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [2495] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","290","84","","","34","25","125","76","","","","","","1.3","145","10","11.4","0.79","","","","","","","","","","","","0.08","63","0.64","1.72","","1.25","0.46","0.25","0.78","0.13","1.04","","0.72","","0.81","0.14","3.87","0.05","","","","","","","","","1.17","","0.21","0.108","0.512937","","","0.70398","","19.332","","15.6143","","38.9471","","","","","","","","","","","","","","","10199-T113CP",
"[2770][4591][3374][2478][3371]","CONVERGENT MARGIN","TONGA ARC / TONGA ISLANDS / TAFAHI / PACIFIC OCEAN","","-15.87","-15.87","-173.92","-173.92","SUBAERIAL","","","s T114 [2770]","ANDESITE, BASALTIC [2770] / NOT GIVEN [4591]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [2770] ","49.64","0.4","","17.9","","4.38","5.84","","10.91","5.68","0.18","","0.1","1.04","1.1","","1.56","1.24","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","0.1642","2.183","","","","","","","","","","","","","394.4","285","45","","","33","21","170","97","","","","","","0.9","130","7.5","10.5","0.137","","","","","","","","","","","","","67","0.42","1.59","","1.4","0.53","0.26","0.85","","1.25","","0.89","","0.94","","","","","","","","","","","","1.1","","0.158","0.092","0.512956","","","0.703992","","19.103","","15.612","","38.782","","","","","","","","","","","","","","","10199-T114",
"[3056][2770][7403][3371][13599][14365]","CONVERGENT MARGIN","TONGA ARC / TONGA ISLANDS / TAFAHI / PACIFIC OCEAN","","-15.87","-15.87","-173.92","-173.92","SUBAERIAL","","","s T116 [3056]","ANDESITE, BASALTIC [3056] / NOT GIVEN [7403]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [3056] ","52.81","0.36","","16.94","","5.37","4.9","","12.02","6.07","0.18","","0.15","0.95","0.04","","0.33","0.22","","","","","","","","","","","","","0.55","","","","","","","","","","","","","","2.6","0.17","6.1","","250","71","","","","","","","","","43.9","2160","298","52","","","47","28.1","77.1","66.3","15.4","","","","","2.95","156","7.88","11.7","0.46","","","","","","","","0.21","0","","","0.078","45.2","0.885","2.62","0.286","2.09","0.769","0.251","0.985","0.178","1.22","0.274","0.847","0.121","0.871","0.134","0.37","0.04","0.05","0.000407","0.0000072","","","","","0.15","1.11","","0.131","0.099","0.512946","","","0.703951","","18.9114","","15.5853","","38.5284","","","","","0.1446","","273","0.283257","","","","","","","10199-T116",
"[2495][12539]","CONVERGENT MARGIN","TONGA ARC / TONGA ISLANDS / TAFAHI / PACIFIC OCEAN","","-15.87","-15.87","-173.92","-173.92","SUBAERIAL","","","s TAF18/10 [2495] / s TAF1810 [12539]","ANDESITE, BASALTIC [2495]","","10000 [2495]","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [2495] ","52.35","0.38","","15.92","","","","10.26","12.52","7.14","0.2","","0.15","0.67","0.05","","","","","","","","","","","","","","","","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","","388","114","","","50","46","205","79","15","","","","","1.8","132","9","12","0.423","","","","","","","","","","","","0.06","34","0.82","1.69","0.27","1.72","0.55","0.26","0.88","0.17","1.17","0.26","0.83","0.15","0.92","0.15","0.3","0.0265","","","","","","","","","0.9","","0.097","0.052","0.51295","","","0.70387","","18.991","","15.564","","38.587","","","","","","","","","","","","","","","10199-TAF18/10",
