"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20277]","INTRAPLATE VOLCANICS","TRANS-HUDSON OROGEN / REINDEER ZONE / FLIN FLON DOMAIN / WELCH THOLEIITE","TROUT LAKE AREA","54.7167","54.7167","-101.625","-101.625","SUBAERIAL","","","s 35019 [20277]","RHYOLITE [20277]","","","","PROTEROZOIC [20277]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20277] ","83.1645672161692","0.111385637328365","","10.763902952732","","","","0.39","0.415164648223905","0.354408846044797","0","","1.42776135120904","3.29093928470169","3.64534813074649E-02","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","0","","","","0","0.8","2.3","87","18.6","","","","","16.5","55.8","134.9","294","22","","","","","","","","","","","","0.4","214","36.3","85.8","11.82","54.4","14","2.08","16.99","3.32","21.94","5.1","16.03","2.53","16.6","2.69","10.2","1.4","","","","","","","","","4.4","","4","2.4","","","","","","","","","","","","","","","","","","","","","","","","","1041829",
"[20277]","INTRAPLATE VOLCANICS","TRANS-HUDSON OROGEN / REINDEER ZONE / FLIN FLON DOMAIN / WELCH THOLEIITE","TROUT LAKE AREA","54.7167","54.7167","-101.625","-101.625","SUBAERIAL","","","s 35020 [20277]","RHYOLITE [20277]","","","","PROTEROZOIC [20277]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20277] ","76.8998668220409","0.228899617113368","","12.4646246046279","","","","1.61","2.09131013817213","1.61270184784418","2.08090561012152E-02","","3.53753953720659","1.31097053437656","0.043699017812552","","","","","","","","","","","","","","","","3.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","0","","","","0.4","1.1","4.9","148","21.8","","","","","28","69","103.9","385.4","20.7","","","","","","","","","","","","0.7","406","32.7","81.9","11.44","50.3","12.9","2.85","14.44","2.7","17.21","3.99","12.35","2.06","13.57","2.19","11.8","1.3","","","","","","","","","3.3","","2.9","1.5","","","","","","","","","","","","","","","","","","","","","","","","","1041830",
"[20277]","INTRAPLATE VOLCANICS","TRANS-HUDSON OROGEN / REINDEER ZONE / FLIN FLON DOMAIN / WELCH THOLEIITE","TROUT LAKE AREA","54.7167","54.7167","-101.625","-101.625","SUBAERIAL","","","s 35028 [20277]","RHYOLITE [20277]","","","","PROTEROZOIC [20277]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20277] ","78.7577639751553","0.165631469979296","","11.055900621118","","","","2.32","0.672877846790891","3.06418219461698","7.24637681159421E-02","","3.47826086956522","0.134575569358178","0.020703933747412","","","","","","","","","","","","","","","","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","0","","","","0","0.3","126.3","5762","12.6","","","","","31.4","7.6","55.8","264.3","17.1","","","","","","","","","","","","0.3","327","26.9","62.5","7.94","33.4","7.64","1.44","7.87","1.43","9.01","2.06","7.05","1.15","7.76","1.25","7.7","1","","","","","","","","","983.9","","2.6","1.4","","","","","","","","","","","","","","","","","","","","","","","","","1041831",
"[20277]","INTRAPLATE VOLCANICS","TRANS-HUDSON OROGEN / REINDEER ZONE / FLIN FLON DOMAIN / WELCH THOLEIITE","TROUT LAKE AREA","54.7167","54.7167","-101.625","-101.625","SUBAERIAL","","","s 34328 [20277]","RHYOLITE [20277]","","","","PROTEROZOIC [20277]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20277] ","77.613311555737","0.122498979175174","","10.5451204573295","","","","1.18","1.14332380563495","1.70477746018783","2.04164965291956E-02","","7.14577378521846","0.367496937525521","3.06247447937934E-02","","","","","","","","","","","","","","","","2.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5687095651081","","7.83056615342106","7.64165374348517","","","0.531970589906701","0.812423613955967","0.762929882442079","48.0959625053442","15.2450813616211","","","","","24.406841597301","24.9069001171772","99.5857043952654","269.977691921246","22.2577714857297","","","","","","","","","","","","0.333549020825986","847.038680632898","31.3462865816503","75.0573457201146","10.5590450733101","45.9800351516029","11.9782845304689","1.99370035327166","13.8821094348277","2.49015304312657","16.788960168319","3.96061433993967","12.4510162254143","2.06174537719883","13.8911629153904","2.15735239356746","8.6431434426983","1.44650469418747","","","","","","","","","2.04941521310622","","3.28505097601847","1.3187657219096","","","","","","","","","","","","","","","","","","","","","","","","","1041832",
"[20277]","INTRAPLATE VOLCANICS","TRANS-HUDSON OROGEN / REINDEER ZONE / FLIN FLON DOMAIN / WELCH THOLEIITE","TROUT LAKE AREA","54.7167","54.7167","-101.625","-101.625","SUBAERIAL","","","s 34329 [20277]","RHYOLITE [20277]","","","","PROTEROZOIC [20277]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20277] ","75.417439703154","0.288600288600289","","11.5852401566687","","","","1.89","1.92743764172336","1.8243661100804","0.020614306328592","","2.30880230880231","4.47330447330447","5.15357658214801E-02","","","","","","","","","","","","","","","","2.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.11803381167732","","26.0122113792415","30.092662276521","","","2.16022862288328","3.10664629977783","0.856029520224986","103.030672697392","12.8374262069109","","","","","4.93948866038541","49.2952916657891","104.805355312653","270.630226653888","27.5875112153432","","","","","","","","","","","","0.487224818671208","274.673028843758","19.2607060220991","55.3335039148567","7.70445143435687","35.1059128636352","9.82039665974068","1.66528666555739","12.8074731090108","2.4675333787501","17.2918235256509","4.06369895548313","12.4649058441185","2.02517484163304","13.3752964317838","2.01844024339827","8.26846667834631","1.36793487325181","","","","","","","","","1.61867435301213","","3.21745796843498","1.33055614352207","","","","","","","","","","","","","","","","","","","","","","","","","1041833",
"[20277]","INTRAPLATE VOLCANICS","TRANS-HUDSON OROGEN / REINDEER ZONE / FLIN FLON DOMAIN / WELCH THOLEIITE","TROUT LAKE AREA","54.7167","54.7167","-101.625","-101.625","SUBAERIAL","","","s 34330 [20277]","RHYOLITE [20277]","","","","PROTEROZOIC [20277]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20277] ","78.1612737544941","0.12326656394453","","9.8613251155624","","","","2.24","1.75654853620955","0.821777092963534","0.061633281972265","","2.75295326142784","3.95480225988701","2.05444273240883E-02","","","","","","","","","","","","","","","","2.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.21280469982473","","9.69828325930565","10.9069777385436","","","0.599387159886714","0.704522422262991","0.875271684275921","57.8761856391782","12.709591502198","","","","","9.98294697680598","26.125721734128","86.7942336707304","213.376303340933","18.8075157130061","","","","","","","","","","","","0.263691126607412","305.033316332362","20.8304658719701","46.7044987884225","7.49733689958585","33.3424464011758","9.02195068220428","1.60696130097972","11.2432475912338","2.1173816651235","14.510877224064","3.40521414319596","10.4439615762976","1.69608838772287","11.2291765132089","1.69188004374177","6.95067424987735","1.18135980699189","","","","","","","","","1.48128627518494","","2.80783359174457","1.2210701412126","","","","","","","","","","","","","","","","","","","","","","","","","1041834",
"[20277]","INTRAPLATE VOLCANICS","TRANS-HUDSON OROGEN / REINDEER ZONE / FLIN FLON DOMAIN / WELCH THOLEIITE","TROUT LAKE AREA","54.7167","54.7167","-101.625","-101.625","SUBAERIAL","","","s 34332 [20277]","RHYOLITE [20277]","","","","PROTEROZOIC [20277]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20277] ","82.4792881251918","0.112508949575534","","9.71668200879616","","","","1.44","0.920527769254373","1.4114759128567","2.04561726500972E-02","","3.71279533599264","","2.04561726500972E-02","","","","","","","","","","","","","","","","2.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.25613297374748","","3.69719875882288","4.43809481184718","","","0.847280835817132","0.840564324112114","1.0784932834326","66.3919177328966","16.1073946385971","","","","","25.2327443103872","4.76953681189565","74.9590931331655","232.898727842359","20.8658662528476","","","","","","","","","","","","0.17549825385249","219.448741558848","29.1379120333412","68.6586245662512","9.5015982418976","41.365172347779","10.5464642852558","1.69616296778932","11.469236599723","1.98091637269859","13.0676352251632","3.00170986367168","9.26273621595847","1.52752498193264","10.3408050959916","1.57359973894065","7.66521671732763","1.31953698631945","","","","","","","","","1.08914241846029","","3.12659064410337","1.35572620972201","","","","","","","","","","","","","","","","","","","","","","","","","1041835",
"[20277]","INTRAPLATE VOLCANICS","TRANS-HUDSON OROGEN / REINDEER ZONE / FLIN FLON DOMAIN / WELCH THOLEIITE","TROUT LAKE AREA","54.7167","54.7167","-101.625","-101.625","SUBAERIAL","","","s 34333 [20277]","RHYOLITE [20277]","","","","PROTEROZOIC [20277]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20277] ","77.4783147459727","0.13424204874019","","10.8013217678645","","","","1.29","2.03428335398596","1.41470466749277","4.13052457662123E-02","","4.98760842627014","1.66253614209005","1.03263114415531E-02","","","","","","","","","","","","","","","","3.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.48731851630368","","3.07129856970454","6.95864099504743","","","0.51901042893211","0.961161052699354","0.300435056688815","49.5353846862598","16.1626104550209","","","","","17.7790196484937","23.2134062004017","106.324297998188","268.666606711742","23.7111185753159","","","","","","","","","","","","0.122950273656306","453.747049697419","27.2396073414607","54.4181747112424","9.45589460938762","41.3999671414492","10.8961000555795","1.89920780143399","13.4818869173841","2.54052956398333","17.4453238297088","4.09023051750517","12.6990275080241","2.06458842612712","13.7950292217994","2.10856691122703","8.64409136709112","1.46938251322843","","","","","","","","","1.12190566697481","","3.45120086824796","0.97848327128672","","","","","","","","","","","","","","","","","","","","","","","","","1041836",
"[20277]","INTRAPLATE VOLCANICS","TRANS-HUDSON OROGEN / REINDEER ZONE / FLIN FLON DOMAIN / WELCH THOLEIITE","TROUT LAKE AREA","54.7167","54.7167","-101.625","-101.625","SUBAERIAL","","","s 19111 [20277]","NOT GIVEN [20277]","","","","PROTEROZOIC [20277]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20277] ","69.7752323319646","0.49372366982079","","11.8975578128377","","","","5.18","4.29003674086881","2.79878971255673","0.108061378863194","","4.71147611843527","0","0.108061378863194","","","","","","","","","","","","","","","","8.25588934514805","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.474957745123","","5.93025900003008","20.381233707293","","","2.09500686891177","1.522418323707","5.39451736472935","223.046625949014","22.1394398302686","","","","","45.7718291401845","40.5529361608988","94.8502004533599","431.913694265195","17.9370713817957","","","","","","","","","","","","0.556429858509215","453.588190121513","21.4608013615773","52.8870927749715","7.60010054245895","34.6076646328824","9.58921070204431","2.78692969361413","12.4129683611569","2.28135546464106","15.8107530374265","3.71901471976011","11.3724134805251","1.82134831758355","12.5873331799165","1.99996239191895","10.1089941366246","0.965841444200266","","","","","","","","","1.38408042069144","","1.8673163733292","1.3224173229185","","","","","","","","","","","","","","","","","","","","","","","","","1041837",
"[20277]","INTRAPLATE VOLCANICS","TRANS-HUDSON OROGEN / REINDEER ZONE / FLIN FLON DOMAIN / WELCH THOLEIITE","TROUT LAKE AREA","54.7167","54.7167","-101.625","-101.625","SUBAERIAL","","","s 19147 [20277]","NOT GIVEN [20277]","","","","PROTEROZOIC [20277]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20277] ","68.3728849632862","0.447273090170905","","10.4075768862403","","","","5.48","4.26731935724167","2.56464829200809","0.138342024050229","","7.35341066297755","0.202192188996488","0.106416941577099","","","","","","","","","","","","","","","","6.59785037778014","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6810940500848","","6.16016986094066","18.5155592728281","","","1.74931337635466","1.45553786816451","5.95785228010593","118.975031036427","18.0009662552453","","","","","41.8765800187046","35.0960199941406","76.2367091611608","378.136683110985","15.3344206454665","","","","","","","","","","","","0.593683619955457","460.588334536793","17.997215496345","44.8551336991685","6.42014713768637","29.0316877208299","7.94758991337228","2.3540277194098","9.89360803061577","1.81849352268807","12.5466368551613","2.93902319928395","9.0752528227855","1.47420996698625","10.1737844190698","1.60600659402014","9.00376337894214","0.863920203467021","","","","","","","","","4.58464621314747","","1.65566453254129","1.01062244965818","","","","","","","","","","","","","","","","","","","","","","","","","1041838",
