"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[636]","OCEAN ISLAND","TRINDADE-VITORIA RISE / TRINDADE / ATLANTIC OCEAN","","-20.5","-20.5","-29.3","-29.3","SUBAERIAL","","","s UCTD3 [636]","PHONOLITE, NEPHELINE [636]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [636] ","49.98","1.08","","19.5","","1.75","3.16","","4.46","1.96","0.2","","5.81","6.48","0.31","4.06","","","","0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","183","2921","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.98","","","6.5","","","","","","19.155","","15.561","","39.077","","","","","","","","","","","","","","","13862",
"[636]","OCEAN ISLAND","TRINDADE-VITORIA RISE / TRINDADE / ATLANTIC OCEAN","","-20.5","-20.5","-29.3","-29.3","SUBAERIAL","","","s UCTD6 [636]","PHONOLITE, NEPHELINE [636]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [636] ","51.67","0.8","","20.91","","1.42","2.55","","2.81","1.02","0.16","","6.47","7.58","0.16","2.03","","","","0.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177","2807","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.67","","","13.71","","","","","","19.188","","15.575","","39.13","","","","","","","","","","","","","","","13863",
"[636]","OCEAN ISLAND","TRINDADE-VITORIA RISE / TRINDADE / ATLANTIC OCEAN","","-20.5","-20.5","-29.3","-29.3","SUBAERIAL","","","s UCTD18 [636]","PHONOLITE, NEPHELINE [636]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [636] ","48.94","1.08","","20.63","","1.71","3.07","","4.24","1.28","0.2","","6.09","8.41","0.29","2.76","","","","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159","3292","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.84","","","","","","19.085","","15.561","","39.008","","","","","","","","","","","","","","","13864",
"[636]","OCEAN ISLAND","TRINDADE-VITORIA RISE / TRINDADE / ATLANTIC OCEAN","","-20.5","-20.5","-29.3","-29.3","SUBAERIAL","","","s UCTD12 [636]","ANALCIMITE, OLIVINE [636]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [636] ","37.63","4.08","","9.58","","4.82","8.69","","12.39","12.97","0.25","","1.72","3.42","1.17","1.91","","","","0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.4","1255","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.11","","","2.49","","","","","","18.966","","15.546","","38.702","","","","","","","","","","","","","","","13865",
"[14539][10017]","OCEAN ISLAND","TRINDADE-VITORIA RISE / TRINDADE / ATLANTIC OCEAN","","-20.5","-20.5","-29.3","-29.3","SUBAERIAL","","","s 91-TR-107 [14539] / s 91TR107 [10017]","MONCHIQUITE [14539] / BASANITE [10017]","","","","","","","","","VEIN","","","","","WHOLE_ROCK [14539] ","39.36","4.66","","12.8","0.024","","","11.88","12.41","7.45","0.2","","2.5","3.16","1.37","","","","","","","","","","","","","","","","4.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.9","1.73","0.512777","","","0.703691","","19.186","","15.577","","39.163","","","","","","","","","","","","","","","1455-91TR107",
"[14539][10017]","OCEAN ISLAND","TRINDADE-VITORIA RISE / TRINDADE / ATLANTIC OCEAN","","-20.5","-20.5","-29.3","-29.3","SUBAERIAL","","","s 91-TR-51 [14539] / s 91TR51 [10017]","PHONOLITE [14539]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [14539] ","51.64","0.56","","21.03","0.02","","","3.37","2.9","1.7","0.193","","6.59","6.33","0.13","","","","","","","","","","","","","","","","6.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3","2.1","0.512764","","","0.703726","","19.183","","15.589","","39.197","","","","","","","","","","","","","","","1455-91TR51",
"[1197][3061][3112][1195]","OCEAN ISLAND","TRINDADE-VITORIA RISE / TRINDADE / ATLANTIC OCEAN","","-20.5","-20.5","-29.3","-29.3","SUBAERIAL","","","s TD3 [1197]","BASALT [1197] / NEPHELINITE, OLIVINE [1195]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1197] ","","","","","","","","","","13.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","690","20","253","64","","","","","","0.046","0.068","2.6","","0.00052","","","657","36","79","","36.7","7.2","","","","","","","","","","","","","","","","","","","","2.2","","","0.917","0.512762","","","0.703611","","19.047","","15.564","","38.816","","","","","","","","","","","","","","","1455-TD3",
"[1197][3061][3112][1195]","OCEAN ISLAND","TRINDADE-VITORIA RISE / TRINDADE / ATLANTIC OCEAN","","-20.5","-20.5","-29.3","-29.3","SUBAERIAL","","","s TD4 [1197]","BASALT [1197] / NEPHELINITE [1195]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1197] ","","","","","","","","","","5.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","2511","63","749","165","","","","","","0.235","0.14","6.7","","0.0026","","","1058","170","379","","170","22.3","","","","","","","","","","","","","","","","","","","","4.31","","","4.01","0.512772","","","0.703804","","19.143","","15.535","","39.023","","","","","","","","","","","","","","","1455-TD4",
"[1498][10017]","OCEAN ISLAND","TRINDADE-VITORIA RISE / TRINDADE / ATLANTIC OCEAN","","-20.5","-20.5","-29.3","-29.3","SUBAERIAL","","","s TR(7A) [1498] / s 7A [10017]","PHONOLITE [1498]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1498] ","56.92","0.46","","22.11","","","","3.1","2.1","0.94","0.13","","6.18","7.91","0.15","","","","","","","","","","","","","","","","2.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","","","2","","","3.5","1","","","","","","","","170","1211","23","1188","118","","","","","","","","","","","","2.5","856","76","102","","25","","","","0.53","","","","","","","16.9","3.2","","","","","","","","","","","27.3","4.9","","","","","","","","","","","","","","","","","","","","","","","","","1455-TR(7A)",
"[1498][10017]","OCEAN ISLAND","TRINDADE-VITORIA RISE / TRINDADE / ATLANTIC OCEAN","","-20.5","-20.5","-29.3","-29.3","SUBAERIAL","","","s TR-11 [1498] / s 91TR11 [10017]","PHONOLITE [1498]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1498] ","55.19","0.76","","21.1","","","","4.17","2.75","0.78","0.17","","6.36","8.51","0.2","","","","","","","","","","","","","","","","2.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","","","2","","","4.9","1","","","","","","","","182","1680","33","1057","143","","","","","","","","","","","","2.8","984","119","178","","50","8.3","2.4","","0.84","","","","","2.8","0.41","17","4.5","","","","","","","","","","","30.3","6.2","","","","","","","","","","","","","","","","","","","","","","","","","1455-TR-11",
"[1498][10017]","OCEAN ISLAND","TRINDADE-VITORIA RISE / TRINDADE / ATLANTIC OCEAN","","-20.5","-20.5","-29.3","-29.3","SUBAERIAL","","","s TR-115 [1498] / s 91TR115 [10017]","PHONOLITE [1498]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1498] ","55.29","0.75","","21.57","","","","3.75","3.05","0.62","0.15","","5.9","8.74","0.17","","","","","","","","","","","","","","","","3.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","","","7","","","4.5","1","","","","","","","","147","2143","32","1113","150","","","","","","","","","","","","2.46","1231","110","173","","51","7.6","2.21","","0.78","","","","","2.9","0.36","16.6","6.1","","","","","","","","","","","17.6","11.2","","","","","","","","","","","","","","","","","","","","","","","","","1455-TR-115",
