"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[115]","OCEAN ISLAND","TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN","BUFF GULCH","-37.05","-37.05","-12.3","-12.3","SUBAERIAL","","","s TK26 [115]","GABBRO [115]","","","","","","","","","PLUTONIC ROCK","","","","HE3_HE4 from AMPHIBOLE [115]","MINERAL / COMPONENT (INCL. GROUNDMASS) [115] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","","","","","","10105",
"[115]","OCEAN ISLAND","TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN","BUFF GULCH","-37.05","-37.05","-12.3","-12.3","SUBAERIAL","","","s TK26 [115]","GABBRO [115]","","","","","","","","","PLUTONIC ROCK","","","","HE3_HE4 from AMPHIBOLE [115]","MINERAL / COMPONENT (INCL. GROUNDMASS) [115] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","","","","","","10106",
"[115]","OCEAN ISLAND","TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN","NEAR BIG POINT","-37.05","-37.05","-12.3","-12.3","SUBAERIAL","","","s TK46A [115]","ANKARAMITE [115]","","","","","","","","","VOLCANIC ROCK","","","","HE3_HE4 from OLIVINE [115]","MINERAL / COMPONENT (INCL. GROUNDMASS) [115] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","","","","","","10107",
"[115]","OCEAN ISLAND","TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN","NEAR BIG POINT","-37.05","-37.05","-12.3","-12.3","SUBAERIAL","","","s TK46A [115]","ANKARAMITE [115]","","","","","","","","","VOLCANIC ROCK","","","","HE3_HE4 from OLIVINE [115]","MINERAL / COMPONENT (INCL. GROUNDMASS) [115] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","","","","","","10108",
"[115]","OCEAN ISLAND","TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN","NEAR BIG POINT","-37.05","-37.05","-12.3","-12.3","SUBAERIAL","","","s TK46A [115]","ANKARAMITE [115]","","","","","","","","","VOLCANIC ROCK","","","","HE3_HE4 from CLINOPYROXENE [115]","MINERAL / COMPONENT (INCL. GROUNDMASS) [115] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1","","","","","","10109",
"[521]","OCEAN ISLAND","TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN","PLANTATION GULCH, MAIN CLIFFS","-37.05","-37.05","-12.3","-12.3","SUBAERIAL","","","s TDC69 [521]","BASANITE, ANKARAMITIC [521]","","","","","","","","PORPHYRITIC [521] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [521] ","42.63","3.17","","11.32","","","","14.58","11.31","11.97","0.17","","1.52","2.74","0.39","","","0.12","","","","","","","","","","","","","0.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","375","327","","","83","208","96","102","","","","","","44","672","18","210","50","","","","","","","","","","","","","443","39","88","","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11354",
"[521]","OCEAN ISLAND","TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN","","-37.1","-37.2","-12.2","-12.3","SUBAERIAL","","","s TR114 [521]","BASANITE, ANKARAMITIC [521]","","","","","","","","PORPHYRITIC [521] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [521] ","43.18","3.67","","13.13","","","","13.4","11.73","8.9","0.16","","1.66","3.08","0.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","356","194","","","67","87","36","93","","","","","","43","985","22","220","50","","","","","","","","","","","","","669","42","105","","62","","","","","","","","","","","","","","","","","","","","","","","","","0.51254","","","0.70508","","","","","","","","","","","","","","","","","","","","","11358",
"[521]","OCEAN ISLAND","TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN","RUNAWAY BEACH","-37.05","-37.05","-12.3","-12.3","SUBAERIAL","","","s TDC32 [521]","BASANITE [521]","","","","","","","","APHYRIC [521] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [521] ","45.5","3.2","","16.6","","","","10.67","9.06","4.37","0.19","","3","4.49","0.97","","","0.17","","","","","","","","","","","","","2.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4","","193","","","","28","3.2","11.4","112","","","","","","75","1285","34","380","100","","","","","","","","","","","","","803","73","167","","88","","","","","","","","","","","","","","","","","","","","","5.7","","","2.32","0.51259","","","0.70504","","18.556","","15.529","","39.006","","","","","","","","","","","","","","","11359",
"[521]","OCEAN ISLAND","TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN","PLANTATION GULCH, MAIN CLIFFS","-37.05","-37.05","-12.3","-12.3","SUBAERIAL","","","s TDC75 [521]","BASANITE [521]","","","","","","","","APHYRIC [521] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [521] ","45.31","3.56","","16.19","","","","11.67","10.15","5.12","0.22","","2.66","4.02","0.69","","","0.1","","","","","","","","","","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.1","","292","","","","37","2.6","12.8","102","","","","","","64","1100","31","325","83","","","","","","","","","","","","","671","57","133","","71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11361",
"[521]","OCEAN ISLAND","TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN","PLANTATION GULCH, MAIN CLIFFS","-37.05","-37.05","-12.3","-12.3","SUBAERIAL","","","s TDC78 [521]","BASANITE [521]","","","","","","","","APHYRIC [521] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [521] ","46.1","3.26","","16.26","","","","11.07","9.57","5.02","0.22","","2.9","4.38","0.83","","","0.1","","","","","","","","","","","","","0.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5","","234","7.5","","","32","11.3","23","101","","","","","","75","1185","29","351","88","","","","","","","","","","","","","751","66","146","","76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11363",
