"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19117]","INTRAPLATE VOLCANICS","UBENDIAN BELT / TANZANIA / LUPA GOLD FIELD","NGUALLA AREA","-7.5","-7.75","32.8","33","SUBAERIAL","","","s NG 39 [19117]","ANDESITE, BASALTIC [19117]","","","","PROTEROZOIC [19117]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19117] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.6","4.45","","","","","","","","","","","","","","","","","","","","","","","","0.511262","","","","","","","","","","","","","","","","","","","","","","","","877173",
"[19117]","INTRAPLATE VOLCANICS","UBENDIAN BELT / TANZANIA / LUPA GOLD FIELD","NGUALLA AREA","-7.5","-7.75","32.8","33","SUBAERIAL","","","s NG 41 [19117]","ANDESITE, BASALTIC [19117]","","","","PROTEROZOIC [19117]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19117] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.5","12.2","","","","","","","","","","","","","","","","","","","","","","","","0.510997","","","","","","","","","","","","","","","","","","","","","","","","877174",
"[19117]","INTRAPLATE VOLCANICS","UBENDIAN BELT / TANZANIA / LUPA GOLD FIELD","NGUALLA AREA","-7.5","-7.75","32.8","33","SUBAERIAL","","","s NG 62 [19117]","ANDESITE, BASALTIC [19117]","","","","PROTEROZOIC [19117]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19117] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.3","10.2","","","","","","","","","","","","","","","","","","","","","","","","0.511104","","","","","","","","","","","","","","","","","","","","","","","","877175",
"[19117]","INTRAPLATE VOLCANICS","UBENDIAN BELT / TANZANIA / LUPA GOLD FIELD","NGUALLA AREA","-7.5","-7.75","32.8","33","SUBAERIAL","","","s NG 63 [19117]","ANDESITE, BASALTIC [19117]","","","","PROTEROZOIC [19117]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19117] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.1","10.9","","","","","","","","","","","","","","","","","","","","","","","","0.51106","","","","","","","","","","","","","","","","","","","","","","","","877176",
"[19117]","INTRAPLATE VOLCANICS","UBENDIAN BELT / TANZANIA / LUPA GOLD FIELD","NGUALLA AREA","-7.5","-7.75","32.8","33","SUBAERIAL","","","s NG 72 [19117]","ANDESITE, BASALTIC [19117]","","","","PROTEROZOIC [19117]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19117] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.3","9.13","","","","","","","","","","","","","","","","","","","","","","","","0.511104","","","","","","","","","","","","","","","","","","","","","","","","877177",
"[19117]","INTRAPLATE VOLCANICS","UBENDIAN BELT / TANZANIA / LUPA GOLD FIELD","NGUALLA AREA","-7.5","-7.75","32.8","33","SUBAERIAL","","","s NG 38 [19117]","DACITE [19117]","","","","PROTEROZOIC [19117]","","","","PORPHYRITIC [19117] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [19117] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.2","8.39","","","","","","","","","","","","","","","","","","","","","","","","0.510917","","","","","","","","","","","","","","","","","","","","","","","","877178",
"[19117]","INTRAPLATE VOLCANICS","UBENDIAN BELT / TANZANIA / LUPA GOLD FIELD","NGUALLA AREA","-7.5","-7.75","32.8","33","SUBAERIAL","","","s NG 46 [19117]","DACITE [19117]","","","","PROTEROZOIC [19117]","","","","PORPHYRITIC [19117] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [19117] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.8","7.92","","","","","","","","","","","","","","","","","","","","","","","","0.510894","","","","","","","","","","","","","","","","","","","","","","","","877179",
"[19117]","INTRAPLATE VOLCANICS","UBENDIAN BELT / TANZANIA / LUPA GOLD FIELD","NGUALLA AREA","-7.5","-7.75","32.8","33","SUBAERIAL","","","s NG 24 [19117]","GRANITE [19117]","","","","PROTEROZOIC [19117]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19117] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","5.34","","","","","","","","","","","","","","","","","","","","","","","","0.510874","","","","","","","","","","","","","","","","","","","","","","","","877180",
"[19117]","INTRAPLATE VOLCANICS","UBENDIAN BELT / TANZANIA / LUPA GOLD FIELD","NGUALLA AREA","-7.5","-7.75","32.8","33","SUBAERIAL","","","s NG 31 [19117]","GRANITE [19117]","","","","PROTEROZOIC [19117]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19117] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.53","1.68","","","","","","","","","","","","","","","","","","","","","","","","0.511106","","","","","","","","","","","","","","","","","","","","","","","","877181",
"[19117]","INTRAPLATE VOLCANICS","UBENDIAN BELT / TANZANIA / LUPA GOLD FIELD","NGUALLA AREA","-7.5","-7.75","32.8","33","SUBAERIAL","","","s NG 33 [19117]","GRANITE [19117]","","","","PROTEROZOIC [19117]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19117] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.1","3.48","","","","","","","","","","","","","","","","","","","","","","","","0.511222","","","","","","","","","","","","","","","","","","","","","","","","877182",
"[5886]","INTRAPLATE VOLCANICS","UBENDIAN BELT / D. R. CONGO / BANGWEULU BLOCK","MOBA AREA","-7.05","-7.05","29.78","29.78","SUBAERIAL","","","s 56 [5886]","GABBRO [5886]","","","PALEO [5886]","PROTEROZOIC [5886]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [5886] ","47.18","0.92","","15.32","","3.02","12.04","","8.55","6.25","0.22","","0.78","3.02","0.53","","","","","","","","","","","","","","","","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","932058",
"[5886]","INTRAPLATE VOLCANICS","UBENDIAN BELT / D. R. CONGO / BANGWEULU BLOCK","MOBA AREA","-7.05","-7.05","29.78","29.78","SUBAERIAL","","","s 71 [5886]","GABBRO [5886]","","","PALEO [5886]","PROTEROZOIC [5886]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [5886] ","46.87","0.95","","16.2","","4.07","10.28","","8.64","6.35","0.34","","0.85","2.92","0.55","","","","","","","","","","","","","","","","1.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","","","43","","","","","","","","","60","","","","","","","","","","","","","","","","","692","15.2","39.5","","23.2","5.02","1.56","","1.05","","","","","2.25","0.43","2.1","0.54","","","","","","","","","","","4.9","3.8","","","","","","","","","","","","","","","","","","","","","","","","","932059",
"[5886]","INTRAPLATE VOLCANICS","UBENDIAN BELT / D. R. CONGO / BANGWEULU BLOCK","MOBA AREA","-7.05","-7.05","29.78","29.78","SUBAERIAL","","","s 110 [5886]","GABBRO [5886]","","","PALEO [5886]","PROTEROZOIC [5886]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [5886] ","47.54","0.87","","16.31","","2.61","11.42","","7.86","6.46","0.21","","0.85","3.17","0.54","","","","","","","","","","","","","","","","1.11","","","","","","","","","","","","","","18","","","","","","","","","","","","","","","","156","98","","","56","184","115","85","","","","","","42","231","","","","","","","","","","","","","","","","217","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","932060",
"[5886]","INTRAPLATE VOLCANICS","UBENDIAN BELT / D. R. CONGO / BANGWEULU BLOCK","MOBA AREA","-7.05","-7.05","29.78","29.78","SUBAERIAL","","","s 155 [5886]","GABBRO [5886]","","","PALEO [5886]","PROTEROZOIC [5886]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [5886] ","46.35","0.59","","17.37","","2.6","8.3","","9.68","8.7","0.2","","0.8","2.35","0.15","","","","","","","","","","","","","","","","2.25","","","","","","","","","","","","","","22","","","","","","","","","","","","","","","","259","179","","","51","81","197","82","","","","","","63","154","","","","","","","","","","","","","","","","280","15","30","","7.1","2.3","0.6","2.3","","2.4","","","","1.3","","","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","932061",
"[5886]","INTRAPLATE VOLCANICS","UBENDIAN BELT / D. R. CONGO / BANGWEULU BLOCK","MOBA AREA","-7.05","-7.05","29.78","29.78","SUBAERIAL","","","s 106 [5886]","GABBRO [5886]","","","PALEO [5886]","PROTEROZOIC [5886]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [5886] ","49.02","0.76","","14.39","","2.07","8.84","","11.67","8.1","0.21","","0.98","2.02","0.12","","","","","","","","","","","","","","","","1.29","","","","","","","","","","","","","","23","","","","","","","","","","","","","","","","245","186","","","47","69","106","90","","","","","","135","170","","","","","","","","","","","","","","","","357","16","35","","7.7","2.3","0.5","2.2","","2","","","","1.6","","","0.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","932062",
