"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18480]","INTRAPLATE VOLCANICS","UKRAINIAN SHIELD_PROTEROZOIC / AZOV BLOCK / CHERNIGOVKA MASSIF","","47.233","47.233","36.25","36.25","SUBAERIAL","","","s 822/255 [18480]","PYROXENITE, ALKALINE [18480]","","","","PROTEROZOIC [18480]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18480] ","39.9","6.46","","2.13","0.04","12.63","11.23","","15.5","10.61","0.55","","0.6","0.95","","","","0.09","","0.51","","","","","","","","","","0.27","1.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086505",
"[18480]","INTRAPLATE VOLCANICS","UKRAINIAN SHIELD_PROTEROZOIC / AZOV BLOCK / CHERNIGOVKA MASSIF","","47.233","47.233","36.25","36.25","SUBAERIAL","","","s 511/967 [18480]","PYROXENITE, ALKALINE [18480]","","","","PROTEROZOIC [18480]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18480] ","38.16","5.2","","3.99","0.03","8.65","10.8","","15.26","8.85","0.35","","1.36","1.7","2","","","0.13","","1.54","","","","","","","","","","0.71","1.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086506",
"[18480]","INTRAPLATE VOLCANICS","UKRAINIAN SHIELD_PROTEROZOIC / AZOV BLOCK / CHERNIGOVKA MASSIF","","47.233","47.233","36.25","36.25","SUBAERIAL","","","s 629/965 [18480]","PYROXENITE, ALKALINE [18480]","","","","PROTEROZOIC [18480]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18480] ","36.63","5.1","","4.73","0.02","11.82","9.22","","15.28","9.11","1","","1.12","2.12","1.73","","","0.07","","1.04","","","","","","","","","","0.38","0.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086507",
"[18480]","INTRAPLATE VOLCANICS","UKRAINIAN SHIELD_PROTEROZOIC / AZOV BLOCK / CHERNIGOVKA MASSIF","","47.233","47.233","36.25","36.25","SUBAERIAL","","","s 655/965 [18480]","SOVITE [18480]","","","","PROTEROZOIC [18480]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18480] ","14.78","1.2","","1.23","","3.36","3.89","","39.68","4.36","0.3","","0.81","0.74","3.31","","","0.15","","22.75","","0.04","","","","","","","","0.3","1.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086508",
"[18480]","INTRAPLATE VOLCANICS","UKRAINIAN SHIELD_PROTEROZOIC / AZOV BLOCK / CHERNIGOVKA MASSIF","","47.233","47.233","36.25","36.25","SUBAERIAL","","","s 809/299 [18480]","ALVIKITE [18480]","","","","PROTEROZOIC [18480]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18480] ","6.71","0.55","","1.43","","2.95","2.84","","44.03","3.44","0.52","","0.75","0.2","4.03","","","0.12","","30.79","","0.32","","","","","","","","0.25","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086509",
"[18480]","INTRAPLATE VOLCANICS","UKRAINIAN SHIELD_PROTEROZOIC / AZOV BLOCK / CHERNIGOVKA MASSIF","","47.233","47.233","36.25","36.25","SUBAERIAL","","","s 797/299 [18480]","ALVIKITE [18480]","","","","PROTEROZOIC [18480]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18480] ","4.7","0.37","","0.27","","3.85","3.31","","44.32","4.58","0.19","","0.14","0.36","4.32","","","0.1","","30.09","","","","","","","","","","0.25","1.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086510",
"[18480]","INTRAPLATE VOLCANICS","UKRAINIAN SHIELD_PROTEROZOIC / AZOV BLOCK / MALAYA TERSA MASSIF","","47","47","36","36","SUBAERIAL","","","s 74/59 [18480]","GABBRO [18480]","","","","PROTEROZOIC [18480]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18480] ","46.11","2.48","","17.81","0.016","3.23","7.48","","11.32","4.56","0.13","","1","3.9","0.1","","","0.25","","0.36","","","","","","","","","","0.03","1.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086511",
"[18480]","INTRAPLATE VOLCANICS","UKRAINIAN SHIELD_PROTEROZOIC / AZOV BLOCK / MALAYA TERSA MASSIF","","47","47","36","36","SUBAERIAL","","","s 67/56 [18480]","SYENITE [18480]","","","","PROTEROZOIC [18480]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18480] ","57.75","1.81","","15.17","","2.61","6.46","","2.12","1.63","0.33","","3.74","6.25","0.59","","","0.01","","0.57","","","","","","","","","","0.08","0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086512",
"[18480]","INTRAPLATE VOLCANICS","UKRAINIAN SHIELD_PROTEROZOIC / AZOV BLOCK / MALAYA TERSA MASSIF","","47","47","36","36","SUBAERIAL","","","s 40/37 [18480]","FOYAITE [18480]","","","","PROTEROZOIC [18480]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18480] ","53.11","0.94","","22.55","","1.32","2.8","","0.66","0.37","0.1","","6.48","8.8","0.05","","","0.01","","0.79","","","","","","","","","","0.03","1.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086513",
"[18480]","INTRAPLATE VOLCANICS","UKRAINIAN SHIELD_PROTEROZOIC / AZOV BLOCK / OKTYABR^SKII MASSIF","","47","47","36","36","SUBAERIAL","","","s 8/820 [18480]","GABBRO [18480]","","","","PROTEROZOIC [18480]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18480] ","44.15","6.18","","12.24","0.02","3.52","12.07","","9.3","6.68","0.2","","1.42","2.11","0.12","","","0.11","","0.53","","","","","","","","","","0.32","1.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086514",
