"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[5435][12960]","CONTINENTAL FLOOD BASALT","UMKONDO LARGE IGNEOUS PROVINCE / OKAVANGO DIKE SWARM","N110°","-21.1","-21.1","27.33","27.33","SUBAERIAL","","","s BOT17 [5435]","GABBRO [5435] / DOLERITE [12960]","1100000000 [12960]","1100000000 [12960]","MESO [12960]","PROTEROZOIC [5435]","","","","MEDIUM-GRAINED [5435] / FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [5435] ","52.39","0.5","","14.54","","","","8.95","11.09","8.2","0.16","","0.63","1.98","0.06","","","","","","","","","","","","","","","","0.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","208","222","","","47","128","","","","","","","","36","129","15.2","68","2.92","","","","","","","","","","","","","163","17.78","37.22","5.1","20.21","5.23","1.57","5.82","0.89","5.59","1.28","3.53","","3.58","0.53","1.72","0","","","","","","","","","9.59","","3.06","0.77","","","","","","","","","","","","","","","","","","","","","","","","","24069-BOT17",
"[12960]","CONTINENTAL FLOOD BASALT","UMKONDO LARGE IGNEOUS PROVINCE / OKAVANGO DIKE SWARM","","-21","-21.5","27.35","27.5","SUBAERIAL","","","s BOT01 [12960]","DOLERITE [12960]","1100000000 [12960]","1100000000 [12960]","MESO [12960]","PROTEROZOIC [12960]","","","","FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12960] ","52.06","2.09","","12.36","","","","14.72","7.84","3.91","0.21","","1.39","2.67","0.23","","","0.18","","","","","","","","","","","","","0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","406","7","","","49","52","","","","","","","","54","142","47.2","182","10.24","","","","","","","","","","","","","351","24.11","52.5","7.14","28.16","7.1","1.85","7.46","1.18","7.59","1.69","4.8","","4.85","0.73","5.27","0.79","","","","","","","","","10.59","","6.48","1.3","","","","","","","","","","","","","","","","","","","","","","","","","398715",
"[12960]","CONTINENTAL FLOOD BASALT","UMKONDO LARGE IGNEOUS PROVINCE / OKAVANGO DIKE SWARM","","-21","-21.5","27.35","27.5","SUBAERIAL","","","s BOT011 [12960]","DOLERITE [12960]","1100000000 [12960]","1100000000 [12960]","MESO [12960]","PROTEROZOIC [12960]","","","","FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12960] ","49.49","1.7","","16.56","","","","11.6","9.54","4.49","0.18","","0.92","3.13","0.17","","","","","","","","","","","","","","","","0.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","336","87","","","37","48","","","","","","","","27","188","32.1","139","8.12","","","","","","","","","","","","","261","16.32","33.61","4.7","18.69","4.71","1.48","5.27","0.85","5.14","1.22","3.28","","3.35","0.5","3.76","0.59","","","","","","","","","6.79","","3.5","0.71","","","","","","","","","","","","","","","","","","","","","","","","","398716",
"[12960]","CONTINENTAL FLOOD BASALT","UMKONDO LARGE IGNEOUS PROVINCE / OKAVANGO DIKE SWARM","","-21","-21.5","27.35","27.5","SUBAERIAL","","","s BOT15A [12960]","DOLERITE [12960]","1100000000 [12960]","1100000000 [12960]","MESO [12960]","PROTEROZOIC [12960]","","","","FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12960] ","48.93","1.85","","14.43","","","","13.58","9.23","5.74","0.21","","0.87","2.62","0.2","","","0.18","","","","","","","","","","","","","0.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","328","100","","","38","55","","","","","","","","29","161","35.7","147","8.61","","","","","","","","","","","","","215","15.09","32.45","4.48","18.02","4.51","1.36","5","0.8","4.81","1.13","3.19","","3.16","0.47","4.05","0.61","","","","","","","","","7.04","","3.67","0.64","","","","","","","","","","","","","","","","","","","","","","","","","398717",
"[12960]","CONTINENTAL FLOOD BASALT","UMKONDO LARGE IGNEOUS PROVINCE / OKAVANGO DIKE SWARM","","-21","-21.5","27.35","27.5","SUBAERIAL","","","s BOT0083 [12960]","DOLERITE [12960]","1100000000 [12960]","1100000000 [12960]","MESO [12960]","PROTEROZOIC [12960]","","","","FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12960] ","53.31","0.82","","14.59","","","","10","10.42","6.32","0.17","","1.04","1.86","0.09","","","0.13","","","","","","","","","","","","","0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","239","109","","","50","97","","","","","","","","47","118","24.2","95","3.4","","","","","","","","","","","","","219","10.09","21.06","2.69","9.98","2.31","0.59","2.44","0.4","2.36","0.54","1.59","","1.64","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","398719",
"[12960]","CONTINENTAL FLOOD BASALT","UMKONDO LARGE IGNEOUS PROVINCE / OKAVANGO DIKE SWARM","","-21","-21.5","27.35","27.5","SUBAERIAL","","","s BOT0084 [12960]","DOLERITE [12960]","1100000000 [12960]","1100000000 [12960]","MESO [12960]","PROTEROZOIC [12960]","","","","FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12960] ","54.32","0.97","","14.13","","","","10.58","8.78","4.75","0.17","","1.65","2.06","0.12","","","0.17","","","","","","","","","","","","","1.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","247","50","","","45","76","","","","","","","","77","131","30.1","122","6.1","","","","","","","","","","","","","351","","","","","","","","","","","","","","","3.61","0","","","","","","","","","7.36","","6.38","1.24","","","","","","","","","","","","","","","","","","","","","","","","","398720",
"[12960]","CONTINENTAL FLOOD BASALT","UMKONDO LARGE IGNEOUS PROVINCE / OKAVANGO DIKE SWARM","","-21","-21.5","27.35","27.5","SUBAERIAL","","","s BOT0085 [12960]","DOLERITE [12960]","1100000000 [12960]","1100000000 [12960]","MESO [12960]","PROTEROZOIC [12960]","","","","FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12960] ","53.95","0.94","","14.37","","","","10.38","9.36","5.2","0.17","","1.39","2.06","0.11","","","0.09","","","","","","","","","","","","","1.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","249","69","","","45","83","","","","","","","","64","132","26.8","113","5.33","","","","","","","","","","","","","320","19.51","42.92","5.16","19.77","4.68","1.11","4.88","0.77","4.57","1.03","2.94","","3.04","0.47","3.19","0","","","","","","","","","9.37","","5.62","1.08","","","","","","","","","","","","","","","","","","","","","","","","","398721",
"[12960]","CONTINENTAL FLOOD BASALT","UMKONDO LARGE IGNEOUS PROVINCE / OKAVANGO DIKE SWARM","","-21","-21.5","27.35","27.5","SUBAERIAL","","","s BOT0093 [12960]","DOLERITE [12960]","1100000000 [12960]","1100000000 [12960]","MESO [12960]","PROTEROZOIC [12960]","","","","FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12960] ","53.42","0.94","","13.49","","","","10.28","8.58","6.19","0.18","","1.87","2.29","0.09","","","0.9","","","","","","","","","","","","","0.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","227","185","","","47","69","","","","","","","","99","197","20.9","99","4.3","","","","","","","","","","","","","473","17.34","36.83","4.6","17.03","4.07","1.09","4.35","0.68","4.21","0.98","2.8","","2.97","0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","398722",
"[12960]","CONTINENTAL FLOOD BASALT","UMKONDO LARGE IGNEOUS PROVINCE / OKAVANGO DIKE SWARM","","-21","-21.5","27.35","27.5","SUBAERIAL","","","s BOT0094 [12960]","DOLERITE [12960]","1100000000 [12960]","1100000000 [12960]","MESO [12960]","PROTEROZOIC [12960]","","","","FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12960] ","53.7","0.96","","13.75","","","","10.97","8.95","4.94","0.19","","1.48","2.15","0.11","","","0.18","","","","","","","","","","","","","1.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","255","32","","","47","70","","","","","","","","67","135","28.2","114","5.65","","","","","","","","","","","","","309","17.22","39.2","4.66","18.11","4.36","1.08","4.65","0.73","4.4","1.03","2.77","","2.72","0.45","3.33","0","","","","","","","","","10.12","","6.19","1.09","","","","","","","","","","","","","","","","","","","","","","","","","398723",
"[12960]","CONTINENTAL FLOOD BASALT","UMKONDO LARGE IGNEOUS PROVINCE / OKAVANGO DIKE SWARM","","-21","-21.5","27.35","27.5","SUBAERIAL","","","s BOT0095 [12960]","DOLERITE [12960]","1100000000 [12960]","1100000000 [12960]","MESO [12960]","PROTEROZOIC [12960]","","","","FINE- TO MEDIUM-GRAINED, OPHITIC TO SUB-OPHITIC [12960] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12960] ","53.65","0.93","","13.85","","","","10.76","8.92","5.15","0.18","","1.69","2.1","0.11","","","0.21","","","","","","","","","","","","","1.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","252","28","","","47","78","","","","","","","","87","134","27.5","122","5.42","","","","","","","","","","","","","343","17.33","38.88","4.6","18.03","4.05","1.08","4.51","0.69","4.33","1.03","2.78","","3.01","0.44","3.3","0","","","","","","","","","79.46","","5.91","1.09","","","","","","","","","","","","","","","","","","","","","","","","","398724",
