"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19976]","INTRAPLATE VOLCANICS","USAGARAN BELT / TANZANIA / NDEMBERA GROUP","","-8","-8","35","35","SUBAERIAL","","","s NDB01 [19976]","NOT GIVEN [19976]","","","PALEO [19976]","PROTEROZOIC [19976]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19976] ","70.5","0.25","","14.2","","","","1.53","1.73","0.4","0.03","","6.03","3.47","0.09","","","","","","","","","","","","","","","","1.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","129","0","","50","","","","","","148","260","13","194","11","","","","","","","","","","","","","982","54.9","95.4","9.29","29.7","4.22","0.66","2.8","0.4","2","0.4","1.1","0.18","1.4","0.2","4.4","0.9","","","","","","","","","622","","21.9","4.2","0.511065","","","","","","","","","","","","","","","","","","","","","","","","1001413",
"[19976]","INTRAPLATE VOLCANICS","USAGARAN BELT / TANZANIA / NDEMBERA GROUP","","-8","-8","35","35","SUBAERIAL","","","s NDB05 [19976]","NOT GIVEN [19976]","","","PALEO [19976]","PROTEROZOIC [19976]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19976] ","58.7","0.67","","15.8","","","","5.64","5.09","3.23","0.1","","3.06","5.08","0.34","","","","","","","","","","","","","","","","1.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120","","","","37","0","","70","","","","","","97","437","19","186","10","","","","","","","","","","","","","728","39.1","75.6","8.14","29.9","5.3","1.12","3.9","0.5","3.1","0.6","1.8","0.29","2","0.3","4.2","0.7","","","","","","","","","222","","14.9","3.9","0.511382","","","","","","","","","","","","","","","","","","","","","","","","1001414",
"[19976]","INTRAPLATE VOLCANICS","USAGARAN BELT / TANZANIA / NDEMBERA GROUP","","-8","-8","35","35","SUBAERIAL","","","s NDB06 [19976]","NOT GIVEN [19976]","","","PALEO [19976]","PROTEROZOIC [19976]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19976] ","66.4","0.51","","16.5","","","","2.47","2.31","0.69","0.05","","5.2","4.49","0.16","","","","","","","","","","","","","","","","0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","","","11","0","","40","","","","","","200","489","30","299","15","","","","","","","","","","","","","1120","77.2","107","13.4","46.1","6.58","1.34","5.4","0.7","3.9","0.8","2.4","0.37","2.4","0.4","6.7","1.1","","","","","","","","","87","","27","7.3","0.511276","","","","","","","","","","","","","","","","","","","","","","","","1001415",
"[19976]","INTRAPLATE VOLCANICS","USAGARAN BELT / TANZANIA / NDEMBERA GROUP","","-8","-8","35","35","SUBAERIAL","","","s NDB07 [19976]","NOT GIVEN [19976]","","","PALEO [19976]","PROTEROZOIC [19976]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19976] ","58.9","0.62","","16.1","","","","5.21","5.08","3.78","0.09","","3.59","4.04","0.31","","","","","","","","","","","","","","","","1.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113","","","","21","0","","80","","","","","","103","430","20","190","10","","","","","","","","","","","","","752","39.7","77.8","8.44","30.2","5.38","1.05","3.8","0.6","3.2","0.6","1.9","0.29","2.1","0.3","4.3","0.8","","","","","","","","","93","","15.7","4.2","0.511402","","","","","","","","","","","","","","","","","","","","","","","","1001416",
"[19976]","INTRAPLATE VOLCANICS","USAGARAN BELT / TANZANIA / NDEMBERA GROUP","","-8","-8","35","35","SUBAERIAL","","","s NDB08 [19976]","NOT GIVEN [19976]","","","PALEO [19976]","PROTEROZOIC [19976]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19976] ","64.5","0.33","","16.7","","","","2.55","3.21","1.24","0.05","","3.6","4.97","0.3","","","","","","","","","","","","","","","","1.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","","","12","0","","70","","","","","","93","946","12","141","6","","","","","","","","","","","","","1670","40.3","72.4","7.46","25.4","3.5","0.89","2.4","0.3","1.6","0.3","0.9","0.14","1","0.2","2.9","0.4","","","","","","","","","158","","7.7","1.8","","","","","","","","","","","","","","","","","","","","","","","","","1001417",
"[19976]","INTRAPLATE VOLCANICS","USAGARAN BELT / TANZANIA / NDEMBERA GROUP","","-8","-8","35","35","SUBAERIAL","","","s NDB09 [19976]","NOT GIVEN [19976]","","","PALEO [19976]","PROTEROZOIC [19976]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19976] ","64.7","0.35","","15.9","","","","2.71","3.6","1.06","0.06","","3.81","4.62","0.25","","","","","","","","","","","","","","","","2.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","","","15","0","","50","","","","","","95","785","13","138","7","","","","","","","","","","","","","1330","36.7","66.3","6.71","22.6","3.2","0.77","2.2","0.3","1.4","0.3","0.8","0.12","0.9","0.2","3","0.5","","","","","","","","","140","","9.4","2.3","","","","","","","","","","","","","","","","","","","","","","","","","1001418",
"[19976]","INTRAPLATE VOLCANICS","USAGARAN BELT / TANZANIA / NDEMBERA GROUP","","-8","-8","35","35","SUBAERIAL","","","s NDB10 [19976]","NOT GIVEN [19976]","","","PALEO [19976]","PROTEROZOIC [19976]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19976] ","64.7","0.39","","16.6","","","","3.78","2.2","1.08","0.08","","4.34","3.26","0.26","","","","","","","","","","","","","","","","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","","","21","0","","50","","","","","","100","802","11","148","7","","","","","","","","","","","","","1450","40.7","74.6","7.47","25.2","3.6","0.79","2.4","0.3","1.6","0.3","0.9","0.14","1","0.2","3.1","0.6","","","","","","","","","129","","10.7","2.6","","","","","","","","","","","","","","","","","","","","","","","","","1001419",
"[19976]","INTRAPLATE VOLCANICS","USAGARAN BELT / TANZANIA / NDEMBERA GROUP","","-8","-8","35","35","SUBAERIAL","","","s NDB11 [19976]","NOT GIVEN [19976]","","","PALEO [19976]","PROTEROZOIC [19976]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19976] ","59.6","0.67","","17.6","","","","3.8","3.86","1.44","0.06","","5.13","4.59","0.28","","","","","","","","","","","","","","","","2.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","","","","15","0","","60","","","","","","137","757","18","213","11","","","","","","","","","","","","","1330","47.1","90.7","9.6","45.1","8.03","1.23","3.9","0.5","2.8","0.6","1.6","0.24","1.7","0.3","4.8","0.8","","","","","","","","","137","","17.7","4.3","0.511291","","","","","","","","","","","","","","","","","","","","","","","","1001420",
"[19976]","INTRAPLATE VOLCANICS","USAGARAN BELT / TANZANIA / NDEMBERA GROUP","","-8","-8","35","35","SUBAERIAL","","","s NDB22 [19976]","NOT GIVEN [19976]","","","PALEO [19976]","PROTEROZOIC [19976]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19976] ","65.9","0.45","","15.8","","","","4.05","3.1","1.64","0.12","","3.16","4.23","0.18","","","","","","","","","","","","","","","","1.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","","","","11","0","","60","","","","","","95","713","12","142","7","","","","","","","","","","","","","1312","38.5","72.2","7.79","27.6","4.3","0.96","2.9","0.4","1.9","0.4","1.1","0.16","1.1","0.2","3.2","0.5","","","","","","","","","26","","9.9","2.4","","","","","","","","","","","","","","","","","","","","","","","","","1001421",
"[19976]","INTRAPLATE VOLCANICS","USAGARAN BELT / TANZANIA / NDEMBERA GROUP","","-8","-8","35","35","SUBAERIAL","","","s NDB23 [19976]","NOT GIVEN [19976]","","","PALEO [19976]","PROTEROZOIC [19976]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19976] ","69","0.27","","15.1","","","","3.24","2.26","0.64","0.15","","2.96","4.14","0.1","","","","","","","","","","","","","","","","1.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","","","5","0","","40","","","","","","91","709","8","154","7","","","","","","","","","","","","","1391","34.3","63.5","6.45","21.4","3","0.64","1.9","0.2","1.3","0.2","0.7","0.11","0.8","0.2","3.5","0.4","","","","","","","","","15","","9","2.1","","","","","","","","","","","","","","","","","","","","","","","","","1001422",
