"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[2089]","SUBMARINE RIDGE","WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN","HOLE 524","-29.4842","-29.4842","3.5123","3.5123","SUBAQUATIC","-4805","-4805","s 73-524-28-3,93-97 [2089]","BASALT, ALKALINE [2089]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2089] ","44.72","4.24","","14.63","","5.7","7.5","","8.47","4.02","0.24","","2.29","2.9","1.98","","1.71","","","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3601","","","","33","","323","18","","","43","14","9","123","18","","","","","19","672","42","255","37","","","","","","","","","","","","","1334","62.6","131.9","","67","15.3","5.95","","1.71","","","","","2.98","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128416",
"[2089]","SUBMARINE RIDGE","WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN","HOLE 524","-29.4842","-29.4842","3.5123","3.5123","SUBAQUATIC","-4805","-4805","s 73-524-30-2,72-76 [2089]","BASALT [2089]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2089] ","48.28","3.5","","14.17","","5.39","6.7","","5.29","5.14","0.27","","3.92","3.29","1.1","","1.91","","","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1477","","","","25","","195","0","","","23","0","0","107","19","","","","","42","415","35","287","42","","","","","","","","","","","","","1088","53.9","109.9","","52","12","4.6","","1.53","","","","","3","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128417",
"[2089]","SUBMARINE RIDGE","WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN","HOLE 524","-29.4842","-29.4842","3.5123","3.5123","SUBAQUATIC","-4805","-4805","s 73-524-31-2,3-7 [2089]","BASALT, ALKALINE [2089]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2089] ","47.55","3.62","","14.18","","5.51","6.7","","6.1","5.03","0.25","","2.67","3.27","1.14","","2.53","","","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","","","","25","","198","0","","","28","0","0","118","19","","","","","33","489","36","275","40","","","","","","","","","","","","","1027","53.9","111.5","","54","12.3","4.78","","1.5","","","","","3.04","0.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128418",
"[2089]","SUBMARINE RIDGE","WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN","HOLE 524","-29.4842","-29.4842","3.5123","3.5123","SUBAQUATIC","-4805","-4805","s 73-524-32-3,40-44 [2089]","BASALT [2089]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2089] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.92","18.6","","14.8","5.28","1.77","5.93","1.08","","","","0.6","4.06","0.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128419",
"[2089]","SUBMARINE RIDGE","WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN","HOLE 524","-29.4842","-29.4842","3.5123","3.5123","SUBAQUATIC","-4805","-4805","s 73-524-34-1,74-79 [2089]","THOLEIITE [2089]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2089] ","47.89","1.83","","14.58","","5","6.55","","11.31","7.23","0.23","","0.16","2.51","0.17","","1.51","","","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1351","","","","39","","422","217","","","42","67","162","78","14","","","","","0","162","33","134","0","","","","","","","","","","","","","61","6.96","17.6","","14.4","5.09","1.67","5.83","1","","","","0.55","3.82","0.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128420",
"[2089]","SUBMARINE RIDGE","WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN","HOLE 524","-29.4842","-29.4842","3.5123","3.5123","SUBAQUATIC","-4805","-4805","s 73-524-32-2,124-130 [2089]","THOLEIITE [2089]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2089] ","46.7","1.92","","14.94","","5.9","5.35","","11.75","6.09","0.35","","0.23","3.11","0.2","","1.14","","","1.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","385","","","","50","","460","222","","","54","77","157","78","15","","","","","0","180","31","145","0","","","","","","","","","","","","","62","24","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128421",
"[2089]","SUBMARINE RIDGE","WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN","HOLE 524","-29.4842","-29.4842","3.5123","3.5123","SUBAQUATIC","-4805","-4805","s 73-524-32-2,127-133 [2089]","THOLEIITE [2089]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2089] ","47.12","1.9","","14.84","","4.84","6.15","","11.84","6.17","0.34","","0.19","3.05","0.19","","1.27","","","1.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","333","","","","47","","471","216","","","46","73","172","82","14","","","","","0","179","29","145","0","","","","","","","","","","","","","72","24","0","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128422",
"[2089]","SUBMARINE RIDGE","WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN","HOLE 524","-29.4842","-29.4842","3.5123","3.5123","SUBAQUATIC","-4805","-4805","s 73-524-32-2,40-44 [2089]","THOLEIITE [2089]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2089] ","48.16","1.9","","14.95","","5.52","5.95","","11.62","6.47","0.25","","0.15","2.71","0.18","","1.25","","","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2667","","","","36","","447","214","","","44","72","162","78","15","","","","","0","178","35","141","0","","","","","","","","","","","","","67","23","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128423",
"[2089]","SUBMARINE RIDGE","WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN","HOLE 524","-29.4842","-29.4842","3.5123","3.5123","SUBAQUATIC","-4805","-4805","s 73-524-33-1,34-38 [2089]","THOLEIITE [2089]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2089] ","47.89","1.87","","14.74","","5.23","6.3","","11.63","6.74","0.24","","0.15","2.68","0.18","","1.32","","","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1932","","","","39","","421","217","","","42","71","166","77","14","","","","","0","171","33","139","0","","","","","","","","","","","","","60","21","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128424",
"[2089]","SUBMARINE RIDGE","WALVIS RIDGE / CENTRAL WALVIS RIDGE PROVINCE / SITE 524 / ATLANTIC OCEAN","HOLE 524","-29.4842","-29.4842","3.5123","3.5123","SUBAQUATIC","-4805","-4805","s 73-524-33-1,144-150 [2089]","THOLEIITE [2089]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2089] ","47.37","1.91","","14.6","","5.53","6","","10.67","7.27","0.23","","0.24","2.6","0.17","","2.36","","","0.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","810","","","","44","","454","211","","","46","69","152","82","13","","","","","0","168","33","132","0","","","","","","","","","","","","","69","23","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128425",
