"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[5988]","INTRAPLATE VOLCANICS","WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / D. R. CONGO / GUENA METATONALITE","GUENA","-4.4","-4.4","12.25","12.25","SUBAERIAL","","","s MG1 [5988]","GNEISS [5988]","","","","PROTEROZOIC [5988]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [5988] ","53.96","1","","19.38","","","","6.64","4.89","3.42","0.07","","3.34","4.33","0.03","","","","","","","","","","","","","","","","2.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119","512","","","","","","","","","","","","","","","","1244","80.5","140.9","","53.3","7.4","2","5.8","","2.8","","1.3","","0.8","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202246",
"[5988]","INTRAPLATE VOLCANICS","WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / D. R. CONGO / GUENA METATONALITE","GUENA","-4.4","-4.4","12.25","12.25","SUBAERIAL","","","s MG2 [5988]","GNEISS [5988]","","","","PROTEROZOIC [5988]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [5988] ","59.18","1","","16.52","","","","6.13","4.36","2.96","0.09","","2.89","3.55","0.3","","","","","","","","","","","","","","","","1.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101","431","","","","","","","","","","","","","","","","898","66.3","111.1","","43.2","6.1","1.8","5.3","","2.6","","1.2","","0.8","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202247",
"[5988]","INTRAPLATE VOLCANICS","WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / D. R. CONGO / GUENA METATONALITE","GUENA","-4.4","-4.4","12.25","12.25","SUBAERIAL","","","s MG3 [5988]","GNEISS [5988]","","","","PROTEROZOIC [5988]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [5988] ","56.61","0.97","","16.93","","","","6.47","5.02","3.11","0.08","","2.99","3.57","0.04","","","","","","","","","","","","","","","","2.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109","455","","","","","","","","","","","","","","","","1047","55.9","102.1","","38.6","5.4","1.5","4.4","","2.6","","1.5","","1.1","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202248",
"[5988]","INTRAPLATE VOLCANICS","WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / D. R. CONGO / LES SARAS GRANODIORITE","LES SARAS","-4.36","-4.36","12.35","12.35","SUBAERIAL","","","s 88457 [5988]","GRANODIORITE [5988]","","","","PROTEROZOIC [5988]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [5988] ","57.44","0.64","","19.58","","","","4.33","3.66","2.05","0.03","","3.85","4.87","0.35","","","","","","","","","","","","","","","","2.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","","","","162.7","385.83","15.7","218","15","","","","","","","","","","","","","1586","117.4","214.7","","77.81","12.37","2.1","9.2","","4.38","","1.44","","1.01","0.14","","","","","","","","","","","","","58","","0.510978","","","0.737864","","","","","","","","","","","","","","","","","","","","","202249",
"[5988]","INTRAPLATE VOLCANICS","WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / D. R. CONGO","PK8, MOUNT MFOUBOU","-4.5","-4.5","12.3","12.3","SUBAERIAL","","","s PK-8.2 [5988]","GRANITE [5988]","1050000000 [5988]","1050000000 [5988]","","PROTEROZOIC [5988]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [5988] ","72.68","0.3","","12.48","","","","3.17","0.64","0.6","0.03","","4.99","2.93","0.04","","","","","","","","","","","","","","","","0.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240.1","42.88","54.7","147","19","","","","","","","","","","","","","710","85.9","175.6","","74.1","13.27","1.9","9.2","","9.7","","6","","6.9","1.3","","","","","","","","","","","","","30","","0.511296","","","0.887236","","","","","","","","","","","","","","","","","","","","","202250",
"[5988]","INTRAPLATE VOLCANICS","WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / D. R. CONGO","PK8, MOUNT MFOUBOU","-4.5","-4.5","12.3","12.3","SUBAERIAL","","","s PK-8.4 [5988]","GRANITE [5988]","1050000000 [5988]","1050000000 [5988]","","PROTEROZOIC [5988]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [5988] ","78.51","0.15","","10.87","","","","1.64","0.85","0.32","0.03","","4.7","2.42","0.02","","","","","","","","","","","","","","","","0.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","218.2","56.72","57.7","103","13","","","","","","","","","","","","","586","80.8","154.2","","56.82","9.58","1.7","8.3","","10.8","","5.7","","6.3","1.2","","","","","","","","","","","","","35","","0.511259","","","0.851253","","","","","","","","","","","","","","","","","","","","","202251",
"[5988]","INTRAPLATE VOLCANICS","WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / D. R. CONGO / MOUNT KANDA GRANITE","MOUNT KANDA","-4.2","-4.36","12.06","12.15","SUBAERIAL","","","s K.2 [5988]","GRANITE [5988]","","","","PROTEROZOIC [5988]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [5988] ","75.37","0.11","","12.06","","","","2.63","0.37","0.25","0.02","","4.09","3.32","0.03","","","","","","","","","","","","","","","","1.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6","","","","","345.6","21.02","227.8","185","78","","","","","","","","","","","","","127","282.5","475.1","","228.59","47.85","1.9","42.4","","39.2","","21.7","","19.8","2.9","","","","","","","","","","","","","92","","0.511668","","","1.296202","","","","","","","","","","","","","","","","","","","","","202252",
"[5988]","INTRAPLATE VOLCANICS","WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / D. R. CONGO / MOUNT KANDA GRANITE","MOUNT KANDA","-4.2","-4.36","12.06","12.15","SUBAERIAL","","","s K.3 [5988]","GRANITE [5988]","","","","PROTEROZOIC [5988]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [5988] ","75.53","0.1","","12.1","","","","2.71","0.39","0.26","0.02","","4.13","3.47","0.03","","","","","","","","","","","","","","","","1.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","","","","345.3","21.81","267.1","216","72","","","","","","","","","","","","","155","269.6","458","","232.16","51","1.9","47.3","","43.3","","22.6","","21.2","3.1","","","","","","","","","","","","","99","","0.511648","","","1.281281","","","","","","","","","","","","","","","","","","","","","202253",
"[5988]","INTRAPLATE VOLCANICS","WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / D. R. CONGO / BIBABAMBA GRANITE","BIBABAMBA, 2 KM NE OF MOUNT KANDA","-4.2","-4.2","12","12","SUBAERIAL","","","s SM.1A [5988]","GRANITE [5988]","","","","PROTEROZOIC [5988]","","","","PORPHYRITIC TO GRANOPHYRIC [5988] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [5988] ","78.42","0.3","","10.6","","","","1.62","1.27","0.56","0.02","","2.03","2.96","0.02","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202254",
"[5988]","INTRAPLATE VOLCANICS","WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / D. R. CONGO / BIBABAMBA GRANITE","BIBABAMBA, 2 KM NE OF MOUNT KANDA","-4.2","-4.2","12","12","SUBAERIAL","","","s SM.1B [5988]","GRANITE [5988]","","","","PROTEROZOIC [5988]","","","","PORPHYRITIC TO GRANOPHYRIC [5988] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [5988] ","78.2","0.23","","11.3","","","","1.16","1.1","0.62","0.02","","2.21","2.84","0.02","","","","","","","","","","","","","","","","1.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","173.4","8.07","33.5","221","11","","","","","","","","","","","","","885","30.3","63.5","","25.08","5.29","1.1","6.3","","6.8","","3.6","","4","0.8","","","","","","","","","","","","","25","","0.51156","","","0.769299","","","","","","","","","","","","","","","","","","","","","202255",
