"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[5205]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AFRICAN CRATON_ARCHEAN / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION","","8.5","9","-11.5","-11.75","SUBAERIAL","","","s 310 [5205]","KOMATIITE [5205]","","","NEO [5205]","ARCHEAN [5205]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5205] ","45.42","0.13","","7.99","","","","9.3","2.28","34.57","0.22","","0.06","0.01","0.02","8.62","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3146","","","82","1622","18","60","5","","","","","0","6","3","3","0","","","","","","","","","","","","","18","0","0","0","0.37","0.22","0.1","0.51","","0.59","0.16","0.45","","0.52","0.1","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","184947",
"[5205]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AFRICAN CRATON_ARCHEAN / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION","","8.5","9","-11.5","-11.75","SUBAERIAL","","","s 313 [5205]","KOMATIITE [5205]","","","NEO [5205]","ARCHEAN [5205]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5205] ","46.69","0.15","","6.61","","","","9.62","3.37","33.26","0.14","","0.07","0.02","0.06","6.86","","","","1.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4015","","","84","1686","10","68","5","","","","","0","9","4","3","0","","","","","","","","","","","","","8","0","0","0","0.44","0.26","0.11","0.41","","0.71","0.2","0.5","","0.58","0.11","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","184948",
"[5205]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AFRICAN CRATON_ARCHEAN / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION","","8.5","9","-11.5","-11.75","SUBAERIAL","","","s 315 [5205]","KOMATIITE [5205]","","","NEO [5205]","ARCHEAN [5205]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5205] ","48.64","0.11","","6.2","","","","8.78","4.09","31.98","0.13","","0.03","0.02","0.02","7.04","","","","0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3414","","","81","1533","17","54","4","","","","","0","10","4","0","0","","","","","","","","","","","","","4","0","0","0","0.42","0.29","0.14","0.54","","0.69","0.19","0.51","","0","0.11","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","184949",
"[5205]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AFRICAN CRATON_ARCHEAN / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION","","8.5","9","-11.5","-11.75","SUBAERIAL","","","s 335 [5205]","KOMATIITE [5205]","","","NEO [5205]","ARCHEAN [5205]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5205] ","48.17","0.21","","6.83","","","","9.92","4.32","30.29","0.2","","0.02","0.04","0.01","6.29","","","","2.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2735","","","74","1593","22","58","7","","","","","0","16","3","0","0","","","","","","","","","","","","","14","0","1.34","0","0.86","0.22","0.13","0.46","","0.54","0","0","","0.34","0.07","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","184950",
"[5205]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AFRICAN CRATON_ARCHEAN / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION","","8.5","9","-11.5","-11.75","SUBAERIAL","","","s 328 [5205]","KOMATIITE [5205]","","","NEO [5205]","ARCHEAN [5205]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5205] ","50.27","0.2","","7.55","","","","7.93","5.97","27.82","0.13","","0.03","0.06","0.03","5.56","","","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2875","","","77","1481","11","49","7","","","","","3","3","7","8","0","","","","","","","","","","","","","9","0","1.03","0","1.48","0.67","0.08","0.72","","1.21","0.33","0.64","","0.93","0.17","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","184951",
"[5205]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AFRICAN CRATON_ARCHEAN / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION","","8.5","9","-11.5","-11.75","SUBAERIAL","","","s 339 [5205]","KOMATIITE [5205]","","","NEO [5205]","ARCHEAN [5205]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5205] ","49.36","0.2","","9.01","","","","8.71","6.76","25.7","0.16","","0.03","0.04","0.03","6.46","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3375","","","74","1217","0","55","5","","","","","0","5","9","8","0","","","","","","","","","","","","","8","0","5.18","0","2.74","0.62","0.22","0.91","","1.33","0.35","0.94","","0.99","0.17","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","184952",
"[5205]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AFRICAN CRATON_ARCHEAN / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION","","8.5","9","-11.5","-11.75","SUBAERIAL","","","s 326 [5205]","KOMATIITE [5205]","","","NEO [5205]","ARCHEAN [5205]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5205] ","48.64","0.21","","8.58","","","","9.28","8.02","24.98","0.18","","0.03","0.04","0.03","6.31","","","","0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2854","","","72","1409","0","65","7","","","","","0","6","6","8","0","","","","","","","","","","","","","10","0","1.83","0","1.51","0.86","0.28","1.41","","1.2","0","0","","0.87","0.19","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","184953",
"[5205]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AFRICAN CRATON_ARCHEAN / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION","","8.5","9","-11.5","-11.75","SUBAERIAL","","","s 340 [5205]","KOMATIITE [5205]","","","NEO [5205]","ARCHEAN [5205]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5205] ","50.85","0.18","","8.04","","","","7.87","9.11","23.7","0.19","","0.04","0","0.02","4.04","","","","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2488","","","72","1287","12","68","6","","","","","0","2","6","7","0","","","","","","","","","","","","","12","0","2.89","0","2.1","0.49","0.23","0.75","","0.99","0.26","0.69","","0.66","0.11","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","184954",
"[5205]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AFRICAN CRATON_ARCHEAN / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION","","8.5","9","-11.5","-11.75","SUBAERIAL","","","s 316 [5205]","KOMATIITE [5205]","","","NEO [5205]","ARCHEAN [5205]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5205] ","47.18","0.44","","7.85","","","","12.14","7.57","24.52","0.16","","0.03","0.06","0.06","6.07","","","","1.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3081","","","86","1536","39","74","8","","","","","0","7","10","27","0","","","","","","","","","","","","","10","0","4.5","0","3","0.99","0.14","1.43","","1.66","0.41","1","","0.95","0.17","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","184955",
"[5205]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AFRICAN CRATON_ARCHEAN / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION","","8.5","9","-11.5","-11.75","SUBAERIAL","","","s 318 [5205]","KOMATIITE [5205]","","","NEO [5205]","ARCHEAN [5205]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5205] ","49.16","0.44","","7.34","","","","10.78","8.71","23.28","0.15","","0.03","0.05","0.06","3.55","","","","0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2873","","","75","1266","52","69","7","","","","","0","8","10","26","0","","","","","","","","","","","","","17","0","4.99","0","3.23","0.74","0.19","1.46","","1.76","0.43","1.13","","0.96","0.16","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","184956",
