"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19742]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_MESOZOIC / SIERRA LEONE / KOIDU KIMBERLITE PROVINCE","","8.6311","8.6328","-10.9652","-10.9719","SUBAERIAL","","","s KEC 86-58 [19742]","ECLOGITE, XENOLITH [19742]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [19742] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.76","","","","","3.3","218","20.7","19.2","12.6","","","","","","","","","","","","0.07","162","16.7","37.6","4.33","14.6","2.23","0.63","1.68","0.42","3.04","0.74","2.4","","2.43","0.37","0.51","","","","","","","","","","","","1.53","0.33","","","","","","","","","","","","","","","","","","","","","","","","","100284-KEC 86-58",
"[16786][19741]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_MESOZOIC / SIERRA LEONE / KOIDU KIMBERLITE PROVINCE","","8.6311","8.6328","-10.9652","-10.9719","SUBAERIAL","","","s KEC-81-10A [16786]","ECLOGITE, XENOLITH [16786]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [16786] ","50.13","0.46","","13.78","","","","8.34","12.06","11.44","0.17","","0.73","3.24","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","252","353","","","","170","","51","10.6","","","","","21","201","9.47","46.5","16","","","","","","","","","","","","0.12","347","11.4","20.5","2.24","8.2","1.45","0.55","1.78","0.3","1.72","0.37","1.01","","0.88","0.14","1.43","","","","","","","","","","4","","1.32","0.33","","","","","","","","","","","","","","","","","","","","","","","","","100284-KEC-81-10A",
"[16786][19741]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_MESOZOIC / SIERRA LEONE / KOIDU KIMBERLITE PROVINCE","","8.6311","8.6328","-10.9652","-10.9719","SUBAERIAL","","","s KEC-81-12 [16786]","ECLOGITE, XENOLITH [16786]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [16786] ","46.7","1.41","","14.88","","","","15.67","11.07","7.62","0.31","","0.73","1.85","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","454","211","","","","143","","127","14.4","","","","","12","134","42.1","58.6","6.53","","","","","","","","","","","","0.4","328","6.17","18.4","2.94","14.6","4.59","1.31","5.84","1.11","7.01","1.52","4.37","","4.08","0.62","1.77","","","","","","","","","","4","","0.38","0.14","","","","","","","","","","","","","","","","","","","","","","","","","100284-KEC-81-12",
"[16786][19741]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_MESOZOIC / SIERRA LEONE / KOIDU KIMBERLITE PROVINCE","","8.6311","8.6328","-10.9652","-10.9719","SUBAERIAL","","","s KEC-81-18 [16786]","ECLOGITE, XENOLITH [16786]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [16786] ","48.9","0.78","","12.36","","","","11.44","11.62","12.01","0.21","","1.04","1.48","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","295","386","","","","147","","82","10.7","","","","","28.3","113","17.3","53.6","15.4","","","","","","","","","","","","0.3","384","7.49","16.2","2.21","9.07","2.24","0.77","2.57","0.46","2.93","0.68","1.9","","1.9","0.28","1.72","","","","","","","","","","5","","0.87","1.46","","","","","","","","","","","","","","","","","","","","","","","","","100284-KEC-81-18",
"[16786]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_MESOZOIC / SIERRA LEONE / KOIDU KIMBERLITE PROVINCE","","8.6311","8.6328","-10.9652","-10.9719","SUBAERIAL","","","s KEC-81-2 [16786]","ECLOGITE, XENOLITH [16786]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [16786] ","47.39","1","","12.72","","","","9.42","11.07","16.68","0.23","","0.57","1.18","0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","316","392","","","","221","","35","11","","","","","15.6","266","16.9","44","48","","","","","","","","","","","","","435","24","64","","","","","","","","","","","","","","","","","","","","","","","4","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","100284-KEC-81-2",
"[16786][19741]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_MESOZOIC / SIERRA LEONE / KOIDU KIMBERLITE PROVINCE","","8.6311","8.6328","-10.9652","-10.9719","SUBAERIAL","","","s KEC-81-21 [16786]","ECLOGITE, XENOLITH [16786]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [16786] ","48.75","0.56","","13.8","","","","10.99","11.13","12.16","0.2","","0.29","2.57","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250","544","","","","259","","74","11.5","","","","","8.17","104","15.8","29.9","47.2","","","","","","","","","","","","2.93","93.8","5.73","11.9","1.38","5.26","1.14","0.42","1.57","0.32","2.25","0.57","1.84","","1.94","0.32","0.97","","","","","","","","","","5","","0.75","0.18","","","","","","","","","","","","","","","","","","","","","","","","","100284-KEC-81-21",
"[16786][19741]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_MESOZOIC / SIERRA LEONE / KOIDU KIMBERLITE PROVINCE","","8.6311","8.6328","-10.9652","-10.9719","SUBAERIAL","","","s KEC-81-3 [16786]","ECLOGITE, XENOLITH [16786]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [16786] ","45.38","0.77","","16.95","","","","10.48","15.16","9.24","0.16","","0.19","1.8","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","334","328","","","","248","","76","15.3","","","","","5.66","451","13.9","32","16.1","","","","","","","","","","","","0.11","1001","8.17","18","2.35","10.4","2.87","1.13","3.41","0.51","2.76","0.54","1.36","","11.1","0.16","1","","","","","","","","","","5","","0.61","0.21","","","","","","","","","","","","","","","","","","","","","","","","","100284-KEC-81-3",
"[16786][19741]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_MESOZOIC / SIERRA LEONE / KOIDU KIMBERLITE PROVINCE","","8.6311","8.6328","-10.9652","-10.9719","SUBAERIAL","","","s KEC-81-4 [16786]","ECLOGITE, XENOLITH [16786]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [16786] ","48.53","0.7","","12.63","","","","13.07","10.4","12.56","0.23","","0.23","1.59","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","254","584","","","","387","","104","11.6","","","","","3.18","63.8","22.8","26.1","5.16","","","","","","","","","","","","0.03","60.4","5.19","11.7","1.56","7.23","2.13","0.75","2.98","0.55","3.83","0.9","2.65","","2.51","0.39","1","","","","","","","","","","6","","0.71","0.34","","","","","","","","","","","","","","","","","","","","","","","","","100284-KEC-81-4",
"[16786][19741]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_MESOZOIC / SIERRA LEONE / KOIDU KIMBERLITE PROVINCE","","8.6311","8.6328","-10.9652","-10.9719","SUBAERIAL","","","s KEC-81-5 [16786]","ECLOGITE, XENOLITH [16786]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [16786] ","43.66","0.72","","17.15","","","","16.22","10.73","10.35","0.31","","0.37","0.87","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","275","830","","","","110","","98","12","","","","","12.6","49.6","24.5","17.3","9.1","","","","","","","","","","","","0.31","93.7","2.7","5.84","0.78","3.82","1.71","0.66","2.72","0.57","4.1","0.96","2.76","","2.42","0.36","0.64","","","","","","","","","","5","","0.43","0.13","","","","","","","","","","","","","","","","","","","","","","","","","100284-KEC-81-5",
"[16786][19741]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_MESOZOIC / SIERRA LEONE / KOIDU KIMBERLITE PROVINCE","","8.6311","8.6328","-10.9652","-10.9719","SUBAERIAL","","","s KEC-81-7 [16786]","ECLOGITE, XENOLITH [16786]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [16786] ","45.49","0.9","","15.51","","","","11.74","11.51","12.96","0.21","","0.38","1.42","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241","975","","","","324","","64","12","","","","","9.77","107","24","80.4","25.6","","","","","","","","","","","","0.1","149","9.28","21","2.65","11.4","2.99","1.08","3.86","0.68","4.18","0.89","2.49","","2.21","0.34","2.36","","","","","","","","","","6","","1.08","0.45","","","","","","","","","","","","","","","","","","","","","","","","","100284-KEC-81-7",
