"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19958]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_PROTEROZOIC / GHANA / DAHOMEYIDE BELT / KPONG COMPLEX","","6","6","0","0","SUBAERIAL","","","s PN-15 [19958]","SYENITE, NEPHELINE [19958]","","","","PROTEROZOIC [19958]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19958] ","44.92","0.88","","18.12","","","","6.42","9.77","1.89","0.19","","7.24","8.2","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","121","32","","","","3","4","64","","","","","","145","2458","17","143","44","","","","","","","","","","","","","6342","115","184","20.2","62.6","10","3.11","6.23","0.71","3.6","0.67","1.66","0.18","1.15","0.16","0.1","2.29","","","","","","","","","1.53","","0.96","0.27","","","","","","","","","","","","","","","","","","","","","","","","","1000994",
"[19958]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_PROTEROZOIC / GHANA / DAHOMEYIDE BELT / KPONG COMPLEX","","6","6","0","0","SUBAERIAL","","","s PN-17 [19958]","SYENITE, NEPHELINE [19958]","","","","PROTEROZOIC [19958]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19958] ","42.62","0.77","","17.87","","","","6.27","11.61","1.8","0.19","","7.89","8.54","0.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","101","","","","","","6","54","","","","","","129","2290","18","118","38","","","","","","","","","","","","","5886","51.4","112","9.01","27.7","4.67","1.48","2.74","0.31","1.7","0.29","0.77","0.1","0.5","0.06","0.07","1.6","","","","","","","","","1.8","","0.24","0.17","","","","","","","","","","","","","","","","","","","","","","","","","1000995",
"[19958]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_PROTEROZOIC / GHANA / DAHOMEYIDE BELT / KPONG COMPLEX","","6","6","0","0","SUBAERIAL","","","s PN-33A [19958]","SYENITE, NEPHELINE [19958]","","","","PROTEROZOIC [19958]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19958] ","55.53","0.39","","21.14","","","","3.55","3.58","0.23","0.12","","5.8","8.75","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","35","8","","","","","10","54","","","","","","138","1581","7","218","86","","","","","","","","","","","","","1953","14.3","36","3.13","10.2","1.95","0.68","0.15","0.15","0.81","0.15","0.45","0.06","0.35","0.05","0.07","2.65","","","","","","","","","2.08","","0.34","0.38","","","","","","","","","","","","","","","","","","","","","","","","","1000996",
"[19958]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_PROTEROZOIC / GHANA / DAHOMEYIDE BELT / KPONG COMPLEX","","6","6","0","0","SUBAERIAL","","","s PN-33B [19958]","SYENITE, NEPHELINE [19958]","","","","PROTEROZOIC [19958]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19958] ","56.57","0.43","","21.17","","","","3.13","1.69","0.24","0.09","","5.35","10.58","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","23","","","","","","21","49","","","","","","144","1162","4","135","62","","","","","","","","","","","","","1408","2.2","5.6","0.65","2.32","0.64","0.24","0.29","0.03","0.19","0.04","0.11","0.01","0.11","0.02","0.02","1.96","","","","","","","","","2.76","","0.15","0.04","","","","","","","","","","","","","","","","","","","","","","","","","1000997",
"[19958]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_PROTEROZOIC / GHANA / DAHOMEYIDE BELT / KPONG COMPLEX","","6","6","0","0","SUBAERIAL","","","s PN-41 [19958]","SYENITE, NEPHELINE [19958]","","","","PROTEROZOIC [19958]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19958] ","54.94","0.61","","19.75","","","","4.63","2.72","0.65","0.14","","5.37","10.08","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","70","1","","","","","11","74","","","","","","123","1473","6","230","64","","","","","","","","","","","","","1858","9.65","15.3","2.29","7.41","1.48","0.51","0.91","0.11","0.57","0.1","0.31","0.03","0.28","0.03","0.07","1.73","","","","","","","","","1.23","","0.27","0.29","","","","","","","","","","","","","","","","","","","","","","","","","1000998",
"[19958]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_PROTEROZOIC / GHANA / DAHOMEYIDE BELT / KPONG COMPLEX","","6","6","0","0","SUBAERIAL","","","s PN-48 [19958]","SYENITE, NEPHELINE [19958]","","","","PROTEROZOIC [19958]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19958] ","59.56","0.38","","19.66","","","","2.96","1.57","0.33","0.07","","5.54","9.21","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","44","38","","","","","","41","","","","","","116","941","7","406","71","","","","","","","","","","","","","1078","5.14","14.1","1.17","3.8","0.87","0.31","0.52","0.06","0.36","0.08","0.2","0.03","0.23","0.04","0.07","7.43","","","","","","","","","2.17","","0.3","18.52","","","","","","","","","","","","","","","","","","","","","","","","","1001000",
"[19958]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_PROTEROZOIC / GHANA / DAHOMEYIDE BELT / KPONG COMPLEX","","6","6","0","0","SUBAERIAL","","","s PN-60A [19958]","SYENITE, NEPHELINE [19958]","","","","PROTEROZOIC [19958]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19958] ","40.93","1.56","","14.51","","","","9.3","18.05","2.29","0.285","","4.45","6.23","0.571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","142","15","","","","3","16","106","","","","","","151","2874","31","406","186","","","","","","","","","","","","","1903","49.9","146","9.2","29.6","4.44","1.41","3.24","0.4","2.18","0.4","1.05","0.15","0.83","0.12","0.41","7.09","","","","","","","","","1.91","","0.98","2.76","","","","","","","","","","","","","","","","","","","","","","","","","1001001",
"[19958]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_PROTEROZOIC / GHANA / DAHOMEYIDE BELT / KPONG COMPLEX","","6","6","0","0","SUBAERIAL","","","s PN6 [19958]","NOT GIVEN [19958]","","","","PROTEROZOIC [19958]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19958] ","24.88","1.81","","13","","","","10.51","20.32","2.03","0.348","","4.19","3.57","0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","233","0","","","","4","12","189","","","","","","139","5481","33","28","83","","","","","","","","","","","","","4665","296","478","45.9","149","5.3","19.4","22.9","2.06","9.29","1.32","3.68","0.37","1.99","0.26","0.79","3.01","","","","","","","","","2.9","","1.96","0.26","","","","","","","","","","","","","","","","","","","","","","","","","1001002",
"[19958]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_PROTEROZOIC / GHANA / DAHOMEYIDE BELT / KPONG COMPLEX","","6","6","0","0","SUBAERIAL","","","s PN-30 [19958]","NOT GIVEN [19958]","","","","PROTEROZOIC [19958]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19958] ","30.82","1.47","","11.25","","","","9.23","21.91","3.02","0.3","","4.63","4.03","0.72","","","","","","","","","","","","","","","","10.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","185","39","","","","13","11","97","","","","","","158","3891","42","247","98","","","","","","","","","","","","","3389","182","325","34.4","111","16","4.71","11.9","1.42","6.9","1.28","3.2","0.4","2.32","0.32","0.17","4.53","","","","","","","","","1.93","","2.2","0.27","","","","","","","","","","","","","","","","","","","","","","","","","1001003",
"[19958]","INTRAPLATE VOLCANICS","WEST AFRICAN CRATON_PROTEROZOIC / GHANA / DAHOMEYIDE BELT / KPONG COMPLEX","","6","6","0","0","SUBAERIAL","","","s PN-34 [19958]","NOT GIVEN [19958]","","","","PROTEROZOIC [19958]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19958] ","27.96","2.12","","10.08","","","","11.98","22.23","2.72","0.36","","4.94","3.5","0.45","","","","","","","","","","","","","","","","10.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","239","7","","","","5","9","109","","","","","","132","4174","43","275","128","","","","","","","","","","","","","4303","164","285","29.8","97.2","14.6","4.51","10.4","1.29","6.41","1.14","2.94","0.38","2.06","0.29","0.33","6.07","","","","","","","","","2.24","","1.89","0.71","","","","","","","","","","","","","","","","","","","","","","","","","1001005",
