"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[16962]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AUSTRALIAN CRATON / YILGARN CRATON / SOUTHERN CROSS SUPERTERRANE / KOOLYANOBBING GREENSTONE BELT","NORTH RANGE","-30.82","-30.82","119.52","119.52","SUBAERIAL","","","s KM-8 [16962]","SCHIST [16962]","","","","ARCHEAN [16962]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [16962] ","45.41","0.54","","6.3","0.35","","","11.09","7.37","21.28","0.23","","0.11","0.4","0.05","","","","","","","","","","","","","","","","5.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","217","2130","","","94","840","30","70","7","1.4","","","","0","15","7.9","32","1.1","","","","","","","","","1.4","","","0.1","6","1.4","3.53","0.53","2.94","1.07","0.357","1.5","0.27","1.59","0.31","0.86","0.124","0.79","0.122","1","0.11","8.6","","","","","","","","","","0.15","0.14","","","","","","","","","","","","","","","","","","","","","","","","","1013880",
"[16962]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AUSTRALIAN CRATON / YILGARN CRATON / SOUTHERN CROSS SUPERTERRANE / KOOLYANOBBING GREENSTONE BELT","NORTH RANGE","-30.82","-30.82","119.52","119.52","SUBAERIAL","","","s KM-7 [16962]","AMPHIBOLITE [16962]","","","","ARCHEAN [16962]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [16962] ","51.89","0.43","","7.29","0.11","","","9.12","13.47","13.49","0.19","","0.22","1.06","0.03","","","","","","","","","","","","","","","","1.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","250","670","","","52","190","30","50","7","2.1","","","","1","58","8.2","21","0.7","","","","","","","","","0.3","","","0.1","90","1.71","3.75","0.49","2.46","0.81","0.322","1.27","0.24","1.51","0.3","0.9","0.136","0.87","0.133","0.6","0.17","0.8","","","","","","","","","","0.15","0.08","","","","","","","","","","","","","","","","","","","","","","","","","1013881",
"[16962]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AUSTRALIAN CRATON / YILGARN CRATON / SOUTHERN CROSS SUPERTERRANE / KOOLYANOBBING GREENSTONE BELT","NORTH RANGE","-30.82","-30.82","119.52","119.52","SUBAERIAL","","","s KM-6 [16962]","AMPHIBOLITE [16962]","","","","ARCHEAN [16962]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [16962] ","50.71","0.54","","13.91","0.06","","","9.26","11.89","8.6","0.17","","0.18","1.47","0.05","","","","","","","","","","","","","","","","1.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","243","430","","","44","150","50","60","10","1.6","","","","0","89","12.8","33","1.6","","","","","","","","","3.2","","","0.2","35","2.21","5.58","0.81","4.05","1.37","0.546","1.95","0.34","2.19","0.46","1.4","0.214","1.46","0.236","1","0.29","1.3","","","","","","","","","","0.2","0.07","","","","","","","","","","","","","","","","","","","","","","","","","1013882",
"[16962]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AUSTRALIAN CRATON / YILGARN CRATON / SOUTHERN CROSS SUPERTERRANE / KOOLYANOBBING GREENSTONE BELT","NORTH RANGE","-30.82","-30.82","119.52","119.52","SUBAERIAL","","","s KDM-12 [16962]","NOT GIVEN [16962]","","","","ARCHEAN [16962]","","","","","","","","","","WHOLE_ROCK [16962] ","46.73","0.24","","9.68","0.29","","","8.96","8.29","18.8","0.16","","0.1","0.91","0.03","","","","","","","","","","","","","","","","4.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","185","1820","","","69","480","0","60","7","1.4","","","","0","84","8.9","19","0.4","","","","","","","","","0.7","","","0.3","19","1.24","2.63","0.3","1.39","0.54","0.211","1.01","0.2","1.42","0.32","1.01","0.163","1.14","0.189","0.5","0.12","0","","","","","","","","","","0.14","0.05","","","","","","","","","","","","","","","","","","","","","","","","","1013883",
"[16962]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AUSTRALIAN CRATON / YILGARN CRATON / SOUTHERN CROSS SUPERTERRANE / KOOLYANOBBING GREENSTONE BELT","NORTH RANGE","-30.82","-30.82","119.52","119.52","SUBAERIAL","","","s KM-4 [16962]","NOT GIVEN [16962]","","","","ARCHEAN [16962]","","","","","","","","","","WHOLE_ROCK [16962] ","49.52","0.19","","8.19","0.28","","","8.15","9.73","17.5","0.18","","0.24","0.55","0.02","","","","","","","","","","","","","","","","3.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","166","1790","","","57","800","0","50","6","1.3","","","","10","58","6.1","16","0.8","","","","","","","","","2.7","","","0.2","38","1.07","2.21","0.26","1.1","0.36","0.187","0.78","0.15","1.02","0.22","0.7","0.11","0.73","0.113","0.5","0.15","0","","","","","","","","","","0.11","0.08","","","","","","","","","","","","","","","","","","","","","","","","","1013884",
"[16962]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AUSTRALIAN CRATON / YILGARN CRATON / SOUTHERN CROSS SUPERTERRANE / KOOLYANOBBING GREENSTONE BELT","NORTH RANGE","-30.82","-30.82","119.52","119.52","SUBAERIAL","","","s KM-3 [16962]","BASALT [16962]","","","","ARCHEAN [16962]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16962] ","52.76","0.33","","14.73","0.06","","","9.26","4.74","9.31","0.3","","0.11","4.17","0.04","","","","","","","","","","","","","","","","2.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","258","400","","","43","90","10","70","11","1.1","","","","2","52","9.2","22","0","","","","","","","","","0.5","","","0.5","32","0.73","1.67","0.21","1.12","0.48","0.234","0.93","0.2","1.52","0.35","1.09","0.176","1.26","0.221","0.7","0","0","","","","","","","","","","0.18","0.15","","","","","","","","","","","","","","","","","","","","","","","","","1013885",
"[16962]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AUSTRALIAN CRATON / YILGARN CRATON / SOUTHERN CROSS SUPERTERRANE / KOOLYANOBBING GREENSTONE BELT","SOUTH RANGE","-30.82","-30.82","119.52","119.52","SUBAERIAL","","","s KM-2 [16962]","SCHIST [16962]","","","","ARCHEAN [16962]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [16962] ","47.04","0.19","","7.64","0.6","","","8.27","7.5","21.6","0.2","","0.04","0.26","0.03","","","","","","","","","","","","","","","","4.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","159","3660","","","69","930","0","60","6","1.6","","","","0","5","8","13","0.3","","","","","","","","","0","","","0","3","1.12","2.24","0.26","1.3","0.42","0.227","0.8","0.17","1.19","0.27","0.84","0.133","0.94","0.165","0.4","0","0.7","","","","","","","","","","0.09","0.05","","","","","","","","","","","","","","","","","","","","","","","","","1013886",
"[16962]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AUSTRALIAN CRATON / YILGARN CRATON / SOUTHERN CROSS SUPERTERRANE / KOOLYANOBBING GREENSTONE BELT","SOUTH RANGE","-30.82","-30.82","119.52","119.52","SUBAERIAL","","","s KM-1 [16962]","NOT GIVEN [16962]","","","","ARCHEAN [16962]","","","","","","","","","","WHOLE_ROCK [16962] ","50.19","0.28","","5.62","0.3","","","8.84","9.53","19.68","0.2","","0.08","0.44","0.03","","","","","","","","","","","","","","","","3.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","171","1830","","","59","510","0","50","6","1.6","","","","0","10","16","33","2.3","","","","","","","","","0.5","","","0","6","1.75","5.77","0.9","4.83","1.7","0.445","2.12","0.41","2.66","0.55","1.67","0.26","1.79","0.292","1.1","0.11","1.1","","","","","","","","","","0.51","0.14","","","","","","","","","","","","","","","","","","","","","","","","","1013887",
"[16962]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AUSTRALIAN CRATON / YILGARN CRATON / SOUTHERN CROSS SUPERTERRANE / KOOLYANOBBING GREENSTONE BELT","SOUTH RANGE","-30.82","-30.82","119.52","119.52","SUBAERIAL","","","s KM-10 [16962]","AMPHIBOLITE [16962]","","","","ARCHEAN [16962]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [16962] ","49.76","0.49","","14.08","0.09","","","9.86","10.23","10.79","0.22","","0.1","1.1","0.05","","","","","","","","","","","","","","","","2.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","226","600","","","46","190","70","90","11","1.5","","","","1","70","13.2","33","1.7","","","","","","","","","0.4","","","0.2","64","1.35","2.6","0.35","1.68","0.78","0.381","1.55","0.31","2.13","0.46","1.45","0.236","1.7","0.275","0.9","0.45","0","","","","","","","","","","0.35","0.1","","","","","","","","","","","","","","","","","","","","","","","","","1013888",
"[16962]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WEST AUSTRALIAN CRATON / YILGARN CRATON / SOUTHERN CROSS SUPERTERRANE / KOOLYANOBBING GREENSTONE BELT","SOUTH RANGE","-30.82","-30.82","119.52","119.52","SUBAERIAL","","","s KM-11 [16962]","AMPHIBOLITE [16962]","","","","ARCHEAN [16962]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [16962] ","50.41","0.51","","14.63","0.03","","","8.07","12.76","8.6","0.16","","0.11","1.89","0.04","","","","","","","","","","","","","","","","0.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","","245","190","","","38","100","0","60","12","1.6","","","","0","65","12.7","28","0.9","","","","","","","","","1","","","0.1","37","2.16","4.4","0.63","3.2","1.14","0.458","1.74","0.34","2.2","0.47","1.43","0.218","1.44","0.228","0.8","0.16","0.9","","","","","","","","","","0.29","0.06","","","","","","","","","","","","","","","","","","","","","","","","","1013889",
