"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[2118]","OCEAN-BASIN FLOOD BASALT","WHARTON BASIN / SITE 259 / INDIAN OCEAN","SOUTHEAST OF WHARTON BASIN","-29.617","-29.617","112.7","112.7","SUBAQUATIC","","","s 27-259-37-2,32-38 [2118]","THOLEIITE [2118]","","","","","","","","FINE-GRAINED [2118] ","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [2118] ","50.69","1.61","","16.67","","","","10.47","7.82","7.7","0.13","","0.65","1.89","0.22","","","","","","","","","","","","","","","","2.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138175",
"[2118]","OCEAN-BASIN FLOOD BASALT","WHARTON BASIN / SITE 259 / INDIAN OCEAN","SOUTHEAST OF WHARTON BASIN","-29.617","-29.617","112.7","112.7","SUBAQUATIC","","","s 27-259-38-2,116-129 [2118]","THOLEIITE [2118]","","","","","","","","FINE-GRAINED [2118] ","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [2118] ","51.65","1.27","","15.61","","","","10.02","10.04","7.19","0.19","","0.31","2.34","0.13","","","","","","","","","","","","","","","","1.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138176",
"[2118]","OCEAN-BASIN FLOOD BASALT","WHARTON BASIN / SITE 259 / INDIAN OCEAN","SOUTHEAST OF WHARTON BASIN","-29.617","-29.617","112.7","112.7","SUBAQUATIC","","","s 27-259-39-1,85-92 [2118]","THOLEIITE [2118]","","","","","","","","FINE-GRAINED [2118] ","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [2118] ","51.62","1.27","","16.49","","","","8.9","9.52","7.91","0.16","","0.13","3.12","0.09","","","","","","","","","","","","","","","","2.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138177",
"[2118]","OCEAN-BASIN FLOOD BASALT","WHARTON BASIN / SITE 259 / INDIAN OCEAN","SOUTHEAST OF WHARTON BASIN","-29.617","-29.617","112.7","112.7","SUBAQUATIC","","","s 27-259-40-1,140-150 [2118]","THOLEIITE [2118]","","","","","","","","FINE-GRAINED [2118] ","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [2118] ","51.23","1.37","","16.58","","","","9.38","8.42","8.38","0.18","","0.27","2.7","0.15","","","","","","","","","","","","","","","","2.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138178",
"[2118]","OCEAN-BASIN FLOOD BASALT","WHARTON BASIN / SITE 260 / INDIAN OCEAN","EAST OF WHARTON BASIN","-16.15","-16.15","110.3","110.3","SUBAQUATIC","","","s 27-260-20,PC5 [2118]","THOLEIITE [2118]","","","","","","","","MEDIUM-GRAINED, SPARSELY PORPHYRITIC [2118] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [2118] ","51.86","1.75","","13.84","","","","12.25","10.25","5.84","0.2","","0.14","2.72","0.13","","","","","","","","","","","","","","","","1.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138179",
"[5580]","OCEAN-BASIN FLOOD BASALT","WHARTON BASIN / INDIAN OCEAN","","-17.73","-17.73","99.77","99.77","SUBAQUATIC","-5383","-5383","s V28-350 [5580]","CLAY, MANGANIFEROUS [5580]","","","","","","","","","SEDIMENTARY ROCK","","","","","WHOLE_ROCK [5580] ","48.23","0.796","","17.24","","","","9.63","1.87","3.12","1.92","","2.7","3.77","1.078","","","","","","","","","","","","","","","","9.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.7","","187","80.4","","","","332","240.3","67","","","","","","","184","157.2","169","","","","","","","","","","","","","","323","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","141335",
"[1908]","OCEAN-BASIN FLOOD BASALT","WHARTON BASIN / SITE 257 / INDIAN OCEAN","SOUTHEAST OF WHARTON BASIN","-39.983","-39.983","108.35","108.35","SUBAQUATIC","-5278","-5278","s 257-14-2,78-80 [1908]","THOLEIITE [1908]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1908] ","48.3","0.86","","15.08","","2.91","4.41","","11.99","9.05","0.16","","0.41","2.23","0.09","","1.08","2.94","","1.26","","","","","","","","","","","","","","0.17","","","","","","","","","","","12","","","","","","","","","","","","","","","5156","330","335","","","","150","50","90","30","","","","","","100","25","100","","","","","","","","","","","","","","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35169",
"[1908]","OCEAN-BASIN FLOOD BASALT","WHARTON BASIN / SITE 257 / INDIAN OCEAN","SOUTHEAST OF WHARTON BASIN","-39.983","-39.983","108.35","108.35","SUBAQUATIC","-5278","-5278","s 257-15-2,37-39 [1908]","THOLEIITE [1908]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1908] ","49.18","0.88","","15.05","","2.37","6.64","","12.17","8.78","0.25","","0.11","1.86","0.08","","0.56","1.55","","0.42","","","","","","","","","","","","","","0.15","","","","","","","","","","","7","","","","","","","","","","","","","","","5276","310","325","","","","130","25","90","25","","","","","","70","40","100","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35172",
"[1908]","OCEAN-BASIN FLOOD BASALT","WHARTON BASIN / SITE 257 / INDIAN OCEAN","SOUTHEAST OF WHARTON BASIN","-39.983","-39.983","108.35","108.35","SUBAQUATIC","-5278","-5278","s 257-17-1,91-93 [1908]","THOLEIITE [1908]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1908] ","47.97","0.88","","14.32","","3.7","5.16","","12.41","8.08","0.15","","0.45","2.04","0.11","","0.88","2.35","","1.29","","","","","","","","","","","","","","0.14","","","","","","","","","","","13","","","","","","","","","","","","","","","5276","290","220","","","","150","88","200","25","","","","","","85","25","75","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35175",
"[1908]","OCEAN-BASIN FLOOD BASALT","WHARTON BASIN / SITE 257 / INDIAN OCEAN","SOUTHEAST OF WHARTON BASIN","-39.983","-39.983","108.35","108.35","SUBAQUATIC","-5278","-5278","s 257-17-3,26-28 [1908]","THOLEIITE [1908]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1908] ","49.24","0.94","","14.72","","1.79","6.56","","12.65","8.52","0.17","","0.11","2.04","0.1","","0.84","1.68","","0.77","","","","","","","","","","","","","","0.13","","","","","","","","","","","13","","","","","","","","","","","","","","","5635","290","220","","","","160","75","90","25","","","","","","85","25","100","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35176",
