"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20149]","CONTINENTAL FLOOD BASALT","WRANGELLIA / VANCOUVER ISLAND / BONANZA ARC","","50.53699","50.53699","-126.84115","-126.84115","SUBAERIAL","","","s 07JST 1-1-1 [20149]","GRANODIORITE [20149]","","","","JURASSIC [20149]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20149] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512794","","","0.70508","","","","","","","","","","","","","","","","","","","","","1023631",
"[20149]","CONTINENTAL FLOOD BASALT","WRANGELLIA / VANCOUVER ISLAND / BONANZA ARC","","50.48156","50.48156","-127.10198","-127.10198","SUBAERIAL","","","s 07JST 13-1-1 [20149]","TONALITE [20149]","","","","JURASSIC [20149]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20149] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512872","","","0.70477","","","","","","","","","","","","","","","","","","","","","1023632",
"[20149]","CONTINENTAL FLOOD BASALT","WRANGELLIA / VANCOUVER ISLAND / BONANZA ARC","","50.73843","50.73843","-127.87168","-127.87168","SUBAERIAL","","","s 07JST 27-2-1 [20149]","GRANODIORITE [20149]","","","","JURASSIC [20149]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20149] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512828","","","0.70486","","","","","","","","","","","","","","","","","","","","","1023633",
"[20149]","CONTINENTAL FLOOD BASALT","WRANGELLIA / VANCOUVER ISLAND / BONANZA ARC","","49.88626","49.88626","-125.50584","-125.50584","SUBAERIAL","","","s ARGO [20149]","GRANODIORITE [20149]","","","","JURASSIC [20149]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20149] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512881","","","0.70457","","","","","","","","","","","","","","","","","","","","","1023634",
"[20149]","CONTINENTAL FLOOD BASALT","WRANGELLIA / VANCOUVER ISLAND / BONANZA ARC","","48.82746","48.82746","-125.14727","-125.14727","SUBAERIAL","","","s BAMF [20149]","GRANODIORITE [20149]","","","","JURASSIC [20149]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20149] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512813","","","0.70672","","","","","","","","","","","","","","","","","","","","","1023635",
"[20149]","CONTINENTAL FLOOD BASALT","WRANGELLIA / VANCOUVER ISLAND / BONANZA ARC","","49.0746","49.0746","-124.40486","-124.40486","SUBAERIAL","","","s DC06-061 [20149]","GRANODIORITE [20149]","","","","JURASSIC [20149]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20149] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512764","","","0.70548","","","","","","","","","","","","","","","","","","","","","1023636",
"[20149]","CONTINENTAL FLOOD BASALT","WRANGELLIA / VANCOUVER ISLAND / BONANZA ARC","","49.09704","49.09704","-124.25343","-124.25343","SUBAERIAL","","","s DC06-62 [20149]","GRANODIORITE [20149]","","","","JURASSIC [20149]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20149] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512837","","","0.7046","","","","","","","","","","","","","","","","","","","","","1023637",
"[20149]","CONTINENTAL FLOOD BASALT","WRANGELLIA / VANCOUVER ISLAND / BONANZA ARC","","49.79812","49.79812","-126.06555","-126.06555","SUBAERIAL","","","s DC07-02 [20149]","GRANODIORITE [20149]","","","","JURASSIC [20149]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20149] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512775","","","0.70757","","","","","","","","","","","","","","","","","","","","","1023638",
"[20149]","CONTINENTAL FLOOD BASALT","WRANGELLIA / VANCOUVER ISLAND / BONANZA ARC","","48.67548","48.67548","-123.48395","-123.48395","SUBAERIAL","","","s DC09-01 [20149]","DIORITE [20149]","","","","JURASSIC [20149]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20149] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512744","","","0.70448","","","","","","","","","","","","","","","","","","","","","1023639",
"[20149]","CONTINENTAL FLOOD BASALT","WRANGELLIA / VANCOUVER ISLAND / BONANZA ARC","","49.26186","49.26186","-125.96385","-125.96385","SUBAERIAL","","","s DC10-01 [20149]","GRANODIORITE [20149]","","","","JURASSIC [20149]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20149] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512796","","","0.70716","","","","","","","","","","","","","","","","","","","","","1023640",
