"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20208]","INTRAPLATE VOLCANICS","WYOMING CRATON / MISSOURI / MISSOURI BREAKS / AVON VOLCANIC DISTRICT","","37.76","37.76","-90.21","-90.21","SUBAERIAL","","","s L9A2 [20208]","MELILITITE, OLIVINE [20208]","","","","PERMIAN [20208]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20208] ","31.68","1.48","","5.38","0.23","","","10.18","10.99","19.55","0.181","","0.42","0.12","0.48","","","","","","","","","","","","","","","","18.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1030804",
"[20208]","INTRAPLATE VOLCANICS","WYOMING CRATON / MISSOURI / MISSOURI BREAKS / AVON VOLCANIC DISTRICT","","37.76","37.76","-90.21","-90.21","SUBAERIAL","","","s L3F1 [20208]","ALNÖITE [20208]","","","","PERMIAN [20208]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20208] ","32.46","1.85","","5.55","0.24","","","11.6","14.05","19.62","0.187","","0.71","0.4","0.65","","","","","","","","","","","","","","","","11.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1030805",
"[20208]","INTRAPLATE VOLCANICS","WYOMING CRATON / MISSOURI / MISSOURI BREAKS / AVON VOLCANIC DISTRICT","","37.76","37.76","-90.21","-90.21","SUBAERIAL","","","s A62A [20208]","ALNÖITE [20208]","","","","PERMIAN [20208]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20208] ","35.43","1.754","","5.7","0.19","","","11.15","12.48","21.68","0.183","","1.16","0.19","0.67","","","","","","","","","","","","","","","","8.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","426","","","","74","590","130","100","12","","","","","79","294","16.3","135","77.6","","","","","","","","","","","","1.2","1121","65.8","117","12.7","47.6","8.38","2.45","5.57","0.77","3.61","0.6","1.54","0.201","1.08","0.142","3.1","5.21","","","","","","","","","11","","9","2.68","","","","","","","","","","","","","","","","","","","","","","","","","1030806",
"[20208]","INTRAPLATE VOLCANICS","WYOMING CRATON / MISSOURI / MISSOURI BREAKS / AVON VOLCANIC DISTRICT","","37.76","37.76","-90.21","-90.21","SUBAERIAL","","","s A63 [20208]","CARBONATITE, CALCIO [20208]","","","","PERMIAN [20208]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20208] ","29.39","1.266","","4.57","0.09","","","9.18","16.03","16.34","0.151","","0.44","0.18","1.27","","","","","","","","","","","","","","","","18.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","266","","","","52","430","40","70","9","","","","","26","812","20","175","87","","","","","","","","","","","","1.4","1390","94.7","169","18.1","68.7","11.6","3.41","8","1.1","4.7","0.7","1.8","0.22","1.2","0.17","3.5","4.8","","","","","","","","","10","","10.2","2.7","","","","","","","","","","","","","","","","","","","","","","","","","1030807",
"[20208]","INTRAPLATE VOLCANICS","WYOMING CRATON / MISSOURI / MISSOURI BREAKS / AVON VOLCANIC DISTRICT","","37.76","37.76","-90.21","-90.21","SUBAERIAL","","","s L81 [20208]","CARBONATITE, CALCIO [20208]","","","","PERMIAN [20208]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20208] ","26.14","1.09","","4.54","0.12","","","7.63","25.67","7","0.148","","0.13","0.06","0.28","","","","","","","","","","","","","","","","26.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1030808",
"[20208]","INTRAPLATE VOLCANICS","WYOMING CRATON / MISSOURI / MISSOURI BREAKS / AVON VOLCANIC DISTRICT","","37.76","37.76","-90.21","-90.21","SUBAERIAL","","","s L62 [20208]","CARBONATITE, CALCIO [20208]","","","","PERMIAN [20208]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20208] ","42.61","1.07","","4.34","0.05","","","6.33","18.77","4.62","0.096","","1.34","0.22","0.59","","","","","","","","","","","","","","","","18.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1030809",
"[20208]","INTRAPLATE VOLCANICS","WYOMING CRATON / MISSOURI / MISSOURI BREAKS / AVON VOLCANIC DISTRICT","","37.76","37.76","-90.21","-90.21","SUBAERIAL","","","s L121 [20208]","CARBONATITE, CALCIO [20208]","","","","PERMIAN [20208]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20208] ","32.42","0.84","","3.99","0.1","","","7.12","26.13","2.47","0.102","","0.39","0.18","0.43","","","","","","","","","","","","","","","","25.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1030810",
"[20208]","INTRAPLATE VOLCANICS","WYOMING CRATON / MISSOURI / MISSOURI BREAKS / AVON VOLCANIC DISTRICT","","37.76","37.76","-90.21","-90.21","SUBAERIAL","","","s L2M [20208]","CARBONATITE [20208]","","","","PERMIAN [20208]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20208] ","16.37","0.78","","2.97","0.06","","","4.86","22.7","16.17","0.152","","0.51","0.17","0.39","","","","","","","","","","","","","","","","33.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1030811",
"[20208]","INTRAPLATE VOLCANICS","WYOMING CRATON / MISSOURI / MISSOURI BREAKS / AVON VOLCANIC DISTRICT","","37.76","37.76","-90.21","-90.21","SUBAERIAL","","","s A66B [20208]","CARBONATITE [20208]","","","","PERMIAN [20208]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20208] ","35.86","1.005","","3.52","0.02","","","3.1","17.57","9.67","0.177","","2.15","0.1","1.01","","","","","","","","","","","","","","","","23.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","194","","","","31","80","30","0","8","","","","","22","108","23","207","115","","","","","","","","","","","","1","108","69.4","138","15.2","59.2","11","2.99","7.3","1","4.7","0.9","2.1","0.28","1.6","0.23","4.5","6.6","","","","","","","","","22","","14","3.5","","","","","","","","","","","","","","","","","","","","","","","","","1030812",
"[20208]","INTRAPLATE VOLCANICS","WYOMING CRATON / MISSOURI / MISSOURI BREAKS / AVON VOLCANIC DISTRICT","","37.76","37.76","-90.21","-90.21","SUBAERIAL","","","s A64A [20208]","CARBONATITE [20208]","","","","PERMIAN [20208]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20208] ","12.26","1.07","","4.32","0.13","","","4.64","24.42","15.43","0.162","","0.88","0.2","0.48","","","","","","","","","","","","","","","","34.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1030813",
