"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[3702]","CONVERGENT MARGIN","YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN","","9.46","9.58","138.22","138.22","SUBAERIAL","","","s Y-208-2 [3702]","GREENSCHIST [3702]","","","","","","","","VERY FINE-GRAINED [3702] ","METAMORPHIC ROCK","","","","","WHOLE_ROCK [3702] ","46.44","2.02","","17.7","","2.15","7","","8.56","9.77","0.16","","0.13","2.89","0.27","","2.57","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112868",
"[3702]","CONVERGENT MARGIN","YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN","","9.46","9.58","138.22","138.22","SUBAERIAL","","","s Y-124 [3702]","GREENSCHIST [3702]","","","","","","","","VERY FINE-GRAINED [3702] ","METAMORPHIC ROCK","","","","","WHOLE_ROCK [3702] ","48.56","0.52","","12.29","","2.49","7.58","","10.44","14.09","0.18","","0.14","2.16","0.15","","2.09","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112869",
"[3702]","CONVERGENT MARGIN","YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN","","9.46","9.58","138.22","138.22","SUBAERIAL","","","s Y-121 [3702]","GREENSCHIST [3702]","","","","","","","","VERY FINE-GRAINED [3702] ","METAMORPHIC ROCK","","","","","WHOLE_ROCK [3702] ","47.7","1.88","","11.36","","2.87","9.71","","10.01","11.2","0.18","","0.13","2.59","0.07","","1.98","0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","860","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112870",
"[3702]","CONVERGENT MARGIN","YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN","","9.46","9.58","138.22","138.22","SUBAERIAL","","","s Y-104 [3702]","GREENSCHIST [3702]","","","","","","","","VERY FINE-GRAINED [3702] ","METAMORPHIC ROCK","","","","","WHOLE_ROCK [3702] ","46.14","1.46","","11.25","","1.63","8.21","","8.6","15.89","0.31","","0.09","2.34","0.33","","3.8","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","921","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112871",
"[3702]","CONVERGENT MARGIN","YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN","","9.46","9.58","138.22","138.22","SUBAERIAL","","","s Y-120 [3702]","GREENSCHIST [3702]","","","","","","","","VERY FINE-GRAINED [3702] ","METAMORPHIC ROCK","","","","","WHOLE_ROCK [3702] ","47.85","1.54","","11.12","","2.14","7.95","","10.14","13.85","0.29","","0.11","2.32","0.16","","2.5","0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","920","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112872",
"[3702]","CONVERGENT MARGIN","YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN","","9.46","9.58","138.22","138.22","SUBAERIAL","","","s Y-206-2 [3702]","GREENSCHIST [3702]","","","","","","","","VERY FINE-GRAINED [3702] ","METAMORPHIC ROCK","","","","","WHOLE_ROCK [3702] ","48.7","1.22","","10.87","","1.37","9.98","","9.5","14.02","0.21","","0.14","1.54","0.17","","1.97","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","792","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112873",
"[3702]","CONVERGENT MARGIN","YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN","","9.46","9.58","138.22","138.22","SUBAERIAL","","","s Y-118 [3702]","AMPHIBOLITE [3702]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [3702] ","46.1","1.33","","15.27","","2.19","8.41","","10.33","11.8","0.31","","0.56","3.05","0.24","","1.1","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","427","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112874",
"[3702]","CONVERGENT MARGIN","YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN","","9.46","9.58","138.22","138.22","SUBAERIAL","","","s Y-112 [3702]","AMPHIBOLITE [3702]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [3702] ","47.68","1.84","","16.64","","1.81","8.64","","9.78","7.37","0.29","","0.19","3.7","0.76","","0.9","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112875",
"[3702]","CONVERGENT MARGIN","YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN","","9.46","9.58","138.22","138.22","SUBAERIAL","","","s Y-110 [3702]","AMPHIBOLITE [3702]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [3702] ","46.7","2.06","","18.48","","1.01","10.4","","10.21","6.74","0.21","","0.2","2.62","0.15","","1.49","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112876",
"[3702]","CONVERGENT MARGIN","YAP ARC / YAP ARC / YAP ISLANDS / YAP FORMATION / PACIFIC OCEAN","","9.46","9.58","138.22","138.22","SUBAERIAL","","","s Y-105 [3702]","NOT GIVEN [3702]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [3702] ","52.3","2.1","","12.4","","1.36","6.51","","8.68","9.19","0.22","","0.29","5.28","0.13","","1.21","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","872","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112877",
