"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20330]","CONTINENTAL FLOOD BASALT","YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / MANAKHAH SECTION","","15.0881","15.0881","43.7278","43.7278","SUBAERIAL","","","s YE26 [20330]","PICRITE [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20330] ","42.22","3.31","","9.98","","1.61","10.75","","9.98","16.21","0.2","","0.47","1.74","0.31","","","","","","","","","","","","","","","","3.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","367","935","","","65","520","","","","","","","","7","671","19.3","217","56","","","","","","","","","","","","","356","32.8","72.7","8.74","35.9","6.84","2.12","6.66","0.85","4.09","0.71","1.91","0.23","1.36","0.18","4.98","3.74","","","","","","","","","","","3.65","1.05","0.51289","","","0.70372","","19","","15.6","","39.13","","","","","","","","","","","","","","","1051530",
"[20330]","CONTINENTAL FLOOD BASALT","YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / MANAKHAH SECTION","","15.1028","15.1028","43.7111","43.7111","SUBAERIAL","","","s YE29 [20330]","PICRITE [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20330] ","40.93","3.21","","9.9","","1.74","11.6","","10.38","16.98","0.19","","0.81","1.74","0.43","","","","","","","","","","","","","","","","2.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","363","673","","","59","363","","","","","","","","38","1071","26.1","361","70.5","","","","","","","","","","","","","377","46.2","105","12.7","52.4","9.94","3.01","9.62","1.23","5.81","0.99","2.54","0.29","1.71","0.22","8.07","4.57","","","","","","","","","","","4.72","1.5","0.51295","","","0.70367","","19","","15.57","","38.95","","","","","","","","","","","","","","","1051531",
"[20330]","CONTINENTAL FLOOD BASALT","YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / MANAKHAH SECTION","","15.0953","15.0953","43.7347","43.7347","SUBAERIAL","","","s YE23 [20330]","BASALT [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20330] ","37.86","4.16","","9.55","","2.11","14.09","","13.93","12.3","0.23","","0.2","1.32","0.46","","","","","","","","","","","","","","","","3.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","","521","540","","","68","214","","","","","","","","3","1065","19.7","281","84.4","","","","","","","","","","","","","478","51.2","112","13.1","51.9","9.17","2.73","8.86","1.06","4.84","0.81","2.12","0.24","1.41","0.18","6.14","5.24","","","","","","","","","","","5.14","1.7","0.5129","","","0.70363","","19.41","","15.61","","39.46","","","","","","","","","","","","","","","1051533",
"[20330]","CONTINENTAL FLOOD BASALT","YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / MANAKHAH SECTION","","15.0881","15.0881","43.7325","43.7325","SUBAERIAL","","","s YE24 [20330]","BASALT [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20330] ","39.2","4.46","","13.25","","1.93","12.86","","11.49","9.46","0.21","","0.76","3.81","0.6","","","","","","","","","","","","","","","","1.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","382","19","","","47","54","","","","","","","","7","1106","33.5","420","85.6","","","","","","","","","","","","","481","50.4","116","14.3","58.5","11","3.3","10.8","1.39","6.77","1.19","3.21","0.39","2.37","0.32","8.84","5.46","","","","","","","","","","","5.51","1.72","0.51299","","","0.70359","","18.91","","15.55","","38.89","","","","","","","","","","","","","","","1051534",
"[20330]","CONTINENTAL FLOOD BASALT","YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / MANAKHAH SECTION","","15.0828","15.0828","43.7292","43.7292","SUBAERIAL","","","s YE25 [20330]","BASALT [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20330] ","41.2","3.52","","11.2","","1.85","12.37","","13.1","11.34","0.2","","0.12","2.2","0.47","","","","","","","","","","","","","","","","2.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","400","556","","","63","167","","","","","","","","","724","17.6","183","47.8","","","","","","","","","","","","","321","30.1","69.6","8.52","36.2","6.96","2.13","6.74","0.85","4.08","0.71","1.89","0.23","1.34","0.18","4.26","3.17","","","","","","","","","","","2.69","0.88","0.5129","","","0.70362","","19.22","","15.55","","39.21","","","","","","","","","","","","","","","1051535",
"[20330]","CONTINENTAL FLOOD BASALT","YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / MANAKHAH SECTION","","15.09","15.09","43.7247","43.7247","SUBAERIAL","","","s YE27 [20330]","BASALT [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20330] ","38.15","5.07","","11.76","","2.31","15.41","","13","6.77","0.21","","0.92","2.8","0.54","","","","","","","","","","","","","","","","3.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","53","","522","23","","","56","1","","","","","","","","20","1158","31.8","349","99.5","","","","","","","","","","","","","500","58.7","130","15.7","64.1","12","3.58","11.6","1.45","6.88","1.19","3.12","0.37","2.16","0.29","8.02","6.35","","","","","","","","","","","6.63","1.86","0.51288","","","0.70371","","19.26","","15.55","","39.26","","","","","","","","","","","","","","","1051536",
"[20330]","CONTINENTAL FLOOD BASALT","YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / MANAKHAH SECTION","","15.09","15.09","43.7247","43.7247","SUBAERIAL","","","s YE28 [20330]","BASALT [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20330] ","40.31","4.69","","12.1","","2.22","14.78","","12.31","7.96","0.2","","0.85","2.26","0.47","","","","","","","","","","","","","","","","1.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","","517","118","","","55","41","","","","","","","","14","989","27.4","288","75.5","","","","","","","","","","","","","526","46.8","104","12.5","51.4","9.66","2.93","9.49","1.2","5.76","1","2.67","0.32","1.93","0.26","6.66","4.84","","","","","","","","","","","5.2","1.51","0.51289","","","0.7037","","18.96","","15.57","","39.01","","","","","","","","","","","","","","","1051537",
"[20330]","CONTINENTAL FLOOD BASALT","YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / MANAKHAH SECTION","","15.0881","15.0881","43.7278","43.7278","SUBAERIAL","","","s YE31 [20330]","BASALT [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20330] ","40.98","3.52","","12.33","","1.62","10.8","","12.48","11.93","0.17","","1.13","1.81","0.71","","","","","","","","","","","","","","","","2.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","379","279","","","55","99","","","","","","","","27","1087","20.8","238","67.9","","","","","","","","","","","","","493","40.5","91.6","11","45.3","8.35","2.57","7.99","0.98","4.57","0.78","2.06","0.24","1.43","0.19","5.51","4.33","","","","","","","","","","","3.8","1.15","0.51293","","","0.70368","","19.38","","15.61","","39.39","","","","","","","","","","","","","","","1051538",
"[2821][3450]","CONTINENTAL FLOOD BASALT","YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / JABAL HUFASH SECTION","WADI LAHIMA, LOWER SERIES","14","17","43","45","SUBAERIAL","","","s JB2 [2821]","BASALT [2821]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2821] ","50.37","3.21","","12.88","","13.28","","","10.17","6.6","0.188","","0.896","2.29","0.387","","","","","","","","","","","","","","","","0.56","","","","","","","","","","","","","","","","","","","","","","","","","25","","","30","","365","180","","","","75","64","106","21","","","","","14.9","559","32.1","254","31.3","","","","","","","","","","","","","344","28","64.3","","36.8","8.26","","","","","","","","","","","","","","","","","","","","3","","2.5","0.734","0.512861","","","0.70399","","18.51","","15.549","","38.38","","","","","","","","","","","","","","","15130-JB2",
"[2821][3450]","CONTINENTAL FLOOD BASALT","YEMEN PLATEAU / NORTHERN YEMEN PLATEAU / JABAL HUFASH SECTION","WADI LAHIMA, LOWER SERIES","14","17","43","45","SUBAERIAL","","","s JB63 [2821]","BASALT [2821]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2821] ","47.88","2.91","","12.98","","12.92","","","9.51","9.91","0.202","","0.719","2.26","0.347","","","","","","","","","","","","","","","","1.62","","","","","","","","","","","","","","","","","","","","","","","","","178","","","32","","312","530","","","","191","30","111","19","","","","","16.6","480","31.9","230","22.6","","","","","","","","","","","","","172","21","48","","30","","","","","","","","","","","","","","","","","","","","","2","","1.9","0.319","0.512865","","","0.70378","","18.399","","15.537","","38.135","","","","","","","","","","","","","","","15130-JB63",
