"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[5163]","SEAMOUNT","AEOLIAN ARC / MARSILI / DREDGE MRS1 / TYRRHENIAN SEA","","39.4027","39.4087","14.3868","14.3905","SUBAQUATIC","-2600","-2875","s MRS1C [5163]","BASALT, CALC-ALKALINE [5163]","","","","","","","","PORPHYRIC, MICROCRYSTALLINE TO GLASSY GROUNDMASS (NTERSERTAL) [5163] ","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [5163] ","49.08","1.19","","17.58","","","","8.39","10.01","7.09","0.13","","0.8","3.51","0.2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182","192","","","37","104","","","","","","","","14","355","21","94","8","","","","","","","","","","","","","195","16","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119492",
"[5163]","SEAMOUNT","AEOLIAN ARC / MARSILI / DREDGE MRS1 / TYRRHENIAN SEA","","39.4027","39.4087","14.3868","14.3905","SUBAQUATIC","-2600","-2875","s MRS1C [5163]","BASALT, CALC-ALKALINE [5163]","","","","","","","","PORPHYRIC, MICROCRYSTALLINE TO GLASSY GROUNDMASS (NTERSERTAL) [5163] ","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [5163] ","49.51","1.19","","17.77","","","","8.43","10.05","7.19","0.14","","0.81","3.48","0.21","","","","","","","","","","","","","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119493",
"[5163]","SEAMOUNT","AEOLIAN ARC / MARSILI / DREDGE MRS2 / TYRRHENIAN SEA","","39.3895","39.3993","14.3833","14.391","SUBAQUATIC","-2425","-2725","s MRS2E [5163]","BASALT, CALC-ALKALINE [5163]","","","","","","","","PORPHYRIC, MICRO-CRYPTOCRYSTALLINE GROUNDMASS [5163] ","VOLCANIC ROCK","","","SLIGHTLY ALTERED","","WHOLE_ROCK [5163] ","49.24","0.68","","18.26","","","","6.39","12.4","7.59","0.11","","0.93","2.35","0.16","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","192","158","","","30","92","","","","","","","","23","376","16","58","5","","","","","","","","","","","","","414","16","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119499",
"[5163]","SEAMOUNT","AEOLIAN ARC / MARSILI / DREDGE MRS5 / TYRRHENIAN SEA","","39.3172","39.3185","14.4142","14.4265","SUBAQUATIC","-1325","-1775","s MRS5B [5163]","BASALT, CALC-ALKALINE [5163]","","","","","","","","PORPHYRIC, MICROCRYSTALLINE GROUNDMASS (INTERGRANULAR( [5163] ","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5163] ","35.46","0.61","","12.95","","","","6.17","19.21","11.18","0.12","","0.17","1.55","0.15","","","","","","","","","","","","","","","","11.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","187","331","","","29","119","","","","","","","","5","379","14","49","2","","","","","","","","","","","","","69","11","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119503",
"[5163]","SEAMOUNT","AEOLIAN ARC / MARSILI / DREDGE MRS8 / TYRRHENIAN SEA","","39.0122","39.1217","14.5243","14.5308","SUBAQUATIC","-3075","-3400","s MRS8A4 [5163]","BASALT, CALC-ALKALINE [5163]","","","","","","","","NEARLY APHYRIC, MICRO-CRYPTOCRYSTALLINE [5163] ","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5163] ","43.91","0.93","","18.03","","","","7.24","9.77","8.54","0.14","","0.4","3.45","0.19","","","","","","","","","","","","","","","","6.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","239","213","","","35","113","","","","","","","","8","295","22","80","5","","","","","","","","","","","","","124","11","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119507",
"[5163]","SEAMOUNT","AEOLIAN ARC / MARSILI / DREDGE MRS9 / TYRRHENIAN SEA","","39.278","39.281","14.3968","14.3983","SUBAQUATIC","-600","-700","s MRS9D1 [5163]","ANDESITE, CALC-ALKALINE [5163]","","","","","","","","PORPHYRIC, MICROCRYSTALLINE TO GLASSY GROUNDMASS (INTERSERTAL-INTERGRANULAR TO PILOTAXITIC) [5163] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5163] ","57.99","1.02","","17.45","","","","6.78","5.82","2.39","0.14","","2.38","4.43","0.33","","","","","","","","","","","","","","","","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","216","11","","","18","4","","","","","","","","69","439","25","172","28","","","","","","","","","","","","","810","52","85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119508",
"[5163]","SEAMOUNT","AEOLIAN ARC / MARSILI / DREDGE MRS9 / TYRRHENIAN SEA","","39.278","39.281","14.3968","14.3983","SUBAQUATIC","-600","-700","s MRS9E [5163]","ANDESITE, CALC-ALKALINE [5163]","","","","","","","","PORPHYRIC, MICROCRYSTALLINE TO GLASSY GROUNDMASS (INTERSERTAL-INTERGRANULAR TO PILOTAXITIC) [5163] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5163] ","58.02","1.02","","17.05","","","","6.65","5.83","2.31","0.14","","2.38","4.43","0.32","","","","","","","","","","","","","","","","0.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210","12","","","19","5","","","","","","","","69","442","27","176","29","","","","","","","","","","","","","810","57","82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119509",
"[5163]","SEAMOUNT","AEOLIAN ARC / MARSILI / DREDGE MRS9 / TYRRHENIAN SEA","","39.278","39.281","14.3968","14.3983","SUBAQUATIC","-600","-700","s MRS9F [5163]","ANDESITE, CALC-ALKALINE [5163]","","","","","","","","PORPHYRIC, MICROCRYSTALLINE TO GLASSY GROUNDMASS (INTERSERTAL-INTERGRANULAR TO PILOTAXITIC) [5163] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5163] ","58.02","1.02","","17.5","","","","6.73","5.86","2.32","0.14","","2.38","4.42","0.32","","","","","","","","","","","","","","","","1.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209","10","","","17","5","","","","","","","","70","445","26","174","28","","","","","","","","","","","","","808","52","86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119510",
"[5163]","SEAMOUNT","AEOLIAN ARC / MARSILI / DREDGE MRS10 / TYRRHENIAN SEA","","39.2845","39.287","14.3923","14.396","SUBAQUATIC","-575","-800","s MRS10D5 [5163]","ANDESITE, CALC-ALKALINE [5163]","","","","","","","","PORPHYRIC, MICROCRYSTALLINE TO GLASSY GROUNDMASS (MOSTLY HYALOPILITIC) [5163] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5163] ","60.42","1","","17.13","","","","5.68","4.39","1.96","0.13","","3.05","4.84","0.31","","","","","","","","","","","","","","","","0.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130","7","","","13","4","","","","","","","","88","331","29","206","29","","","","","","","","","","","","","1144","51","89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119511",
"[5163]","SEAMOUNT","AEOLIAN ARC / MARSILI / DREDGE MRS10 / TYRRHENIAN SEA","","39.2845","39.287","14.3923","14.396","SUBAQUATIC","-575","-800","s MRS10E [5163]","ANDESITE, CALC-ALKALINE [5163]","","","","","","","","PORPHYRIC, MICROCRYSTALLINE TO GLASSY GROUNDMASS (MOSTLY HYALOPILITIC) [5163] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5163] ","60.41","0.99","","17.07","","","","5.62","4.34","1.91","0.13","","3.07","4.82","0.33","","","","","","","","","","","","","","","","0.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125","8","","","14","3","","","","","","","","89","328","29","205","29","","","","","","","","","","","","","1140","55","93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119512",
