"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[460]","SEAMOUNT","AUSTRAL-COOK ISLANDS / MACDONALD / DREDGE 55 / PACIFIC OCEAN","","-29","-29","-140.25","-140.25","SUBAQUATIC","-39","-400","s 55D-1A [460]","BASALT [460]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [460] ","43.98","4.25","","15.59","","4.42","7.47","","10.13","3.83","0.18","","1.21","3.32","0.63","1.92","","","","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","44","17","64","138","24","","","","","17","921","30","259","59","","","","","","","","","","","","","366","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10386",
"[460]","SEAMOUNT","AUSTRAL-COOK ISLANDS / MACDONALD / DREDGE 55 / PACIFIC OCEAN","","-29","-29","-140.25","-140.25","SUBAQUATIC","-39","-400","s 55D-3A [460]","BASALT [460]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [460] ","44.07","4.11","","15.4","","4.21","7.12","","9.37","3.89","0.17","","1.72","4.43","0.76","0.65","","","","2.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","","41","14","34","138","23","","","","","36","881","32","335","79","","","","","","","","","","","","","473","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10387",
"[460]","SEAMOUNT","AUSTRAL-COOK ISLANDS / MACDONALD / DREDGE 57 / PACIFIC OCEAN","","-29","-29","-140.25","-140.25","SUBAQUATIC","-800","-2020","s 57D-1 [460]","BASALT [460]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [460] ","46.82","3.44","","16.45","","2.74","8.79","","10.77","5.06","0.17","","1","3.39","0.44","0.42","","","","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","","","45","47","51","131","24","","","","","17","520","30","229","40","","","","","","","","","","","","","295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10388",
"[460]","SEAMOUNT","AUSTRAL-COOK ISLANDS / MACDONALD / DREDGE 59 / PACIFIC OCEAN","","-29","-29","-140.25","-140.25","SUBAQUATIC","-39","-400","s 59TV-3 [460]","BASALT [460]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [460] ","51.38","1.82","","18.49","","3.31","5.29","","5.51","2.26","0.13","","2.38","5.98","0.55","1.75","","","","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","","21","23","26","141","29","","","","","50","739","38","478","92","","","","","","","","","","","","","536","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10389",
"[460]","SEAMOUNT","AUSTRAL-COOK ISLANDS / MACDONALD / DREDGE 60 / PACIFIC OCEAN","","-29","-29","-140.25","-140.25","SUBAQUATIC","-39","-400","s 60TV-2 [460]","BASALT [460]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [460] ","47.48","4.08","","15.64","","2.13","10.91","","9.77","4.12","0.18","","0.79","3.62","0.48","0.29","","","","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","","51","40","97","157","26","","","","","16","486","31","218","40","","","","","","","","","","","","","236","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10390",
"[460]","SEAMOUNT","AUSTRAL-COOK ISLANDS / MACDONALD / DREDGE 69 / PACIFIC OCEAN","","-29","-29","-140.25","-140.25","SUBAQUATIC","-800","-2020","s 69D-1 [460]","BASALT [460]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [460] ","43.9","4.16","","15.43","","2.83","10.05","","11.32","5.47","0.18","","1.21","3.66","0.53","0.56","","","","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","","53","54","88","144","24","","","","","26","695","29","244","56","","","","","","","","","","","","","380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10391",
"[460]","SEAMOUNT","AUSTRAL-COOK ISLANDS / MACDONALD / DREDGE 70 / PACIFIC OCEAN","","-29","-29","-140.25","-140.25","SUBAQUATIC","-39","-400","s 70D-2 [460]","BASALT [460]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [460] ","47.69","3.16","","17.91","","2.6","7.91","","9.05","3.61","0.17","","1.5","4.74","0.72","0.18","","","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","","34","30","41","120","27","","","","","32","706","37","318","66","","","","","","","","","","","","","436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10392",
"[460]","SEAMOUNT","AUSTRAL-COOK ISLANDS / MACDONALD / DREDGE 71 / PACIFIC OCEAN","","-29","-29","-140.25","-140.25","SUBAQUATIC","-39","-400","s 71D-1 [460]","BASALT [460]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [460] ","43.8","4.19","","15.45","","2.24","10.58","","11.37","5.33","0.18","","1.23","3.62","0.53","0.39","","","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","","55","56","89","164","22","","","","","27","697","27","243","55","","","","","","","","","","","","","347","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10393",
"[460]","SEAMOUNT","AUSTRAL-COOK ISLANDS / MACDONALD / DREDGE 57 / PACIFIC OCEAN","","-29","-29","-140.25","-140.25","SUBAQUATIC","-800","-2020","s 57D-2A [460]","BASALT [460]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [460] ","42.85","2.55","","9.4","","2.31","10.39","","9.84","18.28","0.18","","0.66","1.91","0.29","0.28","","","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1084","","","76","486","68","123","14","","","","","14","389","17","152","32","","","","","","","","","","","","","230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10394",
"[460]","SEAMOUNT","AUSTRAL-COOK ISLANDS / MACDONALD / DREDGE 59 / PACIFIC OCEAN","","-29","-29","-140.25","-140.25","SUBAQUATIC","-39","-400","s 59TV-2 [460]","BASALT [460]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [460] ","42.56","3.68","","12.05","","2.44","10.07","","11.71","11.32","0.17","","0.99","2.86","0.47","0.42","","","","0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","568","","","60","253","87","128","18","","","","","20","613","22","227","47","","","","","","","","","","","","","307","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10395",
