"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[5946]","SEAMOUNT","BISMARCK ARC - NEW BRITAIN ARC / UNNAMED SEAMOUNT (BISMARCK ARC) / STATION RD 23 / PACIFIC OCEAN","","-3.8733","-3.8733","149.9667","149.9667","SUBAQUATIC","-1390","-1865","s 23 [5946]","BASALT [5946]","","","","","","","","OLIVINE-PHYRIC [5946] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [5946] ","48.6","0.68","","17.3","","","","9.69","13","8.84","0.18","","0.02","2.1","0.12","0.072","","","","","","0.002","0.023","","","","","","","0.066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","129696",
"[5946]","SEAMOUNT","BISMARCK ARC - NEW BRITAIN ARC / UNNAMED SEAMOUNT (BISMARCK ARC) / STATION RD 23 / PACIFIC OCEAN","","-3.8733","-3.8733","149.9667","149.9667","SUBAQUATIC","-1390","-1865","s 23-4 [5946]","BASALT [5946]","","","","","","","","OLIVINE-PHYRIC [5946] ","VOLCANIC ROCK","","","","","VOLCANIC GLASS [5946] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512982","","","0.703398","","","","","","","","","","","","","","","","","","","","","129758",
"[5946]","SEAMOUNT","BISMARCK ARC - NEW BRITAIN ARC / UNNAMED SEAMOUNT (BISMARCK ARC) / STATION RD 23 / PACIFIC OCEAN","","-3.8733","-3.8733","149.9667","149.9667","SUBAQUATIC","-1390","-1865","s 23-4 [5946]","BASALT [5946]","","","","","","","","OLIVINE-PHYRIC [5946] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [5946] ","47.57","0.63","","16.83","","1.43","7.87","","12.66","9.89","0.17","","0.02","2.04","0.04","","0.17","0.11","","0.21","","","","","","","","","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","","234","302","","","59","203","138","52","13","","","","","0","63","21","34","0.4","","","","","","","","","","","","0","0","0.8","2.8","","","1.47","0.63","2.2","","","0.75","","","2.75","0.47","0.7","","","","","","","","","","0","","3","0","","","","","","","","","","","","","","","","","","","","","","","","","129798",
"[6262]","SEAMOUNT","BISMARCK ARC - NEW BRITAIN ARC / TUBAF / PACIFIC OCEAN","","-3.2542","-3.2542","152.5417","152.5417","SUBAQUATIC","-1280","-1280","s 61GTV-1B [6262]","HARZBURGITE, OLIVINE, XENOLITH [6262]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [6262] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00001049","7.49","","","","","142839",
"[6262]","SEAMOUNT","BISMARCK ARC - NEW BRITAIN ARC / TUBAF / PACIFIC OCEAN","","-3.2542","-3.2542","152.5417","152.5417","SUBAQUATIC","-1280","-1280","s 67DR-1F [6262]","HARZBURGITE, OLIVINE, XENOLITH [6262]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [6262] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00001028","7.44","","","","","142840",
"[6262]","SEAMOUNT","BISMARCK ARC - NEW BRITAIN ARC / TUBAF / PACIFIC OCEAN","","-3.2542","-3.2542","152.5417","152.5417","SUBAQUATIC","-1280","-1280","s 67DR-1G [6262]","HARZBURGITE, OLIVINE, XENOLITH [6262]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [6262] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00001003","7.17","","","","","142841",
"[6262]","SEAMOUNT","BISMARCK ARC - NEW BRITAIN ARC / TUBAF / PACIFIC OCEAN","","-3.2542","-3.2542","152.5417","152.5417","SUBAQUATIC","-1280","-1280","s 61-GTV-1H [6262]","ORTHOPYROXENITE [6262]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [6262] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000944","6.74","","","","","142842",
"[6262]","SEAMOUNT","BISMARCK ARC - NEW BRITAIN ARC / TUBAF / PACIFIC OCEAN","","-3.2542","-3.2542","152.5417","152.5417","SUBAQUATIC","-1280","-1280","s 61-GTV-2D [6262]","GABBRO [6262]","","","","","","","","COARSE-GRAINED [6262] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [6262] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000608","4.34","","","","","142843",
"[6262]","SEAMOUNT","BISMARCK ARC - NEW BRITAIN ARC / TUBAF / PACIFIC OCEAN","","-3.2542","-3.2542","152.5417","152.5417","SUBAQUATIC","-1280","-1280","s 61-GTV-6A [6262]","SYENITE [6262]","","","","","","","","COARSE-GRAINED [6262] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [6262] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000487","5.13","","","","","142844",
"[6262]","SEAMOUNT","BISMARCK ARC - NEW BRITAIN ARC / TUBAF / PACIFIC OCEAN","","-3.2542","-3.2542","152.5417","152.5417","SUBAQUATIC","-1280","-1280","s 61-GTV-6A [6262]","SYENITE [6262]","","","","","","","","COARSE-GRAINED [6262] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [6262] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000622","4.44","","","","","142845",
