"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[16166]","SEAMOUNT","CAPE VERDE ISLANDS / CADAMOSTO / DREDGE 885/1 / ATLANTIC OCEAN","","14.6167","14.6167","-24.9","-24.9","SUBAQUATIC","-2500","-2500","s D885-1A [16166]","NOT GIVEN [16166]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16166] ","50.3439649781113","1.24035855743173","","18.7304565353346","","","","5.66","5.79528872211799","1.78236397748593","0.281425891181989","","5.62851782363978","9.30790077131541","0.594121325828643","0.88","","","","0.91","","","","","","","","","","0.56","","","","","","","","","","","","","","","15.5","5","","","","","","","","","","","","","0.9","","63","5","2118","","5","7.1","3.61","140.7","24.33","","1.7","","","61.9","2500","45.3","1070.5","201.32","10.02","","","","","1.36","","3","0.21","","","1.1","1351","112.3","228.19","26.3","105.7","16.2","4.5","14","1.8","10.5","2","5","0.6","4.6","0.6","19.35","7.6","3.8","","","","","","","","8.82","0.11","12.4","2.2","0.512962","","","0.703362","","19.61925","","15.60062","","38.98354","","","","","","","","","","","","","","","601369",
"[16166]","SEAMOUNT","CAPE VERDE ISLANDS / CADAMOSTO / DREDGE 885/1 / ATLANTIC OCEAN","","14.6167","14.6167","-24.9","-24.9","SUBAQUATIC","-2500","-2500","s D885-1B [16166]","NOT GIVEN [16166]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16166] ","54.4063270336894","0.472473294987675","","22.6684470008217","","","","2.99","0.534100246507806","0.770336894001643","0.205423171733772","","7.44658997534922","10.0246507806081","0.14379622021364","0.97","","","","0.12","","","","","","","","","","0.18","","","","","","","","","","","","","","","24.2","5","","","","","","","","","","","","","0.1","","22","1","1283","","0.6","3.5","3.52","113.5","25.22","","1.8","","","57.6","996","13.4","1021.6","177.05","4.28","","","","","1.28","","1.9","0.17","","","1.3","406","25","50.56","6.1","22.7","3.5","1","3.5","0.5","3.5","0.7","2.2","0.3","2.4","0.4","16.96","4.2","1.2","","","","","","","","6.36","0.07","5.2","1","0.512952","","","0.703432","","","","","","","","","","","","","","","","","","","","","601370",
"[16166]","SEAMOUNT","CAPE VERDE ISLANDS / CADAMOSTO / DREDGE 885/1 / ATLANTIC OCEAN","","14.6167","14.6167","-24.9","-24.9","SUBAQUATIC","-2500","-2500","s D885-1B [16166]","NOT GIVEN [16166]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16166] ","54.2813141683778","0.472279260780287","","22.7104722792608","","","","3","0.53388090349076","0.759753593429158","0.205338809034908","","7.47433264887064","10.082135523614","0.143737166324435","0.99","","","","0.12","","","","","","","","","","","","","","","","","","","","","","","","","15.5","6","","","","","","","","","","","","","0.9","","62","3","2110","","4.5","4","2.62","133.8","24.2","","1.7","","","58.6","2394","43.9","1049","203.67","9.71","","","","","1.33","","2.7","0.18","","","1.1","1242","105.9","220.3","25.1","100.5","15.4","4.3","12.4","1.6","9.6","1.8","4.6","0.6","4.4","0.6","18.61","7.5","2.5","","","","","","","","8.88","0.08","12","2.3","","","","","","","","","","","","","","","","","","","","","","","","","601371",
"[16166]","SEAMOUNT","CAPE VERDE ISLANDS / CADAMOSTO / DREDGE 885/1 / ATLANTIC OCEAN","","14.6167","14.6167","-24.9","-24.9","SUBAQUATIC","-2500","-2500","s D885-1C [16166]","NOT GIVEN [16166]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16166] ","50.5449591280654","1.21567805491511","","18.8954097673444","","","","5.54","5.65919094529449","1.72919723328443","0.282959547264724","","5.71159086145462","9.28526514357577","0.523999161601341","0.85","","","","0.05","","","","","","","","","","0.53","","","","","","","","","","","","","","","16.7","5","","","","","","","","","","","","","0.8","","62","12","2047","","4.6","2.9","2.22","143.9","24.83","","2","","","71.4","2432","46.4","1043.5","207.33","9.8","","","","","1.35","","2.8","0.18","","","1.2","1324","121.4","249.3","27.2","110.8","16.8","4.6","14.4","1.8","11.6","2","4.8","0.6","4.6","0.7","19.5","8","2.6","","","","","","","","10.25","0.08","13.9","2.5","0.512979","","","0.703397","","19.50646","","15.60463","","38.89913","","","","","","","","","","","","","","","601372",
"[16166]","SEAMOUNT","CAPE VERDE ISLANDS / CADAMOSTO / DREDGE 885/1 / ATLANTIC OCEAN","","14.6167","14.6167","-24.9","-24.9","SUBAQUATIC","-2500","-2500","s D885-1DA [16166]","NOT GIVEN [16166]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16166] ","52.0462355513902","0.937207122774133","","19.9729251275643","","","","4.9","3.67593460376966","1.77028012079558","0.239508486931167","","5.99812558575445","9.58033947724669","0.333229199208581","1.15","","","","0.2","","","","","","","","","","0.48","","","","","","","","","","","","","","","20.8","5","","","","","","","","","","","","","0.4","","50","1","1751","","2.7","2.6","2.79","140.3","24.59","","1.5","","","48.5","2066","33.7","1074.4","183.34","9.61","","","","","1.36","","2.5","0.13","","","1.1","1220","82.6","166.85","19.2","74.9","11.5","3.4","10.2","1.3","8","1.5","3.7","0.5","3.7","0.5","19.25","6.5","2.7","","","","","","","","8.58","0.09","9.5","1.3","","","","","","","","","","","","","","","","","","","","","","","","","601373",
"[16166]","SEAMOUNT","CAPE VERDE ISLANDS / CADAMOSTO / DREDGE 885/1 / ATLANTIC OCEAN","","14.6167","14.6167","-24.9","-24.9","SUBAQUATIC","-2500","-2500","s D885-1E [16166]","NOT GIVEN [16166]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16166] ","49.9217527386541","1.37715179968701","","18.6541471048513","","","","6.14","6.08242044861763","1.86750130412102","0.292123109024517","","4.85133020344288","9.56703182055295","0.563380281690141","1.05","","","","0.56","","","","","","","","","","0.46","","","","","","","","","","","","","","","20","5","","","","","","","","","","","","","1.1","","70","5","2187","","5.4","4.8","5.17","143.5","23.61","","1.2","","","42.3","2425","43","906.7","204.24","8.77","","","","","1.15","","3","0.12","","","1.5","1458","117.3","241.47","28.8","113.4","17.9","4.9","14.2","1.9","10.6","1.7","4.2","0.5","4.1","0.6","18.2","8.2","2.4","","","","","","","","6.72","0.06","11.6","1.5","0.512959","","","0.703371","","19.59242","","15.5946","","38.96986","","","","","","","","","","","","","","","601374",
"[16166]","SEAMOUNT","CAPE VERDE ISLANDS / CADAMOSTO / DREDGE 885/1 / ATLANTIC OCEAN","","14.6167","14.6167","-24.9","-24.9","SUBAQUATIC","-2500","-2500","s D885-1F [16166]","NOT GIVEN [16166]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16166] ","54.4520547945205","0.477376504773765","","22.4678289746783","","","","3.03","0.695309256953093","0.799086757990868","0.217932752179328","","7.44084682440847","9.95226234952262","0.134910751349108","1.7","","","","0.22","","","","","","","","","","0.15","","","","","","","","","","","","","","","24.1","5","","","","","","","","","","","","","0","","24","2","1380","","0.3","0.8","1.67","114.4","23.82","","1.4","","","54.8","960","12.9","956.2","165.72","3.26","","","","","1.15","","1.6","0.13","","","1.6","334","24.1","48.71","5.7","20.3","3.1","1","2.9","0.5","3.4","0.7","2","0.3","2.3","0.3","16.02","4.1","1","","","","","","","","5.98","0.05","4.3","1.5","0.512958","","","0.703415","","19.63648","","15.59529","","38.96254","","","","","","","","","","","","","","","601375",
"[16166]","SEAMOUNT","CAPE VERDE ISLANDS / CADAMOSTO / DREDGE 885/1 / ATLANTIC OCEAN","","14.6167","14.6167","-24.9","-24.9","SUBAQUATIC","-2500","-2500","s D885-1F [16166]","NOT GIVEN [16166]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16166] ","54.4302482601018","0.477822790069596","","22.5511582008933","","","","2.95","0.695959281188325","0.810221252726706","0.218136491118729","","7.43741560195284","9.97195387971331","0.124649423496416","1.79","","","","0.21","","","","","","","","","","","","","","","","","","","","","","","","","16.5","5","","","","","","","","","","","","","0.9","","60","3","2053","","4.5","3.9","2.69","144.8","25.3","","2","","","66.3","2421","45.6","1079.1","203.55","9.93","","","","","1.35","","2.9","0.15","","","1.2","1274","114.3","238.95","27.3","103.8","15.5","4.5","13.9","1.9","10.4","1.9","4.6","0.6","4.6","0.6","19.45","7.5","2.6","","","","","","","","9.41","0.08","13.3","2.4","","","","","","","","","","","","","","","","","","","","","","","","","601376",
"[16166]","SEAMOUNT","CAPE VERDE ISLANDS / CADAMOSTO / DREDGE 885/1 / ATLANTIC OCEAN","","14.6167","14.6167","-24.9","-24.9","SUBAQUATIC","-2500","-2500","s D885-1G [16166]","NOT GIVEN [16166]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16166] ","50.4641702305205","1.16824867007406","","18.9005945551267","","","","5.49","5.5283195994576","1.75237300511109","0.271200584124335","","5.64305830812559","9.60675915301972","0.56326275164285","0.96","","","","0.86","","","","","","","","","","0.53","","","","","","","","","","","","","","","21.6","5","","","","","","","","","","","","","0","","21","9","1468","","0.5","1","2.47","124","24.65","","1.8","","","12","858","14.4","1055.6","183.28","4.83","","","","","1.35","","2","0.17","","","1.5","360","23.5","47.21","5.6","19.4","3","1","3","0.5","3.2","0.7","2.2","0.3","2.6","0.4","17.08","4.3","1.4","","","","","","","","6.86","0.05","5.3","2.6","0.512945","","","","","19.6247","","15.62407","","39.23157","","","","","","","","","","","","","","","601377",
"[16166]","SEAMOUNT","CAPE VERDE ISLANDS / CADAMOSTO / DREDGE 885/1 / ATLANTIC OCEAN","","14.6167","14.6167","-24.9","-24.9","SUBAQUATIC","-2500","-2500","s D885-1HA [16166]","NOT GIVEN [16166]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16166] ","55.1786282200784","0.487649740273508","","22.3046750768578","","","","2.86","1.15551786282201","0.763277854341143","0.212021626205873","","3.5089579137072","13.0923354182127","0.11661189441323","3.7","","","","0.16","","","","","","","","","","0.17","","","","","","","","","","","","","","","22.2","5","","","","","","","","","","","","","0.4","","22","1","1361","","0.4","0.1","1.73","125.7","25.07","","1.8","","","22.1","1395","18.1","1029","176.47","4.35","","","","","1.23","","1.9","0.18","","","1.7","483","37.2","72.55","7.9","27.2","4.1","1.1","3.9","0.6","3.9","0.9","2.3","0.4","2.6","0.4","16.91","4.1","1.3","","","","","","","","6.87","0.05","6.7","2.8","0.512944","","","0.703469","","19.71141","","15.62187","","39.055","","","","","","","","","","","","","","","601378",
