"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[10272]","SEAMOUNT","CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / DAVIDSON / PACIFIC OCEAN","","35.5","35.83","-122.666","-123","SUBAQUATIC","","","s T429R24 [10272]","TRACHYTE [10272]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10272] ","60.4","0.86","","19.1","","","","3.72","2.42","0.76","0.08","","5.05","6.06","0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","317339",
"[10272]","SEAMOUNT","CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / DAVIDSON / PACIFIC OCEAN","","35.5","35.83","-122.666","-123","SUBAQUATIC","","","s L2-79NC-D1-37 [10272]","MUGEARITE [10272]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10272] ","50.9","2.42","","17.7","","","","6.79","7.5","3.8","0.19","","2.92","4.72","1.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","317340",
"[10272]","SEAMOUNT","CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / DAVIDSON / PACIFIC OCEAN","","35.5","35.83","-122.666","-123","SUBAQUATIC","","","s T427R2 [10272]","HAWAIITE [10272]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10272] ","47","3.51","","16.6","","","","8.61","8.84","6.28","0.14","","2.59","3.88","0.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","317341",
"[10272]","SEAMOUNT","CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / DAVIDSON / PACIFIC OCEAN","","35.5","35.83","-122.666","-123","SUBAQUATIC","","","s T429R4 [10272]","HAWAIITE [10272]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10272] ","48.6","2.71","","17.6","","","","7.67","8.94","4.98","0.45","","2.27","3.52","1.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","317342",
"[10272]","SEAMOUNT","CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / DAVIDSON / PACIFIC OCEAN","","35.5","35.83","-122.666","-123","SUBAQUATIC","","","s T140R16 [10272]","BASALT, ALKALINE [10272]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10272] ","48.6","2.01","","15.9","","","","8.95","9.62","8.39","0.22","","1.78","3.16","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","317343",
"[10272]","SEAMOUNT","CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / DAVIDSON / PACIFIC OCEAN","","35.5","35.83","-122.666","-123","SUBAQUATIC","","","s T145R10 [10272]","BASALT, TRANSITIONAL [10272]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10272] ","50.2","2","","14.6","","","","11.2","9.11","7.25","0.13","","1.25","3.14","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","317344",
"[10272]","SEAMOUNT","CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / PIONEER / PACIFIC OCEAN","","37.333","37.4","-123.4","-123.4666","SUBAQUATIC","","","s T603R6 [10272]","HAWAIITE [10272]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10272] ","51.7","2.74","","17.6","","","","7.84","8.66","3.64","0.13","","2.08","4.32","0.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","317345",
"[10272]","SEAMOUNT","CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / PIONEER / PACIFIC OCEAN","","37.333","37.4","-123.4","-123.4666","SUBAQUATIC","","","s T627R1 [10272]","BASALT, ALKALINE [10272]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10272] ","47.4","3.02","","17","","","","10.7","9.36","5.56","0.15","","1.64","3.23","0.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","317346",
"[10272]","SEAMOUNT","CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / PIONEER / PACIFIC OCEAN","","37.333","37.4","-123.4","-123.4666","SUBAQUATIC","","","s 76D4-4 [10272]","THOLEIITE [10272]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [10272] ","50.2","2.23","","14.5","","","","10.9","11.2","5.53","0.15","","0.45","3.66","0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","317347",
"[10272]","SEAMOUNT","CONTINENTAL MARGIN OFFSHORE CALIFORNIA SEAMOUNTS / DAVIDSON / PACIFIC OCEAN","","35.5","35.83","-122.666","-123","SUBAQUATIC","","","s T429R17 [10272]","BENMOREITE [10272]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [10272] ","58.6","1.25","","19.1","","","","4.5","2.31","1.27","0.13","","3.92","4.66","0.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","317348",
